Cluster,NumTopics,LDAScore,LDATopics
9,2,-1.085,"[{'topic_words': ['environment', 'city', 'space', 'design', 'people', 'research', 'sound', 'place', 'paper', 'soundscape'], 'score': -1.383}, {'topic_words': ['environment', 'system', 'soundscape', 'people', 'noise', 'method', 'acoustic environment', 'aspect', 'design', 'sound'], 'score': -0.787}]"
10,3,-3.144,"[{'topic_words': ['risk', 'study', 'culture', 'planning', 'value', 'right', 'community', 'development', 'landscape', 'property'], 'score': -2.582}, {'topic_words': ['design', 'city', 'culture', 'article', 'people', 'consultation', 'area', 'community', 'building', 'renewal'], 'score': -3.093}, {'topic_words': ['culture', 'people', 'place', 'practice', 'city', 'life', 'community', 'planning', 'region', 'indigenous people'], 'score': -3.759}]"
11,4,-1.296,"[{'topic_words': ['city', 'place', 'neighbourhood', 'event', 'time', 'element', 'urban design', 'core', 'design', 'town'], 'score': -0.71}, {'topic_words': ['city', 'people', 'settlement', 'space', 'condition', 'rehabilitation', 'flood', 'heritage', 'planning', 'life'], 'score': -2.484}, {'topic_words': ['citizenship', 'nomad', 'concept', 'culture', 'government', 'research', 'country', 'citizen', 'education', 'identity'], 'score': -0.199}, {'topic_words': ['space', 'city', 'identity', 'urban space', 'sprawl', 'urban sprawl', 'study', 'people', 'festival', 'urbanism'], 'score': -1.79}]"
12,3,-0.67,"[{'topic_words': ['water', 'plan', 'management', 'people', 'development', 'population', 'country', 'paper', 'participation', 'cost'], 'score': -0.35}, {'topic_words': ['adaptation', 'slum', 'community', 'governance', 'change', 'strategy', 'level', 'settlement', 'city', 'service'], 'score': -0.081}, {'topic_words': ['development', 'form', 'housing', 'area', 'people', 'urban development', 'paper', 'influence', 'planning', 'attitude'], 'score': -1.58}]"
13,3,-0.843,"[{'topic_words': ['planning', 'process', 'planning process', 'information', 'population', 'use', 'role', 'technology', 'community', 'engagement'], 'score': 0.157}, {'topic_words': ['design', 'culture', 'technology', 'food', 'community', 'framework', 'people', 'diversity', 'environment', 'participation'], 'score': -1.851}, {'topic_words': ['design', 'child', 'environment', 'planning', 'city', 'creativity', 'studio', 'tool', 'urban planning', 'place'], 'score': -0.835}]"
14,4,-1.259,"[{'topic_words': ['engineering', 'bridge', 'center', 'history', 'system', 'calendar', 'world', 'period', 'classic period', 'suspension bridge'], 'score': -0.267}, {'topic_words': ['architecture', 'landscape', 'example', 'area', 'condition', 'building', 'tourism', 'function', 'place', 'architect'], 'score': -1.856}, {'topic_words': ['place', 'crisis', 'planning', 'spatial planning', 'region', 'nature', 'culture', 'people', 'development', 'exit'], 'score': -0.745}, {'topic_words': ['architecture', 'park', 'city', 'material', 'research', 'people', 'construction', 'study', 'specie', 'totora'], 'score': -2.17}]"
15,2,-0.535,"[{'topic_words': ['indicator', 'article', 'city', 'region', 'planning', 'development', 'people', 'culture', 'work', 'design'], 'score': -0.377}, {'topic_words': ['city', 'article', 'tourist', 'transformation', 'urban transformation', 'culture', 'people', 'century', 'form', 'urban planning'], 'score': -0.692}]"
16,3,-1.777,"[{'topic_words': ['city', 'community', 'Latino community', 'challenge', 'governance', 'literature', 'visibility', 'space', 'play', 'urban space'], 'score': -0.856}, {'topic_words': ['space', 'people', 'public space', 'planning', 'community', 'gentrification', 'development', 'regulation', 'urban planning', 'neighborhood'], 'score': -2.112}, {'topic_words': ['space', 'city', 'community', 'race', 'sustainability', 'inequality', 'research', 'study', 'policy', 'street'], 'score': -2.364}]"
17,3,-2.8,"[{'topic_words': ['city', 'life', 'beach', 'culture', 'people', 'book', 'overview', 'issue', 'part', 'lifestyle'], 'score': -1.879}, {'topic_words': ['city', 'space', 'interaction', 'level', 'environment', 'student', 'study', 'Chinese student', 'urbanity', 'host'], 'score': -2.701}, {'topic_words': ['knowledge', 'environment', 'culture', 'people', 'project', 'design', 'indigenous knowledge', 'urban environment', 'Chapter', 'disaster'], 'score': -3.821}]"
18,3,-0.876,"[{'topic_words': ['class', 'middle class', 'state', 'transformation', 'city', 'study', 'Chinese city', 'economy', 'society', 'control'], 'score': 0.519}, {'topic_words': ['planning', 'development', 'generation', 'city', 'cultural development', 'people', 'urban planning', 'community', 'government', 'place'], 'score': -1.562}, {'topic_words': ['city', 'history', 'book', 'development', 'environment', 'architecture', 'urban history', 'time', 'prosperity', 'work'], 'score': -1.585}]"
19,1,-0.253,"[{'topic_words': ['city', 'business', 'culture', 'small business', 'people', 'place', 'mobility', 'time', 'history', 'design'], 'score': -0.253}]"
20,2,1.062,"[{'topic_words': ['waste', 'effect', 'property', 'method', 'system', 'analysis', 'removal', 'design', 'water', 'catalyst'], 'score': 1.623}, {'topic_words': ['environment', 'government', 'reconstruction', 'village', 'community', 'development', 'measure', 'concept', 'planning', 'city'], 'score': 0.501}]"
21,1,-1.574,"[{'topic_words': ['city', 'approach', 'design', 'planning', 'people', 'space', 'culture', 'method', 'area', 'globalization'], 'score': -1.574}]"
22,1,-0.564,"[{'topic_words': ['city', 'study', 'development', 'comfort', 'people', 'livability', 'application', 'community', 'culture', 'environment'], 'score': -0.564}]"
23,3,0.173,"[{'topic_words': ['landscape', 'state', 'community', 'meaning', 'para', 'way', 'theme', 'people', 'tradition', 'experience'], 'score': 0.404}, {'topic_words': ['place', 'planning', 'culture', 'people', 'knowledge', 'third place', 'research', 'language', 'city', 'book'], 'score': -1.699}, {'topic_words': ['visitor', 'site', 'expectation', 'experience', 'interpretation', 'centre', 'site interpretation', 'comment', 'study', 'research'], 'score': 1.814}]"
24,1,-0.771,"[{'topic_words': ['city', 'people', 'change', 'country', 'challenge', 'strategy', 'governance', 'indicator', 'study', 'culture'], 'score': -0.771}]"
25,1,-0.808,"[{'topic_words': ['waterfront', 'city', 'people', 'life', 'value', 'development', 'landscape', 'activity', 'ocean', 'culture'], 'score': -0.808}]"
26,3,-0.107,"[{'topic_words': ['monument', 'history', 'structure', 'city', 'design', 'meaning', 'symbol', 'player', 'building', 'ambition'], 'score': 0.128}, {'topic_words': ['city', 'planning', 'vision', 'world', 'fair', 'time', 'future', 'idea', 'planner', 'model'], 'score': -0.329}, {'topic_words': ['city', 'people', 'conversation', 'regulation', 'icon', 'modernity', 'growth', 'imagination', 'description', 'growth boundary'], 'score': -0.119}]"
27,3,-0.766,"[{'topic_words': ['design', 'city', 'people', 'space', 'competition', 'urban design', 'fashion', 'importance', 'contemporary city', 'environment'], 'score': -1.632}, {'topic_words': ['landscape', 'design', 'group', 'minority', 'minority group', 'experience', 'case', 'article', 'case study', 'ethnic minority'], 'score': 0.184}, {'topic_words': ['city', 'architecture', 'planning', 'urbanity', 'paper', 'people', 'context', 'city planning', 'culture', 'child'], 'score': -0.851}]"
28,3,-0.665,"[{'topic_words': ['water', 'process', 'planning', 'system', 'problem', 'decision', 'city', 'approach', 'management', 'urban planning'], 'score': -0.284}, {'topic_words': ['city', 'community', 'sustainability', 'indicator', 'building', 'people', 'risk', 'vision', 'trust', 'development'], 'score': -1.506}, {'topic_words': ['standard', 'residential standard', 'city', 'mobility', 'pandemic', 'culture', 'compliance', 'immobility', 'planning', 'risk'], 'score': -0.207}]"
