Cluster,NumDocs,percent,topics,key-phrases
(5)	classification tree, data mining, classification technique, boosted regression tree, classification scheme, boosted regression, machine learning technique, boosting, classification, random forest
(6)	urban land prediction, urban climate mitigation, urbanization prediction, geodemographic classification development, population forecasting, geodemographic classification, high irrigation efficiency, italian regional science, fecal sludge management, land price prediction"
6,63,0.10570469798657718,"perception, soundscape, street, visual, greenery, human perception, street greenery, emotion, new urban data, urban modeling technique","(1)	urban sound recognition, soundscape classification model, soundscape recognition, soundscape classification, soundscape assessment, urban soundscape evaluation, comprehensive urban soundscape, urban soundscapes, soundscape recognition aim, urban soundscape mapping
(2)	urban public space, urban environment perception, urban landscape perception, residential urban environment, artificial urban modeling, historical urban landscape, streetscape perception, Urban morphological feature, artificial urban environment, urban perception datasets
(3)	auditory perception map, auditory perception, auditory data, perception map, human perception, heterogeneous perception, subjective perception, perception
(4)	urban emotion measurement, emotional computing technics, Urban emotion, emotion information, emotional computing concept, emotional computing, emotion measurement, emotion measurement tool, human emotion recognition
(5)	City safety perception, city safety, people safety perception, safety perception model, Safety perception measurement, city safety security, Safe city, safety perception
(6)	urban segregation, Urban multisensory laboratory, Transit urban design, Public transportation accessibility, residential segregation, urban valuation estimation, urban valuation, generative urban network, Urban multisensory, visible street greenery"
7,83,0.13926174496644295,"traffic, IoT, planning support system, intrusion, traffic light control, urban design problem, road traffic safety, internet, Design, smart city","(1)	data mining technique, data science technique, intelligence technology, Deep neural network, artificial intelligence technology, Machine Learning technique, human intelligence, intelligent system, artificial intelligence, AI assistant
(2)	AI urbanism, urban computing, urban virtual modelling, future city ecosystem, Smart urban future, urban aesthetic evaluation, smart infrastructure system, generative urban design, generative urban aesthetic, smart city planning
(3)	algorithmic space planning, spatial planning, algorithmic spatial planning, motion planning, planning support system, space planning, effective digital planning, planning support, digital planning, plan management
(4)	conduct cooperative design, Online cooperative design, online design, cooperative design, interactive design, interactive machine learning, interactive machine
(5)	game technology, modern game technology, spatial environment concern, videogame environment, spatial environment, game engine, game environment, playable video game
(6)	space ontology, space conceptualization, spatial cognition, cooperative space conceptualization, typical spatial behaviour, spatial behaviour, space perception
(7)	construction game, construction simulation, ambient intelligence, automated vacuum waste, Intelligent driver assist, waste collection optimization, accident investigation site, Drone Future, virtual construction site, Intelligent driver"
8,14,0.02348993288590604,"positive deviance, new data source, urban planning firm, personality, player, social media data, data poor environment, J Plan Educ, Plan Educ Res, Educational Data Mining","(1)	AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science
(2)	urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education
(3)	Social medium data, unstructured community input, microblogging data, Computational social medium, unstructured community, social network message
(4)	personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class
(5)	Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension"
9,70,0.1174496644295302,"mobility, urban human mobility, human mobility, human mobility data, crime, bike, travel, mobility pattern, crash, human mobility pattern","(1)	predictive feature, predictive model, prediction challenging, prediction, prediction capability
(2)	Data mining tourism, Spatial crime simulation, human mobility analysis, mobility data mining, crime prediction, business zone recommender, urban data exploration, human mobility prediction, human mobility data, crime simulation
(3)	topic modeling, latent Dirichlet allocation, topic modeling extraction, topic identification, Dirichlet allocation, probabilistic topic, probabilistic topic model, topic probability
(4)	tensor factorization, matrix tensor factorization, nonnegative matrix factorization, matrix factorization, joint matrix factorization
(5)	graph machine learning, Graph convolutional network, graph convolution network, graph attention network, graph machine
(6)	optimal police, restaurant data, urban traffic gravity, implicit geographic movement, trajectory segmentation, traffic incident analysis, police strategy, population map, community detection algorithm, retail store placement"
