Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Sepe M.","16022832400;","Urban history and cultural resources in urban regeneration: a case of creative waterfront renewal",2013,"Planning Perspectives","28","4",,"595","613",,27,"10.1080/02665433.2013.774539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890778659&doi=10.1080%2f02665433.2013.774539&partnerID=40&md5=d491c38efdf62ef8dac5218e79f29be0","In recent decades, the role of culture and history has often become a driving factor in the process of urban regeneration. The focus on culture and history as factors in regional transformation has been particularly extensive in response not only to competitiveness among cities but also to sustainability requirements in the cultural sector. In the same perspective of this approach, culture in its broadest sense assumes a decisive role in constructing a system of interventions where employment and social and sustainable development become the product of the integration of places, people, economies and traditions. Creative cities are currently working on how to improve the interaction between regeneration building, economic development and social renewal in order to achieve more comprehensive development of the city. Existing creative cities may be seen to revolve around the design, promotion and activation of urban areas established due to their particular local characteristics. Such areas become creative clusters as a result of economic and structural innovations, related to the realization of innovator projects achieved with the help of local development strategies based on the economies of excellence, culture and territorial quality. Starting from such premises, this article aims to show the main factors which condition creativity in cities - such as new policies, participation, history, place identity, cultural resources and sustainability - and an emblematic case study of creative regeneration. This concerns the HafenCity district in Hamburg, where the history has assumed an important role in re-constructing the maritime identity and for many choices of urban nature. © 2013 Taylor & Francis.","attractivity; creative urban regeneration; cultural resources; economic development; innovation; participation; place identity; social renewal; sustainability; urban history",Article,"Final","",Scopus,2-s2.0-84890778659
"Myers G.A.","7202845476;","Intellectual of empire: Eric Dutton and hegemony in British Africa",1998,"Annals of the Association of American Geographers","88","1",,"1","27",,27,"10.1111/1467-8306.00082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031810055&doi=10.1111%2f1467-8306.00082&partnerID=40&md5=b69ec51481a69737925e705038cb7330","This essay examines the career of Eric Dutton in five British African colonies from 1919 to 1952, with case studies of his work in Lusaka and Zanzibar. In analyzing Dutton's career, I use a Gramscian conception of the role of intellectuals in creating colonial hegemony, against the backdrop of recent research on the relationship of geography to colonial discourse. Dutton worked and corresponded with key players in Britain's African empire. He was a major force behind early urban-planning programs in East and Central Africa and author of four geographical books. Permanently disabled by war wounds, he was also permanently infatuated with the moral rightness of British imperial culture. A concern for geography's professional relationship with, and the geographical legacy of, colonialism has emerged in recent scholarship on Africa, largely through studies of travel writing, fiction, and nineteenth- or early twentieth-century exploration geography. Later scholar-officials like Dutton sought to apply their knowledge to the shaping of spaces to serve the Empire's direct and immediate needs in Africa, even while trying to win the hearts and minds of its subject peoples. Around Timothy Mitchell's (1988) concept of ""enframing,"" I build an analysis of the spatial projects with which Dutton is most associated and show how Lusaka and Zanzibar were enframed by his plans. Through his publications and correspondences, as well as his seemingly omnipresent service, Dutton has an important legacy that has neither been articulated nor analyzed, one which points to the importance of contextualized biography for analyses of colonial discourse. I argue here for seeing Dutton as an intellectual in the service of colonial hegemony and its enframing spatial discourse, although the character of his agency exemplifies why that attempted hegemony failed.","Africa; Colonialism; Cultural hegemony",Article,"Final","",Scopus,2-s2.0-0031810055
"Peponis J.","6602308685;","Space, culture and urban design in late modernism and after",1989,"Ekistics","56","334-335",,"93","108",,27,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024895479&partnerID=40&md5=14eff32330c466309ff467861e8c7807","Among the questions underlying recent debates about the architecture of the city, two are perhaps more fundamental. The first concerns the legitimacy of architectural practice: can we be assertive about how we should design our cities without seeking to enforce social assumptions which are ultimately authoritarian? The second concerns architectural theory itself: can we be specific about what architecture does without being reductive about what society is? This article identifies and criticizes two kinds of recent responses to these questions: the first is to defend an architecture of localism and containment in some new and some old ways; the second is to retreat into relativism, sometimes supported by the assertion that architecture is of limited consequence because society is increasingly independent of space. The article defends the view that we can and must be assertive about the architecture of cities in global rather than local terms. The experience of genuinely urban environments is about meeting, though not necessarily interacting with, other people, mostly unknown, who can be of recognizably different class, status, race or ethnic origin; it is also about exploring the strange, and becoming aware of, though not necessarily participating in, other ways of life. -from Author",,Article,"Final","",Scopus,2-s2.0-0024895479
"Bardsley D.K., Weber D., Robinson G.M., Moskwa E., Bardsley A.M.","6603978000;36490727900;7402255058;36562213900;22955283200;","Wildfire risk, biodiversity and peri-urban planning in the Mt Lofty Ranges, South Australia",2015,"Applied Geography","63",,,"155","165",,26,"10.1016/j.apgeog.2015.06.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936866632&doi=10.1016%2fj.apgeog.2015.06.012&partnerID=40&md5=ed29cae30ef19bbb9c76b2ad3555c495","Major fires on the periphery of Australian cities are reframing perceptions of what constitutes effective landscape planning and vegetation management. The emerging governance challenge to simultaneously mitigate wildfire risk and support improved conservation practices is reviewed in the context of pre-colonial and modern cultures within the peri-urban Mediterranean climatic region of South Australia's Mt Lofty Ranges. The analysis suggests that anthropogenic burning of landscape has been a vital historical component of risk management. During the early modern era however, improved capacities to manage wildfire risk led to complacency in light of the hazard, which in turn has led to urbanization that has not sufficiently accounted for the levels of risk. A planning conflict is emerging within the wooded uplands as there is renewed interest in wildfire risk, which is reflected in new state policies providing greater allowances for land owners to clear vegetation around dwellings. Although attempts have been made to constrain urban growth around the city of Adelaide, recent workshops with key environmental management stakeholders suggest that urbanization continues within the Mt Lofty Ranges in areas that are both highly vulnerable to fire and of great importance for biodiversity conservation, such that planning is not reflecting the cultures of risk or biodiversity value. For such risks and values to be taken into account within reflexive systems of governance, the narratives on opportunities for adaptation generated by the people who facilitate vegetation management must be accommodated into deliberations on policy. The identification and planning of particularly vulnerable and valuable spaces within the broader landscape and cultural contexts of risk and value would enable complex, targeted responses to environmental hazards, conservation and development needs in the peri-urban uplands. © 2015 Elsevier Ltd.","Biodiversity conservation; Peri-urban; Planning; Reflexivity; Risk; South Australia; Urban development; Wildfire",Article,"Final","",Scopus,2-s2.0-84936866632
"Abbott C., Margheim J.","7102454349;26534801500;","Imagining Portland's urban growth boundary: Planning regulation as cultural icon",2008,"Journal of the American Planning Association","74","2",,"196","208",,26,"10.1080/01944360801944997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65449178465&doi=10.1080%2f01944360801944997&partnerID=40&md5=7eb2fe37a688dc2ba22b9250224ae654","Problem: In the 30 years since its creation, has Portland, Oregon's, urban growth boundary (UGB) become something more than a regulation? Spirited debate about its impacts on land uses and values has inspired vivid descriptions by both supporters and critics and spurred the imagination of artists and creative writers. Purpose: The UGB has become a symbol, metaphor, and touchstone, as people read complex meanings into it that go beyond its simple legal function. This article looks at the UGB as a cultural icon. It explores the increasingly complex ways in which people have tried to describe, understand, and interpret the UGB as part of the regional landscape as well as the regulatory system. It examines metaphorical descriptions of the UGB as well as the growing body of depictions in nature writing, poetry, novels, photography, performance art, songs, and other exercises of the artistic imagination. Methods: We review how supporters and critics of the UGB have described it and how artists have depicted it in various media.Results and conclusions: Although many planning projects have become icons, few planning regulations have done so. Artistic interpretations have familiarized and humanized the UGB and embedded it in the consciousness of everyday life. Artists thus make the invisible more visible or legible. Acting as a viewfinder, the UGB offers an opportunity for conversation and interpretation from multiple perspectives. Takeaway for practice: In the world of 21st-century planning theory there is a strong assumption that many voices engaged in overlapping conversations can help shape more equitable and sustainable cities. Creative depictions of Portland's UGB show the role of cultural actors in shaping and enriching such conversations.","Culture and regulation; Oregon; Urban growth boundary (UGB); Portland",Article,"Final","",Scopus,2-s2.0-65449178465
"Rahnema S., Sedaghathoor S., Allahyari M.S., Damalas C.A., Bilali H.E.","57205297429;36683166200;25629273800;7801359716;37058684500;","Preferences and emotion perceptions of ornamental plant species for green space designing among urban park users in Iran",2019,"Urban Forestry and Urban Greening","39",,,"98","108",,25,"10.1016/j.ufug.2018.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059465626&doi=10.1016%2fj.ufug.2018.12.007&partnerID=40&md5=4421cb1faf4b247d833038adc1d879ad","The main objective of the present study was to explore preferences and eumotion perceptions of people in Rasht and Ardabil (Iran) to some ornamental plants in order to help designing appropriate urban green landscapes. The study surveyed urban park users in the two cities in 2017 to identify and compare the most important factors underpinning the viability of public open spaces from the perspective of users (mental aspect) and the extent to which these mental factors match the visual features of the selected spaces (visual aspect). A random sample of 232 individuals was taken from students in Ardabil (119 persons) and Rasht (113 persons). A considerable part of the participants (37.2%) reported a feeling of tranquility when they saw flowers, while 28.8% of the participants reported a feeling of love. Flower-bearing plant species were more appealing to the participants than leafy ornamental plants. Red was the most preferred flower color (52.1%) followed by violet (18.6%) and orange (11.4%) among the ornamental species commonly used in the design of green spaces, while tulip (Tulipa gesneriana) (29%), rose (Rosa hybrida) (25%), and Easter lily (Lilium longiflorum) (19%) were in the first top ranks of preferences, respectively. Coleus (Solenostemon scutellarioides) and garden croton (Codiaeum variegatum) were also reported among preferred species. The results support the assumption of similarity in preferences and requirements of citizens of large cities and despite great diversity in geography, culture, and ethics, people in large cities exhibit similar emotion perceptions. The study findings are expected to support public authorities and urban planners to effectively design and manage urban green spaces to meet users’ needs. © 2018 Elsevier GmbH","Green space; Public perception; Sense of place; Urban landscape",Article,"Final","",Scopus,2-s2.0-85059465626
"Aparicio A.","36837143100;","Dominican-Americans and the politics of empowerment",2006,"Dominican-Americans and the Politics of Empowerment",,,,"1","210",,25,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894933435&partnerID=40&md5=6c33179b2c967c40025d1b96c6c9e543","Aparicio examines the ways first- and second-generation Dominican-Americans in the dynamic northern Manhattan neighborhood of Washington Heights have shaped a new Dominican presence in local New York City politics. Through community organizing, they have formed coalitions with people of different national and ethnic backgrounds and other people of color, tackled local concerns, and created new routes for empowerment. The character of Dominican-American politics has changed since the first large wave of Dominican immigrants arrived in New York in the 1960s. Aparicio shows how second-generation activists, raised and educated in public institutions in the city, have expanded their network to include fellow Dominicans-both in the United States and abroad--as well as other ethnic and racial minorities, such as Puerto Ricans and African-Americans, who share common goals. Offering the perspectives of local organizers and members of Dominican-American organizations, Aparicio documents their thoughts on such issues as education, police brutality, civic participation, and politics. She also explores the ways in which they experience, reflect upon, and organize around issues of race and racialization processes, and how their experiences influence their political agendas and actions. This new story of immigration and empowerment highlights the complexity of any group's political development, making it useful for students of U.S. Latino and youth culture, as well as scholars of urban studies and politics, race, immigration, and transnationalism. © 2006 by Ana Aparicio. All rights reserved.",,Book,"Final","",Scopus,2-s2.0-84894933435
"Zaina S., Zaina S., Furlan R.","57221316715;57192249364;57222376471;","Urban planning in Qatar: strategies and vision for the development of transit villages in Doha",2016,"Australian Planner","53","4",,"286","301",,24,"10.1080/07293682.2016.1259245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002428381&doi=10.1080%2f07293682.2016.1259245&partnerID=40&md5=7c4c04006bc468cab782dc41c691b1f2","Doha, the capital city of the State of Qatar, has went through a fast growth in its economy and transformation of its built environment. Currently, major urban public transit systems are under construction. This paper looks at Souq Waqif station and its surrounding neighbourhood as one of the new transit hubs of Qatar. The district is located in the core of Doha and plays a significant role in the social, economic and particularly culture, as a way of life, of the people in Qatar. Within the context of Doha, there is an urge to implement transit villages, also defined as transit-oriented developments (TODs), in most of the existing centres along the rail network. A TOD is a mixed use commercial and residential area designed to maximise access to public transport and to encourage transit ridership. Therefore, it is critical to understand the benefits and impacts that TODs would invite in this context before investing large funds in developing them. The research empirically investigates the level at which transit villages can be implemented and also formed within the built environment of Doha. It is argued that this strategy and vision would encourage sustainable development by supporting better transport integration and land use. The aim is to assess and promote sustainable developments integration in the city of Doha through controlling increasing traffic and planning for transit villages. In order to develop a strategy for intervention, the existing TOD case study of Yeerongpilly in Australia was analysed, followed by the exploration of the conditions of the existing Souq Waqif area. The assessment of the Souq Waqif allowed judgments of the existing development to be made, which in turn leads to the draft of potential recommendations and suggestions for the formation and implementation of transit villages in Doha. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","built environment; Doha Metro; TODs; urban fabric",Article,"Final","",Scopus,2-s2.0-85002428381
"Zhao Y.","57193716338;","'China's leading historical and cultural city': Branding Dali City through public-private partnerships in Bai architecture revitalization",2015,"Cities","49",,,"106","112",,24,"10.1016/j.cities.2015.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939163387&doi=10.1016%2fj.cities.2015.07.009&partnerID=40&md5=857a240b39c1efc72b2f4a747270cec6","Competing with other Chinese cities for investment and tourism, various governmental bodies with jurisdiction in Dali City have begun to make use of local historical and cultural assets in order to brand the city. This paper aims to reveal how partnerships between the public and private sectors in heritage management have functioned as an approach to city branding, and how local people perceive and are influenced by these partnerships. Applying perspectives from the scholarly literature on city branding and public-private partnerships, this paper examines two cases in Dali City - Zhang's Garden and the Linden Center - to detail how local government and elite entrepreneurs have partnernered in support of Bai architecture revitalization with tourism in mind. This paper also considers opinions from the local general public regarding these partnerships, and investigates the complex relationships among local government, elite entrepreneurs, and the public. © 2015 Elsevier Ltd.","Bai culture; China; City branding; Dali City; Heritage revitalization; Public-private partnership",Article,"Final","",Scopus,2-s2.0-84939163387
"Chen F.","7404907420;","Traditional architectural forms in market oriented Chinese cities: Place for localities or symbol of culture?",2011,"Habitat International","35","2",,"410","418",,24,"10.1016/j.habitatint.2010.11.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651507095&doi=10.1016%2fj.habitatint.2010.11.012&partnerID=40&md5=79ce41533832d291d902a22cea4d74b8","China provides a unique social-economic and political context for urban conservation and regeneration within the current trend of modernisation and globalisation. This paper investigates 4 urban regeneration projects conducted in four most internationalised historical Chinese cities from 1989 to 2005, in order to understand how traditional architectural elements are manipulated in these projects. It also examines the roles local governments, developers, designers and local residents played in these projects in the intensification process of the market oriented economy over time. The paper argues that socio-cultural sustainable regeneration of historical urban environments must make places for local people, rather than preserve certain traditional forms as cultural symbols. Tradition must evolve by the collective and traditional forms must be widely used in architectural and urban design with community involvement, in order to achieve real cultural identity and social cohesion. © 2010 Elsevier Ltd.","Market oriented economy; Symbol of culture; Tradition; Urban regeneration",Article,"Final","",Scopus,2-s2.0-78651507095
"Décamps H.","56562820500;","How a riparian landscape finds form and comes alive",2001,"Landscape and Urban Planning","57","3-4",,"169","175",,24,"10.1016/S0169-2046(01)00202-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035893731&doi=10.1016%2fS0169-2046%2801%2900202-X&partnerID=40&md5=3780d751707047ddc316899ce4447374","If we consider riparian areas as landscapes it means that we consider them as entities whose survival depends on ecological as well as on cultural sustainability. Ecological sustainability requires people's understanding of the role of both diversity and connectivity of riparian areas. Cultural sustainability requires people's attention and care towards diversity and connectivity. It is argued that interaction between ecological and cultural sustainabilities governs riparian management, and that we still have to promote such an interaction. © 2001 Elsevier Science B.V. All rights reserved.","Cultural sustainability; Diversity and connectivity; Ecological sustainability; Nature-culture interactions; Riparian landscapes",Article,"Final","",Scopus,2-s2.0-0035893731
"Wong C.Y.L., Millar C.C.J.M., Choi C.J.","14632645200;8893361700;7402961632;","Singapore in transition: From technology to culture hub",2006,"Journal of Knowledge Management","10","5",,"79","91",,23,"10.1108/13673270610691198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749043989&doi=10.1108%2f13673270610691198&partnerID=40&md5=2286158ab7f82a4676323ed0795b8a86","Purpose - This paper aims to present an approach to the knowledge-based economy that focuses on the developmental synergies between technology (especially information and communication technologies), culture and place (hub) as expressed in the innovative milieu of the inner city. Design/methodology/approach - This paper draws on research in city and urban planning, which emphasizes the importance of quality of a place, location or city and the more intentional emphasis given to development of human and cultural resources, which are conducive to innovation, learning, creativity and change in a knowledge-based economy. Findings - Singapore is chosen as a case study of analysis for a knowledge-based economy in transition because of its developmental approach and strategic shift from one focused on technology-intensive sectors to one focused on high knowledge-intensive companies and towards a free-spirited dynamic creative hub in the making. It displays many characteristics typical of a knowledge-based economy in which people, their ideas and capabilities are the key sources of wealth and opportunities. Practical implications - The paper observes a missing link in the transition from technology to knowledge to culture hub, which might have implications for Singapore's effort towards establishing itself as a cultural industries metropolis, a renaissance city using culture to re-position its international image as a global city for the arts. Originality/value - The originality and value of the paper lie in this analysis, which makes one conclude that, although Singapore's developmental model had created benefits in many ways, it had also negatively constrained its development, particularly in the area of knowledge creation and application to entrepreneurship, innovation and creativity.","Communication technologies; Culture (sociology); Singapore",Review,"Final","",Scopus,2-s2.0-33749043989
"Zhang F., Zu J., Hu M., Zhu D., Kang Y., Gao S., Zhang Y., Huang Z.","57202400553;57215220373;24070765600;57193624702;57214594076;55876526300;55121320900;14052291900;","Uncovering inconspicuous places using social media check-ins and street view images",2020,"Computers, Environment and Urban Systems","81",,"101478","","",,22,"10.1016/j.compenvurbsys.2020.101478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080116331&doi=10.1016%2fj.compenvurbsys.2020.101478&partnerID=40&md5=8c7afe8f57888437b919ce970e33c215","There is a Chinese proverb, “if your wine tastes really good, you do not need to worry about the location of your bar (酒香不怕巷子深)”, which implies that the popular places for local residents are sometimes hidden behind an unassuming door or on unexpected streets. Discovering these unassuming places (e.g. restaurants) of a city will benefit the understanding of local culture and help to build livable neighborhoods. Previous work has been limited by the lack of appropriate data sources and efficient tools to evaluate the popularity, ambiance and physical surroundings of places in large-scale urban areas. In addition, how to characterize places with respect to different groups of people remains unclear. In this work, we propose a data-driven approach using social media check-ins and street-level images to compare the different activity patterns of visitors and locals, and uncover inconspicuous but interesting places for them in a city. We use check-in records as a proxy of the popularity of a particular type of place, and differentiate visitors and locals based on their travel and social media behaviors. In addition, we employ street-level images to represent the physical environments of places. As a result, we discovered a number of inconspicuous yet popular restaurants in Beijing. These restaurants are located mostly in deep alleys of Old Beijing neighborhoods, where the physical environments are not particularly appealing; however, these places are frequently visited by locals for social engagements. We also discovered beautiful but unpopular outdoor places in Beijing. These places are potential recreational areas for all groups of people and could be improved regarding urban design and planning to make these public infrastructures more attractive. This work demonstrates how multi-source big geo-data can be combined to build comprehensive place-based representations for different groups of people. © 2020 Elsevier Ltd","Place semantics; Residents and visitors; Social media check-ins; Social sensing; Street view images",Article,"Final","",Scopus,2-s2.0-85080116331
"Quinn B.","7101921992;","Key concepts in event management",2013,"Key Concepts in Event Management",,,,"1","194",,22,"10.4135/9781473914742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949949301&doi=10.4135%2f9781473914742&partnerID=40&md5=4928c53dcc90c5418ae63f53eda4cfb4","In recent years we have seen an enormous growth of festivals and event activity and the literature within the field is consequently huge. In order to make sense of this rapid and dynamic development, students are dependent on a book that can lead them through the myriad of theoretical frameworks offered.This book naturally situates itself in the middle of this need, offering a comprehensive and illuminating account of the festival and event field. Written with academic rigour yet accessible at the same time, Quinn proves herself to be an outstanding communicator and stimulator of knowledge.International in content and timely in its up to date coverage of key topics, this will be an invaluable reference source for students from Event Management, Tourism and Leisure studies. It will also be of great use for students from Business Studies, Marketing, Cultural Studies and Geography.The SAGE Key Concepts SeriesRecent volumes include:Key Concepts in Youth StudiesMark Cieslik and Donald SimpsonKey Concepts in Hospitality ManagementEdited by Roy C. WoodKey Concepts in SociologyPeter BrahamKey Concepts in Tourism ResearchDavid Botterill and Vincent PlatenkampKey Concepts in Sport and Exercise Research MethodsMichael AtkinsonKey Concepts in Media and CommunicationsPaul Jones and David HolmesKey Concepts in Sport PsychologyJohn M. D. Kremer, Aidan Moran, Graham Walker and Cathy CraigFifty Key Concepts in Gender StudiesJane Pilcher and Imelda WhelehanThe SAGE Key Concepts series provides students with accessible and authoritative knowledge of the essential topics in a variety of disciplines. Cross-referenced throughout, the format encourages critical evaluation through understanding. Written by experienced and respected academics, the books are indispensable study aids and guides to comprehension.© Bernadette Quinn 2013First published 2013Apart from any fair dealing for the purposes of research or private study, or criticism or review, as permitted under the Copyright, Designs and Patents Act, 1988, this publication may be reproduced, stored or transmitted in any form, or by any means, only with the prior permission in writing of the publishers, or in the case of reprographic reproduction, in accordance with the terms of licences issued by the Copyright Licensing Agency. Enquiries concerning reproduction outside those terms should be sent to the publishers.SAGE Publications Ltd1 Oliver's Yard55 City RoadLondon EC1Y 1SPSAGE Publications Inc.2455 Teller RoadThousand Oaks, California 91320SAGE Publications India Pvt LtdB 1/I 1 Mohan Cooperative Industrial AreaMathura RoadNew Delhi 110 044SAGE Publications Asia-Pacific Pte Ltd3 Church Street#10-04 Samsung HubSingapore 049483Library of Congress Control Number: 2012946764British Library Cataloguing in Publication dataA catalogue record for this book is available from the British LibraryISBN 978-1-84920-559-7ISBN 978-1-84920-560-3 (pbk)Editor: Chris RojekEditorial assistant: Martine JonsrudProduction editor: Katherine HawCopyeditor: Jeremy ToynbeeProofreader: Jacque WoolleyMarketing manager: Alison BorgCover design: Wendy ScottTypeset by: C&M Digitals (P) Ltd, Chennai, IndiaPrinted by: CPI Group (UK) Ltd, Croydon, CR0 4YYContentsAbout the Author viiAcknowledgements viiiIntroduction ixAuthenticity 1Bidding 5Community Festivals 9Definitions 14Economic Impact 18Emergent Economies 22European City of Culture 27Evaluation 32Event Management 37Experience 42Festival 46Identity 51Innovation 57Leveraging 61Marketing 66MICE/MEEC 71Motivation 76Olympic Games 80Place Marketing 85Planning 90Policy 94Power and Politics 98Regeneration 102Regional Development 106Risk Management 110Service Quality 115Social Capital 119Social Function 123Social Impacts 126Sponsorship 131Sports Events 135Stakeholders 139Sustainable Events 144Tourism 149Volunteering 154Conclusion 159References 163About the AuthorBernadette Quinn has a PhD in Human Geography from University College Dublin. She currently lectures and researches in the Department of Tourism at the Dublin Institute of Technology. The nature and meaning of festivals and festivity in contemporary society is one of her key research interests and her work on the topic has been published in a number of international journals including Urban Studies, Social and Cultural Geography, Tourism Geographies, Event Management and the Journal of Policy Research in Tourism, Leisure and Events. Other research interests include the relationship between culture and tourism, leisure and social inclusion and contemporary forms of tourism mobility. Publications on these topics have appeared in the Annals of Tourism Research, Gender, Place and Culture and Leisure Studies as well as in various edited book collections. Her teaching interests mirror her research interests and she is involved in undergraduate and postgraduate tourism management and event management programmes teaching modules related to cultural tourism, international festival environments, tourism studies, and tourism and event policy.AcknowledgementsMy long-standing interest in festivals and events has been shaped by many people, both practitioners and academics, over the years. These people are too many to mention by name, but I owe all of them a debt of gratitude. While writing this book I was very fortunate to be able to draw on the expertise of colleagues, particularly Lucy Horan and Ruth Craggs, as well as the support and encouragement of my other colleagues at the Dublin Institute of Technology. Finally, a huge thank you to John, Muireann and Aoife for absolutely everything.IntroductionIn 1991, Getz wrote that festivals and holiday events represented nouveau, alternative tourism (cited in Lee et al., 2008). How times have changed! Such an assertion is simply unimaginable today when, more than 20 years later, finding a city or town without at least one annual festival or planned event would be quite a challenge. Does this constitute progress? How do festivals and events contribute to contemporary society? What has the remarkable rise in festivals and events meant for the development of tourism destinations; for the development of economies, be they local, national or international? These and many other questions preoccupy what is now an extremely large, international community of scholars from a range of disciplines who adopt a variety of research approaches to study the complex and profoundly important communal celebrations at the heart of the diverse festivals and events treated in this volume.While it is difficult to calculate the size of festival and event activity, academic, policy and industry commentators everywhere concur that its recent growth across the world in terms of numbers, diversity and popularity has been enormous (Getz, 1991; Finkel, 2009; Thrane, 2002). In the USA it is estimated that there were 10,000 festivals per year, attracting over 31 million visitors by the mid-1990s (Janiskee, 1996; TIA, 2004). In Australia, the government notes that festivals have become ubiquitous, with hundreds being held every year (Australian Government, 2012). In Europe, the growth has been similarly dramatic. According to the International Festival and Event Association (IFEA), the special events industry is estimated to comprise between 4 and 5 million regularly occurring events (Wood, 2012). This significant growth in the practice of festivals and events brought a parallel increase in the emergence and development of the festival and event management profession. It soon also brought a rise in academic interest: closely allied to the development of tourism studies, academics began to take an interest in charting developments in the sector and the literature has burgeoned over the last 20 years. Much of the research is published in tourism studies and specific event-oriented journals, but it also finds expression in a wide range of journals dedicated to management and marketing, urban and place studies, arts and cultural policy, as well as many social sciences-oriented journals. In the majority of cases, festivals and special events are presented as broadly positive phenomena. Throughout the literature, opening paragraphs emphasise the important roles they play in advancing local and regional economies, branding places, attracting visitors, extending the tourism season and fostering community spirit. Yet, festivals and special events, the subject matter at the heart of this book represent a very substantial, complex and dynamic set of activities that can be both deeply rooted and rapidly changing in countries throughout the world. In academia, they are studied from diverse management, social sciences and humanities perspectives. As such, interpretations of their impact and contribution to contemporary economies and societies as well as approaches to valuing, managing and shaping appropriate policies for their advancement are multiple and at times conflicting.The literature in the field is now enormous and growing all the time. Increasing familiarity with the literature brings an increasing awareness of the unevenness of knowledge, the fractures between academic disciplines and the continuous emergence of new sub-fields. The literature on the Olympic Games, for example, is now in and of itself very substantial, yet the extent to which knowledge generated on this particular event translates across into the study of other events that differ by scale and type is very unclear. Getz and Andersson (2010) explained that festival tourism has been studied by many researchers from many perspectives: impact (of varying types), place marketing, travel patterns, displacement effects, motivation, market segmentation, quality and satisfaction, regional development, relationship to urban renewal and development, and links to culture and community. However, this sector is nothing if not dynamic and while knowledge gaps are closing in some areas, they continue to open up elsewhere all the time. This book tries to take cognisance of this dynamism in including concepts that would seem very important in terms of future development. The concept of ‘ risk management', so important from an applied perspective, and that of ‘ emerging economies', so important from a geographical perspective, are two examples of this.This volume is tasked with introducing, defining and reviewing the current state of knowledge of the key concepts in the contemporary study of festivals and events. While this involves reviewing literature that is either part of, or closely associated with, tourism studies, in reality, it is a multi-disciplinary task that draws on a wide breadth of discipline areas. It is well recognised that festivals and special events are important from community, social, cultural, political and economic perspectives. Despite the growth and popularity of festivals and special events, researchers were initially slow in directing research beyond economic impacts and motivations (Gursoy et al., 2004). However, this imbalance is now being corrected. The recent evolution of the academic study of festivals and events cannot be understood in isolation from the simultaneous evolution of the academic study of tourism. As themes of enquiry have emerged and developed within tourism studies, they virtually always evolve into a new theme of enquiry within festival and event studies. This link between the two areas of study is very strong, with tourism studies the primary field of enquiry and festivals and events a large and distinct sub-field within.The task of advancing knowledge about the meanings, practices and policies associated with festivals and events remains ongoing. As this volume will show, the understanding of core concepts remains uneven, and our knowledge of certain dimensions of festival and event activity far exceeds that of others. Some of the extant gaps are recent, emerging only when contemporary political and societal debates begin to highlight particular concerns. The concept of innovation is a case in point: questions as to the role that the festival and event sector plays in promoting, adopting and managing innovation are now coming to the fore in the literature. Others, such as the sustainability of the sector's activities have been an issue for longer. Most recently of all, the question as to how festival and event activities are affected by global recession has begun to be investigated, in response to the harsh realities negatively affecting the health of the sector in very recent times. The 35 concepts that are discussed in this volume are laid out in alphabetical order. © Bernadette Quinn 2013.",,Book,"Final","",Scopus,2-s2.0-84949949301
