NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6
7,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-5.506715139783386,"['risk', 'management', 'perception', 'planning', 'hazard', 'conservation', 'value', 'system', 'environmental hazard', 'response']","['practice', 'place', 'part', 'management', 'urban place', 'care', 'gumada', 'resource management', 'natural resource management', 'natural resource']","['risk', 'research', 'culture', 'region', 'place', 'study', 'others', 'amplification', 'risk perception', 'case study']","['culture', 'community', 'people', 'life', 'design', 'place', 'work', 'art', 'government', 'article']","['planning', 'people', 'right', 'development', 'city', 'property', 'landscape', 'environment', 'property right', 'culture']","['study', 'good death', 'death', 'city', 'people', 'finding', 'participation', 'element', 'urban planning', 'culture']","['indigenous people', 'economy', 'tradition', 'heart', 'knowledge', 'chapter', 'book', 'teacher', 'practitioner', 'researcher']"
7,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-4.383214467785376,"['space', 'city', 'settlement', 'rehabilitation', 'heritage', 'flood', 'paper', 'form', 'core', 'people']","['government', 'research', 'culture', 'city', 'development', 'area', 'people', 'factor', 'participation', 'solution']","['environment', 'condition', 'behavior', 'life', 'people', 'personality', 'living', 'urban environment', 'indigenous people', 'illegal behavior']","['city', 'town', 'place', 'design', 'people', 'building', 'neighbourhood', 'event', 'time', 'urban design']","['life', 'urban dweller', 'planner', 'dweller', 'settlement', 'people', 'environment', 'resource', 'space', 'author']","['citizenship', 'nomad', 'citizen', 'country', 'education', 'citizenship education', 'part', 'type', 'society', 'citizen orientation']","['concept', 'identity', 'space', 'city', 'understanding', 'role', 'document', 'growth', 'urban space', 'sprawl']"
7,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-1.8904117517888073,"['water', 'service', 'attitude', 'authority', 'payment', 'level', 'system', 'government', 'area', 'towards']","['development', 'urban development', 'form', 'urban form', 'planning', 'architecture', 'sustainable urban development', 'future', 'model', 'paper']","['adaptation', 'community', 'strategy', 'settlement', 'slum', 'level', 'change', 'resident', 'risk', 'place']","['people', 'level', 'design', 'city', 'urban planning', 'research', 'culture', 'government', 'strategy', 'community']","['governance', 'slum', 'city', 'people', 'participation', 'paper', 'municipal governance', 'inclusive municipal governance', 'story', 'fear']","['people', 'area', 'paper', 'city', 'challenge', 'research', 'community', 'value', 'level', 'development']","['development', 'people', 'housing', 'paper', 'water', 'area', 'influence', 'plan', 'society', 'form']"
7,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-4.323319877073758,"['people', 'design', 'domain', 'culture', 'environment', 'interaction', 'technology', 'framework', 'community', 'practitioner']","['people', 'design', 'domain', 'culture', 'environment', 'interaction', 'technology', 'framework', 'community', 'practitioner']","['planning', 'process', 'information', 'planning process', 'culture', 'participation', 'role', 'population', 'use', 'research']","['people', 'design', 'environment', 'domain', 'culture', 'technology', 'paper', 'urban planning', 'art', 'interaction']","['city', 'technology', 'environment', 'place', 'urban environment', 'medium', 'blend', 'art', 'action', 'mean']","['design', 'food', 'creativity', 'paper', 'environment', 'culture', 'activity', 'people', 'social creativity', 'food culture']","['design', 'child', 'studio', 'planning', 'community', 'tool', 'diversity', 'urban planning', 'people', 'study']"
7,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-1.4069866246910137,"['bridge', 'engineering', 'center', 'world', 'meter', 'suspension bridge', 'suspension', 'classic period', 'engineer', 'infrastructure']","['park', 'city', 'national park', 'conservation', 'volume', 'naturbanity', 'environment', 'chapter', 'urban environment', 'issue']","['specie', 'population', 'city', 'country', 'background', 'area', 'problem', 'favelas', 'community', 'favela']","['system', 'need', 'society', 'development', 'quality', 'crisis', 'planning', 'spatial planning', 'exit', 'problem']","['architecture', 'landscape', 'condition', 'building', 'function', 'climate', 'beginning', 'architect', 'took place', 'expedition']","['material', 'construction', 'totora', 'building', 'city', 'heritage', 'year', 'study', 'value', 'field']","['history', 'example', 'area', 'calendar', 'tourism', 'period', 'place', 'design', 'people', 'heritage']"
7,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-1.6688573322975795,"['tourist', 'century', 'urban planning', 'form', 'development', 'planning', 'culture', 'place', 'time', 'growth']","['indicator', 'article', 'region', 'city', 'development', 'work', 'governance', 'people', 'capital', 'infrastructure']","['change', 'culture', 'science', 'culture change', 'rate', 'past rate', 'futuristics', 'Human futuristics', 'choice', 'future culture']","['culture', 'place', 'growth', 'urban planning', 'tourist', 'planning', 'form', 'nature', 'result', 'nineteenth century']","['city', 'transformation', 'article', 'urban transformation', 'class', 'consumer', 'world', 'paper', 'jardins', 'leisured class']","['design', 'article', 'world', 'life', 'concept', 'design fiction', 'livable world', 'urban good life', 'speculative design fiction', 'good life']","['planning', 'city', 'culture', 'century', 'form', 'theory', 'context', 'integral theory', 'republican culture', 'strategic planning']"
7,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-5.501622440233517,"['people', 'planning', 'bicyclist', 'advocacy', 'bicycle', 'bicycling', 'culture', 'urban planning', 'class', 'community']","['development', 'community', 'city', 'interaction', 'segregation', 'planning', 'cosmopolitanism', 'century', 'multiracial interaction', 'history']","['space', 'community', 'Latino community', 'city', 'literature', 'challenge', 'governance', 'inequality', 'urban space', 'effort']","['people', 'governance', 'race', 'space', 'community', 'form', 'challenge', 'research', 'growth', 'culture']","['people', 'right', 'race', 'community', 'governance', 'urban study', 'culture', 'growth', 'study', 'research']","['people', 'right', 'race', 'community', 'governance', 'urban study', 'culture', 'growth', 'study', 'research']","['space', 'neighborhood', 'public space', 'street', 'city', 'sustainability', 'community', 'policy', 'race', 'regulation']"
7,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-5.7089189547791985,"['city', 'life', 'knowledge', 'culture', 'people', 'role', 'environment', 'development', 'urban life', 'issue']","['city', 'design', 'host', 'Chapter', 'urban design', 'people', 'factor', 'destination', 'development', 'culture']","['city', 'culture', 'space', 'community', 'people', 'village', 'group', 'environment', 'article', 'composition']","['people', 'lifestyle', 'group', 'culture', 'city', 'issue', 'part', 'village', 'development', 'life']","['people', 'lifestyle', 'group', 'culture', 'city', 'issue', 'part', 'village', 'development', 'life']","['environment', 'interaction', 'level', 'student', 'Chinese student', 'urban environment', 'group', 'culture', 'study', 'place']","['beach', 'book', 'overview', 'day', 'geographical overview', 'contemporary urban life', 'insight', 'give visitor', 'government', 'business']"
7,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-3.387137663319687,"['project', 'form', 'regeneration', 'paper', 'market', 'Chinese city', 'order', 'traditional form', 'symbol', 'city']","['history', 'urban history', 'study', 'structure', 'force', 'interest', 'research', 'topic', 'change', 'attention']","['transformation', 'state', 'urban transformation', 'control', 'city', 'force', 'outcome', 'economy', 'Chinese city', 'paper']","['book', 'planning', 'city', 'development', 'architecture', 'work', 'author', 'urban planning', 'technology', 'environment']","['city', 'class', 'development', 'middle class', 'life', 'people', 'generation', 'cultural development', 'prosperity', 'politics']","['abstract', 'paper', 'planning', 'study', 'time', 'force', 'economic development', 'information', 'culture', 'process']","['abstract', 'paper', 'study', 'planning', 'time', 'culture', 'economic development', 'process', 'force', 'information']"
7,19,5,0.013,"[148, 258, 332, 372, 381]",-1.402653381240709,"['city', 'mobility', 'place', 'model', 'people', 'area', 'smart city', 'way', 'paper', 'movement']","['culture', 'commitment', 'event', 'network', 'city', 'planning', 'year', 'role', 'elite', 'regime']","['people', 'culture', 'agency', 'time', 'effort', 'work', 'style', 'exhibition', 'element', 'complete understanding']","['people', 'culture', 'agency', 'time', 'effort', 'work', 'style', 'exhibition', 'element', 'complete understanding']","['city', 'culture', 'history', 'concept', 'square', 'space', 'design', 'building', 'context', 'square design']","['culture', 'style', 'time', 'people', 'work', 'complete understanding', 'content', 'colonist', 'century', 'Dutch colonist']","['business', 'small business', 'development', 'time', 'Small business', 'publication', 'engagement', 'economic development', 'quality', 'interaction']"
7,20,5,0.013,"[111, 263, 316, 335, 357]",-3.3588241064499376,"['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'system', 'water', 'investigation', 'characterization']","['life', 'analysis', 'people', 'culture', 'urban planning', 'change', 'study', 'design', 'order', 'impact']","['life', 'analysis', 'people', 'culture', 'urban planning', 'change', 'study', 'design', 'order', 'impact']","['solution', 'environment', 'study', 'culture', 'design', 'building', 'space', 'urban planning', 'life', 'waste']","['urban planning', 'impact', 'waste', 'life', 'project', 'built environment', 'culture', 'study', 'development', 'change']","['village', 'community', 'study', 'order', 'space', 'concept', 'architecture', 'floating village', 'design', 'development']","['reconstruction', 'government', 'measure', 'built environment', 'city', 'environment', 'research', 'area', 'planning', 'zone']"
7,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-2.6198726659604077,"['globalization', 'method', 'space', 'interconnectivity', 'global interconnectivity', 'aspect', 'approach', 'expression', 'environment', 'study']","['area', 'regeneration', 'trash', 'tool', 'urban regeneration', 'study', 'use', 'urban planning', 'analysis', 'way']","['city', 'planning', 'map', 'approach', 'creativity', 'theory', 'modern city', 'city planning', 'method', 'process']","['design', 'space', 'strategy', 'people', 'architecture', 'public space', 'form', 'design strategy', 'appropriation', 'spatial appropriation']","['culture', 'people', 'study', 'planning', 'urban planning', 'space', 'history', 'environment', 'expression', 'approach']","['people', 'culture', 'study', 'planning', 'history', 'urban planning', 'space', 'environment', 'approach', 'expression']","['approach', 'people', 'design', 'city', 'culture', 'concept', 'problem', 'life', 'complexity', 'researcher']"
7,22,5,0.013,"[16, 204, 227, 274, 333]",-2.109737915708172,"['level', 'relationship', 'dorm', 'building', 'energy', 'comfort', 'people', 'analysis', 'city', 'study']","['study', 'comfort', 'limit', 'summer', 'winter', 'environment', 'upper limit', 'index', 'temperature', 'thermal comfort']","['study', 'attribute', 'community', 'survey', 'fuzzy', 'evaluation', 'historic urban landscape', 'dataset', 'urban landscape', 'landscape']","['culture', 'city', 'environment', 'people', 'study', 'place', 'indicator', 'aspect', 'education', 'development']","['culture', 'city', 'environment', 'people', 'study', 'place', 'indicator', 'aspect', 'education', 'development']","['culture', 'people', 'study', 'city', 'environment', 'place', 'indicator', 'aspect', 'education', 'development']","['city', 'livability', 'development', 'application', 'measure', 'urban livability', 'system', 'smart city', 'paper', 'process']"
7,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-1.40993243080669,"['visitor', 'expectation', 'site', 'experience', 'interpretation', 'comment', 'site interpretation', 'centre', 'site interpretation centre', 'interpretation centre']","['government', 'education', 'student', 'language', 'system', 'aboriginal education', 'success', 'examination', 'develop tribal wisdom', 'compulsory education system']","['place', 'knowledge', 'book', 'mobility', 'attachment', 'place attachment', 'creative knowledge', 'market', 'worker', 'form']","['data', 'assessment', 'sensory assessment', 'culture', 'research', 'people', 'space', 'processing', 'reaction', 'different culture']","['para', 'people', 'community', 'tradition', 'networking', 'social networking', 'neighbourhood', 'adda', 'feeling', 'cohesion']","['practice', 'resident', 'study', 'people', 'need', 'planning', 'process', 'paper', 'housing', 'paradigm']","['landscape', 'place', 'state', 'meaning', 'theme', 'third place', 'culture', 'way', 'city', 'community']"
7,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-1.3340310376325102,"['capacity', 'electrical capacity', 'consumption', 'value', 'difference', 'company', 'construction', 'reduction', 'calculated electrical capacity', 'residential building']","['challenge', 'governance', 'city', 'management', 'government', 'manager', 'governance challenge', 'local government', 'study', 'community']","['problem', 'city', 'analysis', 'planning', 'environment', 'system', 'city system', 'cause', 'impact', 'integrative analysis']","['country', 'change', 'people', 'climate', 'growth', 'population', 'climate change', 'emission', 'developing country', 'gas']","['people', 'culture', 'planning', 'growth', 'urban planning', 'technology', 'use', 'development', 'world', 'opportunity']","['people', 'culture', 'planning', 'growth', 'urban planning', 'technology', 'use', 'development', 'world', 'opportunity']","['city', 'indicator', 'strategy', 'sustainability', 'transition', 'system', 'study', 'urban sustainability', 'aspect', 'development']"
7,25,5,0.013,"[21, 31, 44, 72, 216]",-0.9262128447859457,"['value', 'mangrove', 'transition', 'ecosystem', 'development', 'habitat', 'ecosystem service', 'photographs', 'service', 'cultural value']","['ocean', 'city', 'life', 'extraction', 'energy', 'sea', 'use', 'opportunity', 'policy', 'health']","['city', 'landscape', 'way', 'waterfront', 'transformation', 'reclamation', 'redevelopment', 'environment', 'urbanism', 'planner']","['city', 'development', 'people', 'culture', 'urbanism', 'case', 'activity', 'visitor', 'environment', 'community']","['city', 'development', 'people', 'culture', 'urbanism', 'case', 'activity', 'visitor', 'environment', 'community']","['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'culture', 'history', 'place', 'plan']","['city', 'paper', 'landscape', 'waterfront', 'development', 'influence', 'capital', 'community', 'issue', 'urban planner']"
7,26,5,0.013,"[52, 117, 163, 212, 254]",-1.0799229383938884,"['conversation', 'regulation', 'icon', 'people', 'growth', 'depiction', 'boundary', 'interpretation', 'imagination', 'cultural icon']","['history', 'fact', 'perspective', 'writing', 'assumption', 'landscape', 'green urbanism', 'environmental possibility', 'erasure', 'exemplar']","['fact', 'writing', 'perspective', 'history', 'assumption', 'landscape', 'exemplar', 'erasure', 'current trend', 'green urbanism']","['fact', 'writing', 'perspective', 'history', 'assumption', 'landscape', 'exemplar', 'erasure', 'current trend', 'green urbanism']","['city', 'planning', 'vision', 'world', 'future', 'time', 'fair', 'idea', 'planner', 'trend']","['city', 'history', 'fact', 'perspective', 'assumption', 'writing', 'landscape', 'planning', 'occupy urban space', 'new momentum']","['sociology', 'city', 'bureaucrat', 'conflict', 'evolutionist', 'policy', 'knowledge', 'sociologist', 'monument', 'history']"
7,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-6.535218925652105,"['design', 'space', 'competition', 'people', 'city', 'planning', 'urban design', 'way', 'idea', 'city planning']","['architecture', 'article', 'city', 'society', 'way', 'urban design', 'question', 'experiment', 'theory', 'consequence']","['design', 'city', 'planning', 'fashion', 'contemporary city', 'child', 'youth', 'people', 'city planning', 'culture']","['culture', 'people', 'city', 'method', 'citizen', 'paper', 'consumer', 'life', 'environment', 'planning']","['culture', 'people', 'city', 'method', 'citizen', 'paper', 'consumer', 'life', 'environment', 'planning']","['culture', 'people', 'city', 'method', 'citizen', 'paper', 'consumer', 'life', 'environment', 'planning']","['urbanity', 'landscape', 'paper', 'context', 'group', 'minority', 'minority group', 'design', 'experience', 'case']"
7,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-1.93462906984516,"['water', 'management', 'change', 'conflict', 'ecosystem', 'process', 'policy', 'system', 'planning', 'population']","['standard', 'residential standard', 'compliance', 'planning', 'practice', 'paper', 'level', 'system', 'impact', 'monitoring']","['mobility', 'immobility', 'risk', 'culture', 'life', 'society', 'risk society', 'crisis', 'virus', 'activity']","['city', 'indicator', 'sustainability', 'perspective', 'efficiency', 'approach', 'efficiency score', 'target', 'consumption', 'outcome']","['population', 'administration', 'urban design', 'culture', 'people', 'power', 'century plague', 'century plague pandemic', 'cholera', 'autonomy']","['population', 'administration', 'people', 'power', 'urban design', 'culture', 'administrative point', 'decentralization', 'autonomy', 'century plague']","['city', 'community', 'building', 'people', 'plan', 'planning', 'vision', 'trust', 'development', 'system']"
