NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6,LDATopics#7,LDATopics#8
9,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-0.58132519630167,"['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation']","['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation']","['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation']","['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation']","['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'perspective', 'profi le', 'sound', 'diversity']","['environment', 'soundscape', 'system', 'sound', 'people', 'method', 'design', 'acoustic environment', 'aspect', 'data']","['environment', 'research', 'question', 'soundscape', 'science', 'approach', 'soundscapes', 'built environment', 'management', 'country']","['space', 'people', 'effect', 'behaviour', 'activity', 'thermal comfort', 'comfort', 'urban space', 'hot arid climate', 'outdoor space']","['city', 'noise', 'road', 'road traffic', 'traffic', 'people', 'place', 'response', 'difference', 'community']"
9,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-6.185592572637699,"['city', 'participation', 'urban planning', 'process', 'challenge', 'recognition', 'support', 'culture', 'planning', 'development']","['art', 'work', 'culture', 'renewal', 'vision', 'area', 'dance', 'strategy', 'article', 'importance']","['design', 'government', 'community', 'consultation', 'building', 'housing', 'family', 'theme', 'relate', 'article']","['risk', 'place', 'research', 'practice', 'culture', 'region', 'others', 'people', 'development', 'amplification']","['planning', 'landscape', 'risk', 'value', 'right', 'development', 'culture', 'city', 'property', 'property right']","['people', 'culture', 'community', 'life', 'study', 'death', 'good death', 'environment', 'place', 'city']","['tradition', 'Balinese culture', 'consequence', 'cultural life', 'urban designer', 'associative relationship', 'designer', 'cultural literacy', 'literacy', 'lens']","['management', 'perception', 'hazard', 'environmental hazard', 'risk management', 'context', 'land', 'gumada', 'resource management', 'budyari gumada']","['indigenous people', 'economy', 'heart', 'knowledge', 'practitioner', 'teacher', 'book', 'researcher', 'constitutional revision', 'council']"
9,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-2.0105148674489683,"['growth', 'urban sprawl', 'sprawl', 'urbanization', 'study', 'urbanism', 'people', 'evolution', 'research', 'area']","['city', 'place', 'neighbourhood', 'event', 'time', 'element', 'people', 'identity', 'practice', 'Indian city']","['life', 'planner', 'settlement', 'environment', 'resource', 'space', 'author', 'people', 'culture', 'human settlement']","['research', 'sustainability', 'problem', 'periphery', 'area', 'development', 'people', 'core', 'urban governance', 'governance']","['identity', 'concept', 'city', 'space', 'culture', 'government', 'people', 'development', 'role', 'document']","['space', 'settlement', 'city', 'heritage', 'flood', 'rehabilitation', 'paper', 'architecture', 'approach', 'form']","['part', 'way', 'effort', 'movement', 'environment', 'decision', 'building', 'town', 'architect', 'new town']","['environment', 'condition', 'behavior', 'life', 'people', 'personality', 'living', 'illegal behavior', 'number', 'urban environment']","['citizenship', 'nomad', 'education', 'country', 'citizenship education', 'citizen', 'society', 'orientation', 'citizen orientation', 'type']"
9,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-1.0600063304952654,"['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact']","['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact']","['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact']","['service', 'attitude', 'water', 'payment', 'authority', 'level', 'system', 'government', 'illegitimate', 'towards']","['development', 'area', 'influence', 'region', 'fabric', 'tradition', 'hinterland', 'culture', 'life', 'design']","['water', 'plan', 'management', 'people', 'development', 'country', 'population', 'paper', 'water management', 'cost']","['governance', 'slum', 'city', 'paper', 'change', 'people', 'municipal governance', 'fear', 'participation', 'inclusive municipal governance']","['housing', 'people', 'form', 'society', 'pattern', 'role', 'paper', 'house', 'quality', 'originality']","['adaptation', 'development', 'community', 'planning', 'strategy', 'urban development', 'form', 'settlement', 'urban form', 'slum']"
9,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-5.44136168075308,"['explore youth engagement', 'game', 'development', 'emancipated actor', 'engaging child', 'engaging young people', 'design workshop', 'future city', 'geogame environment', 'game support child']","['explore youth engagement', 'game', 'development', 'emancipated actor', 'engaging child', 'engaging young people', 'design workshop', 'future city', 'geogame environment', 'game support child']","['explore youth engagement', 'game', 'development', 'emancipated actor', 'engaging child', 'engaging young people', 'design workshop', 'future city', 'geogame environment', 'game support child']","['food', 'design', 'culture', 'food culture', 'perspective', 'sustainable food', 'sustainable food culture', 'technology', 'people', 'paper']","['child', 'planning', 'environment', 'urban planning', 'game', 'city', 'tool', 'place', 'people', 'potential']","['process', 'planning', 'planning process', 'information', 'role', 'population', 'use', 'technology', 'community', 'study']","['design', 'studio', 'student', 'author', 'design studio', 'knowledge', 'work', 'city', 'brief', 'exchange']","['design', 'community', 'culture', 'creativity', 'diversity', 'paper', 'interaction', 'activity', 'technology', 'people']","['technology', 'design', 'work', 'student', 'author', 'studio', 'use', 'design studio', 'game environment', 'engaging young people']"
9,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-2.1939283797604343,"['condition', 'beginning', 'architect', 'took place', 'climate', 'expedition', 'natural value', 'natural condition', 'natural resource', 'extreme sacrifice']","['center', 'classic period', 'suspension bridge', 'suspension', 'meter', 'engineer', 'construct seventh century', 'complex infrastructure', 'concrete structure', 'construct']","['specie', 'population', 'background', 'favelas', 'area', 'community', 'favela', 'afforestation', 'city', 'house']","['astronomy', 'volume', 'student', 'principle', 'urban planning', 'role', 'role astronomy', 'mesoamerica', 'measuring device', 'merged idea']","['period', 'place', 'mountain', 'road', 'region', 'culture', 'nature', 'people', 'work', 'house']","['heritage', 'city', 'tool', 'outstanding universal value', 'court', 'universal value', 'region', 'planning', 'value', 'part']","['construction', 'system', 'need', 'world', 'society', 'material', 'development', 'year', 'use', 'application']","['architecture', 'landscape', 'bridge', 'example', 'history', 'engineering', 'calendar', 'people', 'culture', 'building']","['area', 'tourism', 'park', 'creation', 'city', 'tourist', 'introduction', 'heritage', 'design', 'national park']"
9,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-1.1914313397276926,"['urban transformation', 'expectation', 'economic growth', 'inauthenticity', 'capitalism', 'committee', 'feeling', 'jardins', 'commodity', 'des jardins']","['paper', 'UN member state', 'Sustainable development', 'Work', 'Vancouver region', 'Vancouver', 'Urban indicator', 'Urban Observatory network', 'action', 'UN member']","['paper', 'UN member state', 'Sustainable development', 'Work', 'Vancouver region', 'Vancouver', 'Urban indicator', 'Urban Observatory network', 'action', 'UN member']","['period', 'society', 'different period', 'reception', 'significance', 'expert', 'study', 'art', 'volume', 'American empire']","['city', 'tourist', 'planning', 'culture', 'century', 'people', 'urban planning', 'form', 'place', 'growth']","['indicator', 'region', 'article', 'development', 'capital', 'governance', 'context', 'city', 'sustainability', 'issue']","['change', 'culture', 'science', 'future culture', 'Human futuristics', 'rate', 'past rate', 'futuristics', 'culture change', 'choice']","['history', 'field', 'architecture', 'activity', 'context', 'urban planning', 'representation', 'specific field', 'internal discourse', 'discourse']","['article', 'transformation', 'city', 'class', 'consumer', 'paper', 'architecture', 'fraction', 'world', 'people']"
9,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-1.8741599722335016,"['homeless', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'control', 'important role']","['homeless', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'control', 'important role']","['people', 'planning', 'advocacy', 'bicycle', 'bicycling', 'bicyclist', 'culture', 'urban planning', 'class', 'lane']","['city', 'community', 'sustainability', 'race', 'policy', 'landscape', 'project', 'making', 'transportation', 'safety']","['community', 'city', 'development', 'interaction', 'segregation', 'century', 'cosmopolitanism', 'multiracial interaction', 'planning', 'time']","['space', 'public space', 'neighborhood', 'regulation', 'behavior', 'gentrification', 'role', 'street', 'everyday public space', 'park']","['community', 'Latino community', 'challenge', 'study', 'governance', 'literature', 'form', 'street', 'city', 'contemporary city']","['Latino community', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'homeless', 'control']","['space', 'inequality', 'urban space', 'response', 'visibility', 'research', 'chapter', 'effort', 'homelessness', 'incivility']"
9,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-1.9871202398311718,"['overview', 'book', 'contemporary urban life', 'business sector', 'government', 'give visitor', 'geographical overview', 'current issue', 'metropolis', 'administration']","['beach', 'long beach', 'million people', 'largest Cambodian community', 'largest city', 'line', 'half', 'trolley', 'second largest city', 'diverse cultural group']","['space', 'environment', 'composition', 'whole', 'basis', 'right', 'agglomeration', 'broken form', 'form', 'future']","['people', 'disaster', 'research', 'earthquake', 'knowledge', 'measure', 'behavior', 'attitude', 'field', 'laboratory']","['day', 'city', 'design', 'host', 'urban design', 'factor', 'event', 'location', 'main urban design', 'host city']","['environment', 'urban environment', 'space', 'culture', 'method', 'set', 'man', 'landscape', 'person', 'formation']","['interaction', 'group', 'level', 'student', 'place', 'Chinese student', 'culture', 'study', 'value', 'article']","['city', 'life', 'people', 'culture', 'community', 'role', 'development', 'center', 'lifestyle', 'urban life']","['knowledge', 'culture', 'issue', 'indigenous knowledge', 'project', 'Indigenous knowledge', 'environment', 'people', 'management', 'hand']"
9,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-1.9866621747696347,"['project', 'regeneration', 'form', 'market', 'paper', 'Chinese city', 'order', 'traditional form', 'symbol', 'city']","['class', 'middle class', 'society', 'politics', 'study', 'book', 'practice', 'state', 'risk', 'Chinese middle class']","['book', 'city', 'architecture', 'development', 'work', 'author', 'people', 'environment', 'year', 'technology']","['development', 'city', 'generation', 'people', 'cultural development', 'place', 'life', 'community', 'government', 'milieu']","['city', 'development', 'prosperity', 'life', 'environment', 'industry', 'quality', 'solution', 'potential', 'report']","['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense']","['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense']","['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense']","['planning', 'history', 'force', 'study', 'transformation', 'urban transformation', 'urban planning', 'urban history', 'state', 'control']"
9,19,5,0.013,"[148, 258, 332, 372, 381]",-1.8115808802174465,"['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['generate smart city', 'gives good method', 'direction', 'distance', 'embedded system', 'garden', 'different place', 'geographical information', 'human mobility', 'help urban decision']","['time', 'publication', 'style', 'work', 'exhibition', 'agency', 'understanding', 'element', 'effort', 'colonist']","['business', 'city', 'small business', 'culture', 'development', 'space', 'history', 'design', 'square', 'concept']","['city', 'mobility', 'place', 'people', 'culture', 'model', 'area', 'planning', 'commitment', 'network']"
9,20,5,0.013,"[111, 263, 316, 335, 357]",-1.1728292816306114,"['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment']","['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment']","['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'investigation', 'characterization', 'water', 'rubber']","['reconstruction', 'government', 'measure', 'city', 'area', 'zone', 'recovery', 'disaster prevention', 'tsunami', 'prevention']","['waste', 'rubber', 'system', 'cell', 'plastic waste', 'method', 'characterization', 'distribution', 'catalyst', 'property']","['architecture', 'design', 'sustainability', 'social sustainability', 'life', 'order', 'material', 'building', 'climate', 'creature']","['community', 'village', 'concept', 'study', 'floating village', 'development', 'floating community', 'project', 'order', 'analysis']","['environment', 'built environment', 'research', 'development', 'planning', 'life', 'challenge', 'space', 'role', 'field']","['waste', 'design', 'behaviour', 'system', 'effect', 'social sustainability', 'sustainability', 'creature', 'architecture', 'building']"
9,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-0.9706592578891196,"['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation']","['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation']","['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation']","['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation']","['globalization', 'method', 'space', 'aspect', 'global interconnectivity', 'interconnectivity', 'approach', 'practice', 'focus', 'way']","['city', 'planning', 'map', 'creativity', 'approach', 'modern city', 'method', 'theory', 'city planning', 'process']","['approach', 'people', 'complexity', 'problem', 'area', 'suggestion', 'peripheral area', 'researcher', 'planning', 'project']","['city', 'design', 'concept', 'culture', 'space', 'square design', 'heritage', 'cultural context', 'square', 'context']","['design', 'strategy', 'people', 'area', 'space', 'regeneration', 'spatial appropriation', 'urban planning', 'design strategy', 'study']"
9,22,5,0.013,"[16, 204, 227, 274, 333]",-7.284181763019916,"['brings', 'connection', 'aspect', 'asset', 'availability', 'analysis method', 'content analysis method', 'content analysis', 'analysis', 'content']","['brings', 'connection', 'aspect', 'asset', 'availability', 'analysis method', 'content analysis method', 'content analysis', 'analysis', 'content']","['brings', 'connection', 'aspect', 'asset', 'availability', 'analysis method', 'content analysis method', 'content analysis', 'analysis', 'content']","['brings', 'connection', 'aspect', 'asset', 'availability', 'analysis method', 'content analysis method', 'content analysis', 'analysis', 'content']","['level', 'comfort', 'dorm', 'energy', 'relationship', 'building', 'analysis', 'people', 'context', 'student']","['city', 'development', 'large amount', 'service', 'role', 'road', 'smart application', 'city application', 'community', 'process']","['city', 'development', 'application', 'system', 'smart city', 'process', 'community', 'challenge', 'city application', 'smart city application']","['study', 'livability', 'environment', 'limit', 'winter', 'summer', 'urban livability', 'measure', 'comfort', 'culture']","['analysis', 'comfort', 'energy', 'dorm', 'relationship', 'analysis method', 'aspect', 'content', 'connection', 'analyzes key concept']"
