NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5
6,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-5.4429881410476995,"['environment', 'soundscape', 'space', 'people', 'system', 'sound', 'method', 'design', 'aspect', 'acoustic environment']","['city', 'noise', 'traffic', 'road traffic', 'road', 'place', 'difference', 'question', 'response', 'people']","['design', 'environment', 'built environment', 'hearing', 'sound', 'le', 'noise', 'paper', 'profi le', 'perspective']","['location', 'city', 'paper', 'sound', 'world', 'research', 'diversity', 'meaning', 'people', 'lifestyle']","['location', 'city', 'paper', 'sound', 'world', 'research', 'diversity', 'meaning', 'people', 'lifestyle']","['location', 'city', 'paper', 'sound', 'world', 'research', 'diversity', 'meaning', 'people', 'lifestyle']"
6,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-4.812622218342201,"['homelessness', 'way', 'focus', 'mobility', 'major city', 'place', 'research', 'city', 'people', 'Indigenous people']","['right', 'property', 'planning', 'property right', 'value', 'property right value', 'right value', 'development', 'landscape', 'landscape planning']","['culture', 'community', 'people', 'place', 'city', 'landscape', 'heart', 'centre', 'cultural literacy', 'lens']","['study', 'risk', 'place', 'research', 'culture', 'death', 'good death', 'practice', 'people', 'city']","['design', 'risk', 'life', 'planning', 'environment', 'paper', 'relationship', 'people', 'management', 'consultation']","['culture', 'people', 'risk', 'region', 'community', 'indigenous people', 'tradition', 'work', 'development', 'economy']"
6,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-4.62954660237741,"['urban sprawl', 'sprawl', 'urbanization', 'study', 'urbanism', 'people', 'evolution', 'understanding', 'life style', 'style']","['research', 'area', 'development', 'article', 'sustainability', 'problem', 'effort', 'movement', 'environment', 'building']","['condition', 'city', 'environment', 'people', 'personality', 'behavior', 'development', 'life', 'area', 'culture']","['citizenship', 'nomad', 'concept', 'identity', 'country', 'education', 'citizenship education', 'citizen', 'government', 'culture']","['city', 'place', 'environment', 'people', 'neighbourhood', 'event', 'time', 'element', 'resource', 'space']","['space', 'city', 'identity', 'urban space', 'settlement', 'paper', 'rehabilitation', 'heritage', 'festival', 'flood']"
6,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-4.418065399406528,"['governance', 'slum', 'city', 'service', 'paper', 'change', 'participation', 'fear', 'story', 'municipal governance']","['housing', 'people', 'form', 'society', 'pattern', 'role', 'paper', 'house', 'origin', 'originality']","['planning', 'urban planning', 'population', 'place', 'people', 'development', 'paper', 'form', 'water', 'data']","['planning', 'urban planning', 'population', 'place', 'people', 'development', 'paper', 'form', 'water', 'data']","['adaptation', 'area', 'community', 'level', 'settlement', 'development', 'influence', 'change', 'service', 'strategy']","['development', 'water', 'urban development', 'form', 'plan', 'management', 'paper', 'people', 'urban form', 'architecture']"
6,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-2.22990090885092,"['creativity', 'design', 'activity', 'paper', 'social creativity', 'art', 'interaction', 'context', 'environment', 'collaboration']","['child', 'planning', 'environment', 'urban planning', 'game', 'city', 'tool', 'people', 'place', 'actor']","['design', 'culture', 'community', 'technology', 'people', 'tool', 'environment', 'art', 'paper', 'practice']","['planning', 'process', 'information', 'planning process', 'culture', 'participation', 'research', 'population', 'role', 'use']","['design', 'community', 'diversity', 'technology', 'cultural diversity', 'culture', 'science', 'role', 'technology design', 'usage']","['design', 'food', 'studio', 'culture', 'city', 'student', 'framework', 'paper', 'people', 'technology']"
6,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-5.972166470322594,"['park', 'city', 'national park', 'conservation', 'volume', 'naturbanity', 'environment', 'issue', 'chapter', 'urban environment']","['place', 'specie', 'house', 'favelas', 'nature', 'region', 'people', 'culture', 'work', 'area']","['heritage', 'city', 'people', 'region', 'planning', 'value', 'design', 'universal value', 'tool', 'intangible heritage']","['material', 'construction', 'totora', 'astronomy', 'building', 'calendar', 'study', 'research', 'culture', 'people']","['architecture', 'bridge', 'engineering', 'system', 'need', 'place', 'society', 'function', 'world', 'concept']","['landscape', 'area', 'history', 'condition', 'center', 'example', 'tourism', 'expedition', 'architect', 'took place']"
6,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-3.034586725927332,"['transformation', 'urban transformation', 'paper', 'feeling', 'economic growth', 'expectation', 'early nineteenth century', 'des jardins', 'inauthenticity', 'jardins']","['city', 'article', 'tourist', 'form', 'century', 'world', 'development', 'place', 'time', 'culture']","['people', 'period', 'society', 'reception', 'expert', 'different period', 'significance', 'image', 'analysis', 'popular culture']","['indicator', 'article', 'region', 'development', 'city', 'governance', 'work', 'capital', 'issue', 'perspective']","['culture', 'planning', 'city', 'change', 'people', 'infrastructure', 'form', 'goal', 'century', 'urban planning']","['architecture', 'fraction', 'history', 'city', 'field', 'context', 'activity', 'urban planning', 'people', 'environment']"
6,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-3.778825709300319,"['visibility', 'chapter', 'people', 'urban space', 'response', 'incivility', 'homelessness', 'social control', 'group', 'sight']","['space', 'inequality', 'effort', 'research', 'strategy', 'divide', 'digital divide', 'public space', 'interest', 'history']","['space', 'public space', 'neighborhood', 'regulation', 'behavior', 'role', 'gentrification', 'street', 'everyday public space', 'park']","['planning', 'community', 'people', 'study', 'urban planning', 'culture', 'development', 'interaction', 'bicycling', 'bicyclist']","['culture', 'space', 'study', 'interest', 'people', 'governance', 'chapter', 'race', 'practice', 'history']","['community', 'city', 'Latino community', 'sustainability', 'race', 'challenge', 'policy', 'literature', 'governance', 'culture']"
6,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-2.3386743170996973,"['people', 'disaster', 'research', 'earthquake', 'knowledge', 'measure', 'behavior', 'attitude', 'field', 'laboratory']","['city', 'design', 'host', 'urban design', 'factor', 'event', 'main urban design', 'host city', 'assessment', 'location']","['environment', 'city', 'book', 'overview', 'urban environment', 'culture', 'people', 'lifestyle', 'development', 'design']","['city', 'beach', 'community', 'village', 'people', 'culture', 'space', 'center', 'line', 'largest city']","['culture', 'interaction', 'level', 'student', 'place', 'Chinese student', 'study', 'project', 'group', 'article']","['life', 'knowledge', 'city', 'role', 'urban life', 'part', 'issue', 'indigenous knowledge', 'urbanity', 'space']"
6,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-4.877131429891954,"['class', 'middle class', 'politics', 'study', 'society', 'book', 'practice', 'risk', 'Chinese middle class', 'question']","['planning', 'transformation', 'state', 'urban transformation', 'urban planning', 'force', 'control', 'outcome', 'development', 'city']","['city', 'project', 'environment', 'development', 'prosperity', 'paper', 'Chinese city', 'regeneration', 'form', 'time']","['city', 'history', 'book', 'development', 'generation', 'architecture', 'people', 'urban history', 'program', 'place']","['abstract', 'culture', 'project', 'politics', 'planning', 'economy', 'role', 'people', 'development', 'life']","['abstract', 'culture', 'project', 'politics', 'planning', 'economy', 'role', 'people', 'development', 'life']"
6,19,5,0.013,"[148, 258, 332, 372, 381]",-3.57348474791686,"['business', 'small business', 'development', 'Small business', 'role', 'interaction', 'quality', 'relationship', 'engagement', 'economic development']","['time', 'publication', 'effort', 'exhibition', 'agency', 'element', 'style', 'work', 'concern', 'colonist']","['city', 'mobility', 'place', 'model', 'people', 'area', 'smart city', 'way', 'paper', 'method']","['culture', 'people', 'space', 'life', 'study', 'urban space', 'city', 'time', 'development', 'history']","['culture', 'people', 'space', 'life', 'study', 'urban space', 'city', 'time', 'development', 'history']","['city', 'culture', 'building', 'design', 'network', 'commitment', 'event', 'year', 'concept', 'square']"
6,20,5,0.013,"[111, 263, 316, 335, 357]",-1.3691228066047216,"['urban planning', 'order', 'culture', 'people', 'space', 'environment', 'solution', 'design', 'change', 'planning']","['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'system', 'water', 'rubber', 'characterization']","['urban planning', 'order', 'people', 'culture', 'environment', 'space', 'planning', 'principle', 'solution', 'change']","['architecture', 'design', 'sustainability', 'social sustainability', 'order', 'space', 'life', 'building', 'material', 'artificial life']","['community', 'village', 'study', 'concept', 'floating village', 'development', 'floating community', 'order', 'analysis', 'project']","['government', 'reconstruction', 'measure', 'environment', 'built environment', 'city', 'research', 'area', 'planning', 'zone']"
6,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-1.5680636872980542,"['globalization', 'method', 'space', 'global interconnectivity', 'aspect', 'interconnectivity', 'approach', 'expression', 'practice', 'focus']","['area', 'regeneration', 'tool', 'trash', 'urban regeneration', 'urban planning', 'analysis', 'way', 'revaluated plot', 'speculation']","['city', 'planning', 'map', 'creativity', 'approach', 'theory', 'modern city', 'city planning', 'method', 'process']","['approach', 'people', 'complexity', 'planning', 'problem', 'project', 'peripheral area', 'researcher', 'suggestion', 'area']","['culture', 'people', 'planning', 'approach', 'life', 'urban planning', 'expression', 'study', 'design', 'space']","['design', 'space', 'city', 'culture', 'concept', 'strategy', 'people', 'study', 'history', 'public space']"
6,22,5,0.013,"[16, 204, 227, 274, 333]",-2.9564117339096083,"['livability', 'urban livability', 'measure', 'paper', 'place', 'sense', 'principle', 'placemaking principle', 'livability measure', 'urban livability measure']","['study', 'comfort', 'limit', 'winter', 'summer', 'environment', 'upper limit', 'temperature', 'thermal comfort', 'index']","['study', 'attribute', 'survey', 'community', 'approach', 'historic urban landscape', 'dataset', 'landscape', 'urban landscape', 'fuzzy']","['culture', 'people', 'study', 'area', 'data', 'questionnaire', 'environment', 'city', 'development', 'nature']","['culture', 'people', 'study', 'area', 'data', 'questionnaire', 'environment', 'city', 'development', 'nature']","['city', 'development', 'application', 'people', 'level', 'system', 'smart city', 'energy', 'relationship', 'building']"
6,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-2.224458143047622,"['visitor', 'site', 'expectation', 'experience', 'interpretation', 'site interpretation', 'centre', 'comment', 'interpretation centre', 'site interpretation centre']","['government', 'student', 'education', 'language', 'aboriginal education', 'system', 'resource', 'offer job', 'point', 'material']","['landscape', 'state', 'meaning', 'community', 'way', 'theme', 'experience', 'culture', 'effort', 'housing']","['data', 'assessment', 'sensory assessment', 'culture', 'people', 'research', 'space', 'different culture', 'reaction', 'processing']","['para', 'people', 'study', 'paper', 'resident', 'practice', 'process', 'housing', 'need', 'life']","['place', 'planning', 'knowledge', 'third place', 'city', 'book', 'mobility', 'creative knowledge', 'attachment', 'place attachment']"
6,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-1.2510295229097264,"['capacity', 'electrical capacity', 'company', 'value', 'difference', 'consumption', 'construction', 'grid company', 'calculated electrical capacity', 'electricity consumption']","['transition', 'city', 'system', 'sustainability transition', 'world', 'towards', 'book', 'transformation', 'sustainability', 'governance']","['problem', 'city', 'analysis', 'planning', 'system', 'cause', 'impact', 'environment', 'city system', 'stakeholder']","['country', 'change', 'people', 'climate', 'growth', 'climate change', 'population', 'emission', 'developing country', 'gas']","['city', 'opportunity', 'community', 'technology', 'challenge', 'urban planning', 'approach', 'solution', 'way', 'efficiency']","['indicator', 'strategy', 'challenge', 'governance', 'study', 'sustainability', 'management', 'city', 'development', 'government']"
6,25,5,0.013,"[21, 31, 44, 72, 216]",-1.15358177252687,"['value', 'mangrove', 'transition', 'ecosystem', 'development', 'service', 'habitat', 'photographs', 'cultural value', 'ecosystem service']","['development', 'case', 'visitor', 'people', 'urbanism', 'environment', 'planner', 'city', 'role', 'culture']","['paper', 'landscape', 'city', 'waterfront', 'development', 'capital', 'influence', 'urbanism', 'planner', 'case']","['development', 'case', 'visitor', 'people', 'environment', 'city', 'urbanism', 'planner', 'role', 'community']","['ocean', 'city', 'life', 'sea', 'extraction', 'energy', 'design', 'use', 'inspiration', 'health']","['waterfront', 'people', 'activity', 'redevelopment', 'city', 'life', 'culture', 'history', 'living', 'way']"
6,26,5,0.013,"[52, 117, 163, 212, 254]",-0.7463680422807034,"['conversation', 'regulation', 'icon', 'people', 'growth', 'artist', 'supporter', 'boundary', 'imagination', 'interpretation']","['sociology', 'city', 'bureaucrat', 'conflict', 'policy', 'sociologist', 'knowledge', 'evolutionist', 'monument', 'possibility']","['city', 'modernity', 'history', 'essay', 'environmental history', 'design', 'fact', 'career', 'modern city', 'line']","['design', 'vision', 'people', 'world', 'city', 'symbol', 'meaning', 'history', 'building', 'goal']","['design', 'vision', 'people', 'world', 'city', 'symbol', 'meaning', 'history', 'building', 'goal']","['city', 'planning', 'vision', 'world', 'fair', 'time', 'future', 'idea', 'planner', 'plan']"
6,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-2.8107210185814053,"['landscape', 'minority', 'group', 'minority group', 'design', 'experience', 'case', 'study', 'range', 'ethnic minority']","['article', 'experiment', 'consequence', 'theory', 'consumer', 'method', 'distinction', 'food', 'expert', 'division']","['city', 'planning', 'city planning', 'youth', 'child', 'people', 'space', 'young people', 'population', 'concern']","['design', 'city', 'fashion', 'contemporary city', 'environment', 'urban environment', 'importance', 'profession', 'service', 'design profession']","['people', 'design', 'life', 'environment', 'method', 'culture', 'consequence', 'consumer', 'theory', 'urban design']","['design', 'city', 'people', 'architecture', 'urbanity', 'space', 'way', 'paper', 'competition', 'urban design']"
6,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-3.528881028874315,"['water', 'management', 'conflict', 'ecosystem', 'change', 'process', 'system', 'policy', 'planning', 'power']","['experience', 'space', 'problem', 'order', 'time', 'century', 'people', 'technology', 'power', 'culture']","['mobility', 'immobility', 'risk', 'culture', 'life', 'society', 'activity', 'risk society', 'virus', 'crisis']","['experience', 'space', 'problem', 'order', 'culture', 'century', 'people', 'technology', 'time', 'power']","['community', 'city', 'planning', 'people', 'trust', 'process', 'approach', 'risk', 'decision', 'trust relationship']","['city', 'standard', 'residential standard', 'sustainability', 'building', 'indicator', 'development', 'vision', 'paper', 'construction']"
