NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3
4,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-5.113882665113539,"['adaptation', 'community', 'strategy', 'settlement', 'slum', 'change', 'level', 'resident', 'risk', 'place']","['place', 'strategy', 'design', 'value', 'change', 'service', 'research', 'planning', 'level', 'urbanization']","['water', 'development', 'housing', 'people', 'area', 'paper', 'influence', 'plan', 'society', 'form']","['development', 'governance', 'urban development', 'form', 'planning', 'paper', 'urban form', 'slum', 'city', 'architecture']"
4,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-3.372034032848845,"['child', 'planning', 'urban planning', 'game', 'environment', 'tool', 'actor', 'potential', 'people', 'experiment']","['culture', 'food', 'design', 'environment', 'people', 'framework', 'technology', 'paper', 'participation', 'food culture']","['planning', 'process', 'planning process', 'information', 'technology', 'role', 'use', 'population', 'community', 'city']","['design', 'community', 'creativity', 'studio', 'diversity', 'paper', 'activity', 'student', 'culture', 'technology']"
4,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-6.719847792355367,"['park', 'city', 'heritage', 'national park', 'conservation', 'environment', 'volume', 'naturbanity', 'planning', 'value']","['architecture', 'material', 'construction', 'specie', 'research', 'study', 'building', 'people', 'totora', 'city']","['place', 'planning', 'crisis', 'culture', 'people', 'astronomy', 'spatial planning', 'calendar', 'region', 'nature']","['architecture', 'landscape', 'example', 'engineering', 'area', 'bridge', 'history', 'condition', 'center', 'tourism']"
4,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-2.4985476289012634,"['city', 'transformation', 'article', 'tourist', 'urban transformation', 'culture', 'people', 'class', 'urban planning', 'consumer']","['indicator', 'article', 'planning', 'city', 'region', 'people', 'development', 'culture', 'work', 'governance']","['century', 'form', 'development', 'colonialism', 'term', 'idea', 'region', 'architecture', 'representation', 'history']","['history', 'design', 'infrastructure', 'architecture', 'life', 'article', 'city', 'field', 'concept', 'activity']"
4,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-5.859433959697582,"['city', 'community', 'sustainability', 'race', 'policy', 'development', 'segregation', 'planning', 'interaction', 'practice']","['space', 'public space', 'regulation', 'gentrification', 'neighborhood', 'role', 'people', 'behavior', 'visibility', 'chapter']","['space', 'study', 'inequality', 'research', 'street', 'effort', 'form', 'divide', 'strategy', 'digital divide']","['community', 'Latino community', 'culture', 'challenge', 'literature', 'people', 'planning', 'bicycling', 'advocacy', 'bicyclist']"
4,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-4.656435782624766,"['culture', 'project', 'Chapter', 'design', 'people', 'destination', 'city', 'center', 'perspective', 'strategy']","['environment', 'interaction', 'level', 'student', 'Chinese student', 'research', 'people', 'urban environment', 'culture', 'group']","['city', 'life', 'beach', 'people', 'culture', 'book', 'overview', 'day', 'development', 'urban life']","['city', 'knowledge', 'space', 'environment', 'article', 'urbanity', 'indigenous knowledge', 'culture', 'community', 'people']"
4,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-3.867262817059586,"['book', 'city', 'architecture', 'development', 'work', 'government', 'environment', 'year', 'technology', 'program']","['planning', 'urban planning', 'development', 'Urban planning', 'influence', 'economic development', 'information', 'force', 'culture', 'market force']","['city', 'class', 'development', 'middle class', 'study', 'history', 'life', 'people', 'place', 'politics']","['city', 'Chinese city', 'transformation', 'state', 'urban transformation', 'paper', 'economy', 'control', 'project', 'form']"
4,19,5,0.013,"[148, 258, 332, 372, 381]",-1.7512766985961998,"['business', 'small business', 'development', 'Small business', 'role', 'quality', 'interaction', 'relationship', 'engagement', 'economic development']","['understanding', 'agency', 'effort', 'element', 'exhibition', 'digital archive', 'concern', 'colonist', 'content', 'aboriginal issue']","['culture', 'network', 'event', 'commitment', 'city', 'year', 'planning', 'building', 'hegemony', 'support']","['city', 'culture', 'people', 'mobility', 'place', 'model', 'time', 'history', 'area', 'space']"
4,20,5,0.013,"[111, 263, 316, 335, 357]",-2.1655203502947296,"['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'system', 'water', 'performance', 'plastic waste']","['design', 'life', 'built environment', 'organization', 'urban planning', 'environment', 'people', 'culture', 'land', 'space']","['environment', 'development', 'built environment', 'community', 'village', 'concept', 'study', 'research', 'space', 'floating village']","['reconstruction', 'government', 'measure', 'city', 'area', 'building', 'zone', 'sustainability', 'architecture', 'design']"
4,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-3.4058128795533276,"['city', 'planning', 'map', 'creativity', 'approach', 'method', 'modern city', 'theory', 'city planning', 'process']","['city', 'design', 'concept', 'culture', 'space', 'square design', 'heritage', 'cultural context', 'square', 'context']","['design', 'strategy', 'area', 'space', 'people', 'study', 'regeneration', 'form', 'public space', 'urban planning']","['approach', 'globalization', 'people', 'method', 'complexity', 'problem', 'life', 'environment', 'project', 'peripheral area']"
4,22,5,0.013,"[16, 204, 227, 274, 333]",-2.681763953072945,"['livability', 'urban livability', 'measure', 'sense', 'paper', 'place', 'urban livability measure', 'principle', 'placemaking principle', 'livability measure']","['level', 'comfort', 'energy', 'relationship', 'dorm', 'building', 'people', 'analysis', 'context', 'student']","['city', 'development', 'application', 'system', 'smart city', 'community', 'process', 'service', 'city application', 'role']","['study', 'limit', 'winter', 'summer', 'comfort', 'environment', 'attribute', 'upper limit', 'index', 'thermal comfort']"
4,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-4.331513503554526,"['education', 'student', 'government', 'language', 'aboriginal education', 'system', 'resource', 'success', 'effort', 'wisdom']","['place', 'knowledge', 'book', 'creative knowledge', 'mobility', 'place attachment', 'attachment', 'worker', 'market', 'form']","['landscape', 'state', 'people', 'culture', 'community', 'meaning', 'para', 'way', 'housing', 'resident']","['visitor', 'place', 'site', 'expectation', 'experience', 'interpretation', 'comment', 'site interpretation', 'centre', 'third place']"
4,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-4.9399750904998365,"['indicator', 'strategy', 'sustainability', 'city', 'study', 'urban sustainability', 'aspect', 'development', 'service', 'order']","['problem', 'city', 'analysis', 'planning', 'environment', 'impact', 'city system', 'system', 'cause', 'source']","['country', 'change', 'people', 'challenge', 'climate', 'governance', 'climate change', 'growth', 'population', 'developing country']","['city', 'transition', 'capacity', 'electrical capacity', 'system', 'world', 'culture', 'opportunity', 'company', 'consumption']"
4,25,5,0.013,"[21, 31, 44, 72, 216]",-2.2479834438108695,"['paper', 'city', 'landscape', 'waterfront', 'development', 'influence', 'capital', 'case', 'visitor', 'interaction']","['city', 'way', 'landscape', 'waterfront', 'transformation', 'reclamation', 'redevelopment', 'study', 'case study', 'degree']","['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'culture', 'history', 'place', 'plan']","['value', 'ocean', 'city', 'mangrove', 'development', 'sea', 'energy', 'extraction', 'ecosystem', 'transition']"
4,26,5,0.013,"[52, 117, 163, 212, 254]",-1.8743707892460058,"['history', 'symbol', 'meaning', 'new light', 'motivation', 'others', 'origin', 'price', 'national symbol', 'local people']","['history', 'symbol', 'meaning', 'new light', 'motivation', 'others', 'origin', 'price', 'national symbol', 'local people']","['city', 'planning', 'vision', 'world', 'future', 'fair', 'time', 'idea', 'planner', 'model']","['city', 'people', 'icon', 'regulation', 'conversation', 'modernity', 'history', 'growth', 'boundary', 'description']"
4,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-5.071780377036757,"['urbanity', 'context', 'paper', 'planner', 'emphasis', 'city', 'towards', 'culture', 'country people', 'concept']","['design', 'city', 'space', 'planning', 'people', 'city planning', 'competition', 'idea', 'youth', 'child']","['design', 'city', 'architecture', 'landscape', 'environment', 'article', 'people', 'society', 'fashion', 'contemporary city']","['citizen', 'method', 'towards', 'people', 'culture', 'concern', 'city', 'meeting', 'matter', 'human value']"
4,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-3.580016825588304,"['community', 'trust', 'risk', 'condition', 'relationship', 'trust relationship', 'people', 'resident', 'city', 'world']","['mobility', 'immobility', 'risk', 'culture', 'society', 'life', 'risk society', 'crisis', 'activity', 'virus']","['city', 'standard', 'planning', 'residential standard', 'water', 'process', 'system', 'problem', 'people', 'approach']","['city', 'sustainability', 'indicator', 'building', 'vision', 'development', 'plan', 'construction', 'efficiency', 'perspective']"
