Cluster,Num Docs,Percent,DocId,Score,LDATopics
9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-2.404175550206913,"[{'topic': ['noise', 'road traffic', 'road', 'traffic', 'city', 'response', 'difference', 'traffic noise', 'house', 'road traffic noise'], 'score': -0.302052600139868}, {'topic': ['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'profi le', 'perspective', 'diversity', 'research'], 'score': -0.5341808062527335}, {'topic': ['environment', 'soundscape', 'system', 'people', 'method', 'acoustic environment', 'design', 'aspect', 'data', 'sound'], 'score': -0.6681275527808517}, {'topic': ['sound', 'city', 'district', 'region', 'paper', 'environment', 'people', 'historic district', 'soundmarks', 'characteristic'], 'score': -0.7678044203244543}, {'topic': ['city', 'place', 'comfort', 'outdoor place', 'culture', 'need', 'background', 'quality', 'al', 'et al'], 'score': -0.7738172337583872}, {'topic': ['space', 'people', 'effect', 'behaviour', 'activity', 'urban space', 'thermal comfort', 'outdoor space', 'hot arid climate', 'climate'], 'score': -0.8625831580229543}, {'topic': ['world', 'meaning', 'people', 'research', 'environment', 'diversity', 'sound', 'culture', 'paper', 'problem'], 'score': -4.0561559898776585}, {'topic': ['world', 'meaning', 'people', 'research', 'environment', 'diversity', 'sound', 'culture', 'paper', 'problem'], 'score': -4.0561559898776585}]"
10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-5.53645429146852,"[{'topic': ['city', 'participation', 'urban planning', 'challenge', 'recognition', 'process', 'support', 'development', 'planning', 'culture'], 'score': -0.37868883202431514}, {'topic': ['right', 'planning', 'property', 'property right', 'value', 'right value', 'property right value', 'landscape', 'development', 'landscape planning'], 'score': -0.5033742648872543}, {'topic': ['risk', 'perception', 'hazard', 'environmental hazard', 'response', 'risk perception', 'risk management', 'context', 'contexts', 'value'], 'score': -0.8633935571877868}, {'topic': ['practice', 'place', 'part', 'implication', 'management', 'budyari gumada', 'natural resource', 'urban place', 'care', 'natural resource management'], 'score': -0.9296827660710327}, {'topic': ['planning', 'risk', 'management', 'conservation', 'system', 'landscape', 'culture', 'wildfire', 'vegetation', 'biodiversity'], 'score': -0.984425290241182}, {'topic': ['culture', 'people', 'community', 'design', 'life', 'place', 'city', 'environment', 'work', 'art'], 'score': -3.363228726658359}, {'topic': ['research', 'study', 'culture', 'region', 'risk', 'people', 'place', 'development', 'good death', 'death'], 'score': -6.571978929339821}, {'topic': ['indigenous people', 'economy', 'tradition', 'heart', 'knowledge', 'chapter', 'practitioner', 'researcher', 'teacher', 'book'], 'score': -14.08749909093285}]"
11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-5.450909222294944,"[{'topic': ['space', 'rehabilitation', 'flood', 'heritage', 'settlement', 'city', 'paper', 'architecture', 'form', 'representation'], 'score': -0.644621101794726}, {'topic': ['environment', 'condition', 'behavior', 'life', 'people', 'personality', 'living', 'number', 'urban environment', 'indigenous people'], 'score': -0.918484561376374}, {'topic': ['identity', 'space', 'concept', 'city', 'culture', 'life', 'environment', 'people', 'settlement', 'planner'], 'score': -1.3503342349029996}, {'topic': ['government', 'part', 'article', 'people', 'decision', 'dweller', 'urban dweller', 'way', 'effort', 'understanding'], 'score': -1.9485247047647656}, {'topic': ['research', 'development', 'area', 'problem', 'sustainability', 'growth', 'sprawl', 'urban sprawl', 'people', 'study'], 'score': -2.86717455026338}, {'topic': ['citizenship', 'nomad', 'citizen', 'citizenship education', 'education', 'country', 'society', 'orientation', 'type', 'citizen orientation'], 'score': -5.029222893218511}, {'topic': ['article', 'culture', 'government', 'life', 'periphery', 'effort', 'participation', 'plan', 'movement', 'solution'], 'score': -7.156125986218551}, {'topic': ['city', 'participation', 'factor', 'plan', 'solution', 'area', 'place', 'people', 'neighbourhood', 'event'], 'score': -7.340058078935408}]"
12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-3.3579918520201035,"[{'topic': ['people', 'family', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': -0.3583518938386112}, {'topic': ['people', 'family', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': -0.3583518938386112}, {'topic': ['people', 'family', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': -0.3583518938386112}, {'topic': ['development', 'form', 'urban development', 'urban form', 'planning', 'architecture', 'sustainable urban development', 'paper', 'model', 'future'], 'score': -0.5813228518002689}, {'topic': ['governance', 'slum', 'city', 'change', 'service', 'paper', 'people', 'story', 'participation', 'municipal governance'], 'score': -0.6065395481398662}, {'topic': ['water', 'plan', 'management', 'people', 'development', 'country', 'paper', 'population', 'sector', 'cost'], 'score': -0.6710460876484252}, {'topic': ['adaptation', 'community', 'area', 'settlement', 'development', 'influence', 'strategy', 'region', 'slum', 'culture'], 'score': -5.163771162071233}, {'topic': ['housing', 'people', 'service', 'attitude', 'authority', 'payment', 'form', 'water', 'society', 'pattern'], 'score': -8.692223928924887}]"
13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-4.296304096924375,"[{'topic': ['creativity', 'design', 'activity', 'paper', 'social creativity', 'context', 'art', 'interaction', 'environment', 'collaboration'], 'score': -0.4928013420459163}, {'topic': ['city', 'place', 'environment', 'urban environment', 'technology', 'blend', 'medium', 'art', 'mean', 'action'], 'score': -0.794559371533167}, {'topic': ['culture', 'participation', 'people', 'research', 'environment', 'framework', 'system', 'stakeholder', 'view', 'user'], 'score': -0.9056485353443897}, {'topic': ['community', 'context', 'share', 'user', 'research', 'practitioner', 'culture', 'design', 'interaction', 'technology'], 'score': -1.7272690721122403}, {'topic': ['community', 'context', 'share', 'user', 'research', 'practitioner', 'culture', 'design', 'interaction', 'technology'], 'score': -1.7272690721122403}, {'topic': ['planning', 'process', 'child', 'planning process', 'information', 'engagement', 'tool', 'study', 'urban planning', 'game'], 'score': -4.540308603039798}, {'topic': ['design', 'culture', 'technology', 'studio', 'food', 'community', 'diversity', 'student', 'people', 'framework'], 'score': -5.267757468994153}, {'topic': ['research', 'interaction', 'place', 'people', 'focus', 'project', 'practice', 'planning process', 'use', 'process'], 'score': -6.025907019439971}]"
14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-8.071646202693334,"[{'topic': ['architecture', 'landscape', 'area', 'place', 'tourism', 'building', 'culture', 'book', 'people', 'design'], 'score': -0.5662746245550836}, {'topic': ['period', 'place', 'region', 'culture', 'element', 'house', 'equipment', 'Celtic culture', 'work', 'people'], 'score': -0.7039969052289513}, {'topic': ['system', 'concept', 'crisis', 'need', 'society', 'planning', 'spatial planning', 'exit', 'development', 'role'], 'score': -0.7640717330764407}, {'topic': ['calendar', 'value', 'dimension', 'idea', 'astronomy', 'use', 'city', 'culture', 'heritage', 'people'], 'score': -3.7527732658775323}, {'topic': ['number', 'calendar', 'period', 'use', 'culture', 'way', 'world', 'idea', 'application', 'society'], 'score': -6.344625089131491}, {'topic': ['bridge', 'engineering', 'example', 'history', 'city', 'function', 'park', 'century', 'infrastructure', 'introduction'], 'score': -6.398515113055153}, {'topic': ['construction', 'world', 'material', 'specie', 'population', 'year', 'background', 'way', 'application', 'totora'], 'score': -8.416713233939314}, {'topic': ['condition', 'center', 'took place', 'beginning', 'climate', 'architect', 'expedition', 'suspension bridge', 'classic period', 'meter'], 'score': -13.411261048602695}]"
15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-5.212600455638273,"[{'topic': ['urban transformation', 'expectation', 'economic growth', 'inauthenticity', 'capitalism', 'committee', 'feeling', 'jardins', 'commodity', 'des jardins'], 'score': 1.1000089727925552e-11}, {'topic': ['city', 'tourist', 'article', 'planning', 'form', 'century', 'culture', 'development', 'place', 'growth'], 'score': -0.5632217094280552}, {'topic': ['change', 'culture', 'science', 'futuristics', 'choice', 'culture change', 'Human futuristics', 'future culture', 'rate', 'past rate'], 'score': -0.6216667628133208}, {'topic': ['indicator', 'region', 'article', 'development', 'governance', 'city', 'people', 'work', 'issue', 'perspective'], 'score': -0.6583834470543094}, {'topic': ['design', 'world', 'article', 'life', 'concept', 'urban good life', 'speculative design fiction', 'design fiction', 'speculative design', 'fiction'], 'score': -0.9000837683967586}, {'topic': ['city', 'infrastructure', 'Infrastructure', 'consensus', 'work', 'theory', 'integral theory', 'goal', 'people', 'study'], 'score': -4.493538974067203}, {'topic': ['transformation', 'class', 'consumer', 'architecture', 'fraction', 'city', 'history', 'urban planning', 'field', 'people'], 'score': -6.664107855242674}, {'topic': ['class', 'transformation', 'consumer', 'investment', 'new image', 'necessity', 'mind', 'market', 'managing city growth', 'managing city'], 'score': -12.161999761200047}]"
16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-4.909994256659761,"[{'topic': ['visibility', 'chapter', 'people', 'response', 'urban space', 'social control', 'homelessness', 'sight', 'control', 'group'], 'score': -0.5842952960238019}, {'topic': ['space', 'inequality', 'research', 'effort', 'public space', 'strategy', 'divide', 'digital divide', 'color', 'history'], 'score': -0.6922901812692639}, {'topic': ['community', 'city', 'planning', 'people', 'race', 'sustainability', 'culture', 'urban planning', 'policy', 'class'], 'score': -0.6932376546172578}, {'topic': ['community', 'Latino community', 'challenge', 'city', 'literature', 'governance', 'integration', 'contemporary city', 'scholarship', 'review'], 'score': -0.7185970859850536}, {'topic': ['community', 'change', 'space', 'study', 'color', 'history', 'governance', 'chapter', 'culture', 'play'], 'score': -4.684608198343328}, {'topic': ['space', 'neighborhood', 'street', 'public space', 'gentrification', 'study', 'development', 'behavior', 'interaction', 'regulation'], 'score': -5.424064176502329}, {'topic': ['history', 'change', 'study', 'color', 'community', 'space', 'culture', 'play', 'chapter', 'grammable'], 'score': -5.876439345278887}, {'topic': ['history', 'change', 'study', 'color', 'community', 'space', 'culture', 'play', 'chapter', 'grammable'], 'score': -5.876439345278887}]"
17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-8.481301625801768,"[{'topic': ['center', 'village', 'group', 'community', 'people', 'culture', 'city', 'harbor', 'largest Cambodian community', 'diverse cultural group'], 'score': -0.8071309045151757}, {'topic': ['city', 'life', 'people', 'culture', 'community', 'role', 'development', 'urban life', 'urbanity', 'space'], 'score': -0.850498199904234}, {'topic': ['knowledge', 'indigenous knowledge', 'people', 'disaster', 'Indigenous knowledge', 'earthquake', 'research', 'field', 'hand', 'policy'], 'score': -3.8441136913907346}, {'topic': ['lifestyle', 'city', 'issue', 'Chapter', 'culture', 'article', 'design', 'people', 'destination', 'space'], 'score': -4.071552405545278}, {'topic': ['environment', 'culture', 'urban environment', 'interaction', 'group', 'level', 'student', 'Chinese student', 'project', 'study'], 'score': -7.673849453948123}, {'topic': ['village', 'group', 'issue', 'part', 'center', 'urban environment', 'day', 'lifestyle', 'people', 'environment'], 'score': -7.91467165194151}, {'topic': ['city', 'part', 'day', 'village', 'environment', 'space', 'design', 'host', 'urban design', 'composition'], 'score': -8.303851122699317}, {'topic': ['beach', 'overview', 'book', 'second largest city', 'million people', 'modern center', 'long beach', 'trollys', 'subway line', 'wide beach'], 'score': -8.940840699064463}]"
18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-2.9081380676340904,"[{'topic': ['project', 'regeneration', 'form', 'paper', 'market', 'Chinese city', 'order', 'traditional form', 'symbol', 'city'], 'score': -0.3940921027050843}, {'topic': ['class', 'middle class', 'politics', 'study', 'society', 'book', 'practice', 'risk', 'Chinese middle class', 'norm'], 'score': -0.46995032274182225}, {'topic': ['history', 'urban history', 'study', 'structure', 'force', 'research', 'interest', 'attention', 'topic', 'change'], 'score': -0.513542733986788}, {'topic': ['transformation', 'state', 'urban transformation', 'control', 'city', 'outcome', 'force', 'economy', 'Chinese city', 'paper'], 'score': -0.5435712634966505}, {'topic': ['development', 'generation', 'city', 'people', 'cultural development', 'place', 'life', 'community', 'government', 'program'], 'score': -0.5709823922156058}, {'topic': ['city', 'development', 'prosperity', 'environment', 'life', 'quality', 'industry', 'solution', 'potential', 'livability'], 'score': -0.7644090076833384}, {'topic': ['book', 'planning', 'architecture', 'development', 'city', 'work', 'author', 'urban planning', 'environment', 'people'], 'score': -5.116554628128252}, {'topic': ['abstract', 'people', 'economic development', 'study', 'place', 'politics', 'planning', 'culture', 'force', 'development'], 'score': -6.1675878872129095}]"
19,5,0.013,"[148, 258, 332, 372, 381]",-2.59514830656912,"[{'topic': ['time', 'publication', 'understanding', 'exhibition', 'agency', 'element', 'effort', 'style', 'work', 'colonist'], 'score': -0.45077151791599257}, {'topic': ['culture', 'event', 'commitment', 'network', 'city', 'planning', 'year', 'building', 'role', 'party'], 'score': -0.4631344193868492}, {'topic': ['city', 'mobility', 'place', 'model', 'people', 'area', 'smart city', 'way', 'paper', 'method'], 'score': -0.4714885776135715}, {'topic': ['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history'], 'score': -0.5414380497246605}, {'topic': ['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history'], 'score': -0.5414380497246605}, {'topic': ['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history'], 'score': -0.5414380497246605}, {'topic': ['business', 'city', 'small business', 'culture', 'development', 'design', 'history', 'space', 'square', 'concept'], 'score': -4.041028775199022}, {'topic': ['year', 'planning', 'culture', 'people', 'city', 'building', 'role', 'garden', 'geographical information', 'embedded system'], 'score': -5.925004093556182}]"
