NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2
3,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-4.764712742630487,"['city', 'place', 'comfort', 'outdoor place', 'need', 'culture', 'background', 'quality', 'et al', 'global city']","['environment', 'soundscape', 'sound', 'people', 'system', 'design', 'method', 'acoustic environment', 'aspect', 'data']","['space', 'design', 'environment', 'noise', 'built environment', 'traffic', 'road traffic', 'road', 'people', 'activity']"
3,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-6.708592184089151,"['culture', 'city', 'life', 'community', 'people', 'planning', 'design', 'place', 'art', 'tradition']","['risk', 'people', 'culture', 'place', 'study', 'management', 'death', 'good death', 'practice', 'planning']","['people', 'risk', 'community', 'culture', 'right', 'development', 'research', 'region', 'indigenous people', 'property']"
3,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-6.557115711153998,"['citizenship', 'nomad', 'concept', 'culture', 'government', 'research', 'country', 'citizen', 'citizenship education', 'education']","['space', 'city', 'identity', 'urban space', 'people', 'paper', 'settlement', 'festival', 'flood', 'heritage']","['city', 'people', 'area', 'study', 'urban sprawl', 'sprawl', 'development', 'town', 'building', 'place']"
3,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-4.99534280473049,"['service', 'governance', 'attitude', 'water', 'level', 'change', 'slum', 'authority', 'payment', 'city']","['adaptation', 'housing', 'development', 'community', 'area', 'settlement', 'people', 'influence', 'paper', 'form']","['development', 'water', 'urban development', 'form', 'plan', 'management', 'people', 'paper', 'urban form', 'architecture']"
3,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-4.560887232301151,"['child', 'planning', 'environment', 'urban planning', 'city', 'game', 'tool', 'place', 'people', 'potential']","['design', 'culture', 'planning', 'technology', 'process', 'community', 'people', 'planning process', 'information', 'role']","['design', 'creativity', 'studio', 'paper', 'activity', 'student', 'author', 'context', 'social creativity', 'collaboration']"
3,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-7.331417350351884,"['place', 'people', 'region', 'design', 'culture', 'architecture', 'work', 'house', 'element', 'nature']","['architecture', 'city', 'park', 'material', 'planning', 'study', 'construction', 'research', 'people', 'building']","['architecture', 'landscape', 'area', 'engineering', 'bridge', 'history', 'example', 'condition', 'center', 'need']"
3,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-2.4952392206958787,"['indicator', 'region', 'article', 'development', 'city', 'design', 'capital', 'context', 'form', 'people']","['city', 'article', 'transformation', 'tourist', 'urban transformation', 'century', 'urban planning', 'culture', 'people', 'planning']","['architecture', 'planning', 'culture', 'city', 'fraction', 'people', 'change', 'history', 'field', 'context']"
3,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-4.921941367820261,"['development', 'city', 'community', 'interaction', 'segregation', 'planning', 'cosmopolitanism', 'century', 'multiracial interaction', 'color']","['community', 'city', 'race', 'people', 'culture', 'sustainability', 'planning', 'policy', 'street', 'neighborhood']","['space', 'public space', 'community', 'Latino community', 'city', 'literature', 'role', 'regulation', 'culture', 'challenge']"
3,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-7.04644253194886,"['city', 'life', 'beach', 'culture', 'people', 'book', 'overview', 'interaction', 'group', 'environment']","['environment', 'space', 'culture', 'city', 'people', 'urban environment', 'article', 'area', 'composition', 'disaster']","['city', 'knowledge', 'culture', 'design', 'project', 'people', 'urbanity', 'indigenous knowledge', 'host', 'Chapter']"
3,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-4.59545201561304,"['city', 'development', 'life', 'people', 'generation', 'cultural development', 'prosperity', 'community', 'environment', 'quality']","['book', 'city', 'planning', 'architecture', 'development', 'project', 'paper', 'environment', 'urban planning', 'culture']","['class', 'middle class', 'study', 'history', 'state', 'transformation', 'politics', 'force', 'society', 'urban history']"
3,19,5,0.013,"[148, 258, 332, 372, 381]",-3.113546616919141,"['business', 'small business', 'development', 'Small business', 'role', 'relationship', 'neighborhood', 'interaction', 'quality', 'economic development']","['time', 'publication', 'work', 'style', 'element', 'exhibition', 'agency', 'effort', 'concern', 'digital archive']","['city', 'culture', 'people', 'mobility', 'place', 'model', 'building', 'history', 'planning', 'commitment']"
3,20,5,0.013,"[111, 263, 316, 335, 357]",-3.344444195206972,"['built environment', 'urban planning', 'environment', 'organization', 'space', 'order', 'village', 'principle', 'four level', 'flexibility']","['environment', 'development', 'built environment', 'village', 'community', 'concept', 'study', 'research', 'space', 'floating village']","['waste', 'property', 'effect', 'reconstruction', 'government', 'city', 'method', 'system', 'measure', 'building']"
3,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-4.56716749802762,"['approach', 'people', 'design', 'strategy', 'space', 'planning', 'complexity', 'architecture', 'form', 'public space']","['city', 'planning', 'design', 'map', 'creativity', 'concept', 'culture', 'method', 'space', 'city planning']","['globalization', 'area', 'method', 'study', 'regeneration', 'way', 'urban regeneration', 'trash', 'tool', 'resource']"
3,22,5,0.013,"[16, 204, 227, 274, 333]",-2.8188879333950716,"['livability', 'measure', 'urban livability', 'paper', 'place', 'sense', 'principle', 'urban livability measure', 'placemaking principle', 'livability measure']","['study', 'comfort', 'limit', 'winter', 'summer', 'environment', 'upper limit', 'thermal comfort', 'index', 'temperature']","['city', 'development', 'community', 'application', 'study', 'people', 'system', 'level', 'culture', 'attribute']"
3,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-4.837976830473431,"['visitor', 'site', 'expectation', 'experience', 'interpretation', 'centre', 'site interpretation', 'comment', 'interpretation centre', 'site interpretation centre']","['place', 'people', 'culture', 'practice', 'research', 'planning', 'knowledge', 'study', 'paper', 'language']","['landscape', 'place', 'state', 'community', 'meaning', 'para', 'theme', 'third place', 'people', 'way']"
3,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-6.668845771275758,"['city', 'indicator', 'strategy', 'sustainability', 'study', 'urban sustainability', 'aspect', 'opportunity', 'development', 'service']","['country', 'change', 'people', 'challenge', 'climate', 'governance', 'climate change', 'problem', 'population', 'growth']","['transition', 'capacity', 'electrical capacity', 'city', 'system', 'difference', 'company', 'value', 'consumption', 'sustainability transition']"
3,25,5,0.013,"[21, 31, 44, 72, 216]",-4.821907422120987,"['global urbanism', 'paper', 'leisure', 'user', 'new life', 'local culture', 'landscape', 'activity', 'visitor', 'case']","['waterfront', 'people', 'activity', 'city', 'paper', 'redevelopment', 'landscape', 'culture', 'development', 'life']","['city', 'value', 'ocean', 'mangrove', 'life', 'development', 'energy', 'extraction', 'sea', 'ecosystem']"
3,26,5,0.013,"[52, 117, 163, 212, 254]",-1.2780317776385302,"['history', 'monument', 'structure', 'city', 'symbol', 'meaning', 'design', 'ambition', 'player', 'building']","['city', 'planning', 'world', 'vision', 'time', 'fair', 'future', 'idea', 'planner', 'plan']","['city', 'sociology', 'bureaucrat', 'conflict', 'possibility', 'knowledge', 'evolutionist', 'sociologist', 'policy', 'modernity']"
3,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-4.857672300011495,"['architecture', 'city', 'way', 'article', 'society', 'question', 'consequence', 'theory', 'practice', 'concern']","['city', 'design', 'planning', 'people', 'space', 'city planning', 'paper', 'urbanity', 'competition', 'culture']","['design', 'landscape', 'city', 'environment', 'contemporary city', 'fashion', 'minority', 'minority group', 'group', 'people']"
3,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-6.498902315528099,"['community', 'water', 'trust', 'risk', 'people', 'planning', 'condition', 'relationship', 'trust relationship', 'practice']","['building', 'city', 'plan', 'system', 'vision', 'mobility', 'process', 'culture', 'development', 'planning']","['city', 'standard', 'residential standard', 'indicator', 'sustainability', 'pandemic', 'compliance', 'level', 'paper', 'approach']"
