NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4
5,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-2.981457557590204,"['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'profi le', 'perspective', 'diversity', 'research']","['system', 'environment', 'soundscape', 'method', 'people', 'acoustic environment', 'aspect', 'design', 'data', 'sound']","['city', 'noise', 'traffic', 'road', 'road traffic', 'place', 'difference', 'response', 'community', 'road traffic noise']","['sound', 'soundscape', 'environment', 'research', 'question', 'science', 'district', 'region', 'paper', 'city']","['space', 'people', 'noise', 'city', 'effect', 'behaviour', 'city noise', 'thermal comfort', 'urban space', 'activity']"
5,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-6.444466262747065,"['right', 'property', 'planning', 'property right', 'value', 'right value', 'property right value', 'development', 'landscape', 'landscape planning']","['risk', 'culture', 'perception', 'management', 'research', 'hazard', 'community', 'place', 'value', 'study']","['place', 'culture', 'city', 'practice', 'article', 'importance', 'renewal', 'area', 'presence', 'vision']","['culture', 'people', 'life', 'community', 'city', 'region', 'indigenous people', 'place', 'planning', 'environment']","['design', 'death', 'good death', 'study', 'community', 'home', 'consultation', 'building', 'family', 'housing']"
5,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-3.4560585809658493,"['urban sprawl', 'sprawl', 'urbanization', 'urbanism', 'study', 'people', 'evolution', 'idea', 'building', 'kind']","['city', 'place', 'neighbourhood', 'time', 'event', 'element', 'urban design', 'design', 'town', 'people']","['space', 'settlement', 'environment', 'life', 'city', 'people', 'paper', 'rehabilitation', 'heritage', 'flood']","['city', 'space', 'identity', 'people', 'urban space', 'development', 'area', 'festival', 'analysis', 'study']","['citizenship', 'nomad', 'concept', 'government', 'culture', 'research', 'citizenship education', 'country', 'citizen', 'education']"
5,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-4.514114840471503,"['housing', 'people', 'form', 'society', 'pattern', 'paper', 'house', 'role', 'ethnic origin', 'loss']","['paper', 'development', 'people', 'form', 'government', 'culture', 'article', 'service', 'challenge', 'perspective']","['development', 'area', 'governance', 'influence', 'paper', 'region', 'slum', 'culture', 'city', 'life']","['water', 'plan', 'management', 'service', 'attitude', 'level', 'people', 'system', 'authority', 'payment']","['adaptation', 'development', 'community', 'planning', 'strategy', 'urban development', 'form', 'settlement', 'slum', 'urban form']"
5,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-2.323033355900164,"['planning', 'process', 'planning process', 'information', 'role', 'population', 'use', 'community', 'technology', 'study']","['design', 'studio', 'student', 'author', 'design studio', 'work', 'knowledge', 'city', 'virtual design studio', 'exchange']","['culture', 'participation', 'framework', 'research', 'people', 'environment', 'system', 'stakeholder', 'view', 'domain']","['environment', 'child', 'planning', 'food', 'city', 'design', 'people', 'culture', 'urban planning', 'place']","['design', 'community', 'creativity', 'diversity', 'activity', 'art', 'paper', 'technology', 'interaction', 'social creativity']"
5,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-3.9421928150753396,"['park', 'city', 'national park', 'conservation', 'research', 'volume', 'people', 'naturbanity', 'environment', 'creation']","['bridge', 'engineering', 'center', 'system', 'history', 'period', 'calendar', 'world', 'suspension', 'classic period']","['architecture', 'book', 'concept', 'geography', 'series', 'influence', 'environment', 'form', 'interaction', 'category']","['architecture', 'landscape', 'example', 'area', 'condition', 'building', 'function', 'tourism', 'place', 'architect']","['material', 'place', 'construction', 'specie', 'culture', 'study', 'people', 'totora', 'house', 'astronomy']"
5,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-3.215898827447659,"['indicator', 'article', 'region', 'city', 'development', 'work', 'governance', 'people', 'infrastructure', 'capital']","['city', 'transformation', 'article', 'tourist', 'urban transformation', 'consumer', 'growth', 'urban planning', 'form', 'place']","['culture', 'planning', 'city', 'change', 'design', 'people', 'article', 'life', 'theory', 'world']","['architecture', 'history', 'fraction', 'context', 'century', 'representation', 'term', 'building', 'colonialism', 'field']","['study', 'people', 'planning', 'culture', 'scale', 'growth', 'urban planning', 'form', 'consumer', 'sense']"
5,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-4.832848168113976,"['street', 'neighborhood', 'form', 'study', 'significance', 'gayborhoods', 'governance', 'urban governance', 'politics', 'resident']","['space', 'inequality', 'research', 'effort', 'public space', 'digital divide', 'divide', 'strategy', 'color', 'image']","['city', 'community', 'sustainability', 'policy', 'people', 'race', 'planning', 'chapter', 'development', 'segregation']","['space', 'community', 'Latino community', 'public space', 'culture', 'people', 'role', 'regulation', 'challenge', 'literature']","['culture', 'color', 'governance', 'gentrification', 'race', 'conflict', 'racism', 'norm', 'right', 'society']"
5,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-4.304133293737348,"['interaction', 'level', 'student', 'Chinese student', 'research', 'people', 'study', 'place', 'group', 'value']","['city', 'beach', 'culture', 'people', 'community', 'village', 'center', 'diverse cultural group', 'Los Angeles basin', 'Cambodian community']","['city', 'life', 'environment', 'book', 'overview', 'urban environment', 'culture', 'role', 'space', 'urban life']","['city', 'space', 'design', 'host', 'urban design', 'environment', 'composition', 'factor', 'whole', 'community']","['knowledge', 'culture', 'project', 'indigenous knowledge', 'people', 'Chapter', 'design', 'Indigenous knowledge', 'management', 'destination']"
5,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-4.46405651394568,"['project', 'regeneration', 'form', 'paper', 'market', 'Chinese city', 'traditional form', 'order', 'symbol', 'city']","['transformation', 'state', 'urban transformation', 'control', 'city', 'outcome', 'economy', 'Chinese city', 'force', 'paper']","['history', 'planning', 'book', 'architecture', 'city', 'development', 'study', 'urban history', 'urban planning', 'environment']","['city', 'class', 'development', 'middle class', 'people', 'life', 'generation', 'cultural development', 'prosperity', 'politics']","['abstract', 'paper', 'economic development', 'planning', 'information', 'time', 'process', 'market', 'outcome', 'economy']"
5,19,5,0.013,"[148, 258, 332, 372, 381]",-5.190983690350044,"['time', 'publication', 'understanding', 'style', 'work', 'effort', 'agency', 'exhibition', 'element', 'complete understanding']","['city', 'culture', 'mobility', 'people', 'place', 'history', 'model', 'area', 'space', 'smart city']","['people', 'culture', 'life', 'study', 'understanding', 'time', 'development', 'space', 'paper', 'area']","['people', 'culture', 'life', 'study', 'understanding', 'time', 'development', 'space', 'paper', 'area']","['business', 'small business', 'culture', 'role', 'city', 'development', 'planning', 'network', 'commitment', 'event']"
5,20,5,0.013,"[111, 263, 316, 335, 357]",-1.7174578410155803,"['waste', 'property', 'effect', 'method', 'analysis', 'removal', 'system', 'water', 'performance', 'plastic waste']","['design', 'change', 'solution', 'built environment', 'analysis', 'culture', 'life', 'people', 'study', 'impact']","['design', 'change', 'solution', 'built environment', 'people', 'culture', 'analysis', 'life', 'study', 'impact']","['built environment', 'environment', 'research', 'development', 'life', 'space', 'planning', 'field', 'role', 'nature']","['village', 'government', 'reconstruction', 'community', 'measure', 'concept', 'city', 'area', 'order', 'study']"
5,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-3.672265158491289,"['area', 'regeneration', 'urban regeneration', 'trash', 'tool', 'use', 'study', 'way', 'urban planning', 'analysis']","['city', 'approach', 'planning', 'design', 'people', 'map', 'creativity', 'space', 'modern city', 'theory']","['study', 'practice', 'focus', 'line', 'urban culture', 'people', 'culture', 'technology', 'public space', 'form']","['study', 'practice', 'focus', 'line', 'urban culture', 'people', 'culture', 'technology', 'public space', 'form']","['globalization', 'space', 'city', 'culture', 'concept', 'method', 'design', 'study', 'life', 'expression']"
5,22,5,0.013,"[16, 204, 227, 274, 333]",-3.815206302008819,"['study', 'attribute', 'community', 'survey', 'evaluation', 'approach', 'fuzzy', 'historic urban landscape', 'dataset', 'landscape']","['data', 'questionnaire', 'culture', 'community', 'people', 'infrastructure', 'nature', 'city', 'study', 'process']","['data', 'questionnaire', 'culture', 'people', 'community', 'infrastructure', 'nature', 'city', 'study', 'process']","['city', 'development', 'application', 'comfort', 'limit', 'summer', 'winter', 'study', 'environment', 'system']","['livability', 'urban livability', 'level', 'measure', 'people', 'relationship', 'dorm', 'analysis', 'energy', 'building']"
5,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-2.874445779598867,"['visitor', 'expectation', 'site', 'experience', 'interpretation', 'site interpretation', 'comment', 'centre', 'site interpretation centre', 'interpretation centre']","['landscape', 'state', 'meaning', 'community', 'way', 'theme', 'experience', 'effort', 'housing', 'culture']","['para', 'people', 'community', 'tradition', 'social networking', 'networking', 'neighbourhood', 'adda', 'resource', 'language']","['place', 'planning', 'knowledge', 'third place', 'city', 'book', 'practice', 'mobility', 'attachment', 'place attachment']","['people', 'culture', 'study', 'paper', 'resident', 'assessment', 'data', 'sensory assessment', 'education', 'government']"
5,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-3.5630662966002276,"['system', 'study', 'planning', 'approach', 'city', 'culture', 'case', 'people', 'opportunity', 'urban planning']","['transition', 'city', 'system', 'sustainability transition', 'world', 'towards', 'book', 'transformation', 'sustainability', 'governance']","['problem', 'city', 'analysis', 'planning', 'system', 'city system', 'cause', 'impact', 'environment', 'intervention']","['country', 'people', 'change', 'growth', 'climate', 'climate change', 'population', 'emission', 'developing country', 'city']","['indicator', 'strategy', 'challenge', 'governance', 'study', 'sustainability', 'city', 'management', 'development', 'government']"
5,25,5,0.013,"[21, 31, 44, 72, 216]",-1.2762038794845227,"['value', 'mangrove', 'transition', 'ecosystem', 'development', 'service', 'ecosystem service', 'cultural value', 'photographs', 'Cultural value']","['city', 'landscape', 'waterfront', 'paper', 'development', 'way', 'urbanism', 'planner', 'case', 'visitor']","['ocean', 'city', 'life', 'energy', 'extraction', 'sea', 'health', 'opportunity', 'oil', 'inspiration']","['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'history', 'culture', 'place', 'part']","['people', 'development', 'city', 'environment', 'history', 'role', 'community', 'life', 'culture', 'case study']"
5,26,5,0.013,"[52, 117, 163, 212, 254]",-1.0706781756783783,"['regulation', 'icon', 'conversation', 'people', 'growth', 'depiction', 'boundary', 'artist', 'cultural icon', 'urban growth']","['history', 'monument', 'structure', 'city', 'design', 'culture', 'expansion', 'building', 'player', 'ambition']","['design', 'vision', 'people', 'city', 'landscape', 'writing', 'assumption', 'perspective', 'history', 'modern city']","['city', 'planning', 'vision', 'world', 'fair', 'future', 'time', 'idea', 'planner', 'plan']","['city', 'sociology', 'bureaucrat', 'conflict', 'possibility', 'policy', 'sociologist', 'knowledge', 'evolutionist', 'modernity']"
5,27,7,0.018,"[19, 28, 34, 50, 67, 147, 231]",-5.855143672127736,"['landscape', 'group', 'minority', 'minority group', 'design', 'experience', 'case', 'ethnic minority group', 'ethnic minority', 'study']","['design', 'city', 'people', 'urban design', 'space', 'competition', 'fashion', 'contemporary city', 'importance', 'consumer']","['theory', 'consequence', 'citizen', 'towards', 'article', 'life', 'landscape', 'environment', 'people', 'way']","['theory', 'consequence', 'citizen', 'towards', 'article', 'life', 'landscape', 'environment', 'people', 'way']","['city', 'architecture', 'planning', 'urbanity', 'paper', 'people', 'context', 'city planning', 'culture', 'child']"
5,28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",-3.898247781716653,"['mobility', 'immobility', 'risk', 'culture', 'life', 'society', 'crisis', 'risk society', 'activity', 'virus']","['experience', 'space', 'context', 'urban design', 'culture', 'time', 'technology', 'people', 'administration', 'pandemic']","['city', 'indicator', 'sustainability', 'perspective', 'efficiency', 'approach', 'material', 'outcome', 'efficiency score', 'consumption']","['standard', 'residential standard', 'planning', 'city', 'process', 'system', 'approach', 'decision', 'compliance', 'problem']","['city', 'community', 'water', 'building', 'people', 'vision', 'trust', 'practice', 'development', 'plan']"
