NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6,LDATopics#7
8,9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",-2.4240381197803083,"['noise', 'road traffic', 'traffic', 'road', 'difference', 'response', 'house', 'traffic noise', 'road traffic noise', 'activity']","['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'perspective', 'profi le', 'diversity', 'sound']","['city', 'place', 'comfort', 'outdoor place', 'culture', 'background', 'need', 'quality', 'people', 'order']","['research', 'question', 'soundscape', 'environment', 'science', 'approach', 'soundscapes', 'built environment', 'management', 'aim']","['environment', 'soundscape', 'system', 'sound', 'people', 'method', 'design', 'aspect', 'acoustic environment', 'data']","['city', 'culture', 'diversity', 'research', 'part', 'need', 'space', 'meaning', 'community', 'environment']","['environment', 'activity', 'sound', 'people', 'city', 'culture', 'location', 'simplicity', 'soundscape analysis', 'several soundscape']","['space', 'people', 'city', 'noise', 'effect', 'behaviour', 'city noise', 'activity', 'urban space', 'thermal comfort']"
8,10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",-6.722022147310014,"['design', 'government', 'consultation', 'building', 'community', 'housing', 'family', 'theme', 'article', 'home']","['practice', 'place', 'part', 'implication', 'management', 'care', 'natural resource management', 'natural resource', 'gumada', 'urban place']","['work', 'culture', 'art', 'area', 'renewal', 'vision', 'dance', 'population', 'potential', 'public space']","['culture', 'people', 'community', 'place', 'risk', 'research', 'life', 'study', 'region', 'city']","['planning', 'risk', 'landscape', 'value', 'right', 'management', 'property', 'perception', 'development', 'property right']","['city', 'design', 'paper', 'people', 'Indigenous people', 'participation', 'challenge', 'urban planning', 'reconciliation', 'influence']","['indigenous people', 'economy', 'tradition', 'heart', 'knowledge', 'teacher', 'practitioner', 'researcher', 'book', 'chapter']","['reconciliation', 'Aboriginal community', 'government', 'influence', 'work', 'implication', 'land', 'practice', 'sustainable development', 'urban planning']"
8,11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",-5.981266433589207,"['government', 'part', 'culture', 'decision', 'effort', 'article', 'environment', 'understanding', 'movement', 'way']","['research', 'concept', 'city', 'culture', 'development', 'area', 'people', 'factor', 'plan', 'participation']","['sustainability', 'problem', 'knowledge', 'development', 'area', 'people', 'core', 'study', 'urban governance', 'governance']","['identity', 'space', 'city', 'concept', 'document', 'role', 'urban space', 'settlement', 'people', 'place']","['life', 'people', 'planner', 'dweller', 'urban dweller', 'settlement', 'environment', 'space', 'culture', 'condition']","['citizenship', 'nomad', 'country', 'citizenship education', 'education', 'citizen', 'society', 'citizen orientation', 'type', 'orientation']","['concept', 'document', 'role', 'dweller', 'settlement', 'identity', 'knowledge', 'sustainability', 'urban dweller', 'space']","['concept', 'document', 'role', 'dweller', 'settlement', 'identity', 'knowledge', 'sustainability', 'urban dweller', 'space']"
8,12,7,0.018,"[25, 38, 114, 152, 177, 389, 392]",-2.4147584930769996,"['housing', 'every member', 'family identifies', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'cultural contact']","['area', 'development', 'influence', 'region', 'tradition', 'fabric', 'hinterland', 'culture', 'life', 'design']","['development', 'form', 'urban development', 'urban form', 'planning', 'architecture', 'sustainable urban development', 'paper', 'future', 'model']","['housing', 'people', 'form', 'society', 'pattern', 'house', 'role', 'paper', 'quality', 'origin']","['people', 'housing', 'development', 'paper', 'district', 'every member', 'ethnic origin', 'family identifies', 'future housing', 'ethnic group']","['adaptation', 'slum', 'community', 'governance', 'change', 'strategy', 'city', 'level', 'settlement', 'resident']","['housing', 'influence', 'design', 'area', 'development', 'culture', 'life', 'paper', 'settlement', 'formation']","['water', 'plan', 'attitude', 'management', 'service', 'authority', 'payment', 'system', 'level', 'people']"
8,13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",-2.3103466731969524,"['food', 'design', 'culture', 'perspective', 'food culture', 'sustainable food', 'sustainable food culture', 'people', 'framework', 'technology']","['paper', 'people', 'culture', 'practice', 'design', 'environment', 'place', 'technology', 'user', 'tool']","['paper', 'people', 'culture', 'practice', 'design', 'environment', 'place', 'technology', 'user', 'tool']","['creativity', 'design', 'activity', 'paper', 'social creativity', 'art', 'context', 'interaction', 'collaboration', 'model']","['planning', 'process', 'planning process', 'information', 'role', 'population', 'use', 'case', 'case study', 'community']","['design', 'studio', 'student', 'author', 'design studio', 'city', 'work', 'knowledge', 'brief', 'exchange']","['city', 'place', 'technology', 'urban environment', 'environment', 'art', 'mean', 'action', 'Designing technology', 'Ambient medium']","['design', 'child', 'planning', 'culture', 'people', 'community', 'urban planning', 'diversity', 'environment', 'tool']"
8,14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",-3.948663267768827,"['calendar', 'dimension', 'idea', 'astronomy', 'culture', 'people', 'volume', 'history', 'life', 'example']","['park', 'city', 'national park', 'conservation', 'volume', 'naturbanity', 'environment', 'chapter', 'issue', 'urban environment']","['period', 'place', 'road', 'mountain', 'region', 'culture', 'people', 'nature', 'work', 'house']","['bridge', 'engineering', 'function', 'infrastructure', 'century', 'introduction', 'city', 'object', 'example', 'people']","['architecture', 'landscape', 'construction', 'building', 'example', 'area', 'tourism', 'place', 'material', 'book']","['history', 'need', 'system', 'society', 'world', 'city', 'culture', 'development', 'specie', 'people']","['number', 'application', 'period', 'introduction', 'dimension', 'road', 'calendar', 'mountain', 'idea', 'function']","['condition', 'center', 'beginning', 'took place', 'architect', 'expedition', 'climate', 'suspension bridge', 'suspension', 'engineer']"
8,15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",-1.602016260507127,"['urban transformation', 'economic growth', 'earliest city', 'inauthenticity', 'feeling', 'expectation', 'capitalism', 'jardins', 'early nineteenth century', 'commodity whose purpose']","['history', 'field', 'architecture', 'urban planning', 'people', 'activity', 'representation', 'planning', 'century', 'image']","['indicator', 'region', 'article', 'development', 'governance', 'work', 'capital', 'sustainability', 'perspective', 'issue']","['city', 'article', 'planning', 'culture', 'form', 'people', 'growth', 'paper', 'result', 'time']","['design', 'world', 'life', 'concept', 'alterlivability', 'good life', 'livable world', 'design fiction', 'speculative design', 'fiction']","['century', 'theory', 'integral theory', 'limitation', 'urban planning', 'goal', 'landscape', 'discussion', 'canon', 'biosphere']","['transformation', 'class', 'consumer', 'world', 'architecture', 'city', 'fraction', 'infrastructure', 'people', 'environment']","['tourist', 'century', 'place', 'urban planning', 'nature', 'nineteenth century', 'culture', 'development', 'form', 'change']"
8,16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",-3.3906292959014666,"['street', 'study', 'neighborhood', 'form', 'gayborhoods', 'significance', 'resident', 'politics', 'interaction', 'culture']","['visibility', 'chapter', 'people', 'response', 'urban space', 'sight', 'incivility', 'social control', 'control', 'homelessness']","['space', 'inequality', 'research', 'effort', 'public space', 'digital divide', 'divide', 'strategy', 'interest', 'history']","['city', 'community', 'sustainability', 'race', 'policy', 'transportation', 'conversation', 'making', 'landscape', 'project']","['community', 'Latino community', 'city', 'challenge', 'literature', 'governance', 'integration', 'review', 'scholarship', 'contemporary city']","['gentrification', 'study', 'street', 'research', 'space', 'interest', 'play', 'neighborhood', 'culture', 'resident']","['space', 'planning', 'people', 'public space', 'community', 'gentrification', 'culture', 'regulation', 'urban planning', 'development']","['space', 'interest', 'study', 'culture', 'play', 'exposure', 'marginal group', 'group', 'expectation', 'homeless']"
8,17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",-3.2563448837717215,"['day', 'urban environment', 'lifestyle', 'part', 'issue', 'environment', 'urban life', 'development', 'life', 'role']","['knowledge', 'environment', 'part', 'indigenous knowledge', 'issue', 'Indigenous knowledge', 'people', 'decision', 'policy', 'hand']","['village', 'space', 'city', 'environment', 'composition', 'whole', 'community', 'form', 'future', 'basis']","['city', 'life', 'culture', 'people', 'role', 'community', 'urban life', 'project', 'urbanity', 'development']","['environment', 'interaction', 'group', 'level', 'student', 'Chinese student', 'urban environment', 'culture', 'study', 'place']","['center', 'city', 'lifestyle', 'urban environment', 'Chapter', 'culture', 'article', 'design', 'people', 'destination']","['beach', 'overview', 'book', 'modern center', 'long beach', 'million people', 'line', 'second largest city', 'trollys', 'subway line']","['city', 'people', 'design', 'host', 'urban design', 'disaster', 'factor', 'earthquake', 'research', 'knowledge']"
8,18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",-4.030147442059566,"['project', 'form', 'regeneration', 'paper', 'market', 'Chinese city', 'symbol', 'order', 'traditional form', 'city']","['history', 'urban history', 'study', 'structure', 'force', 'research', 'interest', 'topic', 'attention', 'change']","['book', 'city', 'architecture', 'development', 'work', 'author', 'environment', 'people', 'government', 'year']","['city', 'development', 'prosperity', 'environment', 'life', 'solution', 'industry', 'quality', 'potential', 'report']","['class', 'middle class', 'state', 'transformation', 'study', 'society', 'urban transformation', 'control', 'politics', 'economy']","['planning', 'development', 'generation', 'city', 'people', 'cultural development', 'urban planning', 'place', 'community', 'culture']","['abstract', 'outcome', 'information', 'people', 'place', 'politics', 'study', 'planning', 'culture', 'environment']","['abstract', 'study', 'information', 'people', 'place', 'politics', 'culture', 'planning', 'time', 'city']"
8,19,5,0.013,"[148, 258, 332, 372, 381]",-1.741255266979652,"['business', 'small business', 'development', 'Small business', 'role', 'neighborhood', 'vitality', 'engagement', 'relationship', 'quality']","['time', 'publication', 'style', 'work', 'exhibition', 'agency', 'element', 'effort', 'understanding', 'colonist']","['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history']","['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history']","['people', 'culture', 'geographical information', 'distance', 'embedded system', 'garden', 'generate smart city', 'difficulty', 'help urban decision', 'history']","['city', 'culture', 'history', 'concept', 'square', 'space', 'design', 'building', 'square design', 'Lanzhou city']","['city', 'mobility', 'people', 'place', 'model', 'culture', 'planning', 'way', 'network', 'commitment']","['people', 'culture', 'space', 'small business', 'business', 'geographical information', 'distance', 'embedded system', 'garden', 'difficulty']"
8,20,5,0.013,"[111, 263, 316, 335, 357]",-0.7867706322997956,"['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment']","['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment']","['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment']","['effect', 'property', 'analysis', 'waste', 'low seismic region', 'link', 'marine', 'manufacturing process', 'manufacturing', 'material temperature']","['waste', 'effect', 'property', 'method', 'analysis', 'removal', 'water', 'catalyst', 'powder', 'silk']","['architecture', 'design', 'sustainability', 'social sustainability', 'order', 'life', 'space', 'building', 'material', 'climate']","['environment', 'built environment', 'research', 'development', 'life', 'planning', 'space', 'role', 'nature', 'challenge']","['reconstruction', 'government', 'community', 'village', 'measure', 'concept', 'city', 'area', 'study', 'zone']"
8,21,6,0.015,"[156, 206, 217, 245, 325, 369]",-4.635948962413063,"['area', 'regeneration', 'urban regeneration', 'tool', 'trash', 'way', 'resource', 'urban planning', 'article', 'analysis']","['city', 'planning', 'map', 'creativity', 'method', 'modern city', 'city planning', 'theory', 'approach', 'process']","['approach', 'people', 'complexity', 'planning', 'problem', 'peripheral area', 'project', 'researcher', 'suggestion', 'area']","['complexity', 'article', 'people', 'paper', 'way', 'culture', 'design', 'technology', 'planning', 'urban planning']","['complexity', 'article', 'people', 'paper', 'way', 'culture', 'design', 'technology', 'planning', 'urban planning']","['complexity', 'article', 'people', 'paper', 'way', 'culture', 'design', 'technology', 'planning', 'urban planning']","['complexity', 'article', 'people', 'paper', 'way', 'culture', 'design', 'technology', 'planning', 'urban planning']","['space', 'design', 'globalization', 'city', 'culture', 'people', 'concept', 'study', 'public space', 'form']"
8,22,5,0.013,"[16, 204, 227, 274, 333]",-3.152360717907605,"['livability', 'urban livability', 'measure', 'paper', 'sense', 'place', 'placemaking principle', 'urban livability measure', 'principle', 'livability measure']","['level', 'relationship', 'energy', 'dorm', 'building', 'comfort', 'people', 'analysis', 'context', 'student']","['study', 'comfort', 'limit', 'summer', 'winter', 'environment', 'upper limit', 'index', 'temperature', 'thermal comfort']","['study', 'attribute', 'survey', 'community', 'approach', 'evaluation', 'historic urban landscape', 'dataset', 'landscape', 'fuzzy']","['city', 'development', 'application', 'system', 'smart city', 'process', 'community', 'service', 'smart city application', 'crisis']","['community', 'study', 'level', 'development', 'relationship', 'comfort', 'building', 'city', 'culture', 'survey']","['city', 'culture', 'people', 'study', 'asset', 'brings', 'contribution', 'content analysis method', 'content analysis', 'availability']","['city', 'culture', 'people', 'study', 'asset', 'brings', 'contribution', 'content analysis method', 'content analysis', 'availability']"
8,23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",-7.041972441763566,"['visitor', 'site', 'expectation', 'experience', 'interpretation', 'site interpretation', 'centre', 'comment', 'interpretation centre', 'site interpretation centre']","['student', 'government', 'education', 'language', 'system', 'aboriginal education', 'resource', 'success', 'Taiwanese government', 'cultivation']","['study', 'practice', 'resident', 'paper', 'people', 'need', 'planning', 'process', 'housing', 'spatiality']","['landscape', 'place', 'state', 'meaning', 'culture', 'knowledge', 'people', 'theme', 'community', 'way']","['visitor', 'interpretation', 'culture', 'paper', 'expectation', 'site', 'experience', 'country', 'type', 'centre']","['place', 'para', 'third place', 'planning', 'people', 'city', 'feeling', 'tradition', 'neighbourhood', 'adda']","['research', 'paper', 'people', 'life', 'language', 'culture', 'working class', 'third place', 'benefiting aboriginal student', 'Adding point']","['research', 'paper', 'people', 'life', 'language', 'culture', 'working class', 'third place', 'benefiting aboriginal student', 'Adding point']"
8,24,7,0.018,"[23, 64, 107, 116, 198, 233, 251]",-1.5363156826955349,"['capacity', 'electrical capacity', 'company', 'consumption', 'value', 'difference', 'construction', 'grid company', 'time', 'building']","['challenge', 'governance', 'management', 'government', 'governance challenge', 'local government', 'manager', 'range', 'forest manager', 'urban forest manager']","['transition', 'city', 'system', 'sustainability transition', 'world', 'transformation', 'towards', 'book', 'sustainability', 'governance']","['indicator', 'strategy', 'sustainability', 'city', 'study', 'aspect', 'urban sustainability', 'service', 'development', 'order']","['problem', 'city', 'analysis', 'planning', 'city system', 'system', 'impact', 'cause', 'environment', 'stakeholder']","['country', 'people', 'change', 'growth', 'climate', 'population', 'climate change', 'emission', 'developing country', 'city']","['city', 'use', 'capacity', 'system', 'culture', 'approach', 'study', 'people', 'forest', 'evaluate management']","['study', 'city', 'use', 'people', 'approach', 'culture', 'system', 'experience', 'forest', 'forest manager']"
8,25,5,0.013,"[21, 31, 44, 72, 216]",-1.6925159782268178,"['value', 'mangrove', 'transition', 'ecosystem', 'development', 'photographs', 'habitat', 'ecosystem service', 'service', 'cultural value']","['city', 'landscape', 'waterfront', 'paper', 'development', 'way', 'urbanism', 'planner', 'case', 'leisure']","['environment', 'history', 'community', 'waterfront', 'redevelopment', 'city', 'activity', 'development', 'life', 'role']","['ocean', 'city', 'life', 'energy', 'sea', 'extraction', 'policy', 'inspiration', 'gas extraction', 'oil']","['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'history', 'culture', 'plan', 'place']","['people', 'environment', 'development', 'goal', 'gas extraction', 'gather', 'gather data', 'foster feeling', 'helping scientist gather', 'healthy ocean']","['people', 'environment', 'development', 'goal', 'gas extraction', 'gather', 'gather data', 'foster feeling', 'helping scientist gather', 'healthy ocean']","['development', 'city', 'community', 'waterfront', 'environment', 'role', 'culture', 'people', 'gather data', 'gas extraction']"
8,26,5,0.013,"[52, 117, 163, 212, 254]",-2.5002480359786206,"['sociology', 'bureaucrat', 'conflict', 'policy', 'sociologist', 'knowledge', 'evolutionist', 'city', 'possibility', 'context']","['conversation', 'icon', 'regulation', 'people', 'growth', 'growth boundary', 'interpretation', 'artist', 'supporter', 'urban growth boundary']","['city', 'modernity', 'history', 'essay', 'environmental history', 'modern city', 'career', 'design', 'fact', 'ambivalence']","['city', 'planning', 'world', 'vision', 'future', 'fair', 'time', 'idea', 'planner', 'plan']","['planning', 'city', 'people', 'project', 'trend', 'vision', 'fair', 'symbol', 'meaning', 'time']","['city', 'people', 'symbol', 'meaning', 'economic reality', 'drawing board', 'element', 'downtown reverse', 'downside', 'emerging economic reality']","['meaning', 'people', 'symbol', 'drawing board', 'economic reality', 'elite architecture', 'downtown reverse', 'dominant conflict', 'downside', 'emerging economic reality']","['meaning', 'people', 'symbol', 'drawing board', 'economic reality', 'elite architecture', 'downtown reverse', 'dominant conflict', 'downside', 'emerging economic reality']"
