ArticleCluster,Article_num,ArticleCluster_Score,KeywordCluster,score,num_keywords,Keywords,NumDocs,DocIds
7,37,-0.4262969418,3,0.3766493108,34,"['Advanced Visual Big Data Analysis', 'affective Analytics and Visualization', 'big data', 'Bow Tie', 'community detection algorithms', 'convolutional network', 'crowd data', 'different graph input representation', 'discovery and topic modeling extraction', 'embedding space clustering', 'graph attention network', 'graph convolution network', 'graph fusion module', 'hierarchical clustering', 'intuitive way', 'large amount', 'large and diverse corpus', 'large scale graph machine learning', 'Latent Dirichlet Allocation', 'multiscale graph attention network', 'new similarity measure', 'resolution grid', 'social data', 'social medium and traffic data', 'social medium message', 'social network', 'spatial clustering', 'sport analytics', 'twitter', 'Twitter interaction', 'visual analytics', 'visual clutter', 'Visualization Reference Model', 'word embedding']",21,"[3, 13, 22, 30, 32, 83, 110, 133, 156, 184, 257, 273, 281, 295, 311, 343, 345, 384, 388, 503, 543]"
7,37,-0.4262969418,4,0.3115806284,35,"['Accurate traffic forecasting', 'activity transition', 'commuting flow', 'crowd flow prediction', 'Crowd Management', 'efficient movement', 'eye tracking data', 'fine grained human mobility pattern', 'flow map', 'hierarchical dataset', 'human mobility', 'individual travel behavior', 'large human mobility data', 'massive urban data', 'mobile phone datasets', ""mobile phone user's location information"", 'offensive strategy', 'optimal police patrol strategy', 'passenger data', 'real time data', 'real time travel mode detection', 'real world taxi journey dataset', 'residential travel census', 'road traffic crash location data', 'tactical and strategic user role', 'terrorism information perception system', 'tourist flow', 'tourist move', 'traffic incident analysis', 'traffic management', 'transportation information', 'travel behavior interpretation', 'trip generation forecasting model', 'urban planning and traffic modeling', 'vehicular traffic modelling']",27,"[4, 22, 30, 32, 83, 84, 104, 110, 117, 133, 156, 210, 257, 273, 295, 309, 343, 384, 388, 430, 468, 503, 516, 522, 537, 543, 561]"
7,37,-0.4262969418,5,0.1889985107,65,"['adaptative meta', 'assault and offenses', 'atomic segment', 'baseline Yelp', 'big data analysis', 'Chengdu City', 'city semantic analogy', 'citywide human OD flow prediction', 'comfortable urban environment', 'computer science', 'COVID pandemic', 'crime prediction', 'crowd voting', 'driver car', 'dynamic urban theory', 'Foursquare venue', 'future smart city', 'Future Technologies', 'gatns', 'GBDT', 'geographic movement', 'heuristic propagation model', 'humanitarian response and poverty estimation', 'Industrial Track Contributions', 'intelligent city construction', 'intelligent urban data', 'Interactive Maps', 'large scale training sample', 'large spatio temporal datasets', 'meaningful alert', 'mobile phone positioning', 'multiple environmental factor', 'ongoing digitalization', 'Optimal store placement', 'overall terrorist attack prediction system', 'railway safety', 'residence information', 'rich city', 'risk assessment process', 'road infrastructure', 'Road Mapping Infrastructures', 'Smart Cities', 'Smart city', 'smart city context', 'smart mobility', 'smart urban governance platform', 'Sustainable Development Goals', 'taxi driver', 'traditional survey', 'traffic violation', 'Transparent Health', 'unsupervised commercial district discovery framework', 'urban area road monitoring application', 'urban crime', 'urban economy and mobility system', 'urban functional zoning and land use classification', 'urban informal economy', 'urban network path', 'urban planning', 'urban planning and design', 'urban planning and development', 'urban planning and management', 'urban problem complaint hotline', 'urban resource planning', 'valid research area']",34,"[3, 4, 13, 22, 30, 32, 83, 84, 97, 104, 110, 117, 133, 146, 156, 184, 210, 211, 272, 273, 281, 309, 311, 343, 345, 384, 388, 430, 468, 516, 522, 537, 543, 561]"
8,37,0.9821675481000001,1,0.8888029129,31,"['aerial image', 'aerial imagery', 'airborne SAR mapping approach', 'drone', 'Earth Observation Data', 'earth observation field', 'high resolution DEM data', 'high resolution earth observation image', 'hyperspectral and LiDAR data fusion', 'image SR method', 'imagery and Digital Elevation Model', 'impervious surface', 'inexpensive satellite imagery', 'Landsat and Sentinel series', 'Landsat imagery', 'lidar', 'multispectral data', 'multispectral high resolution scene', 'multitemporal satellite image', 'Overhead imagery', 'Photogrammetry and Remote Sensing', 'raw 3D point cloud', 'real world HSR image dataset', 'satellite imagery', 'single satellite image', 'subsampled orthophoto', 'terrain character', 'traditional interpolation method', 'UAV image', 'UAV video', 'visible band difference vegetation index']",28,"[9, 46, 73, 87, 93, 118, 128, 141, 161, 165, 169, 183, 226, 231, 234, 254, 314, 330, 389, 398, 418, 463, 469, 473, 490, 525, 547, 548]"
8,37,0.9821675481000001,2,0.8724923418,28,"['binary feature classification', 'candidate identification', 'change detection', 'change detection result', 'classifier layer', 'damage detection system', 'incident wave signature', 'LIDAR and computer vision method', 'many powerful general semantic segmentation model', 'multiple sensor input', 'natural feature detection', 'novel semisupervised scene classification method', 'object detection method', 'pair segmentation algorithm region descriptor', 'predominant feature', 'Random Forest algorithm', 'scene classification task', 'scene image classifier', 'semantic segmentation', 'semantic segmentation method', 'shadow detection', 'single vehicle extraction', 'small object', 'spatial feature', 'spatial pyramid matching', 'superpixel segmentation', 'unsupervised feature', 'vehicle detection']",22,"[16, 37, 46, 93, 118, 128, 141, 165, 169, 183, 231, 237, 254, 259, 314, 389, 460, 463, 469, 473, 525, 548]"
8,37,0.9821675481000001,3,0.8632983183,13,"['accurate and fast building detection', 'aerial building dataset', 'automatic building detection', 'Automatic building extraction', 'Building change detection', 'building detection', 'building detection framework', 'building extraction accuracy', 'Building footprint information', 'building size prediction', 'natural disaster detection', 'scene and roofing material', 'specific decoder leverage roof type classification']",12,"[23, 37, 87, 141, 161, 188, 234, 259, 463, 469, 525, 547]"
8,37,0.9821675481000001,4,0.7200297553,26,"['3D city model', 'building and road', 'change map', 'Coastal development', 'complex urban study area', 'date building map', 'digital urban data', 'geoinformatics community', 'huge amount', 'human productive activity', 'land cover mapping', 'land use', 'large earthquake', 'new GeoAI research method', 'popular aerial image dataset UCMerced Land use', 'Urban Atlas land classification dataset', 'urban climate', 'urban data', 'urban intelligent navigator', 'urban mapping', 'urban planning', 'urban planning and development', 'urban planning and disaster management', 'urban planning and management', 'urban study and deforestation monitoring', 'urban study area']",27,"[16, 23, 46, 66, 73, 87, 118, 128, 141, 165, 169, 183, 188, 226, 234, 237, 254, 314, 330, 418, 460, 462, 463, 469, 473, 490, 548]"
8,37,0.9821675481000001,5,0.6232554571000001,36,"['adversarial training scheme', 'CNN architecture', 'CNNs parameter', 'convolutional network', 'Convolutional Neural Networks', 'deep architecture', 'deep convolutional neural network', 'deep learning', 'deep learning algorithm', 'deep learning framework', 'deep learning model', 'Deep learning paradigm', 'deep learning scheme', 'deep neural network', 'deep representation', 'deep supervision and scale attention', 'extreme learning machine', 'generative adversarial net', 'GLGOD Net', 'invariant augmentation', 'Kernel Point Convolution', 'MRF', 'multiscale prediction', 'neural network', 'new deep supervision module', 'optimal label', 'other deep learning model', 'R CNN', 'raw input data', 'semantic representation', 'single objective loss', 'single receptive field', 'source deep learning', 'spectral spatial residual network', 'Transfer Learning', 'transfer learning framework']",32,"[9, 16, 23, 37, 46, 66, 73, 87, 93, 118, 128, 161, 165, 169, 183, 188, 226, 231, 234, 237, 254, 259, 314, 330, 389, 398, 418, 460, 462, 469, 490, 547]"
8,37,0.9821675481000001,6,-0.32706807260000004,28,"['atrous spatial pyramid', 'bathymetry estimation', 'D cube', 'different street object', 'earth population', 'extra lightweight encoder', 'geographic image retrieval', 'huge opportunity', 'hyperspectral image classification', 'important role', 'intelligent unmanned aerial vehicle navigation', 'large annotated dataset', 'large scale dataset', 'lczs', 'new data fusion strategy', 'open access Sentinel', 'physical interpretation', 'ResNet50 encoder', 'road edges', 'same pixel', 'secondary task', 'security concern', 'selective nonlocal operation', 'Spark RDD image', 'standard benchmark', 'such LIDAR', 'temporal dynamic', 'U net_adam_bands']",25,"[16, 23, 46, 66, 73, 93, 118, 128, 161, 169, 183, 188, 226, 234, 237, 254, 314, 330, 389, 398, 418, 462, 490, 525, 548]"
8,37,0.9821675481000001,7,-0.43989655110000003,6,"['class semantic segmentation task', 'deep supervision', 'generator loss', 'mask R CNN', 'matrix covariance descriptor', 'sparse representation and classification']",6,"[16, 37, 66, 231, 237, 525]"
9,23,0.9605302144000001,1,0.8983373122,30,"['algorithm Random Forest', 'Bagging and Random Forest', 'class support vector machine', 'Classification and regression tree', 'data weight coefficient', 'decision tree', 'extreme learning machine', 'feature and threshold', 'hierarchical machine learning Feature Analyst classifier', 'image and texture value', 'image classification technique', 'k means clustering method', 'kappa coefficient', 'machine learning algorithm', 'machine learning algorithms', 'machine learning intelligence', 'MAE and RMSE value', 'OLI image classification', 'overall classification accuracy ranges', 'random forest', 'rotation forest', 'semantic net', 'statistical result', 'supervised classification', 'supervised classification and machine learning technique', 'supervised image classification method', 'Support Vector Machine', 'SVM classifier', 'TIRS Level', 'WEKA and R programming language']",22,"[11, 72, 120, 167, 171, 230, 252, 320, 331, 374, 391, 458, 475, 497, 515, 551, 565, 569, 576, 578, 588, 590]"
9,23,0.9605302144000001,2,0.8893821529,14,"['aerial photography and QuickBird imagery', 'atmospheric image', 'date Landsat imagery', 'Google Earth Engine', 'high resolution satellite image', 'IKONOS satellite imagery', 'Indian Remote Sensing Satellite System Linear Imaging Self Scanning Sensor', 'Landsat data', 'multitemporal high spatial resolution imagery', 'Quick Bird sensor', 'satellite image', 'satellite imagery', 'synthetic aperture radar', 'UAV image']",18,"[11, 72, 120, 167, 171, 230, 252, 361, 391, 458, 475, 497, 551, 565, 569, 578, 588, 590]"
9,23,0.9605302144000001,3,0.8168598242,17,"[""China's Sponge City initiative"", 'coastal area development', 'dramatic urbanization', 'future urban stormwater management model development', 'GIS functionality', 'new urban land', 'rio', 'urban blue green gray infrastructure classification', 'urban catchment area', 'urban heat island', 'urban land cover', 'urban land use', 'urban land use mapping', 'urban planning', 'urban planning and management', 'Urban structure type', 'yangon']",14,"[11, 171, 230, 361, 391, 458, 475, 497, 515, 551, 565, 569, 578, 590]"
9,23,0.9605302144000001,4,0.6953817846,27,"['accurate land cover feature', 'change detection analysis', 'cropland area', 'difference vegetation index', 'ecosystem service', 'green roofs and grass', 'Japanese cedar', 'Land Change Modeler', 'land cover', 'land cover change', 'land cover change mapping', 'land cover class', 'land cover classification', 'land cover mapping', 'land surface temperature', 'land use change', 'Land use change statistic', 'land use classification', 'Land Use Land Cover', 'landscape diversity', 'LST and land cover classification', 'LULC change', 'Monitoring land cover change', 'natural resource', 'Riparian vegetation', 'temporal and spatial variability', 'urban land cover change']",19,"[11, 72, 120, 167, 171, 230, 320, 331, 361, 374, 391, 497, 515, 565, 569, 576, 578, 588, 590]"
9,23,0.9605302144000001,5,0.3036970788,5,"['annual air pollution removal rate', 'environmental monitoring', 'perennial drainage', 'rainfall volume', 'urban vegetation mapping']",5,"[230, 252, 320, 361, 590]"
9,23,0.9605302144000001,6,-0.1547087054,8,"['date composite change detection technique', 'human interpretation', 'multivariate variogram', 'NN ge', 'Random Forests landcover classification', 'rapid change', 'single date image analysis', 'Various graph measure']",8,"[72, 167, 252, 331, 458, 475, 565, 578]"
10,23,0.9420474307000001,1,0.8558643666,14,"['annual land use change', 'combinatory land use index', 'current and future land use transition', 'hierarchical farmland protection policy', 'land consumption', 'land cover change analysis', 'Land Transformation Model', 'land use change modeling', 'land use planning effectiveness', 'landscape index similarity', 'long term water system adaptation planning', 'Several land price prediction model', 'several land use class', 'transformation rule']",12,"[114, 256, 288, 348, 420, 426, 436, 464, 494, 553, 554, 593]"
10,23,0.9420474307000001,2,0.7222273962,10,"['adversarial network', 'artificial neural network', 'cellular automata', 'cellular automaton', 'cellular automaton model', 'effective deep learning method', 'Layer Perceptron', 'radial basis function network', 'semantic inpainting algorithm', 'UMCNN and Markov chain']",9,"[6, 182, 288, 299, 420, 426, 436, 494, 553]"
10,23,0.9420474307000001,3,0.6680533611,28,"['building height', ""city's sustainability"", 'dimensional urban development', 'dynamic urbanscapes', 'future urban extent', 'growth rate', 'human environment interaction', 'multivariate municipality data', 'Regional population forecast', 'residential land growth simulation', 'small Polish city', 'smart city growth', 'smart urban planning and management', 'spatial and economic development', 'urban area', 'urban development', 'urban expansion trend', 'urban growth', 'urban growth map', 'urban growth model', 'urban planning', 'urban planning and design', 'urban planning model', 'urban sprawl and population', 'urban subcenters and waterscape', 'urban subclass', 'urban transition rule mining', 'urbanization rate']",21,"[6, 100, 114, 175, 182, 256, 288, 299, 310, 348, 352, 426, 436, 464, 509, 553, 554, 570, 582, 593, 594]"
10,23,0.9420474307000001,4,0.5743836038,13,"['Artificial Intelligence', 'cluster', 'data mining tool', 'fuzzy inference system', 'genetic algorithms', 'machine learning', 'machine learning technology', 'OSM', 'QGIS plug in', 'random forest', 'Support Vector Machines', 'Symbolic machine learning method', 'XGBoost algorithm']",9,"[100, 310, 352, 464, 553, 554, 582, 593, 594]"
10,23,0.9420474307000001,5,0.4535709767,16,"['attraction learning model', 'completeness error', 'feature importance', 'index weight', 'integrated ML CA LTM modeling framework', 'learning model', 'Logistic regression', 'model prediction', 'overestimation problem', 'pertinent statistical measure', 'prediction error', 'several independent driving variable', 'Significant association', 'target plot', 'uncertainty', 'weighted regression']",13,"[100, 175, 182, 256, 288, 299, 420, 494, 509, 553, 570, 582, 594]"
