Cluster,Score,NumDocs,DocIds,Terms,Dimension,Min_Samples,Min_Cluster_Size
11,0.9821675481000001,37,"[9, 16, 23, 37, 46, 66, 73, 87, 93, 118, 128, 141, 161, 165, 169, 183, 188, 226, 231, 234, 237, 254, 259, 314, 330, 389, 398, 418, 460, 462, 463, 469, 473, 490, 525, 547, 548]","deep learning, segmentation, semantic segmentation, object detection, building detection, building extraction, aerial image, building footprint, change detection, overhead imagery",100,20,35
12,0.9605302144000001,23,"[11, 72, 120, 167, 171, 230, 252, 320, 331, 361, 374, 391, 458, 475, 497, 515, 551, 565, 569, 576, 578, 588, 590]","land, cover, land cover, image classification, cover change, urban land, change detection, cover classification, detection analysis, cover mapping",35,20,20
13,0.9420474307000001,23,"[6, 100, 114, 175, 182, 256, 288, 299, 310, 348, 352, 420, 426, 436, 464, 494, 509, 553, 554, 570, 582, 593, 594]","land use, expansion, urban growth, urban expansion, residential land, use policy, building height, land price, urban footprint, urban change",35,20,20
14,0.3696657951,18,"[59, 78, 96, 130, 144, 186, 193, 212, 245, 251, 260, 282, 328, 368, 393, 427, 479, 559]","land cover, urban land, cover classification, use category, contextual feature, land growth, population spatialization, deep highway, highway unit, unit network",25,5,15
15,0.3659226226,18,"[89, 106, 129, 153, 162, 236, 301, 327, 333, 405, 478, 496, 507, 528, 552, 557, 563, 592]","cloud, point cloud, geometric feature, lidar point, data fusion, urban point, cloud data, area extraction, packed building, water type",25,5,15
16,-0.1741013421,17,"[8, 74, 92, 113, 137, 158, 283, 285, 289, 312, 378, 437, 443, 444, 452, 476, 531]","land cover, training sample, road centerline, road extraction, green area, optical data, cloud omission, omission error, unreinforced masonry, decision level",25,5,15
17,-0.5770370976,18,"[42, 90, 119, 135, 190, 208, 213, 225, 293, 302, 303, 316, 317, 344, 347, 524, 572, 589]","urban development, land cover, urban growth, urban land, development pattern, stream water, water quality, urban forest, land expansion, slum area",35,20,20
18,0.9650078855,10,"[65, 91, 122, 136, 140, 323, 339, 470, 480, 484]","park, park accessibility, life circle, spatial justice, housing estate, economic mobility, estimation model, community life, internal structure, behavioral demand",35,10,10
19,0.3197707798,16,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 567, 575, 579]","block level, building block, functional zone, geodemographic classification, ecosystem service, street context, cultural ecosystem, functional area, aesthetic rating, building type",35,10,10
20,-0.4334374485,33,"[7, 15, 34, 43, 95, 99, 126, 147, 160, 163, 164, 180, 185, 197, 204, 219, 241, 262, 263, 270, 276, 286, 290, 318, 365, 397, 401, 402, 413, 513, 535, 577, 591]","address, address record, deprivation, pocket, urban poverty, deprivation pocket, prenatal care, infill development, similarity analysis, architectural color",35,10,10
21,0.9688758878,15,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]","susceptibility, landslide, landslide susceptibility, susceptibility map, susceptibility mapping, flood, conditioning factor, rockfall hazard, shallow landslide, burnt area",80,10,15
22,0.6157260256,18,"[19, 24, 45, 123, 181, 195, 214, 223, 227, 255, 335, 350, 366, 406, 508, 521, 596, 597]","emission, carbon emission, urban climate, interface network, vehicle ownership, traffic noise, express service, form indicator, physical asset, network connectivity",80,10,15
23,0.8341693870000001,21,"[28, 29, 39, 44, 57, 60, 71, 79, 115, 168, 172, 198, 215, 216, 222, 247, 265, 274, 372, 456, 585]","temperature, heat, surface temperature, urban heat, heat island, air temperature, canyon geometry, urban vegetation, urban park, urban canyon",35,15,10
24,0.8018109242,18,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]","air, concentration, pollutant concentration, air pollution, air quality, health hazard, concentration prediction, mode decomposition, secondary decomposition, noise pollution",35,15,10
25,0.6515042403,12,"[18, 85, 203, 242, 360, 419, 440, 457, 465, 540, 556, 586]","smart data, building height, medium user, differential equation, objective function, intervention strategy, neurological network, query engine, design recommendation, city configuration",35,15,10
26,0.9881237136000001,12,"[111, 149, 221, 278, 279, 284, 400, 446, 448, 471, 506, 518]","signal, localization, path loss, multipath, pseudorange, signal reception, multipath detection, direct signal, signal correlation, level observation",45,10,10
27,0.8743251776000001,17,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]","heat, temperature, heat island, urban heat, comfort, surface temperature, thermal comfort, carbon sequestration, sequestration potential, food productivity",70,30,15
28,0.3657730719,14,"[20, 80, 101, 192, 224, 239, 306, 322, 349, 403, 409, 441, 481, 517]","energy, energy use, electric consumption, performance criterion, consumption data, multiple performance, heritage area, consumption forecasting, occupant behaviour, design parameter",45,10,10
29,0.2626563342,13,"[40, 54, 70, 108, 132, 179, 207, 266, 275, 308, 357, 408, 442]","energy, building energy, energy demand, urban modeling, modeling technique, urban model, load prediction, feature parameter, electrical load, load forecasting",30,5,10
30,-0.0044508176,20,"[47, 67, 75, 76, 98, 103, 143, 151, 152, 174, 297, 354, 377, 381, 385, 390, 487, 532, 541, 583]","crime, urban governance, urban technology, fall, tender, crime pattern, public consultation, crime distribution, concentration area, tender procedure",30,5,10
31,-0.1418404986,34,"[1, 12, 21, 33, 36, 53, 56, 58, 61, 64, 68, 88, 109, 112, 121, 148, 150, 166, 173, 199, 205, 246, 250, 332, 369, 386, 399, 414, 558, 564, 566, 568, 580, 581]","player, crime, mosquito, densification, violent crime, property crime, total population, ethnic heterogeneity, spatial lag, residential stability",30,5,10
