ArticleCluster,Article_num,ArticleCluster_Score,KeywordGroups,score,num_keywords,Keywords,NumDocs,DocIds
4,14,0.6371890009,2,0.5689160320000001,43,"['electric taxi', 'spatio temporal distribution and travel behavior', ""TTOC's fuel consumption"", 'ridership factor', 'Mining trajectory data', 'urban planning', 'urban event', 'mobility and infrastructure', 'real world event data', 'travel mode choice', 'specific travel time', 'complex public transit travel pattern', 'other urban data', 'discrete urban space', 'Geolocated telecom data', 'stay', 'rapid and efficient automation population mapping method', 'sparse mobile phone data', 'advanced urban application', 'location category', 'human mobility', 'socioeconomic status', 'urban design and marketing strategy development', 'human mobility data', 'positioning', 'cellular radio tower geo positioning', 'bike flow pattern discovery', 'further urban planning and POI recommendation', 'flexible cycling and parking', 'recent year', 'signature travel activity patterns', 'Singapore truck driver', 'freight behavior', 'pedestrian behavior modeling', 'heterogeneous urban datasets', 'crime risk', 'urban walkability', 'local pedestrian count data', 'public transportation route planning', 'real geo data', 'commuter travel pattern', 'smart card transaction data', 'urban planner']",14,"[134, 249, 261, 296, 326, 337, 358, 362, 373, 395, 425, 428, 545, 546]"
4,14,0.6371890009,3,-0.40790048440000004,11,"['latent semantic relationship', 'social network and crowd behavior', 'spatial and temporal impact', 'unique dataset', 'visual analytics', 'graph embedding algorithmto', 'trajectory reconstruction method', 'spatiotemporal granularity', 'graph clustering model', 'activity reconstruction', 'interactive visual analytics']",8,"[249, 261, 296, 326, 358, 395, 425, 546]"
5,16,0.7255807228000001,1,0.8700371128000001,27,"['report category', 'machine learning', 'participatory analytics approach', 'social medium big data mining', 'VADER Sentiment Analysis', 'unstructured data', 'mixed method approach', 'social medium platform', 'latent Dirichlet allocation', 'Big Data', 'popular word', 'natural language processing', 'machine learning model', 'big data and geo text mining technique', 'other probabilistic topic model', 'unstructured community input', 'Naïve Bayes classifier', 'tweet', 'Semantic analysis', 'Computational social medium data analysis', 'review SMDA', ""people's opinion"", 'based data', 'joint nonnegative matrix factorization model', 'clustering process', 'topic modeling', 'textual feedback data']",14,"[55, 125, 139, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]"
5,16,0.7255807228000001,2,0.8347237684000001,24,"['zurich', 'urban issue', 'urban space', 'urban planning', 'planner and developer', 'urban planner', 'smart city', 'urban informatics', 'city image dimension', 'city branding strategy', 'urban redevelopment and regeneration', 'building permit data', 'urban neighborhood', 'nighttime population number', 'urban computing', 'historical urbanization issue', 'simplified Place2vec model', 'actual urban functional region', 'international development', 'low income family', 'sustainable urban system', 'participatory urban planning', 'general urban centric feedback analysis framework', 'precise geospatial information']",16,"[55, 124, 125, 139, 194, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]"
5,16,0.7255807228000001,3,-0.2502389423,24,"['Local government use data', 'available smartphone data', 'work activity', 'different lifestyle and income group', 'additional transportation and population data', 'machine learning planning support system', 'design process', 'spatiotemporal dynamism', 'Dynamic Topic Model', 'diverse informal civic query data', 'civic demand', 'such problem', 'new sensor', 'Label detection', 'restaurant data', 'timely socioeconomic data', 'mobile crowdsensing', 'business', 'functional region identification accuracy', 'Positive deviance', 'systematic literature review', 'human mobility data', 'region function', 'spatial and temporal trend']",13,"[55, 124, 125, 139, 194, 202, 244, 353, 355, 375, 415, 491, 511]"
6,16,0.6991639521,1,0.8359090676,34,"['gated memory network', 'deep learning prediction', 'graph auto encoder', 'unsupervised clustering and gap statistic', 'machine learning', 'excellent user experience neotype', 'dynamic programming algorithm', 'Quantum Annealing', 'brain', 'traditional clustering algorithm', 'inverse reinforcement learning', 'extreme learning machine', 'particle swarm optimization', 'safe RL algorithm', 'scene decomposition approach', 'modular decision', 'reinforcement learning', 'fuzzy logic', 'security camera', 'QOS parameter', 'Robust prediction', 'autonomous driving', 'hierarchical structure', 'fuzzy rule base', 'aware mobile computing', 'Gaussian combination', 'genetic algorithm', 'knowledge learning system', 'deep convolutional neural network', 'memory environment', 'collective machine learning process', 'person detection method', 'accurate anomaly detection', 'hidden Markov model']",14,"[63, 69, 138, 209, 233, 307, 356, 370, 382, 433, 435, 450, 461, 466]"
6,16,0.6991639521,2,0.8108805404,45,"['traffic accident prediction', 'large urban area', 'short period', 'meaningful urban mobility structure', 'novel transit mobility structure detection problem', 'human mobility pattern', 'complex network analysis', 'GPS trajectory data', 'route recommendation', 'urban planning', 'bus route planning', 'travel demand prediction', 'transport mode', 'intelligent and efficient transportation system', 'an and Chengdu', 'traffic forecasting', 'human like travel activity', 'survey data', 'synthetic urban dynamic', 'short term traffic flow forecasting', ""Amsterdam's ring road"", 'nonlinear relationship', 'traffic participant', 'motion planning', 'vulnerable road users', 'spatial area', 'Reachability analysis', 'acceleration and velocity', 'urban traffic network', 'traffic light control system', 'pedestrian motion', 'roundabout and straight road', 'intelligent transportation system', 'global positioning system trajectory', 'friendly urban freight transportation system', 'unlabeled customer coordinate', 'routing', 'traffic path', 'frequent red light', 'individual vehicle speed', 'urban traffic management', 'region agent', 'intersection agent', 'violent event', 'urban environment']",16,"[63, 69, 127, 138, 209, 233, 307, 356, 363, 370, 382, 433, 435, 450, 461, 466]"
7,37,-0.4262969418,1,0.49309802,66,"['urban informal economy', 'smart urban governance platform', 'urban problem complaint hotline', 'urban area road monitoring application', 'smart city context', 'unsupervised commercial district discovery framework', 'human mobility', 'Chengdu City', 'Accurate traffic forecasting', 'tourist flow', 'vehicular traffic modelling', 'large spatio temporal datasets', 'trip generation forecasting model', 'urban planning', 'residential travel census', 'Optimal store placement', 'rich city', 'individual travel behavior', 'uncertain geographic context problem', 'urban network path', 'real world taxi journey dataset', 'intelligent city construction', 'road traffic crash location data', 'urban planning and development', 'improved geoparsing algorithm', 'comfortable urban environment', 'road infrastructure', ""mobile phone user's location information"", 'fine grained human mobility pattern', 'Road Mapping Infrastructures', 'city semantic analogy', 'geographic information retrieval', 'Smart Cities', 'Sustainable Development Goals', 'urban planning and management', 'urban planning and traffic modeling', 'dynamic urban theory', 'future smart city', 'ongoing digitalization', 'urban economy and mobility system', 'commuting flow', 'geographic movement', 'traffic incident analysis', 'urban functional zoning and land use classification', 'railway safety', 'passenger data', 'urban planning and design', 'similar region', 'traffic management', 'mobile phone datasets', 'crime prediction', 'large human mobility data', 'Smart city', 'efficient movement', 'smart mobility', 'massive urban data', 'transportation information', 'tourist move', 'urban resource planning', 'travel behavior interpretation', 'activity transition', 'real time travel mode detection', 'optimal police patrol strategy', 'intelligent urban data', 'Industrial Track Contributions', 'overall terrorist attack prediction system']",35,"[3, 13, 22, 30, 32, 83, 84, 97, 104, 110, 117, 133, 146, 156, 184, 210, 211, 257, 272, 273, 281, 295, 311, 343, 345, 384, 388, 430, 468, 503, 516, 522, 537, 543, 561]"
7,37,-0.4262969418,2,0.49038958330000004,81,"['big data', 'spatiotemporal pattern and occurrence mechanism', 'spatial familiarity', 'eye tracking data', 'random forest classifier', 'important high level user context', 'crowd data', 'machine learning technique', 'graph convolution network', 'embedding space clustering', 'multiscale graph attention network', 'dynamic and spatial dependency', 'temporal trend', 'random forest', 'spatiotemporal distribution and dynamic', 'social data', 'sport analytics', 'Active learning', 'decision tree', 'large scale training sample', 'multimodal data distribution', 'such predictive model', 'different graph input representation', 'temporal information', 'intelligence inference layer', 'semantic database', 'twitter', 'machine learning model', 'manual and automatic object recognition', 'intelligent system', 'deep learning model', 'graph fusion module', 'affective Analytics and Visualization', 'Explainable Artificial Intelligence', 'Visualization Reference Model', 'Advanced Visual Big Data Analysis', 'hierarchical dataset', 'hierarchical clustering', 'new similarity measure', 'community detection algorithms', 'flow map', 'machine learning', 'Geocontextual Multitask Embedding Learner', 'graph attention network', 'predictive power', 'large and diverse corpus', 'hand labeling', 'confirmation and machine learning', 'word embedding', 'Twitter interaction', 'Deep Neural Network Classification', 'Transparent Health', 'Ambient Intelligent Agent System Designs', 'social medium and traffic data', 'spatial clustering', 'distribution waveform', 'big data analysis', 'discovery and topic modeling extraction', 'novel framework', 'Latent Dirichlet Allocation', 'large scale graph machine learning', 'convolutional network', 'social network', 'ensemble technique', 'spatio temporal feature', 'data mining technique', 'computer science', 'resolution grid', 'intuitive way', 'preprocessing tool', 'visual clutter', 'atomic segment', 'aware service provision', 'game abstraction framework', 'similar target', 'social medium message', 'visual analytics', 'near real time reasoning layer', 'complex event processing system', 'meaningful alert', 'tactical and strategic user role']",35,"[3, 4, 13, 22, 30, 32, 83, 84, 97, 110, 117, 133, 146, 156, 184, 210, 211, 257, 272, 273, 281, 295, 309, 311, 343, 345, 384, 388, 430, 468, 503, 522, 537, 543, 561]"
7,37,-0.4262969418,3,-0.2299008583,33,"['mobile phone positioning', 'data validation framework', 'gatns', 'residence information', 'offensive strategy', 'GBDT', 'adaptative meta', 'GIS and machine learning technique', 'assault and offenses', 'multiple environmental factor', 'terrorism information perception system', 'real time data', 'traffic violation', 'citywide human OD flow prediction', 'Place2Vec model', 'baseline Yelp', 'COVID pandemic', 'crowd voting', 'large amount', 'Future Technologies', 'Crowd Management', 'taxi driver', 'risk assessment process', 'Bow Tie', 'driver car', 'valid research area', 'humanitarian response and poverty estimation', 'Foursquare venue', 'Interactive Maps', 'traditional survey', 'urban crime', 'heuristic propagation model', 'crowd flow prediction']",24,"[4, 13, 30, 32, 83, 84, 97, 104, 117, 146, 156, 210, 211, 281, 295, 309, 311, 343, 384, 388, 430, 516, 537, 543]"
8,37,0.9821675481000001,1,0.8933044664,75,"['high resolution DEM data', 'image SR method', 'traditional interpolation method', 'terrain character', 'urban planning', 'Building change detection', 'urban planning and development', 'natural disaster detection', 'imagery and Digital Elevation Model', 'new GeoAI research method', 'building and road', 'open access Sentinel', 'impervious surface', 'Landsat and Sentinel series', 'Automatic building extraction', 'Photogrammetry and Remote Sensing', 'raw 3D point cloud', 'earth population', 'hyperspectral and LiDAR data fusion', 'road edges', 'urban mapping', 'aerial image', 'UAV image', 'urban planning and management', 'building extraction accuracy', 'visible band difference vegetation index', 'Building footprint information', 'earth observation field', 'scene and roofing material', 'digital urban data', 'multitemporal satellite image', 'satellite imagery', 'Coastal development', 'UAV video', 'urban planning and disaster management', 'aerial building dataset', 'geoinformatics community', 'real world HSR image dataset', 'high resolution earth observation image', 'specific decoder leverage roof type classification', '3D city model', 'inexpensive satellite imagery', 'land cover mapping', 'urban climate', 'multispectral data', 'building size prediction', 'urban intelligent navigator', 'drone', 'LIDAR and computer vision method', 'different street object', 'airborne SAR mapping approach', 'such LIDAR', 'date building map', 'Overhead imagery', 'Earth Observation Data', 'Spark RDD image', 'lidar', 'complex urban study area', 'urban data', 'accurate and fast building detection', 'subsampled orthophoto', 'urban study area', 'aerial imagery', 'building detection', 'Landsat imagery', 'urban study and deforestation monitoring', 'change map', 'Urban Atlas land classification dataset', 'land use', 'automatic building detection', 'intelligent unmanned aerial vehicle navigation', 'building detection framework', 'single satellite image', 'popular aerial image dataset UCMerced Land use', 'multispectral high resolution scene']",37,"[9, 16, 23, 37, 46, 66, 73, 87, 93, 118, 128, 141, 161, 165, 169, 183, 188, 226, 231, 234, 237, 254, 259, 314, 330, 389, 398, 418, 460, 462, 463, 469, 473, 490, 525, 547, 548]"
8,37,0.9821675481000001,2,0.5023501132,74,"['neural network', 'many powerful general semantic segmentation model', 'multiscale prediction', 'deep supervision', 'new deep supervision module', 'atrous spatial pyramid', 'deep learning', 'novel semisupervised scene classification method', 'generative adversarial net', 'source deep learning', 'new data fusion strategy', 'natural feature detection', 'class semantic segmentation task', 'same pixel', 'extreme learning machine', 'convolutional network', 'change detection', 'deep neural network', 'Kernel Point Convolution', 'Random Forest algorithm', 'Convolutional Neural Networks', 'vehicle detection', 'deep learning algorithm', 'security concern', 'semantic segmentation', 'deep supervision and scale attention', 'damage detection system', 'deep learning model', 'incident wave signature', 'semantic segmentation method', 'CNN architecture', 'temporal dynamic', 'single receptive field', 'deep representation', 'GLGOD Net', 'sparse representation and classification', 'spatial pyramid matching', 'transfer learning framework', 'scene image classifier', 'single objective loss', 'mask R CNN', 'object detection method', 'deep convolutional neural network', 'lczs', 'scene classification task', 'deep learning framework', 'small object', 'predominant feature', 'invariant augmentation', 'R CNN', 'adversarial training scheme', 'unsupervised feature', 'Transfer Learning', 'CNNs parameter', 'Deep learning paradigm', 'physical interpretation', 'raw input data', 'single vehicle extraction', 'multiple sensor input', 'candidate identification', 'spectral spatial residual network', 'D cube', 'other deep learning model', 'binary feature classification', 'superpixel segmentation', 'shadow detection', 'deep learning scheme', 'change detection result', 'deep architecture', 'pair segmentation algorithm region descriptor', 'MRF', 'optimal label', 'classifier layer', 'spatial feature']",37,"[9, 16, 23, 37, 46, 66, 73, 87, 93, 118, 128, 141, 161, 165, 169, 183, 188, 226, 231, 234, 237, 254, 259, 314, 330, 389, 398, 418, 460, 462, 463, 469, 473, 490, 525, 547, 548]"
8,37,0.9821675481000001,3,-0.41819077600000004,19,"['selective nonlocal operation', 'generator loss', 'semantic representation', 'U net_adam_bands', 'huge amount', 'extra lightweight encoder', 'large earthquake', 'bathymetry estimation', 'ResNet50 encoder', 'human productive activity', 'geographic image retrieval', 'secondary task', 'important role', 'large scale dataset', 'large annotated dataset', 'hyperspectral image classification', 'standard benchmark', 'matrix covariance descriptor', 'huge opportunity']",17,"[16, 37, 73, 128, 161, 165, 169, 188, 226, 234, 237, 389, 398, 462, 490, 525, 548]"
9,23,0.9605302144000001,1,0.9244569712,30,"['random forest', 'Support Vector Machine', 'rotation forest', 'class support vector machine', 'statistical result', 'decision tree', 'extreme learning machine', 'machine learning algorithms', 'TIRS Level', 'WEKA and R programming language', 'OLI image classification', 'MAE and RMSE value', 'supervised image classification method', 'kappa coefficient', 'algorithm Random Forest', 'human interpretation', 'overall classification accuracy ranges', 'SVM classifier', 'machine learning intelligence', 'k means clustering method', 'data weight coefficient', 'supervised classification and machine learning technique', 'Classification and regression tree', 'image classification technique', 'Bagging and Random Forest', 'supervised classification', 'semantic net', 'feature and threshold', 'machine learning algorithm', 'hierarchical machine learning Feature Analyst classifier']",22,"[11, 72, 120, 167, 171, 230, 252, 320, 331, 374, 391, 458, 475, 497, 515, 551, 565, 569, 576, 578, 588, 590]"
9,23,0.9605302144000001,2,0.8340378424,51,"['urban blue green gray infrastructure classification', 'green roofs and grass', 'future urban stormwater management model development', 'Land Use Land Cover', 'rapid change', 'land use change', 'ecosystem service', 'landscape diversity', 'urban land cover change', 'multivariate variogram', 'difference vegetation index', 'urban land use', 'land cover change', 'perennial drainage', 'Riparian vegetation', 'urban planning and management', 'urban vegetation mapping', 'land cover change mapping', 'environmental monitoring', 'land cover mapping', 'land cover classification', ""China's Sponge City initiative"", 'rainfall volume', 'urban catchment area', 'Land Change Modeler', 'LULC change', 'natural resource', 'cropland area', 'yangon', 'urban land use mapping', 'urban land cover', 'Monitoring land cover change', 'urban planning', 'land cover class', 'LST and land cover classification', 'urban heat island', 'GIS functionality', 'land surface temperature', 'Urban structure type', 'Various graph measure', 'land cover', 'coastal area development', 'Land use change statistic', 'rio', 'Japanese cedar', 'new urban land', 'temporal and spatial variability', 'land use classification', 'accurate land cover feature', 'annual air pollution removal rate', 'dramatic urbanization']",23,"[11, 72, 120, 167, 171, 230, 252, 320, 331, 361, 374, 391, 458, 475, 497, 515, 551, 565, 569, 576, 578, 588, 590]"
9,23,0.9605302144000001,3,0.5835778416,20,"['UAV image', 'satellite image', 'change detection analysis', 'Indian Remote Sensing Satellite System Linear Imaging Self Scanning Sensor', 'multitemporal high spatial resolution imagery', 'IKONOS satellite imagery', 'satellite imagery', 'synthetic aperture radar', 'single date image analysis', 'NN ge', 'Google Earth Engine', 'Random Forests landcover classification', 'image and texture value', 'high resolution satellite image', 'date Landsat imagery', 'Landsat data', 'atmospheric image', 'date composite change detection technique', 'Quick Bird sensor', 'aerial photography and QuickBird imagery']",19,"[11, 72, 120, 167, 171, 230, 252, 331, 361, 391, 458, 475, 497, 551, 565, 569, 578, 588, 590]"
10,23,0.9420474307000001,1,0.9202134405,49,"['adversarial network', 'feature importance', 'XGBoost algorithm', 'machine learning technology', 'spatial pattern', 'support vector regression algorithm', 'weighted regression', 'Significant association', 'cellular automaton model', 'uncertainty', 'attraction learning model', 'artificial neural network', 'hidden relationship', 'target plot', 'semantic inpainting algorithm', 'model prediction', 'cellular automata', 'random forest', 'Cellular Automata modelling', 'fuzzy inference system', 'criteria analysis method', 'Layer Perceptron', 'comprehensive statistical trial and error', 'overestimation problem', 'effective deep learning method', 'cellular automaton', 'UMCNN and Markov chain', 'classification method', 'QGIS plug in', 'learning and testing procedure', 'integrated ML CA LTM modeling framework', 'endogenous optimization method', 'index weight', 'learning model', 'radial basis function network', 'pertinent statistical measure', 'machine learning', 'Symbolic machine learning method', 'cluster', 'Logistic regression', 'genetic algorithms', 'completeness error', 'OSM', 'data mining tool', 'evaluation procedure', 'Artificial Intelligence', 'Support Vector Machines', 'prediction error', 'several independent driving variable']",23,"[6, 100, 114, 175, 182, 256, 288, 299, 310, 348, 352, 420, 426, 436, 464, 494, 509, 553, 554, 570, 582, 593, 594]"
10,23,0.9420474307000001,2,0.8896612399,61,"['urban growth map', 'housing preference', 'Doha Metropolitan', 'Regional population forecast', 'urban planning', 'Several land price prediction model', 'smart city growth', 'urban subcenters and waterscape', 'spatial and economic development', 'small Polish city', 'satellite imagery', 'urban land prediction', 'growth rate', 'urban growth model', 'residential land growth simulation', ""city's sustainability"", 'human environment interaction', 'land use planning effectiveness', 'combinatory land use index', 'urban planning and design', 'urban growth', 'Landsat archive', 'dimensional urban development', 'building height', 'Guangzhou and Shenzhen', 'smart urban planning and management', 'hierarchical farmland protection policy', 'urbanization rate', 'annual land use change', 'Liangjiang New District', 'green infrastructure', 'dynamic urbanscapes', 'vacant site', 'long term water system adaptation planning', ""Scotchman's Creek"", 'current and future land use transition', 'Ganzhou city', 'urban subclass', 'geographic information system', 'urban transition rule mining', 'landscape index similarity', 'urban sprawl and population', 'land cover change analysis', 'lahore', 'Land Transformation Model', 'several land use class', 'urban inefficient industrial land recognition system', 'urban planning model', 'future urban extent', 'land use change modeling', 'multivariate municipality data', 'land consumption', 'urban expansion trend', 'topographic map', 'Shenyang city', 'distance factor', 'spatial data quality', 'urban area', 'transformation rule', 'spatial analysis', 'urban development']",23,"[6, 100, 114, 175, 182, 256, 288, 299, 310, 348, 352, 420, 426, 436, 464, 494, 509, 553, 554, 570, 582, 593, 594]"
10,23,0.9420474307000001,3,-0.9421440563000001,2,"[""Gordon's theory"", 'innovative and useful structure']",2,"[6, 554]"
11,18,-0.5770370976,1,0.8912898912,31,"['K Means algorithm', 'Spectral Imagery', 'spatial classification', 'Random Forest', 'POI factor', 'SHapley Additive explanation', 'black box nature', 'biophysical and biochemical property', 'intensity analysis', 'random forest classifier', 'terrain feature', 'spatial logistic regression modelling', 'Cellular Automata Markov Chain', 'model prediction', 'information entropy', 'classification and regression tree', 'effective image feature', 'Machine learning classification algorithm', 'ANN and RF', 'classification workflow', 'physical feature', 'high performance decision tree', 'property level attribute', 'Random Forest machine', ""urban forest and user's accuracy"", 'Support Vector Machines', 'spatial attribute', 'model evaluation', 'machine learning classifier', 'support vector machine', 'unbalanced']",17,"[42, 90, 119, 190, 208, 213, 225, 293, 302, 303, 316, 317, 344, 347, 524, 572, 589]"
11,18,-0.5770370976,2,0.6685791217,55,"['urban area', 'huancayo', 'urban land use dynamic', 'Huizhou downtown area', 'sound planning strategy', 'urban growth planning', 'impacts stream water quality', 'Texas Gulf Region', 'urban development', 'material consumption analysis', 'Earth Observation datasets', 'sand consumption', 'landcover map', 'water demand modeling', 'census tract', 'economic aspect', 'land use change', 'deforestation and degradation', 'urban growth', 'Taliban regime', 'Urban growth and land use change', ""Jordan's food security"", 'actual map', 'land use pattern', 'water consumption time series', 'changshu', 'municipal service data set', 'slum mapping', 'imagery and land boundary data', 'Caribbean country', 'landcover classification', 'unmanned aerial vehicle', 'urban slum area', 'urban land use', 'activity data', 'impervious surface cover change product', 'urbanization and cropland', 'Nile Delta', 'big time series data', 'sustainability threat', 'storm water management', 'adoption strategy', 'private residential land owner', 'urban forest cover', 'Google Earth Engine', 'spatial dataset', 'urban land use change', 'Geospatial datasets', 'urban land cover change', 'urban feature extraction technique', 'Athens agglomeration', 'year Landsat imagery archive', 'land use change modeling', 'road and facility', 'land use data']",18,"[42, 90, 119, 135, 190, 208, 213, 225, 293, 302, 303, 316, 317, 344, 347, 524, 572, 589]"
