Collocation,Score
operating characteristic,130.32169610887212
airborne lidar,130.0410189450906
decision trees,129.3897594943433
object detection,129.00327086128857
land surface,128.37274603523358
paper proposes,128.178642070074
receiver operating,126.91751296060745
south korea,126.19149907677381
united states,125.79263884722042
important role,124.4108348050463
previous studies,124.01146228906623
conditioning factors,123.75152184368604
expert systems,123.70377154035052
food productivity,122.68521764616708
trajectory data,122.59919206999811
deprivation pockets,122.56485648504169
light detection,121.75594447053587
large scale,121.11990957095712
data sources,120.5697553043471
learning ml,120.16559811183821
topics include,120.1265710288909
aerial images,120.06493082453433
urban growth,119.37138221817858
ranging lidar,119.15092584057997
sustainable development,118.98367930957573
thermal patches,118.77888046056498
smart card,117.48425291701648
public transportation,116.8772386003636
park accessibility,116.7078210640379
shared bus,116.44963885246864
urban data,116.21591174805117
water bodies,115.90679934786407
better understand,115.36155863143962
nile delta,115.18103775939963
large number,113.91634116206009
building detection,113.77412627484398
nlos signals,113.45662753947113
population density,113.39125887362253
study proposes,113.38865819423168
population distribution,112.99437155982497
pen net,112.69514316122513
results indicated,112.53091439984942
sequestration potential,111.82655143182691
transportation modes,111.76057570674911
commons attribution,111.67039572818511
proposed framework,110.8922021415818
positioning accuracy,110.77311932007349
training samples,110.64921878874199
building extraction,110.12388527541589
radar sar,109.70663307324743
boosted regression,108.96664336755154
block level,108.61206558375717
supervised machine,108.36842246117313
better understanding,106.83030005299621
mean square,106.46222222820909
cooling effect,106.08829562345507
learning approach,105.9656824060268
population growth,104.95652248918994
multilayer perceptron,104.87459534460115
lidar data,104.84680982748687
vehicle ownership,104.80540415445273
cover change,104.62092696653558
literature review,104.1853790714751
deep convolutional,104.17119814136845
island uhi,103.80171302425232
real estate,102.85986437173038
particulate matter,100.8569420821838
challenging task,100.77779635664817
stream water,100.63593191715307
policy makers,100.62507104475851
information system,100.2520652914342
western cape,99.3050873494333
aggregation index,99.29395697445773
information systems,99.04004173012393
absolute error,98.93359276994101
topics discussed,98.65774278768127
creative commons,97.8074521169862
transportation mode,97.58957367458677
road network,97.00602816049387
weighted regression,95.53652121320701
life circle,95.12407096556736
earth engine,94.97630317855298
data set,94.94015103464417
network cnn,94.79217974991249
landscape patterns,94.25999210084997
intelligent computation,93.73696378859962
discussed include,93.25502085742337
packed buildings,93.10332513017502
spatial heterogeneity,92.92828300155816
colour infrared,92.40079444559746
urban area,92.29152190188975
building footprints,91.98014028158794
square error,91.67047320337778
training data,91.48327766124885
taylor francis,91.12149572589018
unreinforced masonry,91.12149572589018
solar radiation,91.10555017765728
driving factors,91.00046250118663
data analysis,90.34235024990433
spatial distribution,90.27571806425776
topic modeling,89.81366017578569
language processing,89.76229176944886
agricultural afforestation,89.17698994343277
knowledge discovery,89.00275099733912
radial basis,88.68285207075493
travel patterns,88.17488573785768
transit mobility,88.16195358291046
health hazard,88.15902577828915
international conference,88.08571883858106
land uses,87.60573718130603
complexity science,87.4464590348979
regression lr,87.23005920203602
maximum likelihood,86.50097206671768
randomly selected,86.38646391486121
natural ventilation,86.23165830866252
open access,86.2054750190475
flow prediction,86.18217807639115
permits unrestricted,86.1174714905083
sensing data,85.59647333121094
thermal landscape,85.33148380551641
temperature lst,85.23312224813073
functional zones,84.8986118241059
rockfall hazard,84.77763827072154
data collected,84.6561440237052
things iot,84.4696935578483
energy performance,84.2306222896127
store placement,84.1472529166779
sustainable urban,84.1306118502135
overhead imageries,83.94489268674273
feature selection,83.46482572239576
building stock,83.17722083151158
road centerlines,83.09441937044855
global positioning,82.33597183977601
early warning,82.17896631748623
noise pollution,82.11516986610391
characteristic roc,81.98233960205764
roc curve,81.98233960205764
data collection,81.54136231487684
proposed model,81.40985125482644
energy use,81.18334429037142
allocation lda,80.80728548027115
case studies,80.70077372092658
urban functional,80.39196641658937
spatial resolution,80.25471934132881
sensor data,80.06817846779632
view imagery,79.92431237583268
landsat satellite,79.75245732209142
image analysis,79.6947378205937
impervious surfaces,79.18969061773049
dengue incidence,78.75618734713835
ai technologies,78.64760519224458
mode recognition,78.63695051056452
clustering algorithm,78.52749985379606
human perception,78.40025760015766
road networks,78.33562332423392
environmental monitoring,78.10138859077065
greenhouse gas,77.66126238570506
los angeles,77.66126238570506
markov chain,77.41768948846644
media data,77.35533735001185
river delta,77.12154178988905
public transit,76.89102282142979
gsv images,76.87041680846542
mosquito occurrence,76.63844276099246
nlos signal,76.51802062186093
traffic control,76.27916870070565
urban fabric,76.02809270213581
error rmse,76.008214642921
support systems,75.80421294855199
gnss positioning,75.60136090509681
paper aims,75.3089646793633
weather conditions,75.22760445370047
truck drivers,75.22122231752166
color icons,75.0732097129013
attribution license,75.02717806882973
opportunistic criminals,75.02717806882973
residential areas,74.77016321093225
traffic management,74.64794924103926
aerial vehicles,74.54741757205556
access article,74.45892896544704
genetic algorithms,74.38434958017066
pearl river,74.36994724550297
mobility data,74.17772638946332
system gis,73.41262245450852
ca model,73.27461910033091
intelligent transportation,73.21204118123075
building energy,72.97537083419783
public health,72.85378085244479
learning model,72.74568569920292
francis group,72.57128021093791
performance criteria,72.51951995193039
social sciences,72.35905487429903
transportation systems,72.21989034991722
use change,72.07886476284702
susceptibility mapping,71.96791128831045
load forecasting,71.96488307775019
mathematical programming,71.95042092381775
urban morphology,71.89996078315028
explanatory variables,71.77728594442937
service requests,71.6716790001461
regression models,71.6580404028345
pedestrian activity,71.32705983005533
absolute percentage,71.28672220394235
lidar point,70.9811358994511
policy making,70.96784910150625
public space,70.79753767362085
relative influence,70.69673465076517
shannon diversity,70.67116192837688
interest poi,70.5874546548742
short term,70.52750850983085
cfd simulation,70.50612837466404
pluvial flooding,70.47061177444242
particle swarm,70.4706117744424
feature vectors,70.43102464778843
gps trajectory,70.07144826695128
de janeiro,70.06723727861099
depok baru,70.06723727861099
gross domestic,70.06723727861099
hong kong,70.06723727861099
las vegas,70.06723727861099
mob recursive,70.06723727861099
monte carlo,70.06723727861099
montevideo uruguay,70.06723727861099
rio de,70.06723727861099
building block,69.94526589686888
different types,69.70276849673908
error mae,69.45955445204557
retail store,69.06294181939086
tender procedures,69.06294181939086
metropolitan area,68.97057490060293
resource management,68.599530469974
ground truth,68.46939378335641
card data,68.24935775715824
data weighting,68.24935775715824
high accuracy,68.10107416288184
rapidly urbanizing,67.85248371904385
transition rules,67.55792318631673
object based,67.5525402229299
human movement,67.50620821318577
chongqing china,67.08855508353807
widely applied,66.80684162731106
temporally varying,66.56088171634507
index ai,66.52811713978035
traffic volume,66.50872445456741
route planning,66.40660458649151
control system,66.12554377014095
hierarchical clustering,66.11627216627866
heat exposure,66.04247877674193
learning method,65.88268318614584
residential land,65.73474712437047
learning approaches,65.73362104149155
black box,65.5685561216605
fecal sludge,65.5685561216605
trunk circumference,65.5685561216605
upper awash,65.5685561216605
fine particulate,65.48896989511825
wind speed,65.38394952047037
dust storms,65.29641502234146
fuzzy logic,65.25561833371137
nighttime light,65.23190988030338
large amount,65.20654702032473
two decades,64.8850767123064
central tendency,64.86406564156349
cooling efficiency,64.51472488722987
comparative analysis,64.36638380162606
regression trees,64.21359474225726
sar images,64.0287392332159
urban space,63.931408892326914
percentage error,63.746448502942684
emergency response,63.7251326387981
scene classification,63.535086227376325
infrared images,63.42322531113309
factors affecting,63.261730590734466
great importance,63.2487352302373
disaster management,63.246220255539946
city china,63.14126526243612
accessed street,62.90861492583571
time consuming,62.837700592309375
travel times,62.53197182871213
drone futures,62.28105067470789
rf signatures,62.272410196059624
diversity index,62.21492941430923
geospatial data,62.11676596742756
tree species,62.03288946956831
impervious surface,61.924513963192965
rf fingerprint,61.869082609546204
boosted decision,61.850365339984315
informa uk,61.749471111891644
lagos metropolis,61.749471111891644
mason bee,61.749471111891644
vegas strip,61.749471111891644
greater athens,61.50047718757453
housing inequality,61.487614656115035
neighbor knn,61.42541723626534
existing methods,61.38307166446586
weighting method,61.30967730638139
article distributed,61.139943846001515
original author,61.111232215819896
facial expression,61.06989033124908
perceptron mlp,60.65357883801584
laser scanner,60.50652381280439
rbg melbourne,60.50652381280439
correlation coefficient,60.41816155015615
urban computing,60.31423885837275
functional regions,60.00599947911651
urban greenness,59.90399867660474
provide valuable,59.80077588886373
awash basin,59.482225468083286
dar es,59.482225468083286
es salaam,59.482225468083286
fish swarm,59.482225468083286
nn ge,59.482225468083286
roof superstructures,59.482225468083286
geographical information,59.44799431544341
address matching,59.425080981013295
occupant behaviour,59.170117546090964
ai techniques,59.064804355998874
characteristic curve,59.02616847496074
signal reception,58.93771133915326
squared error,58.93771133915326
rapid development,58.834091422381476
data source,58.810100379211704
mosquito control,58.732801588468135
regression gwr,58.637880013249635
red mason,58.60998224930435
traffic safety,58.589888959794195
input variables,58.58682520550375
gps trajectories,58.41243580339676
planning reform,58.351862712698995
curve auc,58.32304432118902
cover mapping,58.27481553452471
systematic review,58.273468030641546
mean squared,58.24124130169382
index lpi,58.125618700664596
computer science,58.00375837755397
principal component,57.89544068256055
highway unit,57.85190635928019
railway stations,57.85190635928019
baru station,57.84995123751312
recursive partitioning,57.84995123751312
expert knowledge,57.73449071703889
social networks,57.623958033209654
resource allocation,57.515237865156266
daily accessed,57.47779438678555
greenness space,57.32642992290937
classification algorithms,57.25843186530125
travel mode,57.03422151996559
study aims,56.888737924063264
driving force,56.86947782194994
term memory,56.77745371758276
results demonstrate,56.60388825824229
perceptual qualities,56.52479223397814
use categories,56.35736646099038
mining techniques,56.31147392988878
cover classes,56.247320151365116
population spatialization,56.04675668383488
completeness correctness,56.00790412269031
biodiversity conservation,56.007904122690306
safety perception,55.942425266884975
openly available,55.81495923594442
readily available,55.81495923594442
traffic incidents,55.57384548542843
prediction model,55.457132710689166
intrusion detection,55.39846060675816
road centerline,55.3336718966298
coverage ratio,55.26389016329735
health purposes,55.20980194225348
planned settlements,55.176022684810576
educational game,55.01128126059079
flood risk,54.77887420863521
burnt areas,54.72678006753552
video semantic,54.688970568693605
emotional computing,54.665236416194595
medium provided,54.64504861372014
leipzig germany,54.62475519294661
mahoning county,54.62475519294661
thematic mapper,54.62475519294661
ml techniques,54.51978794331136
landsat imagery,54.394882668770386
stacking ensemble,54.38242975644208
consumption forecasting,54.3267136473394
ecological environment,54.26832482632359
satellite image,54.21544201653608
housing prices,54.1281747514416
law enforcement,54.11139329331771
oriented gradients,54.11139329331771
landscape metrics,53.94408607555715
electrical load,53.84703375948182
visual quality,53.80743866195193
long memory,53.52306336747406
frequency ratio,53.44903797095158
perennial drainage,53.351377648803634
design strategies,53.25944798196168
swarm optimization,53.225623330683305
broad range,53.20084285867542
dimensionality reduction,53.15887376637136
ecosystem service,53.00807524791488
heat hazard,52.901667513275
input representations,52.87788058063327
spatiotemporal changes,52.867232392470335
anomaly detection,52.757750547802985
urban forms,52.68730280612678
machines svm,52.60050050543621
traffic light,52.59492027089303
panoramic imagery,52.53011768053857
image segmentation,52.49191067423892
design thinking,52.444052741701
phone data,52.36028489384594
zhanggong district,52.25546802003841
image interpretation,52.24228022029166
planning practice,52.15843606009028
kappa coefficient,52.124342808029155
graph convolution,52.11001548010799
planned special,52.100483597066194
vehicles uavs,52.09072006331798
image processing,51.962365255488045
different scales,51.914548447350114
landscape indices,51.89170054621262
urban sprawl,51.88251808883436
cultural ecosystem,51.87657724877164
mobility structure,51.852940262665065
derelict sites,51.72098771497552
greater mankato,51.72098771497552
data science,51.50534654851473
embedding space,51.45177929170325
architectural color,51.235283271375216
housing price,51.218526307333576
terrorist attacks,51.16468980463829
basis function,51.1429833106637
sun exposure,50.99924968421827
generative design,50.96841250084969
relative contributions,50.94833798977222
bike flow,50.88278516483525
lucc research,50.82329162272269
key role,50.74650873574962
floor area,50.71243284527897
eri big,50.64779634568102
accuracy oa,50.587088344094674
express service,50.506233220064345
index shdi,50.49018488012807
leaf area,50.433779382781445
convolution neural,50.38711947268763
positioning system,50.339085257318864
urban spaces,50.29668960961351
accra ghana,50.292492687575276
visual enclosure,50.230754473581584
transit travel,50.21973290810923
socioeconomic status,50.200694896543695
storm water,50.14611571039745
blue unit,50.126273810079866
yunyang county,50.126273810079866
learning classifiers,49.97411759733513
uav images,49.937021319154155
key elements,49.936729519829875
ventilation potential,49.91169895194848
waste collection,49.86236970567268
district discovery,49.85637300226061
housing estates,49.77360201485754
long term,49.732008965370355
great potential,49.69549736733974
global climate,49.64183933582
great significance,49.635075921117085
aerial imagery,49.54262491881909
hot spot,49.53250777786908
citizen participation,49.292120248855426
pyramid matching,49.292120248855426
integrated tourism,49.23215584460404
discovered travel,49.20914014607712
genetic algorithm,49.199923717377295
analog model,49.144806887972344
residential segregation,49.097725086514934
test set,49.08358791069804
daily lives,49.071551458246475
patch cohesion,49.04963759155071
chinese cities,49.039007153492655
research aims,49.00969710704954
turning movements,48.897597832639605
increased availability,48.8796170673182
statistical models,48.872448688567225
traffic noise,48.734511305703876
sky view,48.5554849839159
features extracted,48.40116190937018
vegetation index,48.384466034373844
apparently amorphous,48.33336731778803
babylon governorate,48.33336731778803
directional suppression,48.33336731778803
educ res,48.33336731778803
indianapolis indiana,48.33336731778803
latin american,48.33336731778803
nested logit,48.33336731778803
pumps valves,48.33336731778803
roman corinthian,48.33336731778803
santiago chile,48.33336731778803
staked sae,48.33336731778803
thin globalization,48.33336731778803
young adults,48.33336731778803
automata ca,48.14478661469601
natural gas,48.138107004294056
green space,48.120292761534905
monetary poverty,48.043335098528
science research,48.04160180671783
information technology,47.967827332851726
signal correlators,47.88711248326929
performs best,47.871501240664294
spatial information,47.73246750049739
arterial road,47.69940691129801
shenzhen city,47.634200454909596
location allocation,47.620489970470764
augmented reality,47.616057958018565
rainfall threshold,47.616057958018565
deeper understanding,47.57846593774394
street context,47.54089339679882
hilla city,47.486762425726056
paper explores,47.48671315897484
results suggest,47.34888799226026
geodemographic classifications,47.201742735113356
neighborhood effects,47.17794064357268
limited trading,47.12795349299261
sp values,47.12795349299261
combined influences,47.016246477033484
best performance,47.015379619898184
computational fluid,47.01026871690934
accuracy assessment,46.96513933409305
lst images,46.92452847156875
mobile crowdsensing,46.894848519559254
mobile phones,46.894848519559254
extreme learning,46.87400190866974
sensing image,46.80950375682977
type classification,46.77786465297132
layout synthesis,46.763444003119766
commuting flows,46.73795162849542
watershed soil,46.73795162849542
current state,46.61798473222708
ml models,46.56388881640813
recurrent neural,46.49338640822483
flow forecasting,46.47709153900477
exposure index,46.46732432706891
discrete choice,46.461830800279074
analog research,46.376580051864096
behavioral patterns,46.36030727799916
unrestricted use,46.34039420862452
aerial vehicle,46.269269179635636
vector regression,46.19474312968863
urban studies,46.03404615652578
new method,46.02271058165079
supervised classification,45.99696868475662
memory lstm,45.98687352297149
prediction accuracy,45.976811640716264
powerful tool,45.96992234909311
spatially explicit,45.95896447826206
gnss signal,45.954111784083224
matrix factorization,45.90614180670441
commercial district,45.76268404041598
citywide traffic,45.723582920204215
cooperative design,45.67977751956349
cooling loads,45.65673589104665
residential buildings,45.58138188194992
numerous applications,45.571823630923085
receptive field,45.5671346822682
natural disasters,45.55268273520569
standard hds,45.5259660584149
pollutant concentration,45.49518873979025
economic growth,45.444157898354376
bare land,45.432868522990816
systematic literature,45.32091652272944
new opportunities,45.31878141191045
sensing rs,45.23966063319246
parametric modeling,45.239205834421206
green areas,45.178151842139165
largest patch,45.11476861254715
landsat oli,45.09345511617185
microsite conditions,45.04116648986482
ai agent,44.91562299091399
behavioral demand,44.91314462565311
utility computing,44.91314462565311
analytical hierarchy,44.74121521903777
reduced order,44.71594252874344
regression tree,44.693679540767576
daily maximum,44.673930288769895
special events,44.62728407882554
novel approach,44.62603962616237
motor vehicles,44.578583917530096
support system,44.56763369927085
human activities,44.52710876420483
amorphous corridor,44.514282308019155
constructive preference,44.514282308019155
differential equations,44.514282308019155
gabor filters,44.514282308019155
geotagged weibo,44.514282308019155
korean peninsula,44.514282308019155
manhattan ny,44.514282308019155
preference elicitation,44.514282308019155
scanning als,44.514282308019155
stacked denoising,44.514282308019155
thessaloniki greece,44.514282308019155
touch tables,44.514282308019155
publicly accessible,44.28724234564584
image retrieval,44.25961187816308
human behavior,44.24004756046978
spatial pyramid,44.19117216242039
metropolitan areas,44.17956515793591
image features,44.06515963385728
cross ventilation,44.040742268313224
vehicle navigation,44.020201018594825
urban aesthetics,43.89802218959537
fluid dynamics,43.82937215390211
deep reinforcement,43.790019849097774
light control,43.78416719165779
building structures,43.73728174605672
involving participants,43.6813426590342
traffic conditions,43.67126856060647
query engine,43.639326458821735
track contributions,43.639326458821735
probabilistic topic,43.62590085053835
water resource,43.614232757880345
pixel level,43.6063914533028
total esv,43.59920530089038
uhi effect,43.579964942430294
street vitality,43.54023336961913
data analytics,43.449870388017814
commercial increment,43.425746058645
study focuses,43.406973727311275
two main,43.39005629385268
signal strength,43.389092193805496
disaster risk,43.35620938102793
knowledge graphs,43.304400247724125
sgcc dataset,43.304400247724125
planning support,43.302917076330175
boosting decision,43.29660256678221
scenario tests,43.263174518387565
red unit,43.16869883126966
intelligent unmanned,43.054257865780485
water resources,43.01875554304611
previous work,42.90271745392781
harmonic mean,42.8725262261834
vital role,42.83901989219509
green infrastructure,42.81257109290305
citygml files,42.78818987330847
grass roots,42.78818987330847
nairobi kenya,42.78818987330847
osmia bicornis,42.78818987330847
outer suburb,42.78818987330847
quantum annealing,42.78818987330847
san francisco,42.78818987330847
silicon valley,42.78818987330847
engine gee,42.767298390416705
unplanned settlements,42.767298390416705
aerial videos,42.75005008962573
form metrics,42.72237851782704
difference vegetation,42.67251994490473
forest mla,42.65023948492589
architectural design,42.643884686652314
density diversity,42.64145771738585
neighborhood scale,42.62916788614959
classification method,42.609952068972476
training dataset,42.56027664177121
performed better,42.55044129306927
study provides,42.52459569489355
city initiatives,42.48800048074554
pattern discovery,42.44786015268954
vehicle detection,42.379407816795165
contextual information,42.33816012277649
current situation,42.28778222167563
training examples,42.177920602173415
navigation system,42.137730393377396
environmental factors,42.09651664266831
environmental conditions,42.02761652389351
hourly daily,42.02750083197009
urban thermal,42.02581981235737
work shows,42.022756512885316
generative adversarial,42.007482530722406
flow patterns,41.97691440370991
shallow landslides,41.95817240443422
overall accuracies,41.87268723379513
ambient intelligence,41.844358407415754
predictor variables,41.83053844323752
space syntax,41.76161159995899
simulating urban,41.73915288372744
abstract game,41.67106597155548
acid rain,41.60325064769547
false alarm,41.60325064769547
locate portions,41.60325064769547
health outcomes,41.52006268870112
vehicle routing,41.467020869486134
marginal effects,41.447523995876736
cities worldwide,41.405578577482856
cross validation,41.39887136225362
sharing economy,41.386756606767435
densification potentials,41.33402612290449
virtual reality,41.33402612290449
carbon emission,41.217657673807
visible street,41.17462926084497
low power,41.15886865021237
socioeconomic indicators,41.14402937625162
using landsat,41.11582972512365
data processing,41.10319373740044
complex terrain,41.10020955253012
cover lulc,41.06698106029856
analysis pca,41.02721172634
objective function,41.01706080597572
government agencies,40.943416496915134
complex urban,40.849168795268284
paper addresses,40.78269483753687
urban vegetation,40.74450480347581
slum settlements,40.72915541010122
furniture arrangement,40.69521266466385
mapper plus,40.69521266466385
radiometer suite,40.69521266466385
table dtnb,40.69521266466385
bee osmia,40.69519729825028
foot prints,40.69519729825028
intercity corporate,40.69519729825028
multiscale gabor,40.69519729825028
terroristic attacks,40.69519729825028
wild bee,40.69519729825028
public transport,40.68345773428677
landslide inventory,40.59835983585003
technical university,40.581445300945504
density ed,40.519352308785294
planning practices,40.50940028148446
become increasingly,40.40994331418045
input data,40.38413180205352
cloud computing,40.335098973270675
land growth,40.31550100082875
immune systems,40.302448966441574
disaster prevention,40.26576127027726
geographical areas,40.24371383687537
artificial fish,40.15196642243974
bp artificial,40.15196642243974
pilot study,40.14773286209446
sentinel images,40.132547557135105
address records,40.089826678828224
model outperforms,40.081738540680455
soundscape assessments,40.07871729684857
tree gbdt,40.06010508030091
automated vehicles,39.991908923881304
physical assets,39.990135497522516
online reviews,39.979321785308024
path dependency,39.979321785308024
pluvial flood,39.979321785308024
shopping malls,39.957593077594424
travel demand,39.88251908727407
hydrologic modelling,39.83288676599128
regression model,39.819022510773635
hazard assessment,39.81085927797211
mediterranean climate,39.68501577657971
subjective measures,39.65580538464192
action plans,39.65310260542515
natural disaster,39.627988999004074
convolution networks,39.61853991178976
crime count,39.5721879809825
landslide risk,39.55414637917817
advanced machine,39.45793521236511
deep highway,39.36279697008397
basin ethiopia,39.3360050038871
exemplars nn,39.3360050038871
fortaleza brazil,39.3360050038871
license http,39.3360050038871
primarymobility connections,39.3360050038871
lulc classes,39.319162418525195
specific visualizations,39.30754672433635
human perceptions,39.235414323260926
centerline extraction,39.129773572704266
dynamic routing,39.08857486364711
rapidly developing,39.0527783785589
future trends,39.04034238129122
support decision,39.00195330019044
crowdsensing mcs,38.96913559643193
elsevier ltd,38.96913559643193
gradients hog,38.96913559643193
lahore pakistan,38.96913559643193
lod files,38.96913559643193
origin lies,38.96913559643193
reversed urbanism,38.96913559643193
visually attractive,38.96913559643193
growth rate,38.91838994466383
pseudorange errors,38.90048376750669
human activity,38.87290313073868
streetscape features,38.86990626866452
environmental management,38.86441528882102
field measurements,38.85485765410328
beijing city,38.83884279020624
uk limited,38.81244664020925
fr model,38.80991949039926
fps games,38.79865573475025
theoretical underpinnings,38.79865573475025
environmental protection,38.78944715382335
experiments show,38.692842538399496
heterogeneous urban,38.67692055234536
promising results,38.6670566282396
main objective,38.51210339914667
bike trajectory,38.50676616101627
categories euluc,38.50676616101627
lulc change,38.36662091025684
person detection,38.35609640861237
flood vulnerability,38.347877465305466
shallow landslide,38.332220760758645
visual exploration,38.3304902766253
error mape,38.32904251767281
adversarial scoring,38.32531884702427
generalized exemplars,38.32531884702427
geolocate crash,38.32531884702427
juaben municipality,38.32531884702427
naive bayes,38.32531884702427
program optimizes,38.32531884702427
skin temperatures,38.32531884702427
urban agglomeration,38.24690115028805
urban regeneration,38.24690115028805
conditional random,38.041564842869086
new caledonia,38.017448185293624
mode detection,37.979087397059665
health monitoring,37.96276597913292
gas emissions,37.94080514269342
unprecedented opportunities,37.94080514269342
predictive models,37.90525510499664
fantasies behaviours,37.90230243051562
masonry buildings,37.87795432555809
cfd simulations,37.83359873197107
sentiment analysis,37.82662366400945
mankato area,37.81273470457373
hsi classification,37.80377977945378
randomized fitness,37.78421173747849
informed decisions,37.74719621779669
empirical evidence,37.737580198136264
public policy,37.71617484461995
citywide crowd,37.71061353772798
visual features,37.69160810940613
environmental impacts,37.66656567293455
test dataset,37.59813197232849
signal correlation,37.54827768813965
artificial surfaces,37.53453915339024
breakthrough directions,37.519898304996715
synthetic minority,37.519898304996715
population pop,37.51271101437244
good performance,37.49386212236301
handcrafted features,37.446763085579654
linguistic features,37.446763085579654
evaluation metrics,37.38627040719116
satellite data,37.38039183044262
outperforms existing,37.37625251203684
census blocks,37.318556671411436
coupled indoor,37.276553772969315
sign sign,37.24307389491738
smog severity,37.24307389491738
boosting xgboost,37.18868482165065
demographic groups,37.18868482165065
precision recall,37.17647136257085
recall precision,37.17647136257085
delivery fleets,37.170968747592006
incentivizing private,37.170968747592006
motorcycle delivery,37.170968747592006
supernatant color,37.170968747592006
using deep,37.15392963208399
significantly improved,37.12921340619583
fuzzy inference,37.10303815595922
leisure activity,37.071916513364364
nighttime lst,37.069949958896245
coastal area,36.99532530291222
risk assessment,36.99256989492908
silk road,36.980246614534565
routing schemes,36.9740696590017
object recognition,36.97119995843545
parking assist,36.94258916407104
dem distance,36.91405342968384
denoising autoencoder,36.876173754815895
et al,36.876173754815895
flickr photos,36.876173754815895
gated recurrent,36.876173754815895
probe readings,36.876173754815895
huangpu river,36.85011040571257
energy efficiency,36.84293419770619
similarity analysis,36.81493624435464
travel speed,36.80904988088577
early design,36.807473945943535
model performance,36.76648160829945
multipath signals,36.73546096620054
multipath detection,36.73382243354546
people livelihood,36.72662817498706
southern china,36.70411155479931
convolutional network,36.68042524088679
methods including,36.58233691102782
local governments,36.57717352905604
driver diagnostics,36.55313330096147
risk management,36.479127878594696
design worlds,36.46631666570263
sar data,36.42731948728335
major cities,36.4068286756293
