DocId,Year,KeyTerms,Title,Abstract,AuthorKeywords
77,2010,"['land cover', 'land use', 'interimage system', 'kappa indexes', 'semantic net', 'cover classifications', 'overall accuracies', 'test sites', 'use classifications', 'use classification', 'image classification', 'access system', 'achieved overall', 'analysis units', 'appropriate segmentation', 'automatic mapping', 'bird sensor', 'brazil interimage', 'classification step', 'classifications achieved', 'classifications overall', 'cover objects', 'customized features', 'determining appropriate', 'elaborated based', 'features related', 'free access', 'geometrical structures', 'informal settlement', 'informal settlements', 'interimage human', 'main functionalities', 'paulo brazil', 'quick bird', 'rules based', 'segmentation parameters', 'settlement area', 'step genetic', 'strategy combining', 'system interimage', 'system presenting', 'são paulo', 'thresholds strategy', 'units customized', 'area using', 'combining machine', 'human knowledge', 'two test', 'open source', 'urban blocks', 'study uses', 'use classes', 'cover classes', 'genetic algorithm', 'proposed methodology', 'cover classification', 'image analysis', 'complex urban', 'urban land', 'learning algorithms', 'urban areas', 'machine learning']",Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE,"This study uses the InterIMAGE system and imagery from the Quick Bird sensor for land cover and land use classification at two test sites with informal settlements in the metropolis of São Paulo, Brazil. InterIMAGE is an open source and free access system for knowledge-based image classification. Within InterIMAGE human knowledge is represented as a semantic net and by user-defined rules based on the paradigms of object-oriented image analysis. In the land cover classification step, a genetic algorithm was used for determining appropriate segmentation parameters. For the description of the land cover classes in terms of features and thresholds, a strategy combining machine learning algorithms and a semantic net was elaborated. Based on the land cover classifications, the land use classifications were carried out considering the urban blocks of the test sites as the analysis units. Customized features related to the composition and geometrical structures of the land cover objects within these blocks were used for the description of the land use classes. The proposed methodology has been shown to be efficient for the automatic mapping of the land cover and land use in complex urban areas. The land cover classifications achieved overall accuracies above 70 percent and Kappa indexes above 0.65. Referring to the land use classifications, overall accuracies above 87 percent and Kappa indexes above 0.71 were obtained. This study has explored the main functionalities of the InterIMAGE system, presenting its potential for object-based and knowledge-based image classification. © 2010 Surveying and Spatial Sciences Institute and Mapping Sciences Institute, Australia.",Informal settlements; InterIMAGE; Knowledge-based image classification; Urban land cover; Urban land use; Urban planning
78,2019,"['restaurant data', 'socioeconomic attributes', 'socioeconomic data', 'accessing timely', 'accuracy spatial', 'algorithm dividends', 'attributes using', 'bridge data', 'cities allowing', 'cities reliable', 'consumption level', 'data accessing', 'data remain', 'enjoy big', 'enterprise activity', 'estimate daytime', 'firm industries', 'help bridge', 'implement policies', 'industries finally', 'locations demographics', 'merge restaurant', 'neighborhoods socioeconomic', 'nighttime population', 'population employment', 'population number', 'predict range', 'predicting neighborhoods', 'reliable socioeconomic', 'restaurant model', 'timely socioeconomic', 'timely updated', 'train models', 'updated location', 'using restaurant', 'various spatial', 'data gaps', 'easily accessible', 'online platform', 'predicted results', 'remain scarce', 'social scientists', 'spatial locations', 'trained model', 'using features', 'accurately predict', 'chinese cities', 'cities using', 'neighborhood level', 'spatial resolutions', 'urban neighborhoods', 'different spatial', 'test dataset', 'training samples', 'features extracted', 'policy makers', 'spatial resolution', 'developing countries', 'rights reserved', 'big data']",Predicting neighborhoods' socioeconomic attributes using restaurant data,Accessing high-resolution timely socioeconomic data such as data on population employment and enterprise activity at the neighborhood level is critical for social scientists and policy makers to design and implement location-based policies. However in many developing countries or cities reliable local-scale socioeconomic data remain scarce. Here we show an easily accessible and timely updated location attribute-restaurant-can be used to accurately predict a range of socioeconomic attributes of urban neighborhoods. We merge restaurant data from an online platform with 3 microdatasets for 9 Chinese cities. Using features extracted from restaurants we train machine-learning models to estimate daytime and nighttime population number of firms and consumption level at various spatial resolutions. The trained model can explain 90 to 95% of the variation of those attributes across neighborhoods in the test dataset. We analyze the tradeoff between accuracy spatial resolution and number of training samples as well as the heterogeneity of the predicted results across different spatial locations demographics and firm industries. Finally we demonstrate the cross-city generality of this method by training the model in one city and then applying it directly to other cities. The transferability of this restaurant model can help bridge data gaps between cities allowing all cities to enjoy big data and algorithm dividends. © 2019 National Academy of Sciences. All rights reserved.,Machine learning; Restaurant; Social good; Socioeconomic data; Urban studies
79,2019,"['environmental conditions', 'participants physiological', 'physiological responses', 'signal processing', 'urban environment', 'accuracies indicate', 'backgrounds walked', 'classification fuzzy', 'data labeling', 'data pertaining', 'demographic backgrounds', 'discover relevant', 'environmental features', 'field study', 'filtering signal', 'framework includes', 'frequency unification', 'high accuracies', 'human physiological', 'humans perception', 'humans physiological', 'includes signal', 'increased participant', 'inference feature', 'interaction research', 'level illuminance', 'pairing signal', 'participant arousal', 'physiological changes', 'physiological response', 'primarily affected', 'processing four', 'relevant patterns', 'sensors apart', 'signal filtering', 'signal frequency', 'signal pairing', 'signal quantification', 'sound level', 'study participants', 'techniques classification', 'unification signal', 'varying sound', 'wearing physiological', 'zürich switzerland', 'environmental sensors', 'four machine', 'information fusion', 'proposes framework', 'understanding patterns', 'various demographic', 'fuzzy inference', 'paper contributes', 'research proposes', 'predictive models', 'feature selection', 'learning approaches', 'urban environments', 'learning techniques', 'machine learning']",Machine learning approaches to understand the influence of urban environments on human's physiological response,"This research proposes a framework for signal processing and information fusion of spatial-temporal multi-sensor data pertaining to understanding patterns of humans physiological changes in an urban environment. The framework includes signal frequency unification, signal pairing, signal filtering, signal quantification, and data labeling. Furthermore, this paper contributes to human-environment interaction research, where a field study to understand the influence of environmental features such as varying sound level, illuminance, field-of-view, or environmental conditions on humans’ perception was proposed. In the study, participants of various demographic backgrounds walked through an urban environment in Zürich, Switzerland while wearing physiological and environmental sensors. Apart from signal processing, four machine learning techniques, classification, fuzzy rule-based inference, feature selection, and clustering, were applied to discover relevant patterns and relationship between the participants’ physiological responses and environmental conditions. The predictive models with high accuracies indicate that the change in the field-of-view corresponds to increased participant arousal. Among all features, the participants’ physiological responses were primarily affected by the change in environmental conditions and field-of-view. © 2018 The Authors",Data fusion; Features selection; Physiological data; Signal processing; Wearable devices
80,2019,"['code pseudorange', 'urban environment', 'acf robust', 'algorithm support', 'angle code', 'applications due', 'association nmea', 'attributes extracted', 'autocorrelation function', 'baseband signal', 'basic observables', 'classification rate', 'classifier improves', 'classifier using', 'classifiers based', 'classifiers referred', 'common ground', 'complex signal', 'conventional classifiers', 'difference observable', 'different places', 'easily output', 'electronics association', 'end attributes', 'environment conventional', 'exchange format', 'fair comparison', 'finding classifier', 'format rinex', 'frequency data', 'function acf', 'generate features', 'gps classifiers', 'gps intermediate', 'gps receiver', 'gps signal', 'ground results', 'independent exchange', 'intelligent gps', 'intermediate frequency', 'marine electronics', 'national marine', 'output features', 'paper features', 'postprocessed using', 'processing stage', 'pseudorange double', 'real signal', 'receiver independent', 'receiver sdr', 'reception classifier', 'rinex classifiers', 'rinex fair', 'robust classifier', 'scenarios compared', 'sdr measurements', 'signal type', 'stage multicorrelator', 'surrounding scenarios', 'type raw', 'use global', 'using attributes', 'using sdr', 'usually performed', 'double difference', 'elevation angle', 'fully manifested', 'positioning performance', 'practical applications', 'raw gps', 'received signal', 'satellite elevation', 'signal propagation', 'signal reception', 'strength satellite', 'testing data', 'using supervised', 'hong kong', 'improve positioning', 'performed using', 'signal processing', 'signal strength', 'system gps', 'positioning system', 'global positioning', 'supervised machine', 'paper proposes', 'data collected', 'training data', 'machine svm', 'vector machine', 'learning algorithm', 'support vector', 'results show', 'urban areas', 'machine learning']","Intelligent GPS L1 LOS/multipath/NLOS classifiers based on correlator-, RINEX- and NMEA-level measurements","This paper proposes to use a correlator-level global positioning system (GPS) line-of-sight/multipath/non-line-of-sight (LOS/MP/NLOS) signal reception classifier to improve positioning performance in an urban environment. Conventional LOS/MP/NLOS classifiers, referred to as national marine electronics association (NMEA)-level and receiver independent exchange format (RINEX)-level classifiers, are usually performed using attributes extracted from basic observables or measurements such as received signal strength, satellite elevation angle, code pseudorange, etc. The NMEA/RINEX-level classification rate is limited because the complex signal propagation in urban environment is not fully manifested in these end attributes. In this paper, LOS/MP/NLOS features were extracted at the baseband signal processing stage. Multicorrelator is implemented in a GPS software-defined receiver (SDR) and exploited to generate features from the autocorrelation function (ACF). A robust LOS/MP/NLOS classifier using a supervised machine learning algorithm, support vector machine (SVM), is then trained. It is also proposed that the Skymask and code pseudorange double difference observable are used to label the real signal type. Raw GPS intermediate frequency data were collected in urban areas in Hong Kong and were postprocessed using a self-developed SDR, which can easily output correlator-level LOS/MP/NLOS features. The SDR measurements were saved in the file with the format of NMEA and RINEX. A fair comparison among NMEA-, RINEX-, and correlator-level classifiers was then carried out on a common ground. Results show that the correlator-level classifier improves the metric of F1 score by about 25% over the conventional NMEA- and RINEX-level classifiers for testing data collected at different places to that of training data. In addition to this finding, correlator-level classifier is found to be more feasible in practical applications due to its less dependency on surrounding scenarios compared with theNMEA/RINEX-level classifiers. © 2019 by the authors.",Global positioning system (GPS); Multipath; Non-line-of-sight (NLOS); Signal classification; Software-defined receiver (SDR); Support vector machine (SVM); Urban environment
81,2019,"['lidar data', 'learning paradigm', 'building structures', 'deep learning', 'convolutional neural', 'neural networks', 'applying deep', 'appropriate forms', 'best input', 'classifiers indicate', 'data applying', 'efficient classification', 'exploit deep', 'fact deep', 'features coming', 'highly nonlinear', 'learning acts', 'mathematical computations', 'mathematical transformations', 'networks deep', 'physical interpretation', 'physical properties', 'problem distinguishing', 'raw input', 'raw lidar', 'reconstruction comparisons', 'representations suitable', 'scenarios including', 'sites three', 'test project', 'transformations encoding', 'urban classification', 'vaihingen germany', 'vector classifiers', 'building reconstruction', 'input representations', 'paradigm based', 'test sites', 'three complex', 'urban study', 'various kinds', 'application scenarios', 'classification framework', 'traditional methods', 'classification performance', 'network model', 'building detection', 'building extraction', 'input data', 'ranging lidar', 'study areas', 'deep convolutional', 'data set', 'light detection', 'complex urban', 'proposed approach', 'artificial neural', 'support vector', 'neural network']",Building extraction from LiDAR data applying deep convolutional neural networks,"Deep learning paradigm has been shown to be a very efficient classification framework for many application scenarios, including the analysis of Light Detection and Ranging (LiDAR) data for building detection. In fact, deep learning acts as a set of mathematical transformations, encoding the raw input data into appropriate forms of representations that maximize the classification performance. However, it is clear that mathematical computations alone, even highly nonlinear, are not adequate to model the physical properties of a problem, distinguishing, for example, the building structures from vegetation. In this letter, we address this difficulty by augmenting the raw LiDAR data with features coming from a physical interpretation of the information. Then, we exploit a deep learning paradigm based on a convolutional neural network model to find out the best input representations suitable for the classification. As test sites, three complex urban study areas with various kinds of building structures through the LiDAR data set of Vaihingen, Germany were selected. Our method has been evaluated in the context of 'ISPRS Test Project on Urban Classification and 3-D Building Reconstruction.' Comparisons with traditional methods, such as artificial neural networks and support vector machine-based classifiers, indicate the outperformance of the proposed approach in terms of robustness and efficiency. © 2004-2012 IEEE.",Building classification; convolutional neural networks (CNNs); Light Detection and Ranging (LiDAR); machine learning; point cloud
82,2018,"['crime prediction', 'crime categories', 'main crime', 'test set', 'mobility data', 'human mobility', 'absolute metrics', 'achieve absolute', 'ambient population', 'area crime', 'baseline models', 'better proxies', 'biggest boost', 'boosting ensemble', 'census features', 'checkins subway', 'crime levels', 'crime types', 'crimes occurring', 'dynamics features', 'employ averaging', 'ensemble techniques', 'extensive set', 'features bring', 'features varies', 'foursquare venues', 'geographical test', 'grand larcenies', 'large human', 'leverage large', 'models achieve', 'models relying', 'predicting yearly', 'prediction traditional', 'predictive features', 'predictive gain', 'residential population', 'results offer', 'rides improve', 'strongly predictive', 'subway rides', 'taxi rides', 'temporal test', 'traditional crime', 'ubiquitous computing', 'yearly counts', 'census tract', 'human dynamics', 'human presence', 'mining human', 'offer valuable', 'tract level', 'urban policy', 'valuable insights', 'features derived', 'law enforcement', 'proposed models', 'prediction models', 'study shows', 'census data', 'poi data', 'human activity', 'models based', 'different types', 'york city', 'urban studies', 'new york', 'machine learning']",Mining large-scale human mobility data for long-term crime prediction,"Traditional crime prediction models based on census data are limited, as they fail to capture the complexity and dynamics of human activity. With the rise of ubiquitous computing, there is the opportunity to improve such models with data that make for better proxies of human presence in cities. In this paper, we leverage large human mobility data to craft an extensive set of features for crime prediction, as informed by theories in criminology and urban studies. We employ averaging and boosting ensemble techniques from machine learning, to investigate their power in predicting yearly counts for different types of crimes occurring in New York City at census tract level. Our study shows that spatial and spatio-temporal features derived from Foursquare venues and checkins, subway rides, and taxi rides, improve the baseline models relying on census and POI data. The proposed models achieve absolute R2 metrics of up to 65% (on a geographical out-of-sample test set) and up to 89% (on a temporal out-of-sample test set). This proves that, next to the residential population of an area, the ambient population there is strongly predictive of the area’s crime levels. We deep-dive into the main crime categories, and find that the predictive gain of the human dynamics features varies across crime types: such features bring the biggest boost in case of grand larcenies, whereas assaults are already well predicted by the census features. Furthermore, we identify and discuss top predictive features for the main crime categories. These results offer valuable insights for those responsible for urban policy or law enforcement. © 2018, The Author(s).",Applied machine learning; Crime prediction; Human mobility; Location-based social networks; Spatio-temporal data; Urban computing
83,2018,"['dense heterogeneous', 'sensor performance', 'air quality', 'heterogeneous urban', 'reference instrument', 'quality monitoring', 'urban environment', 'gradient boosting', 'using machine', 'urban environments', 'adequately evaluated', 'aerosol monitor', 'aerosol monitors', 'available meteorological', 'boosting regression', 'calibration approach', 'calibration campaign', 'catalyzed growing', 'device calibration', 'environments air', 'field calibration', 'field evaluation', 'greater attention', 'growing body', 'important considerations', 'improve device', 'improved quality', 'incorporates publicly', 'instrument using', 'monitoring platform', 'new sensing', 'novel calibration', 'numerous laboratory', 'overall sensor', 'platform based', 'present novel', 'quality monitors', 'received greater', 'regression gradient', 'respiratory illnesses', 'serious respiratory', 'shinyei aerosol', 'significant variation', 'unprecedented levels', 'boosting model', 'evaluation studies', 'improve overall', 'meteorological data', 'tree model', 'using gradient', 'using linear', 'describe urban', 'monitoring devices', 'publicly available', 'sensing technologies', 'significantly improve', 'approach using', 'increased availability', 'regression tree', 'weather conditions', 'air pollution', 'developing countries', 'york city', 'complex urban', 'learning method', 'linear regression', 'new york', 'learning techniques', 'machine learning']","Using a gradient boosting model to improve the performance of low-cost aerosol monitors in a dense, heterogeneous urban environment","The increased availability and improved quality of new sensing technologies have catalyzed a growing body of research to evaluate and leverage these tools in order to quantify and describe urban environments. Air quality, in particular, has received greater attention because of the well-established links to serious respiratory illnesses and the unprecedented levels of air pollution in developed and developing countries and cities around the world. Though numerous laboratory and field evaluation studies have begun to explore the use and potential of low-cost air quality monitoring devices, the performance and stability of these tools has not been adequately evaluated in complex urban environments, and further research is needed. In this study, we present the design of a low-cost air quality monitoring platform based on the Shinyei PPD42 aerosol monitor and examine the suitability of the sensor for deployment in a dense heterogeneous urban environment. We assess the sensor's performance during a field calibration campaign from February 7th to March 25th 2017 with a reference instrument in New York City, and present a novel calibration approach using a machine learning method that incorporates publicly available meteorological data in order to improve overall sensor performance. We find that while the PPD42 performs well in relation to the reference instrument using linear regression (R2 = 0.36–0.51), a gradient boosting regression tree model can significantly improve device calibration (R2 = 0.68–0.76). We discuss the sensor's performance and reliability when deployed in a dense, heterogeneous urban environment during a period of significant variation in weather conditions, and important considerations when using machine learning techniques to improve the performance of low-cost air quality monitors. © 2018 Elsevier Ltd",Air quality; Calibration; Low-cost sensing; Machine learning; Urban
84,2016,"['land use', 'data sampling', 'use changes', 'modeling urban', 'vector machines', 'urban land', 'support vector', 'algorithm commonly', 'attribute selection', 'balanced data', 'building procedure', 'coefficient area', 'commonly applied', 'containing nine', 'datasets attributes', 'feature subset', 'implementing balanced', 'informative subsets', 'learning parameters', 'machines support', 'method kappa', 'ml algorithm', 'model evaluation', 'model outputs', 'modeling land', 'nine land', 'optimal learning', 'optimal parameters', 'output results', 'parameters choices', 'parameters geospatial', 'properly identify', 'real land', 'reduced data', 'remotely sensing', 'sampling attribute', 'sampling reduced', 'subset method', 'svm method', 'svm parameters', 'svm technique', 'zemun republic', 'changes using', 'current literature', 'datasets containing', 'detailed evaluation', 'geospatial applications', 'geospatial datasets', 'kappa simulation', 'model building', 'models perform', 'perform better', 'spatial attributes', 'use datasets', 'using support', 'svm model', 'characteristic curve', 'curve auc', 'kappa coefficient', 'main objective', 'use classes', 'machines svm', 'obtained results', 'operating characteristic', 'receiver operating', 'use change', 'data sets', 'learning ml', 'sensing data', 'results indicate', 'machine learning']",Modeling Urban Land Use Changes Using Support Vector Machines,"Support Vector Machines (SVM) is a machine learning (ML) algorithm commonly applied to the classification of remotely sensing data and more recently for modeling land use changes. However, in most geospatial applications the current literature does not elaborate on specifications of the SVM method with respect to data sampling, attribute selection and optimal parameters choices. Therefore the main objective of this study is to present and investigate the SVM technique for modeling urban land use change. The SVM model building procedure is presented together with the detailed evaluation of the output results with respect to the choice of datasets, attributes and the change of SVM parameters. Geospatial datasets containing nine land use classes and spatial attributes for the Municipality of Zemun, Republic of Serbia were used for years 2001, 2003, 2007 and 2011. The Correlation-based Feature Subset method, kappa coefficient, Area Under Receiver Operating Characteristic Curve (AUC) and kappa simulation were used to perform the model evaluation and compare the model outputs with the real land use datasets. The obtained results indicate that the SVM-based models perform better when implementing balanced data sampling, reduced data sets to informative subsets of attributes and properly identify the optimal learning parameters. © 2015 John Wiley & Sons Ltd",
85,2019,"['carbon emissions', 'travel carbon', 'spatial distribution', 'hotspot analysis', 'travel block', 'carbon emission', 'residents travel', 'small cities', 'building area', 'road network', 'bicycle lanes', 'block based', 'bus station', 'bus system', 'comprehensive carbon', 'conducted hotspot', 'dense road', 'density surface', 'different indexes', 'distribution learning', 'emission assessment', 'emissions using', 'environment conducive', 'evaluate travel', 'facilities buffered', 'four elements', 'full advantage', 'fully mechanically', 'functional mixing', 'future big', 'gis hotspot', 'high popularity', 'higher volume', 'hotspot density', 'identifying travel', 'index data', 'lowest travel', 'mechanically control', 'mode road', 'mode travel', 'obtained comprehensive', 'old urban', 'planning implications', 'popular platform', 'professional posts', 'recreational facilities', 'residential building', 'restricted coverage', 'road area', 'scattered distribution', 'services buffered', 'shopping services', 'site buffered', 'station coverage', 'take city', 'take full', 'three use', 'time travel', 'total road', 'traditional mode', 'traffic mode', 'transit site', 'travel model', 'travel proposed', 'travel purpose', 'travel small', 'travel time', 'types building', 'urban district', 'use mode', 'useful means', 'volume rate', 'volume ratio', 'walking road', 'wechat popular', 'block planning', 'efficient system', 'improving urban', 'new technology', 'presents methodology', 'provides basis', 'questionnaire surveys', 'results confirm', 'service facilities', 'limited number', 'new way', 'study presents', 'public service', 'research area', 'provides new', 'results suggest', 'analysis using', 'using spatial', 'study provides', 'public transportation', 'data collected', 'urban development', 'built environment', 'learning algorithm', 'big data', 'results show', 'urban planning', 'machine learning']",Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm,"In the future, big data will become an efficient and useful means for improving urban planning, and machine learning can take city as a simplified and efficient system. We take full advantage of the benefits of new technology, but also clarify that city is not a machine, also cannot fully mechanically control the urban development. This study presents a methodology for identifying low-carbon travel block, which can be used to identify the built environment conducive to residents’ low-carbon travel. We chose the four elements of traffic survey—travel mode, travel time, travel purpose and travel frequency—as the framework to evaluate travel carbon emissions. Using the index data collected from “WeChat,” a popular social-media platform in China and questionnaire surveys, we conducted hotspot analysis of the spatial distribution of travel carbon emissions in GIS. We obtained a comprehensive carbon emissions and its spatial distribution through the superposition of hotspot density surface of different indexes. The results show that E block within the research area has the lowest travel carbon emissions. These results suggest some planning implications from three aspects—land use mode, road network and public service facilities: In the old urban district of Pucheng, the ratio of residential building area and other types’ building area should be “4:1–3:1”; and we should develop the travel model of bicycle, and the interval of bicycle lanes should be 350–450 m; The ratio of walking road to total road area should be 15–20%, and the width of road should be restricted. Coverage of transit site buffered for the radius of 150 m is 40–50%, coverage of shopping services buffered for the radius of 50 m is 45–60%, and coverage of recreational facilities buffered for the radius of 100 m is 50–70%. The results confirm that “functional mixing” and “dense road network” are beneficial to residents’ low-carbon travel proposed by the predecessors. At the same time, we found that not the higher volume rate is, the more favorable for low-carbon travel. Small cities have limited number of population and scattered distribution of professional posts, which are not suitable for the traditional mode of improving the volume ratio and the bus system. It is not that the higher the bus station coverage is, the better for residents to travel as low-carbon, and the high popularity of public transportation in small cities will increase the carbon emission of residents. The study provides a new way to evaluate the carbon emission assessment of blocks and provides a basis for block planning with low-carbon concept. © 2018, The Natural Computing Applications Forum.",Block; Built environment; GIS hotspot analysis; Low-carbon travel
86,2019,"['reduced order', 'les model', 'order model', 'air flows', 'turbulent air', 'urban environment', 'comparing statistical', 'computational model', 'construct nirom', 'create comfortable', 'decomposition pod', 'develop reduced', 'eddy simulation', 'employ large', 'end building', 'flows found', 'flows reynolds', 'gaussian plume', 'greatly improved', 'healthy indoor', 'include validation', 'key step', 'large eddy', 'larger scale', 'magnitude faster', 'mean flows', 'model fidelity', 'model nirom', 'model rom', 'operational purposes', 'order modelling', 'original les', 'orthogonal decomposition', 'paper represents', 'plume models', 'previously reported', 'probability densities', 'proper orthogonal', 'reported method', 'represents key', 'resolve larger', 'resulting computational', 'reynolds stresses', 'scale turbulent', 'similar dynamics', 'simulation les', 'six orders', 'statistical quantities', 'tantalising possibility', 'tunnel experiments', 'turbulent flows', 'turbulent fluctuations', 'understand turbulent', 'unstructured meshes', 'help create', 'outdoor environment', 'wind tunnel', 'environment using', 'improved model', 'model based', 'using machine', 'learning techniques', 'machine learning']",A reduced order model for turbulent flows in the urban environment using machine learning,"To help create a comfortable and healthy indoor and outdoor environment in which to live, there is a need to understand turbulent air flows within the urban environment. To this end, building on a previously reported method [1], we develop a fast-running Non-Intrusive Reduced Order Model (NIROM) for predicting the turbulent air flows found within an urban environment. To resolve larger scale turbulent fluctuations, we employ a Large Eddy Simulation (LES) model and solve the resulting computational model on unstructured meshes. The objective is to construct a rapid-running NIROM from these results that will have ‘similar’ dynamics to the original LES model. Based on Proper Orthogonal Decomposition (POD) and machine learning techniques, this Reduced Order Model (ROM) is six orders of magnitude faster than the high-fidelity LES model and we demonstrate how ‘similar’ it can be to the high-fidelity model by comparing statistical quantities such as the mean flows, Reynolds stresses and probability densities of the velocities. We also include validation of the high-fidelity model against data from wind tunnel experiments. This paper represents a key step towards the use of reduced order modelling for operational purposes with the tantalising possibility of it being used in place of Gaussian plume models, and the potential for greatly improved model fidelity and confidence. © 2018",Gaussian process regression; Machine learning; Non-intrusive reduced order modelling; Operational modelling; Proper orthogonal decomposition; Urban flows
87,2015,"['transport commuters', 'interactive visual', 'public transport', 'smart card', 'travel patterns', 'activity locations', 'analyse complex', 'analytics va', 'card transaction', 'commuters travel', 'complex travel', 'decipher activity', 'diverse existing', 'fully adequate', 'highly diverse', 'homework dynamics', 'iteratively learns', 'iviztrans interactive', 'iviztrans tool', 'learning component', 'longer effective', 'massive public', 'planners classifications', 'present iviztrans', 'rapidly transforming', 'single public', 'train classifier', 'transforming modern', 'transport smart', 'using transport', 'va component', 'visual learning', 'work place', 'aid urban', 'evaluation shows', 'place detection', 'traditional surveys', 'transaction data', 'transportation data', 'card data', 'modern cities', 'previous work', 'visual analytics', 'existing methods', 'public transportation', 'data using', 'urban planners', 'urban planning', 'machine learning']",IVizTRANS: Interactive visual learning for home and work place detection from massive public transportation data,"Using transport smart card transaction data to understand the homework dynamics of a city for urban planning is emerging as an alternative to traditional surveys which may be conducted every few years are no longer effective and efficient for the rapidly transforming modern cities. As commuters travel patterns are highly diverse, existing rule-based methods are not fully adequate. In this paper, we present iVizTRANS - a tool which combines an interactive visual analytics (VA) component to aid urban planners to analyse complex travel patterns and decipher activity locations for single public transport commuters. It is coupled with a machine learning component that iteratively learns from the planners classifications to train a classifier. The classifier is then applied to the city-wide smart card data to derive the dynamics for all public transport commuters. Our evaluation shows it outperforms the rule-based methods in previous work. © 2015 IEEE.",clustering; machine learning; origin-destination (OD); Smart card data; spatiotemporal visualization
88,2020,"['computer vision', 'vision algorithms', 'understanding cities', 'urban systems', 'achieved relying', 'analytics modelling', 'automation complexity', 'complex physical', 'decades different', 'deep computer', 'different layers', 'environment human', 'environment natural', 'eyes review', 'intensively applied', 'interaction transportation', 'interested planners', 'machine eyes', 'mathematics cellular', 'modelling urban', 'models tend', 'nature computer', 'paradigm shifts', 'potential role', 'promising potential', 'reaching urban', 'realistic dynamics', 'reality today', 'show evidence', 'show promising', 'show recommendations', 'shows progress', 'subdivide computer', 'systems related', 'tackling variety', 'vision show', 'vision shows', 'visual tasks', 'cellular automation', 'different fields', 'different models', 'natural environment', 'urban analytics', 'human interaction', 'understanding urban', 'urban policies', 'built environment', 'deep learning', 'artificial intelligence']",Understanding cities with machine eyes: A review of deep computer vision in urban analytics,"Modelling urban systems has interested planners and modellers for decades. Different models have been achieved relying on mathematics, cellular automation, complexity, and scaling. While most of these models tend to be a simplification of reality, today within the paradigm shifts of artificial intelligence across the different fields of science, the applications of computer vision show promising potential in understanding the realistic dynamics of cities. While cities are complex by nature, computer vision shows progress in tackling a variety of complex physical and non-physical visual tasks. In this article, we review the tasks and algorithms of computer vision and their applications in understanding cities. We attempt to subdivide computer vision algorithms into tasks, and cities into layers to show evidence of where computer vision is intensively applied and where further research is needed. We focus on highlighting the potential role of computer vision in understanding urban systems related to the built environment, natural environment, human interaction, transportation, and infrastructure. After showing the diversity of computer vision algorithms and applications, the challenges that remain in understanding the integration between these different layers of cities and their interactions with one another relying on deep learning and computer vision. We also show recommendations for practice and policy-making towards reaching AI-generated urban policies. © 2019 Elsevier Ltd",Cities; Computer vision; Convolutional neural networks (CNN); Deep learning; Urban studies
89,2019,"['urban form', 'form metrics', 'lst variations', 'observation scales', 'thermal environment', 'urban thermal', 'surface temperature', 'land surface', 'bd exhibited', 'bodies demonstrated', 'building morphology', 'centers urban', 'cooling effects', 'demonstrated stronger', 'density bd', 'dominant effects', 'effects especially', 'environment mitigation', 'extreme high', 'far showed', 'form features', 'form significantly', 'implement urban', 'key element', 'lst varied', 'mitigate extreme', 'mitigation planning', 'negative influence', 'ordinary regression', 'overall building', 'physical urban', 'positive effects', 'ratio far', 'regression rf', 'rf effects', 'scales overall', 'scales results', 'selected urban', 'significantly affects', 'stronger cooling', 'subtropical urban', 'summer building', 'temperature weather', 'three observation', 'using rf', 'affects urban', 'area ratio', 'city managers', 'comprehensive urban', 'ecological infrastructure', 'exhibited significant', 'forest regression', 'high temperature', 'metrics using', 'regression ols', 'showed negative', 'significant positive', 'spatial structures', 'study indicate', 'widely acknowledged', 'urban areas', 'building density', 'relative contributions', 'urban centers', 'urban ecological', 'urban spatial', 'floor area', 'areas using', 'urban green', 'green space', 'water bodies', 'temperature lst', 'using machine', 'random forest', 'machine learning']",Quantifying the effects of urban form on land surface temperature in subtropical high-density urban areas using machine learning,"It is widely acknowledged that urban form significantly affects urban thermal environment, which is a key element to adapt and mitigate extreme high temperature weather in high-density urban areas. However, few studies have discussed the impact of physical urban form features on the land surface temperature (LST) from a perspective of comprehensive urban spatial structures. This study used the ordinary least-squares regression (OLS) and random forest regression (RF) to distinguish the relative contributions of urban form metrics on LST at three observation scales. Results of this study indicate that more than 90% of the LST variations were explained by selected urban form metrics using RF. Effects of the magnitude and direction of urban form metrics on LST varied with the changes of seasons and observation scales. Overall, building morphology and urban ecological infrastructure had dominant effects on LST variations in high-density urban centers. Urban green space and water bodies demonstrated stronger cooling effects, especially in summer. Building density (BD) exhibited significant positive effects on LST, whereas the floor area ratio (FAR) showed a negative influence on LST. The results can be applied to investigate and implement urban thermal environment mitigation planning for city managers and planners. © 2019 by the authors.",Land surface temperature; Ordinary least-squares regression; Random forest regression; Urban form
