Collocation By PMI,Score By PMI,Document By PMI,Collocation By Chi_square,Score By Chi_square,Document By Chi_square,Collocation By Likelihood_ratio,Score By Likelihood_ratio,Document By Likelihood_ratio
volunteers hung,16.99140005153885,1,salzburg szeged,130293.0,1,data sources,120.61289069796729,19
washington dc,16.99140005153885,1,sandy bay,130293.0,1,learning ml,120.20082570120087,17
wealthy depressing,16.99140005153885,1,santiago chile,130293.0,2,topics include,120.14744489294087,10
wood composites,16.99140005153885,1,saudi arabia,130293.0,1,aerial images,120.09405278246047,6
worth revisiting,16.99140005153885,1,schedule adherence,130293.0,1,urban growth,119.42944183240168,18
yandex panorama,16.99140005153885,1,scotchman creek,130293.0,1,ranging lidar,119.16971909314832,8
younger generations,16.99140005153885,1,session imitates,130293.0,1,sustainable development,119.01683748437844,14
ysi exo,16.99140005153885,1,shake calling,130293.0,1,thermal patches,118.79767395351766,1
acquires observational,15.99140005153885,1,sheet metal,130293.0,1,smart card,117.50305180219343,5
aggressive semi,15.99140005153885,1,sketching notations,130293.0,1,public transportation,116.9083627269502,11
agnano hill,15.99140005153885,1,soms rfs,130293.0,1,park accessibility,116.72661276022089,1
alliance featuring,15.99140005153885,1,staked sae,130293.0,1,shared bus,116.46634643769197,1
amsterdam ring,15.99140005153885,1,standout amongst,130293.0,1,urban data,116.35114873849506,56
andres cholula,15.99140005153885,1,stars shining,130293.0,1,water bodies,115.92350940386518,7
apparently amorphous,15.99140005153885,2,statewide commodity,130293.0,1,better understand,115.38656209624199,23
appealing option,15.99140005153885,1,subspace discriminant,130293.0,1,nile delta,115.19357020511359,1
arab emirates,15.99140005153885,1,suppliers pioneers,130293.0,1,large number,113.94338764747016,15
arrived immigrants,15.99140005153885,1,tallinn estonia,130293.0,1,building detection,113.81118320116059,8
associates incoming,15.99140005153885,1,taylor francis,130293.0,4,nlos signals,113.47541743815398,4
babylon governorate,15.99140005153885,1,thick antecedents,130293.0,1,study proposes,113.41978119693567,15
backgrounds walked,15.99140005153885,1,thin globalization,130293.0,1,population density,113.41625669701642,9
bacteremia preventing,15.99140005153885,1,thinning harris,130293.0,1,population distribution,113.02141420026277,5
beach fl,15.99140005153885,1,tie bt,130293.0,1,pen net,112.70767560693906,1
beach holiday,15.99140005153885,1,uc merced,130293.0,1,results indicated,112.55797480005504,12
bluetooth identifiers,15.99140005153885,1,univariate bivariate,130293.0,1,sequestration potential,111.84326148782799,1
booming periodically,15.99140005153885,1,unreinforced masonry,130293.0,1,transportation modes,111.78144522709663,3
bow tie,15.99140005153885,1,volunteers hung,130293.0,1,commons attribution,111.68083939284057,5
braunschweig freiburg,15.99140005153885,1,washington dc,130293.0,1,proposed framework,110.93115263568872,18
breast cancer,15.99140005153885,1,wealthy depressing,130293.0,1,positioning accuracy,110.8001590709244,5
browsing multicriteria,15.99140005153885,1,wood composites,130293.0,1,training samples,110.67008414015527,6
cache conscious,15.99140005153885,1,worth revisiting,130293.0,1,building extraction,110.15495624738567,8
cat pictures,15.99140005153885,1,yandex panorama,130293.0,1,radar sar,109.72125383472665,7
cedar japanese,15.99140005153885,1,young adults,130293.0,2,boosted regression,108.98543258895162,6
chord nec,15.99140005153885,1,younger generations,130293.0,1,block level,108.6329286530579,4
cleansing biotope,15.99140005153885,1,ysi exo,130293.0,1,supervised machine,108.39951326049825,13
collision avoidance,15.99140005153885,1,rights reserved,123433.57842370731,36,better understanding,106.85730956645294,13
colocated forming,15.99140005153885,1,basel switzerland,119725.94522638162,34,mean square,106.47892756627807,10
colors textures,15.99140005153885,1,aperture radar,115815.11105652992,8,cooling effect,106.1070801126981,5
committee ech,15.99140005153885,1,remotely sensed,111089.17855475587,18,learning approach,106.02267496311555,37
comprising hundreds,15.99140005153885,1,permits unrestricted,104233.59997543921,4,population growth,104.98352040964599,10
concurrently coexist,15.99140005153885,1,remote sensing,100682.31263438353,76,multilayer perceptron,104.88712756573162,5
conscious inverted,15.99140005153885,1,black box,97718.99998273083,3,lidar data,104.88381503107607,12
consensus ransac,15.99140005153885,1,fecal sludge,97718.99998273083,1,vehicle ownership,104.82002469127868,1
container terminal,15.99140005153885,1,trunk circumference,97718.99998273083,1,cover change,104.65193747272023,11
cooperation arising,15.99140005153885,1,upper awash,97718.99998273083,1,literature review,104.20416158643218,8
copernicus mission,15.99140005153885,1,particulate matter,90479.58326425543,5,deep convolutional,104.1961604937612,11
corner correspondingly,15.99140005153885,1,amorphous corridor,86861.33332309984,2,island uhi,103.81633238999306,7
corrugated cardboard,15.99140005153885,1,constructive preference,86861.33332309984,1,real estate,102.87448436298241,6
crowdsource dangerous,15.99140005153885,1,differential equations,86861.33332309984,1,particulate matter,100.86738573081067,5
deerfield beach,15.99140005153885,1,gabor filters,86861.33332309984,1,challenging task,100.79657501853086,10
denver co,15.99140005153885,1,geotagged weibo,86861.33332309984,1,stream water,100.65263625844908,1
deploy lightweight,15.99140005153885,1,korean peninsula,86861.33332309984,1,policy makers,100.64177320534398,8
designation thin,15.99140005153885,1,manhattan ny,86861.33332309984,1,information system,100.29075726015014,30
diaphragm rigid,15.99140005153885,1,preference elicitation,86861.33332309984,1,western cape,99.3155310141466,1
directional suppression,15.99140005153885,1,scanning als,86861.33332309984,2,aggregation index,99.31066020824615,8
discourses dominates,15.99140005153885,1,stacked denoising,86861.33332309984,1,information systems,99.0748866739022,13
document resides,15.99140005153885,1,thessaloniki greece,86861.33332309984,2,absolute error,98.95029367876862,9
earlier chapters,15.99140005153885,1,touch tables,86861.33332309984,1,topics discussed,98.67444324749161,8
earlier geotechnical,15.99140005153885,1,machine learning,82288.95671765834,367,creative commons,97.81789578164165,5
ecologically fragile,15.99140005153885,1,proceedings contain,79944.74882136285,18,transportation mode,97.61041486322256,4
educ res,15.99140005153885,1,synthetic aperture,77207.11087572883,8,road network,97.03694054119464,21
eggs laid,15.99140005153885,1,random forest,75514.97196988192,74,weighted regression,95.55322149311543,6
elasticity manager,15.99140005153885,1,facial expression,73288.31246162401,2,life circle,95.13660341128133,1
elkalubia domiate,15.99140005153885,1,western cape,72382.77769249662,1,earth engine,94.99092041008237,4
elkalubia elbouhyra,15.99140005153885,1,sediment yield,71267.41854054907,1,data set,94.98064312880553,26
enterprises attach,15.99140005153885,1,soil erosion,70353.71966611278,2,network cnn,94.81506432263737,11
entomological epidemiological,15.99140005153885,1,latent dirichlet,69485.86643742565,7,landscape patterns,94.28889294931594,4
equipment identifier,15.99140005153885,1,cellular automata,68079.25022530743,12,intelligent computation,93.75158156508925,1
f indings,15.99140005153885,1,contain papers,67642.09460385887,18,discussed include,93.27171688695103,8
fair integrations,15.99140005153885,1,acquires observational,65145.99999616246,1,packed buildings,93.11794467127746,1
fertile tarai,15.99140005153885,1,aggressive semi,65145.99999616246,1,spatial heterogeneity,92.94911864441903,7
filter suspicious,15.99140005153885,1,agnano hill,65145.99999616246,1,colour infrared,92.41123803010002,1
flagship corporations,15.99140005153885,1,alliance featuring,65145.99999616246,1,urban area,92.35563678840852,102
foreign tourists,15.99140005153885,1,amsterdam ring,65145.99999616246,1,building footprints,91.99684333180626,3
formal tectology,15.99140005153885,1,andres cholula,65145.99999616246,1,square error,91.68508943961406,7
freiburg stuttgart,15.99140005153885,1,appealing option,65145.99999616246,1,training data,91.52363129706634,25
fresh fruit,15.99140005153885,1,arab emirates,65145.99999616246,1,taylor francis,91.1298506255599,4
gable dormers,15.99140005153885,1,arrived immigrants,65145.99999616246,1,unreinforced masonry,91.1298506255599,1
garden beds,15.99140005153885,1,associates incoming,65145.99999616246,1,solar radiation,91.11599374612628,3
gauge flowrate,15.99140005153885,1,backgrounds walked,65145.99999616246,1,driving factors,91.02128185752662,7
generalizes excellently,15.99140005153885,1,bacteremia preventing,65145.99999616246,1,data analysis,90.40293957563546,22
geocontextual multitask,15.99140005153885,1,beach fl,65145.99999616246,1,spatial distribution,90.30259330068074,13
geospatially colocated,15.99140005153885,1,beach holiday,65145.99999616246,1,topic modeling,89.83242126218036,3
grand larcenies,15.99140005153885,1,bluetooth identifiers,65145.99999616246,1,language processing,89.776907395487,7
grand lyon,15.99140005153885,1,booming periodically,65145.99999616246,1,agricultural afforestation,89.1874336081461,1
granular amenity,15.99140005153885,1,bow tie,65145.99999616246,1,knowledge discovery,89.01944390813267,6
haicang xinyang,15.99140005153885,1,braunschweig freiburg,65145.99999616246,1,radial basis,88.69538339327933,4
harming exposures,15.99140005153885,1,breast cancer,65145.99999616246,1,travel patterns,88.19973949103354,4
harris corner,15.99140005153885,1,browsing multicriteria,65145.99999616246,1,transit mobility,88.18276004556972,3
hcr stop,15.99140005153885,1,cache conscious,65145.99999616246,1,health hazard,88.17571625193995,2
heart sounds,15.99140005153885,1,cat pictures,65145.99999616246,1,international conference,88.10033271620995,7
helping responders,15.99140005153885,1,cedar japanese,65145.99999616246,1,land uses,87.63259570378953,8
hill naples,15.99140005153885,1,chord nec,65145.99999616246,1,complexity science,87.46314790474715,1
hsv hue,15.99140005153885,1,cleansing biotope,65145.99999616246,1,regression lr,87.244674794504,7
imperial college,15.99140005153885,1,collision avoidance,65145.99999616246,1,maximum likelihood,86.51350234657563,5
improvised explosive,15.99140005153885,1,colocated forming,65145.99999616246,1,randomly selected,86.3989949806378,4
inadequately understood,15.99140005153885,1,colors textures,65145.99999616246,1,natural ventilation,86.24627175185948,2
incoming detections,15.99140005153885,1,committee ech,65145.99999616246,1,open access,86.22008814164695,7
indian pines,15.99140005153885,1,comprising hundreds,65145.99999616246,1,flow prediction,86.20297649284097,4
indianapolis indiana,15.99140005153885,1,concurrently coexist,65145.99999616246,1,permits unrestricted,86.12582639017802,4
inspire sympathy,15.99140005153885,1,conscious inverted,65145.99999616246,1,sensing data,85.640098574503,19
inspire younger,15.99140005153885,1,consensus ransac,65145.99999616246,1,thermal landscape,85.3522771669998,1
intensified spurring,15.99140005153885,1,container terminal,65145.99999616246,1,temperature lst,85.24980829012338,8
intergovernmental panel,15.99140005153885,1,cooperation arising,65145.99999616246,1,functional zones,84.91322343882855,2
interrelated negating,15.99140005153885,1,copernicus mission,65145.99999616246,1,rockfall hazard,84.79016824565585,1
iop publishing,15.99140005153885,1,corner correspondingly,65145.99999616246,1,even though,84.73357128404379,6
japanese cedar,15.99140005153885,1,corrugated cardboard,65145.99999616246,1,data collected,84.69070303171733,16
jerk acceleration,15.99140005153885,1,crowdsource dangerous,65145.99999616246,1,things iot,84.48430504379218,6
kidnapping smuggling,15.99140005153885,1,deerfield beach,65145.99999616246,1,energy performance,84.25741194697663,5
kigali rwanda,15.99140005153885,1,denver co,65145.99999616246,1,sustainable urban,84.17427536076136,19
lakes canals,15.99140005153885,1,deploy lightweight,65145.99999616246,1,store placement,84.15769619637864,2
latin american,15.99140005153885,2,designation thin,65145.99999616246,1,overhead imageries,83.9553359504109,1
libsvm libraries,15.99140005153885,1,diaphragm rigid,65145.99999616246,1,commonly used,83.52867450162796,8
lively beautiful,15.99140005153885,1,discourses dominates,65145.99999616246,1,feature selection,83.48150924086256,6
lugmayr white,15.99140005153885,1,document resides,65145.99999616246,1,widely used,83.40669025756479,9
makkah saudi,15.99140005153885,1,earlier chapters,65145.99999616246,1,building stock,83.19183855542259,4
manila philippines,15.99140005153885,1,earlier geotechnical,65145.99999616246,1,road centerlines,83.10695181616256,2
marine electronics,15.99140005153885,1,ecologically fragile,65145.99999616246,1,global positioning,82.35265184653437,8
meaningless exercise,15.99140005153885,1,eggs laid,65145.99999616246,1,early warning,82.18940969341807,4
mechanics worked,15.99140005153885,1,elasticity manager,65145.99999616246,1,noise pollution,82.12977921738191,3
messogia plain,15.99140005153885,1,elkalubia domiate,65145.99999616246,1,characteristic roc,81.99278275340858,5
mhz frequencies,15.99140005153885,1,elkalubia elbouhyra,65145.99999616246,1,roc curve,81.99278275340858,5
minority oversampling,15.99140005153885,1,enterprises attach,65145.99999616246,1,data collection,81.56819869926545,13
misconduct weapons,15.99140005153885,1,entomological epidemiological,65145.99999616246,1,proposed model,81.45139068931829,19
mochou lake,15.99140005153885,1,equipment identifier,65145.99999616246,1,energy use,81.2139467434523,5
molusce qgis,15.99140005153885,1,f indings,65145.99999616246,1,allocation lda,80.81772880806098,5
moment depiction,15.99140005153885,1,fair integrations,65145.99999616246,1,case studies,80.72355238810422,10
negev israel,15.99140005153885,1,fertile tarai,65145.99999616246,1,urban functional,80.42272402700497,5
nested logit,15.99140005153885,1,filter suspicious,65145.99999616246,1,spatial resolution,80.27750127736688,13
nocturnal warming,15.99140005153885,1,flagship corporations,65145.99999616246,1,sensor data,80.09883595908951,13
