uni_gram,uni_gram_freq,uni_gram_docIDs,bi_gram,bi_gram_freq,bi_gram_docIDs,tri_gram,tri_gram_freq,tri_gram_docIDs
work,104,89,information system,19,17,unmanned aerial vehicles,7,6
environmental,128,87,urban studies,17,17,big data processing,5,5
building,226,86,learning ml,17,17,two machine learning,5,5
prediction,149,86,sustainable urban,22,17,support vector regression,6,5
large,105,85,vector machines,22,16,weighted regression gwr,5,5
three,106,84,training data,20,16,three machine learning,5,5
including,100,84,linear regression,19,16,geographic information systems,5,5
within,102,84,proposed model,21,16,information systems gis,5,5
detection,180,83,urban form,40,16,using remote sensing,5,5
approaches,116,83,learning method,21,16,land cover lulc,5,5
problem,102,82,data collected,17,16,land cover mapping,9,5
developed,102,82,paper proposes,15,15,urban planning traffic,5,5
compared,95,81,study proposes,15,15,unmanned aerial vehicle,5,5
complex,105,81,urban space,21,15,absolute error mae,5,5
several,86,81,complex urban,15,15,operating characteristic roc,5,5
space,125,80,decision support,20,15,vector machines svm,5,5
quality,150,80,important role,14,14,land use types,6,5
identify,99,80,sustainable development,16,14,land use classification,9,5
remote,118,79,land surface,18,14,learning ml techniques,5,5
networks,126,79,traffic congestion,19,14,land cover classes,7,5
image,158,78,sensing images,24,14,neural network model,5,5
significant,85,78,air quality,39,14,geographical information system,6,5
smart,195,77,urban heat,25,14,use machine learning,5,5
random,110,77,road network,15,14,remote sensing image,8,5
existing,92,77,feature extraction,17,14,machine learning based,5,5
public,122,77,gradient boosting,16,14,access article distributed,5,5
factors,139,74,mean absolute,16,13,creative commons attribution,5,5
deep,143,73,york city,13,13,overall accuracy oa,5,5
forest,108,73,information systems,17,13,mean absolute percentage,5,5
multiple,93,73,wide range,13,13,deep learning algorithms,5,5
intelligence,117,72,rapid urbanization,14,13,shenzhen city china,5,5
novel,79,72,human mobility,39,13,based image analysis,6,5
evaluation,106,72,data collection,13,13,object based image,6,5
number,86,71,random forests,18,13,advanced machine learning,7,5
propose,83,71,urban spaces,13,13,dirichlet allocation lda,5,5
level,106,71,sensor data,15,13,sustainable urban planning,6,5
environments,110,70,network ann,14,13,decision support system,5,5
knowledge,97,70,large number,13,13,using convolutional neural,6,5
local,97,70,better understanding,13,13,deep learning models,4,4
improve,80,69,reinforcement learning,22,13,paper presents new,4,4
change,179,69,supervised machine,15,13,diversity index shdi,4,4
big,126,69,image analysis,15,13,shannon diversity index,4,4
future,88,69,road traffic,29,13,model performs best,4,4
predict,88,68,decision makers,12,12,cellular automata ca,4,4
transportation,136,68,data using,13,12,pearl river delta,4,4
traffic,220,67,cellular automata,18,12,street view imagery,9,4
due,72,66,high accuracy,12,12,big data analytics,4,4
overall,81,66,view images,16,12,land use classes,5,4
mapping,134,65,developing countries,16,12,using remotely sensed,4,4
training,92,65,light detection,13,12,paper proposes novel,4,4
dataset,97,65,better understand,12,12,urban planning practices,5,4
characteristics,85,65,results indicated,13,12,difference vegetation index,4,4
set,85,65,surface temperature,24,12,square error rmse,4,4
therefore,68,65,real time,14,12,machine learning classifier,4,4
effective,72,64,data set,20,12,human mobility data,9,4
regression,95,64,traffic management,13,12,artificial intelligence techniques,4,4
current,77,64,urban traffic,13,12,component analysis pca,4,4
finally,64,63,logistic regression,15,12,convolution neural network,5,4
context,85,63,decision trees,13,11,like urban planning,4,4
monitoring,84,62,new urban,15,11,land cover maps,4,4
sustainable,90,62,deep convolutional,12,11,urban data analysis,4,4
application,79,62,model performance,11,11,using social media,4,4
accurate,70,62,previous studies,12,11,land cover map,5,4
terms,64,61,recent advances,12,11,remote sensing rs,4,4
planners,72,61,air pollution,16,11,urban planning environmental,4,4
present,69,61,trajectory data,18,11,google earth engine,7,4
available,67,60,lidar data,18,11,gradient boosting decision,4,4
role,72,60,energy consumption,18,11,logistic regression lr,4,4
could,81,60,heat island,13,11,positioning system gps,4,4
china,95,60,spatial resolution,11,11,complex urban environments,4,4
modeling,116,60,public transportation,15,11,smart card data,8,4
population,120,60,model based,11,11,building coverage ratio,4,4
help,71,60,use change,15,11,commons attribution license,4,4
scale,98,59,learning approaches,15,11,permits unrestricted use,4,4
dynamics,89,59,network cnn,11,11,unrestricted use distribution,4,4
recent,64,59,special focus,11,11,various machine learning,4,4
feature,95,58,system gis,10,10,land use land,6,4
imagery,100,58,spatial data,10,10,absolute percentage error,4,4
challenges,77,58,large scale,14,10,urban built environment,4,4
related,65,58,data analytics,10,10,taylor francis group,4,4
types,86,58,urban context,11,10,intelligent transportation systems,4,4
develop,62,58,geospatial data,12,10,transportation urban planning,4,4
obtained,69,58,time series,16,10,svm random forest,4,4
datasets,80,58,mobility data,19,10,data mining techniques,6,4
vector,70,57,different types,11,10,urban environments using,4,4
conditions,73,56,propose novel,10,10,random forest classifier,4,4
satellite,89,56,regression models,12,10,decision support systems,4,4
technology,68,56,different urban,16,10,interactive machine learning,6,4
maps,70,56,case studies,11,10,urban design problems,4,4
provides,64,56,existing methods,10,10,mobile phone data,9,4
traditional,75,55,unmanned aerial,12,10,boosting decision tree,4,4
evaluate,60,55,paper aims,10,10,deep neural network,4,4
field,67,55,public spaces,17,10,smart city initiatives,4,4
best,63,55,city planning,11,10,aerial vehicles uavs,4,4
predicting,69,55,population growth,13,10,learning methods including,4,4
people,73,55,transportation systems,11,10,several machine learning,4,4
variables,96,55,topics include,10,10,deep learning framework,4,3
key,64,54,results demonstrate,9,9,landsat satellite data,3,3
map,74,54,change detection,29,9,cohesion index cohesion,3,3
analyze,63,54,cover change,15,9,largest patch index,3,3
impact,74,54,satellite data,11,9,patch cohesion index,3,3
found,61,54,index ai,10,9,patch index lpi,3,3
infrastructure,79,54,population density,12,9,edge density ed,3,3
order,62,53,city china,11,9,deep learning model,3,3
buildings,113,52,spatial information,12,9,inform urban planning,3,3
extraction,92,52,google street,13,9,large scale urban,4,3
technologies,81,52,data source,10,9,using satellite imagery,3,3
built,74,52,root mean,10,9,deep learning architecture,3,3
location,90,52,visual analytics,13,9,modern urban planning,3,3
demonstrate,55,51,new method,11,9,neural networks nn,3,3
increased,60,51,media data,15,9,complex urban areas,3,3
presents,54,51,many applications,9,9,proposed method achieved,3,3
address,63,51,prediction accuracy,9,9,forest machine learning,3,3
possible,55,51,challenging task,9,9,normalized difference vegetation,3,3
sources,58,51,learning machine,9,9,random forest machine,3,3
collected,65,51,spatial distribution,13,9,paper presents novel,3,3
road,131,51,environmental monitoring,10,9,artificial intelligence technologies,3,3
issues,56,50,study aims,9,9,human mobility patterns,8,3
thus,54,50,classification method,12,9,fine particulate matter,3,3
cover,137,49,urban systems,11,9,boosted regression tree,3,3
growth,104,49,using deep,11,9,help urban planners,4,3
efficient,55,49,intelligent transportation,9,9,regression tree brt,3,3
integrated,61,49,using data,9,9,intelligence ai technology,3,3
essential,55,49,classification methods,10,9,multiple linear regression,3,3
years,54,49,prediction model,13,9,principal component analysis,3,3
tools,62,49,natural language,10,9,deep learning method,5,3
urbanization,114,48,widely used,10,9,deep learning techniques,4,3
region,67,48,learning framework,12,8,traditional machine learning,3,3
improved,55,48,input data,10,8,sensing big data,3,3
range,53,48,new approach,8,8,decision tree dt,3,3
understand,51,48,study areas,8,8,last two decades,3,3
problems,66,48,building detection,18,8,remote sensing imagery,4,3
main,54,48,building extraction,15,8,urban planning management,3,3
control,83,48,data based,8,8,fully convolutional network,3,3
resolution,56,47,object detection,14,8,reinforcement learning algorithm,3,3
processing,57,47,data processing,10,8,landslide susceptibility mapping,5,3
limited,52,47,policy makers,8,8,characteristic roc curve,3,3
street,143,47,aggregation index,8,8,model performed better,3,3
comparison,50,47,human perception,10,8,boosted regression trees,6,3
may,52,46,mobile phone,19,8,land use maps,4,3
respectively,56,46,present study,8,8,earth engine gee,3,3
global,60,46,traffic flow,21,8,radial basis function,5,3
policies,73,46,ranging lidar,9,8,case study area,3,3
services,73,46,aperture radar,8,8,simulating urban growth,3,3
test,62,46,cover classification,21,8,analytical hierarchy process,3,3
developing,56,46,synthetic aperture,8,8,land use mapping,3,3
mobility,120,46,better urban,8,8,ranging lidar data,3,3
mining,65,45,temperature lst,8,8,air quality monitoring,4,3
regions,70,45,using artificial,9,8,land use changes,5,3
statistical,59,45,global positioning,8,8,operating characteristic curve,3,3
visual,96,45,commonly used,9,8,study provides new,3,3
among,50,45,operating characteristic,8,8,urban areas using,3,3
tool,58,44,receiver operating,8,8,supervised image classification,3,3
rapid,46,44,metropolitan area,8,8,new urban data,6,3
natural,61,44,study provides,8,8,island uhi effect,3,3
distribution,78,44,satellite image,8,8,urban geometric forms,3,3
showed,52,44,models based,8,8,learning machine elm,3,3
changes,78,44,rapid development,8,8,neural network architecture,3,3
open,53,44,use planning,11,8,neural network based,3,3
include,46,44,learning based,8,8,neural networks cnn,3,3
furthermore,48,43,clustering algorithm,10,8,urban traffic flow,3,3
input,59,43,travel behavior,14,8,extreme gradient boosting,3,3
classifier,60,43,last decade,8,8,urban planning urban,3,3
given,52,43,social networks,9,8,essential urban land,6,3
economic,68,43,earth observation,12,8,land use categories,8,3
policy,49,43,support systems,12,8,mean squared error,4,3
proposes,44,43,information technology,8,8,use land cover,5,3
result,45,43,land uses,13,8,random forest decision,3,3
higher,51,43,discussed include,8,8,computational fluid dynamics,3,3
extracted,46,43,topics discussed,8,8,early design stage,4,3
structure,75,43,classification algorithms,12,7,fluid dynamics cfd,3,3
need,46,43,landsat satellite,8,7,linear regression model,4,3
computational,53,43,supervised classification,7,7,multivariate linear regression,3,3
making,50,43,mapping using,7,7,density diversity design,3,3
temporal,59,42,absolute error,8,7,support decision making,3,3
across,47,42,urban scale,8,7,global climate change,3,3
experiments,45,42,spatial heterogeneity,10,7,recent machine learning,3,3
index,93,42,urban region,10,7,reinforcement learning rl,3,3
major,45,42,urban patterns,7,7,using landsat satellite,3,3
tree,79,42,across different,7,7,informa uk limited,3,3
four,51,42,environmental management,7,7,uk limited trading,3,3
specific,48,42,provide valuable,7,7,large data sets,4,3
evaluated,42,42,water quality,17,7,cellular automata model,3,3
dynamic,68,42,features extracted,7,7,land use data,3,3
critical,46,42,using convolutional,8,7,image classification methods,4,3
automatic,47,41,using satellite,8,7,urban planning firm,3,3
uses,52,41,classification using,7,7,high spatial resolution,3,3
intelligent,61,41,using spatial,7,7,planning traffic management,3,3
aims,45,41,approach based,7,7,apply machine learning,3,3
achieved,47,40,radar sar,7,7,airborne lidar point,4,3
make,43,40,water bodies,8,7,lidar point clouds,4,3
especially,45,40,urban residents,7,7,multiple machine learning,3,3
simulation,71,40,air temperature,14,7,machine learning technologies,3,3
particular,41,40,mean square,8,7,land use information,4,3
clustering,68,40,land change,10,7,nighttime light ntl,3,3
real,46,40,widely applied,7,7,image analysis obia,3,3
analyzing,46,40,literature review,9,7,gradient boosting machine,3,3
selected,49,40,mobility patterns,19,7,decision analysis mcda,3,3
increasing,43,40,different approaches,7,7,let spatial agents,3,3
relationship,57,39,positioning system,7,7,decision tree gbdt,3,3
world,44,39,accuracy assessment,7,7,high resolution images,3,3
architecture,55,39,island uhi,7,7,urban heat islands,9,3
great,41,39,public health,9,7,percentage error mape,3,3
focus,40,39,driving factors,10,7,machine learning capabilities,3,3
challenging,39,38,two decades,7,7,neural networks ann,3,3
highly,41,38,using landsat,7,7,using latent dirichlet,3,3
increase,52,38,extreme learning,7,7,urban development patterns,5,3
landscape,135,38,method based,7,7,monitoring urban planning,3,3
become,43,38,two different,8,7,normalized difference index,3,3
findings,43,38,learning classifiers,9,7,remotely sensed images,3,3
energy,133,38,novel approach,8,7,vegetation index ndvi,3,3
efficiency,49,38,residential areas,11,7,intelligent transportation urban,3,3
integrating,42,38,regression lr,7,7,deep learning dl,3,3
assessment,53,38,analysis using,7,7,neural network bpnn,3,3
extract,46,38,geographical information,8,7,sustainable development goals,3,3
way,40,38,urban computing,15,7,different land uses,3,3
common,38,38,open access,7,7,big transit data,3,3
importance,42,38,road networks,11,7,bus trajectory data,3,3
demand,56,38,research aims,7,7,large metropolitan areas,3,3
reserved,38,38,regression model,9,7,mobility patterns based,5,3
service,61,38,support decision,7,7,transit mobility patterns,4,3
strategies,51,38,large amount,7,7,using big transit,3,3
convolutional,61,37,open data,9,7,cities urban planning,3,3
five,43,37,sustainable cities,7,7,urban design strategies,4,3
indicate,39,37,object based,10,7,time series data,3,3
towards,41,37,semantic segmentation,23,7,urban planning policies,3,3
geographic,54,37,international conference,7,7,interest poi data,3,3
density,51,37,learning technique,7,7,smart cities urban,3,3
capture,41,37,using multiple,8,7,heterogeneous urban data,5,3
able,42,37,system based,8,7,machine learning using,3,3
measure,44,37,language processing,7,7,svm support vector,3,3
life,50,37,urban morphology,13,7,massive urban data,3,3
task,51,37,disaster management,7,7,traditional classification methods,3,3
air,92,37,design process,7,7,machine learning data,3,3
water,97,37,methods including,7,7,via machine learning,3,3
classify,46,37,dirichlet allocation,8,7,linear regression lr,3,3
article,42,37,latent dirichlet,8,7,air quality data,3,3
combined,47,37,available data,8,7,hyperspectral image classification,3,2
form,63,37,classification performance,7,6,urban data sets,2,2
spaces,52,37,google earth,10,6,boosted decision trees,2,2
trained,42,36,training dataset,6,6,google earth images,2,2
climate,84,36,urban fabric,10,6,monitoring land cover,2,2
technique,50,36,economic growth,6,6,presents new approach,2,2
explore,40,36,proposes new,6,6,high resolution multispectral,2,2
gis,59,36,things iot,7,6,high resolution remote,2,2
addition,37,36,spatial patterns,6,6,resolution remote sensing,2,2
value,46,36,many cities,6,6,land cover patterns,4,2
measures,54,36,statistical models,8,6,land cover types,2,2
residential,62,36,united states,7,6,evaluate model performance,2,2
useful,44,36,use data,6,6,develop predictive model,2,2
interest,38,36,simulating urban,7,6,automata cellular automata,2,2
rate,51,36,geographically weighted,8,6,cellular automata cellular,2,2
presented,37,36,urban landscape,9,6,simulating urban expansion,3,2
sensor,49,36,weighted regression,8,6,beijing city china,3,2
surface,61,36,hierarchical clustering,6,6,density ed shannon,2,2
second,38,36,applying machine,6,6,density pd edge,2,2
like,47,36,evaluated using,6,6,ed shannon diversity,2,2
according,37,36,ai techniques,11,6,four landscape metrics,2,2
relevant,42,36,error rmse,6,6,landscape pattern change,2,2
shows,38,36,management however,6,6,ordinary least squares,2,2
rights,36,36,south korea,7,6,patch density pd,2,2
classes,49,35,square error,7,6,pd edge density,2,2
methodology,46,35,urban landscapes,6,6,achieved high accuracy,2,2
processes,39,35,forest model,7,6,volunteered geographic information,2,2
significantly,37,35,training samples,10,6,including urban planning,2,2
health,69,35,however previous,6,6,google cloud vision,2,2
find,40,35,mining techniques,8,6,online machine learning,2,2
effect,48,35,predicting urban,7,6,walkability using machine,2,2
modelling,57,35,ai technologies,11,6,computer vision tasks,2,2
effects,63,35,great potential,6,6,computer vision techniques,2,2
mainly,38,35,resource management,8,6,shown good performance,2,2
aspects,40,35,classification based,6,6,urban planning applications,2,2
low,42,35,even though,6,6,using convolutional networks,2,2
sensors,40,34,method using,6,6,yielded overall accuracy,2,2
associated,39,34,sensed data,6,6,classification using remotely,2,2
influence,41,34,different regions,6,6,cover classification using,2,2
mean,50,34,urban governance,9,6,cover lulc mapping,2,2
considered,35,34,boosted regression,9,6,building energy consumption,2,2
pattern,55,34,regression tree,6,6,dense urban area,2,2
activities,44,34,two main,6,6,urban area however,2,2
computer,54,34,existing urban,6,6,urban land dynamics,4,2
locations,44,34,great importance,6,6,maximum likelihood method,2,2
applying,38,34,public transit,9,6,combining machine learning,2,2
generated,37,34,human activity,6,6,employ machine learning,2,2
growing,36,34,overall classification,7,6,accessed street greenery,4,2
values,52,34,aerial images,14,6,daily accessed street,4,2
basis,41,34,prediction performance,6,6,open street map,2,2
supervised,40,33,point cloud,11,6,street map osm,2,2
providing,38,33,airborne lidar,10,6,street view gsv,2,2
points,41,33,different machine,8,6,view gsv images,2,2
svm,58,33,control system,10,6,visible street greenery,4,2
since,33,33,results suggest,6,6,urban air temperature,3,2
impacts,47,33,analyzed using,6,6,seoul south korea,2,2
objects,47,33,landslide susceptibility,22,6,study used eight,2,2
mobile,54,33,best performance,7,6,improved urban planning,2,2
achieve,34,33,susceptibility mapping,8,6,neural networks anns,2,2
difficult,35,33,environmental factors,7,6,urban structure types,3,2
analytics,51,33,model outperforms,6,6,classifier random forest,2,2
light,40,33,driving forces,11,6,high resolution satellite,3,2
literature,39,33,image processing,7,6,land cover lc,2,2
quantitative,43,32,various applications,6,6,learning classifier random,2,2
promising,34,32,promising results,6,6,resolution satellite images,2,2
integration,38,32,feature selection,8,6,learning algorithms used,2,2
error,46,32,network model,6,6,presents novel method,2,2
scenarios,43,32,heterogeneous urban,10,6,however previous works,2,2
view,58,32,weather conditions,7,6,make full use,2,2
around,34,32,obtained results,6,6,urban human mobility,10,2
moreover,34,32,green space,6,6,air pollution problems,2,2
semantic,68,32,real estate,7,6,control urban planning,2,2
solution,35,32,massive data,6,6,planning traffic forecasting,2,2
parameters,54,32,planning process,7,6,predicting urban human,2,2
comprehensive,35,32,policy making,7,6,water resource management,4,2
provided,32,32,identify urban,8,6,markov decision process,2,2
apply,33,32,residential land,11,6,water resources management,2,2
specifically,32,31,access article,6,6,identifying different types,2,2
increasingly,32,31,using big,6,6,learning approach based,2,2
metrics,58,31,human activities,6,6,proposed method outperforms,2,2
tested,33,31,new opportunities,6,6,urban planning crop,2,2
experimental,35,31,public space,10,6,discrete choice models,2,2
previous,35,31,applied machine,6,6,regression models showed,3,2
conducted,32,31,urban infrastructure,6,6,building block level,6,2
representation,38,31,urban street,11,6,accuracy assessment results,2,2
create,32,31,factors affecting,6,6,assessment results show,2,2
community,46,31,knowledge discovery,8,6,block level based,2,2
vehicle,51,31,urban dynamics,6,6,information retrieval based,2,2
coverage,47,31,different cities,6,6,train support vector,2,2
optimization,44,31,study developed,6,6,york city boston,2,2
discussed,31,31,interest poi,6,6,interactive visual analytics,2,2
behavior,45,31,learning classification,7,6,techniques machine learning,2,2
citizens,50,31,historical data,8,6,learning statistical model,2,2
designed,35,30,naïve bayes,6,6,machine learning statistical,2,2
trees,41,30,traffic conditions,7,6,urban thermal conditions,3,2
identified,32,30,forest algorithm,6,6,provide decision support,2,2
recently,30,30,different scales,7,6,smart cities case,2,2
solutions,44,30,urban road,6,6,two case studies,2,2
detailed,37,30,major cities,6,6,urban planning problems,2,2
predictive,40,30,aerial vehicles,7,6,landscape shape index,2,2
small,45,30,urban mobility,7,6,shape index lsi,2,2
although,33,30,propose new,6,6,cellular automaton ca,2,2
availability,34,30,support system,9,6,highest simulation accuracy,2,2
historical,56,30,maximum likelihood,6,5,urban data science,4,2
activity,69,30,areas using,5,5,greenhouse gas emissions,3,2
assess,35,30,landsat imagery,6,5,remote sensing big,2,2
type,38,30,presents new,5,5,urban climate solutions,2,2
vegetation,60,30,ai technology,5,5,intelligent unmanned aerial,2,2
good,31,30,diversity index,6,5,aerial vehicle uav,2,2
amount,35,30,landscape metrics,7,5,high prediction accuracy,2,2
travel,86,30,expert knowledge,6,5,path loss models,2,2
train,31,30,genetic algorithm,5,5,path loss prediction,2,2
identifying,34,30,two machine,5,5,lidar point cloud,3,2
along,41,30,using two,5,5,airborne lidar light,2,2
function,40,30,energy use,15,5,lidar light detection,2,2
via,43,30,building energy,12,5,point cloud data,2,2
individual,36,30,energy efficiency,5,5,particle swarm optimization,4,2
state,33,30,vector regression,6,5,challenging task due,2,2
computing,56,30,planning policies,8,5,presents new method,2,2
digital,47,30,ca model,10,5,radar sar images,2,2
expansion,74,29,ecological environment,7,5,chinese cities using,2,2
automated,38,29,landscape pattern,16,5,convolutional network fcn,2,2
optimal,33,29,regression gwr,5,5,forest rf algorithms,3,2
derived,31,29,correlation coefficient,5,5,traffic light control,4,2
physical,43,29,better performance,5,5,light control system,2,2
place,46,29,ecosystem services,11,5,machine learning process,2,2
even,31,29,inform urban,6,5,urban traffic management,2,2
media,53,29,time consuming,5,5,terrestrial laser scanner,2,2
often,31,29,previous research,5,5,baidu street view,2,2
effectiveness,33,29,three machine,5,5,high classification accuracy,2,2
shown,31,29,paper explores,5,5,urban areas extraction,3,2
automatically,33,29,systems gis,5,5,land cover estimation,2,2
point,51,29,using remote,5,5,remote sensing satellite,2,2
combination,39,29,high level,6,5,landslide inventory map,2,2
ability,31,28,data obtained,5,5,model random forest,2,2
performed,34,28,good performance,5,5,land cover using,2,2
aim,30,28,classification results,7,5,regression trees brt,2,2
concept,35,28,cover lulc,5,5,change detection based,3,2
opportunities,32,28,energy performance,13,5,radar sar data,2,2
sustainability,41,28,dense urban,5,5,built environment factors,3,2
average,38,28,proposes novel,5,5,built environment variables,2,2
correlation,42,28,spatial scales,5,5,land use policies,5,2
purpose,34,28,particulate matter,5,5,planners decision makers,2,2
rapidly,29,28,cover mapping,9,5,produced promising results,2,2
construction,48,28,novel framework,5,5,urban areas although,2,2
limitations,32,28,urban water,6,5,land cover classifications,3,2
review,43,28,network analysis,8,5,land use classifications,3,2
identification,38,28,urban green,5,5,four machine learning,2,2
resources,37,28,normalized difference,9,5,received signal strength,2,2
analyzed,33,28,vegetation index,6,5,satellite elevation angle,2,2
part,30,28,learning classifier,5,5,signal strength satellite,2,2
advanced,37,28,study focuses,6,5,strength satellite elevation,2,2
strategy,41,28,test set,6,5,urban study areas,2,2
ecological,35,27,traditional methods,5,5,census tract level,2,2
tasks,36,27,urban functional,15,5,mining human mobility,3,2
risk,39,27,poi data,6,5,gradient boosting model,2,2
distance,49,27,planning traffic,5,5,using gradient boosting,2,2
predicted,30,27,understanding urban,5,5,models perform better,2,2
effectively,29,27,decision process,5,5,using support vector,2,2
perception,61,27,planning using,5,5,improving urban planning,2,2
six,30,27,mapping urban,7,5,provides new way,2,2
user,39,27,experiments show,5,5,urban environment using,2,2
vision,44,27,multilayer perceptron,6,5,urban form metrics,5,2
obtain,29,27,scene classification,8,5,urban thermal environment,3,2
combining,30,27,provide new,5,5,floor area ratio,2,2
regional,44,27,statistical analysis,6,5,random forest regression,2,2
heterogeneous,40,27,urban thermal,12,5,urban ecological infrastructure,2,2
classified,29,27,urban regions,9,5,urban green space,2,2
complexity,41,27,analysis pca,5,5,change detection analysis,4,2
structures,37,27,component analysis,5,5,people daily lives,2,2
improving,30,27,markov chain,5,5,real estate market,2,2
cost,30,27,urbanization process,18,5,provide useful insights,2,2
generate,32,27,transportation system,6,5,across different seasons,2,2
spectral,39,26,data science,11,5,consistent across different,2,2
object,46,26,global climate,6,5,coverage ratio bcr,2,2
indicated,29,26,current state,5,5,urban surface temperature,2,2
levels,40,26,image segmentation,7,5,multiple land use,3,2
linear,32,26,using different,6,5,integrating geographic information,2,2
scales,33,26,aerial vehicle,5,5,use policy making,2,2
categories,33,26,error mae,5,5,enhanced thematic mapper,2,2
pollution,46,26,classification framework,5,5,thematic mapper plus,2,2
implications,32,26,feature vectors,6,5,local climate zone,3,2
etc,31,26,management systems,5,5,learning case study,2,2
segmentation,55,26,convolutional network,6,5,remote sensing scene,4,2
improvement,33,26,metropolitan areas,6,5,sensing scene classification,2,2
resource,35,26,point clouds,15,5,following four steps,2,2
vehicles,38,26,data acquired,5,5,road extraction methods,2,2
decisions,33,26,high classification,5,5,algorithm machine learning,2,2
investigate,27,26,predictive performance,5,5,two steps first,2,2
challenge,28,26,using social,5,5,using hierarchical clustering,2,2
spatiotemporal,50,26,characteristic roc,5,5,different classification algorithms,2,2
power,30,26,performed better,5,5,network cnn model,2,2
topics,34,26,risk management,5,5,forestry urban planning,2,2
without,27,25,classification model,7,5,proposed neural network,2,2
goal,27,25,machines svm,5,5,real time traffic,2,2
internet,34,25,use types,6,5,predicting future trends,2,2
required,25,25,results revealed,5,5,real estate prices,2,2
empirical,27,25,use classification,9,5,route planning based,2,2
period,38,25,boosting decision,5,5,accuracy oa values,2,2
classifiers,40,25,ml techniques,7,5,areas using remote,2,2
