No,DocId,key-phrases
27,72,"['ocean health', 'Blue urbanism', 'ocean literacy', 'ocean activist', 'healthy ocean']"
28,73,"['ethnic concentration', 'ethnic community', 'local ethnic community', 'new Canadian immigrant', 'Canadian immigrant']"
29,78,"['urban regime theory', 'urban governance', 'urban regime', 'local government', 'governance']"
30,80,"['water management', 'water resource management', 'unsustainable water management', 'megacities water quantity', 'megacities water']"
31,84,"['urban public space', 'contemporary urban street', 'ordinary public space', 'urban neighbourhood', 'outdoor social activity']"
32,85,"['community planning', 'Gaza city', 'livable community', 'urban community', 'trust relationship']"
33,88,"['urban architecture', 'Chinese architecture', 'modern city making', 'architect practising', 'city making']"
34,92,"['housing study', 'housing', 'sociobiology', 'sociology', 'ethology']"
35,105,"['successful Lean implementation', 'Lean implementation', 'Lean practitioner', 'Lean philosophy', 'Lean practice']"
36,110,"['East German protest', 'Karl Marx square', 'Marx square', 'German protest', 'Communist authority']"
37,111,"['land use', 'environment', 'civilisation', 'city', 'land']"
38,116,"['city system', 'national development planning', 'development planning', 'Bangkok man', 'national development']"
39,117,"['urban planning policy', 'Chicago sociology', 'Chicago sociologist', 'urban bureaucrat', 'Sociological theory']"
40,125,"['Australian urban water', 'urban water strategy', 'sustainable urban water', 'sustainable water', 'sustainable water management']"
41,130,"['mobility paradigm', 'urban life', 'mobile risk society', 'risk society', 'regime mobility']"
42,135,"['urban English pub', 'youth drinking culture', 'traditional pub', 'English pub', 'youth drinking']"
43,146,"['festival', 'festival show', 'urban place', 'event', 'consumption']"
44,147,"['urban design consumer', 'urban design relies', 'international design', 'city planning', 'design consumer']"
45,148,"['small business influence', 'Small business', 'Community development', 'business', 'entrepreneurship']"
46,153,"['city organisation', 'domestic city organisation', 'urban governance study', 'governance mode', 'public organisation']"
47,156,"['cultural expression', 'globalization', 'urban setting', 'Visual approach', 'culture']"
48,161,"['traffic simulation', 'pedestrian movement', 'traffic flow', 'Simulated people', 'Smart city']"
49,163,"['revered monument', 'failed urban planning', 'monument', 'historic building', 'arch']"
50,169,"['cultural development', 'community relation', 'sound cultural development', 'belonging', 'social milieu']"
51,187,"['urban transformation', 'urban economy', 'Chinese city', 'urban condition', 'communist state']"
52,194,"['Vernacular architecture', 'Modernist high rise', 'high rise housing', 'housing development', 'Singaporean society']"
53,197,"['urban planning process', 'public consultation', 'experimental participatory planning', 'public participation', 'online decision support']"
54,198,"['urban forest management', 'urban forest manager', 'forest management', 'governance challenge', 'critical governance']"
55,204,"['smart city application', 'Smart City road', 'smart application', 'intelligent system', 'intelligent system analyze']"
56,212,"['urban environmental history', 'green urbanism', 'urban ecology', 'urbanism', 'modern city']"
57,217,"['urban creativity', 'spatial appropriation', 'Public design', 'public art', 'interior architecture']"
58,219,"['Human sensory assessment', 'urban environment', 'sensory assessment', 'enables urban planner', 'urban planner']"
59,225,"['Bengali community', 'intangible cultural resource', 'cultural heritage', 'social cohesion', 'tradition']"
60,228,"['Structural beauty', 'structural beauty arises', 'art', 'beauty', 'structure']"
61,234,"['Urban cohesion', 'social spatialization', 'Pakistani neighborhood', 'contemporary city planning', 'compartmentalized public space']"
62,235,"['contemporary Thai youth', 'Thai youth', 'young Thai people', 'youth subculture', 'conspicuous youth subculture']"
63,236,"['cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue']"
64,251,"['urban planning sector', 'urban study theorist', 'Future metropolis', 'benefit big city', 'planning sector']"
65,254,"['Philadelphia planning', 'Philadelphia planning process', 'urban renaissance', 'American industrial metropolis', 'urban historical process']"
66,257,"['Whither aboriginal education', 'aboriginal education', 'indigenous student', 'aboriginal student', 'tribal college']"
67,258,"['first international exposition', 'international exposition', 'centennial', 'important cultural event', 'cultural event']"
68,271,"['tourism destination', 'tourist destination', 'tourism', 'proposed urban design', 'urban design project']"
69,278,"['iranian housing culture', 'housing culture', 'contemporary housing', 'iranian housing', 'contemporary housing solution']"
70,283,"['digital political discussion', 'communicative organizationality', 'digital social movement', 'political action online', 'political discussion']"
71,289,"['African mobility', 'African history', 'colonial politics', 'African culture', 'colonial authority']"
72,304,"['visitor experience', 'site interpretation centre', 'visitor centre', 'site interpretation', 'interpretation centre']"
73,332,"['human mobility system', 'human mobility', 'mobility model', 'smart transportation', 'mobility system']"
74,334,"['sustainable urban environment', 'landscape design', 'sustainable environment', 'human environment', 'landscape']"
75,335,"['town reconstruction', 'tsunami disaster prevention', 'east Japan earthquake', 'Japan earthquake', 'disaster prevention']"
76,369,"['city square design', 'square design', 'style line design', 'city square', 'line design concept']"
77,373,"['Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']"
