Cluster,Score,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y,KeyPhrases
-1,0.9110942155,83,,2021,Conference Paper,A Novel Methodology for Automating Spatio-Temporal Data Classification in Basketball Using Active Learning,"The use of machine learning on spatio-temporal datasets has generated significant interest in a range of applications, including vehicular traffic modelling and urban planning. One of the most prolific application domains is sports analytics due to the availability of real-world multi-agent datasets, where such techniques are used to recognize and predict offensive and defensive strategies in a range of team sports. However, the use of advanced machine learning techniques requires the large datasets to be annotated by domain experts, which is a time-consuming task. Active learning is a methodology that significantly cuts down the data-annotation time on large datasets. In this paper, we investigate active learning strategies to annotate spatio-temporal datasets for the purpose of classification model building. The proposed algorithms are demonstrated on a dataset obtained from professional basketball games to classify an offensive strategy known as 'Pick-and-Roll'. Several neural network architectures are investigated for the classification of more than 900 segments of basketball plays. The results obtained suggest that the proposed, preferred, methodology is well suited for annotating large spatio-temporal datasets and has the potential to be applicable across a range of team sports and non-sports usage scenarios. © 2021 IEEE.",Active Learning; Basketball; Machine Learning; Spatio-temporal Data,"Ai S., Na J., Silva V.D., Caine M.",10.1109/PRML52754.2021.9520715,2.1300001144,0.1599999964,"['sport analytics', 'Active learning', 'vehicular traffic modelling', 'offensive strategy', 'classification model']"
-1,0.9110942155,84,,2021,Conference Paper,Urban trip generation forecasting based on gradient boosting algorithm,"The four-step transportation model plays an important role in urban planning. The quality of the first phase, i.e. trip generation, determines the performance of the global course. The majority of trip generation forecasting models highly rely on mathematical derivation and have many predictor variables during the prediction, which leads to low accuracy of results and requires laboriously hand-crafted design of input vectors. This paper is the first to introduce the gradient boosting decision tree (GBDT) algorithm for trip generation prediction, and harmonizes such a powerful machine learning method with traditional urban planning requirements to achieve better prediction performance. Unlike the commonly used linear regression method, GBDT can automatically perform feature selection and model the non-linear relationships between input and output variables. Experimental results on real-world residential travel census in Beijing prove that the GBDT model significantly outperforms the baseline and can forecast the trip generation more accurately. © 2021 IEEE.",Four-step model; Gradient boosting decision tree; Linear regression; Trip generation,"Li Z., Xiong G., Zhang Y., Zheng M., Dong X., Lv Y.",10.1109/DTPI52967.2021.9540082,3.2599999905,-1.2200000286,"['trip generation prediction', 'decision tree', 'urban planning', 'GBDT model', 'residential travel census']"
-1,0.9110942155,97,,2021,Article,MetaStore: A task-adaptative meta-learning model for optimal store placement with multi-city knowledge transfer,"Optimal store placement aims to identify the optimal location for a new brick-and-mortar store that can maximize its sale by analyzing and mining users' preferences from large-scale urban data. In recent years, the expansion of chain enterprises in new cities brings some challenges because of two aspects: (1) data scarcity in new cities, so most existing models tend to not work (i.e., overfitting), because the superior performance of these works is conditioned on large-scale training samples; (2) data distribution discrepancy among different cities, so knowledge learned from other cities cannot be utilized directly in new cities. In this article, we propose a task-adaptative model-agnostic meta-learning framework, namely, MetaStore, to tackle these two challenges and improve the prediction performance in new cities with insufficient data for optimal store placement, by transferring prior knowledge learned from multiple data-rich cities. Specifically, we develop a task-adaptative meta-learning algorithm to learn city-specific prior initializations from multiple cities, which is capable of handling the multimodal data distribution and accelerating the adaptation in new cities compared to other methods. In addition, we design an effective learning strategy for MetaStore to promote faster convergence and optimization by sampling high-quality data for each training batch in view of noisy data in practical applications. The extensive experimental results demonstrate that our proposed method leads to state-of-the-art performance compared with various baselines. © 2021 Association for Computing Machinery.",Knowledge transfer; Machine learning; Meta-learning; Optimal store placement; Urban computing,"Liu Y., Guo B., Zhang D., Zeghlache D., Chen J., Zhang S., Zhou D., Shi X., Yu Z.",10.1145/3447271,1.2699999809,-1.6699999571,"['optimal store placement', 'training sample', 'city', 'MetaStore', 'multimodal data distribution']"
-1,0.9110942155,104,,2021,Article,Interpretation of contextual influences with explanatory tools: Travel mode likelihood mapping using GPS trajectories,"Past studies have failed to address the spatially and temporally varying impacts of environmental factors regarding the uncertain geographic context problem. This study seeks to provide an innovative framework to facilitate the understanding of spatially and temporally varying impacts of multiple contexts on individuals' travel modes using GIS and machine learning techniques. It adopts machine learning techniques to create likelihood maps to predict the spatiotemporal patterns of individual travel behaviors and uses explanatory tools to explore the spatially and temporally varying impacts. The most notable change at a local level in the spatial dimension was that assaults and offenses involving children turned out to be important in two selected communities in Chicago. Regarding the temporally varying impact, batteries, other offenses, and robberies showed negative associations with the walking prediction to some extent at the afternoon peak (5–7:59 p.m.) during weekdays. The proposed approach will enable meaningful interpretation of complex interactions between multiple environmental factors and individual travel behaviors to suggest policies in urban planning and design. © 2021 John Wiley & Sons Ltd",,"Lee K., Kwan M.-P.",10.1111/tgis.12729,1.7799999714,-1.0,"['individual travel behavior', 'urban planning', 'likelihood map', 'machine learning technique', 'contextual influence']"
-1,0.9110942155,110,,2021,Article,Graph input representations for machine learning applications in urban network analysis,"Understanding and learning the characteristics of network paths has been of particular interest for decades and has led to several successful applications. Such analysis becomes challenging for urban networks as their size and complexity are significantly higher compared to other networks. The state-of-the-art machine learning techniques allow us to detect hidden patterns and, thus, infer the features associated with them. However, very little is known about the impact on the performance of such predictive models by the use of different input representations. In this paper, we design and evaluate six different graph input representations (i.e. representations of the network paths), by considering the network’s topological and temporal characteristics, for being used as inputs for machine learning models to learn the behavior of urban network paths. The representations are validated and then tested with a real-world taxi journeys dataset predicting the tips of using a road network of New York. Our results demonstrate that the input representations that use temporal information help the model to achieve the highest accuracy (root mean-squared error of 1.42$). © The Author(s) 2019.",graph learning; path representation; Urban networks,"Pagani A., Mehrotra A., Musolesi M.",10.1177/2399808319892599,2.6700000763,-1.7000000477000001,"['urban network analysis', 'input representation', 'taxi journey dataset', 'predictive model', 'path']"
-1,0.9110942155,117,2.0,2021,Article,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application,"Objective/significance: Based on the urgent needs of the status quo of urban anti-terrorism, combining the present situation of intelligent city construction, we carry out the research on the key problems such as the collection and analysis of counter-terrorism information for urban environment. This paper puts forward a kind of city anti-terrorism information perception system based on the Internet of things, and realizes to improve the level of surveillance and early warning of terrorist activities facing the urban environment. Method/Process: The system collects and merges the heterogeneous information of terrorism, which is based on the information perception layer, the intelligence identification layer and the intelligence inference layer, which is based on the city's focal area. To filter suspicious information by constructing a semantic database of terrorist action signals Combined with complex event processing and machine learning technology, real-time monitoring and mining prediction of mass event flow, using the comparison between historical data of terrorist attacks and real-time data, increased the area of counter-terrorism intelligence. Results/Conclusions: We hope to provide a better model and an exploratory study on the construction of the counter-terrorism early warning for the urban environment. © The Author(s) 2019.",counter terrorism; early warning; information perception; Internets of things; urban environment,"Xi M., Lingyu N., Jiapeng S.",10.1177/0020720918819247,2.3299999237,0.15000000600000002,"['intelligent city', 'terrorist action signal', 'machine learning technology', 'intelligence identification layer', 'semantic database']"
4,0.9110942155,124,1.0,2021,Article,Identifying spatio-temporal hotspots of human activity that are popular non-work destinations,"The improved temporal and spatial granularity of data now available from current information technologies offers an opportunity to study previously unexplored dimensions of the relationship between built environment and social outcomes. Within the field of urban studies, an old question worth revisiting with these new technologies is how to best trace the spatial boundaries that circumscribe a place or location to explore non-work activity. In this study, we explore a data-driven definition of places as units of analysis that can be used to explore non-work activity in Singapore. Such a definition of place characterizes an urban space in terms of its concentration of activity and the topology of the built environment–features that are especially important to urban planners. We utilize available smartphone data to develop a systematic framework to identify locations with a concentrated human presence. Using a cylinder moving over a grid representing Singapore, we scan aggregated smartphones locational requests (by time and cell), identifying areas with atypical high concentrations at a given time. Our tool identified 93 places with a concentrated human presence. Direct observation of six of these places at the selected times in conjunction with additional transportation and population data indicated that the topology of commercial establishments provided a strong approximation of non-work activity at a given time and place. Having established the relevance of commercial establishments in approximating non-work activity, then points-of-interest data within the 93 derived places are used to propose a typology of commercial patches, based on their spatial configuration. Nine metrics of the geometry and topology of patches of establishments, such as compacity and their dependence on proximity to shopping malls, were developed. These combined variables revealed more temporal and spatial variety within locations than had previously been recognized. The most popular places for non-work activity were densely configured with various commercial sub-spaces or patches appealing to different lifestyles and income groups. This study suggests that a location/place can be best defined as a highly detailed, multi-faceted, and always evolving area of activity rather than as a fixed location with temporal and unmovable boundaries. Suggesting a dynamic redefinition of location/place that builds on other recent work, this work offers potential contributions to locational models for non-work activity. © The Author(s) 2020.",cell phone data; clustering; Density-Based Spatial Clustering and Application with Noise; machine learning; Non-work travel; pattern detection; transportation,"Lopez R.P., Ferreira J.",10.1177/2399808320970209,1.1499999762,-0.8100000024,"['urban space', 'smartphones locational request', 'population data', 'activity', 'popular place']"
4,0.9110942155,125,6.0,2021,Article,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example,"The rise of the term ‘big data’ has contributed to recent advances in computational analysis techniques, such as machine learning and more broadly, artificial intelligence, which can extract patterns from large, multi-dimensional datasets. In the field of urban planning, it is pertinent to understand both how such techniques can advance our understanding of cities, and how they can be embedded within transparent and effective digital planning tools, known as planning support systems. This research specifically focuses on two related contributions. First, it investigates the role of planning support systems in supporting a participatory data analytics approach through an iterative process of developing and evaluating a planning support system environment. Second, it investigates how specifically machine learning planning support systems can be co-designed by built environment practitioners and stakeholders in this environment to solve a real planning issue in Sydney, Australia. This paper presents the results of applied research undertaken through the design and implementation of four workshops, involving 57 participants who were involved in a co-design process. The research follows a mixed-methods approach, studying a wide array of measures related to participatory analytics, task load, perceived added value, recordings and observations. The results highlight recommendations regarding the design and evaluation of planning support system environments for co-design and their coupling with machine learning techniques. It was found that consistency and transparency are highly valued and central to the design of a planning support system in this context. General attitudes towards machine learning and artificial intelligence as techniques for planners and developers were positive, as they were seen as both potentially transformative but also as simply another technique to assist with workflows. Some conceptual challenges were encountered driven by practitioners' simultaneous need for concrete scenarios for accurate predictions, paired with a desire for predictions to drive the development of these scenarios. Insights from this work can inform future planning support system evaluation and co-design studies, in particular those aiming to support democracy enhancement, greater inclusion and more efficient resource allocation through a participatory analytics approach. © The Author(s) 2020.",co-design; Machine learning; mixed methods; planning support systems; urban development,"Lock O., Bain M., Pettit C.",10.1177/2399808320939974,1.0499999523,0.75,"['urban planning', 'participatory analytics approach', 'machine learning', 'effective digital planning', 'built environment practitioner']"
5,0.9110942155,127,1.0,2021,Article,A generic paradigm for mining human mobility patterns based on the GPS trajectory data using complex network analysis,"The mining of human mobility can be exploited to support the design of traffic planning, route recommendations, urban planning, emergency management, and land use. Currently, various methods such as the machine learning algorithms, statistical methods, and semantic analysis are widely applied to identify and extract human mobility patterns. In this paper, we propose a simple and generic paradigm for mining human mobility patterns based on the GPS trajectory data using complex network analysis. The essential ideas behind the proposed paradigm mainly include (1) creating weighted complex networks of GPS trajectories and (2) extracting the human mobility patterns by analyzing the structures and metrics of the created complex networks of GPS trajectories. To evaluate the performance of the proposed paradigm, we design five groups of experiments and identify the mobility patterns of the selected five persons based on the selected five network analysis metrics. Experimental results indicate that (1) the proposed paradigm is effective and (2) the quite interesting potential information about the human mobility can be mined easily. The proposed paradigm is simple and generic, which can be employed to rapidly identify the human mobility patterns based on the GPS trajectory data. © 2019 John Wiley & Sons, Ltd.",complex network analysis; data mining; GPS trajectory; human mobility,"Wang S., Mei G., Cuomo S.",10.1002/cpe.5335,2.4600000381,-1.0099999905,"['human mobility pattern', 'complex network analysis', 'GPS trajectory data', 'route recommendation', 'algorithm']"
-1,0.9110942155,133,,2021,Article,Applying machine learning and geolocation techniques to social media data (Twitter) to develop a resource for urban planning,"With all the recent attention focused on big data, it is easy to overlook that basic vital statistics remain difficult to obtain in most of the world. What makes this frustrating is that private companies hold potentially useful data, but it is not accessible by the people who can use it to track poverty, reduce disease, or build urban infrastructure. This project set out to test whether we can transform an openly available dataset (Twitter) into a resource for urban planning and development. We test our hypothesis by creating road traffic crash location data, which is scarce in most resource-poor environments but essential for addressing the number one cause of mortality for children over five and young adults. The research project scraped 874,588 traffic related tweets in Nairobi, Kenya, applied a machine learning model to capture the occurrence of a crash, and developed an improved geoparsing algorithm to identify its location. We geolocate 32,991 crash reports in Twitter for 2012–2020 and cluster them into 22,872 unique crashes during this period. For a subset of crashes reported on Twitter, a motorcycle delivery service was dispatched in real-time to verify the crash and its location; the results show 92% accuracy. To our knowledge this is the first geolocated dataset of crashes for the city and allowed us to produce the first crash map for Nairobi. Using a spatial clustering algorithm, we are able to locate portions of the road network (<1%) where 50% of the crashes identified occurred. Even with limitations in the representativeness of the data, the results can provide urban planners with useful information that can be used to target road safety improvements where resources are limited. The work shows how twitter data might be used to create other types of essential data for urban planning in resource poor environments. © 2021 Milusheva et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Resor E., Legovini A., Milusheva S., Marty R., Bedoya G., Williams S.",10.1371/journal.pone.0244317,1.25,0.5199999809,"['twitter data', 'urban planning', 'traffic crash location', 'geolocated dataset', 'geoparsing algorithm']"
3,0.781378981,134,2.0,2021,Review,Research on the big data of traditional taxi and online car-hailing: A systematic review,"The purpose of this paper is to provide a summary of a quick overview of the latest developments and unprecedented opportunities for scholars who want to set foot in the field of traditional taxi and online car-hailing (TTOC). From the perspectives of peoples (e.g., passenger, driver, and policymaker), vehicle, road, and environment, this paper describes the current research status of TTOC's big data in six hot topics, including the ridership factor, spatio-temporal distribution and travel behavior, cruising strategy and passenger service market partition, route planning, transportation emission and new-energy, and TTOC's data extensional application. These topics were included in five mainstreams as follows: (1) abundant studies often focus only on determinant analysis on given transportation (taxi, transit, online car-hailing); the exploration of ridership patterns for a multi-modal transportation mode is rare; furthermore, multiple aspects of factors were not considered synchronously in a wide time span; (2) travel behavior research mainly concentrates on the commuting trips and distribution patterns of various travel indices (e.g., distance, displacement, time); (3) the taxi driver-searching strategy can be divided into autopsychic cruising and system dispatching; (4) the spatio-temporal distribution character of TTOC's fuel consumption (FC) and greenhouse gas (GHG) emissions has become a hotspot recently, and there has been a recommendation for electric taxi (ET) in urban cities to decrease transportation congestion is proposed; and (5) based on TTOC and point of interest (POI) multi-source data, many machine learning algorithms were used to predict travel condition indices, land use, and travel behavior. Then, the main bottlenecks and research directions that can be explored in the future are discussed. We hope this result can provide an overview of current fundamental aspects of TTOC's utilization in the urban area. © 2021 The Authors",Cruising strategy and route planning; Ridership factor; Service market partition; Traffic engineering; Transportation emission and new-energy; Travel behavior,"Lyu T., Wang P.S., Gao Y., Wang Y.",10.1016/j.jtte.2021.01.001,8.5699996948,-0.5500000119,"['electric taxi', 'big data', 'travel behavior research', 'ridership pattern', 'commuting trip']"
