doc_id,title,score,similar_cluster_no,similar_doc_id,similar_title
,,0.78,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.77,4,537,Integrating activity-based geographic information and long-term remote sensing to characterize urban land use change
,,0.74,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.73,4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale
,,0.72,5,52,Upscaling urban data science for global climate solutions
,,0.72,5,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.72,6,410,Street view imagery in urban analytics and GIS: A review
,,0.71,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.71,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.70,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.70,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.70,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.70,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.69,9,512,Region2vec: An Approach for Urban Land Use Detection by Fusing multiple Features
,,0.69,4,77,Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE
,,0.68,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.68,5,202,Spatiotemporal modeling of urban growth using machine learning
,,0.68,4,17,Land-cover change and environmental impact analysis in the Greater Mankato area of Minnesota using remote sensing and GIS modelling
,,0.68,6,427,"Panoramic street-level imagery in data-driven urban research: A comprehensive global review of applications, techniques, and practical considerations"
,,0.67,5,340,Do land policies make a difference? A data-driven approach to trace effects on urban form in France and Germany
,,0.67,4,64,Land Classification Using Remotely Sensed Data: Going Multilabel
,,0.67,4,300,Spatiotemporal dynamics of urbanization and cropland in the Nile Delta of Egypt using machine learning and satellite big data: implications for sustainable development
,,0.67,5,36,Mapping urban form and function at city block level using spatial metrics
,,0.67,5,222,Estimating quality of life dimensions from urban spatial pattern metrics
,,0.66,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
,,0.66,8,140,How should urban planners be trained to handle big data?
,,0.66,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
,,0.66,4,204,Understanding the spatial distribution of urban forests in China using Sentinel-2 images with Google Earth Engine
174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China",0.8400,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.83,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.74,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.74,4,30,From land cover-graphs to urban structure types
,,0.74,9,203,Automatic identification of the social functions of areas of interest (AOIS) using the standard hour-day-spectrum approach
,,0.74,5,329,Modeling fine-scale residential land price distribution: An experimental study using open data and machine learning
,,0.73,5,172,Analyzing the spatial factors related to the distributions of building heights in urban areas: A comparative case study in Guangzhou and Shenzhen
,,0.73,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.73,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.73,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.72,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.72,4,228,Population spatialization in Beijing city based on machine learning and multisource remote sensing data
,,0.72,6,390,Holistic visual data representation for built environment assessment
,,0.71,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.70,5,70,Driving forces analysis of urban expansion based on boosted regression trees and Logistic regression
,,0.70,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
,,0.70,-1,85,Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm
,,0.70,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.70,4,497,Urban population distribution mapping with multisource geospatial data based on zonal strategy
,,0.70,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.69,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.69,4,488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018
,,0.69,5,445,Local and application-specific geodemographics for data-led urban decision making
,,0.69,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.69,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.69,5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface
,,0.68,4,540,Machine Learning for Strategic Urban Planning
,,0.68,4,204,Understanding the spatial distribution of urban forests in China using Sentinel-2 images with Google Earth Engine
,,0.68,6,309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System
,,0.68,4,109,Comparative assessment of machine learning methods for urban vegetation mapping using multitemporal Sentinel-1 imagery
184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources,0.8400,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.83,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.79,4,30,From land cover-graphs to urban structure types
,,0.78,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.77,6,390,Holistic visual data representation for built environment assessment
,,0.76,6,309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System
,,0.75,4,411,Automated classification of building structures for urban built environment identification using machine learning
,,0.75,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.75,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.74,4,20,Building type classification using spatial and landscape attributes derived from LiDAR remote sensing data
,,0.74,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.74,5,172,Analyzing the spatial factors related to the distributions of building heights in urban areas: A comparative case study in Guangzhou and Shenzhen
,,0.74,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.73,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
,,0.73,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.73,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.73,4,532,Comparison of performance of artificial neural network (ANN) and random forest (RF) in the classification of land cover zones of urban slum region
,,0.72,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.72,4,251,Remote measurement of building usable floor area – Algorithms fusion
,,0.72,4,242,Urban areas extraction from multi sensor data based on machine learning and data fusion
,,0.72,9,587,2nd International Workshop on Mining Urban Data (Preface)
,,0.72,5,329,Modeling fine-scale residential land price distribution: An experimental study using open data and machine learning
,,0.72,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.72,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.72,4,540,Machine Learning for Strategic Urban Planning
,,0.71,9,203,Automatic identification of the social functions of areas of interest (AOIS) using the standard hour-day-spectrum approach
,,0.71,4,401,Comparison of different machine learning classifiers for building extraction in LiDAR-derived datasets
,,0.71,3,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.71,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.71,4,455,Fusion of airborne lidar point clouds and aerial images for heterogeneous land-use urban mapping
88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics,0.8300,2,483,AI and Deep Learning for Urban Computing
,,0.78,4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale
,,0.77,6,546,Variational beauty of space: Machine intuition and non-linear neural aggregations
,,0.76,6,43,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views
,,0.75,6,11,Measuring human perceptions of a large-scale urban region using machine learning
,,0.75,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.74,6,427,"Panoramic street-level imagery in data-driven urban research: A comprehensive global review of applications, techniques, and practical considerations"
,,0.74,-1,536,Urban street contexts classification using convolutional neural networks and streets imagery
,,0.73,6,360,An investigation of the visual features of urban street vitality using a convolutional neural network
,,0.73,6,410,Street view imagery in urban analytics and GIS: A review
,,0.73,6,16,Measuring visual enclosure for street walkability: Using machine learning algorithms and Google Street View imagery
,,0.72,6,239,Deep CNN-based methods to evaluate neighborhood-scale urban valuation through street scenes perception
,,0.72,6,436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches
,,0.72,7,482,Introduction to Urban Computing
,,0.72,9,507,A deep learning approach to urban street functionality prediction based on centrality measures and stacked denoising autoencoder
,,0.72,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.72,6,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment
,,0.71,4,389,Understanding Historical Cityscapes from Aerial Imagery Through Machine Learning
,,0.71,6,557,The Social Life of Small Urban Spaces 2.0: Three Experiments in Computational Urban Studies
,,0.71,6,59,A human-machine adversarial scoring framework for urban perception assessment using street-view images
,,0.70,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.70,7,4,"On big data, artificial intelligence and smart cities"
,,0.70,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.70,7,563,"Proceedings of the 1st ACM SIGSPATIAL International Workshop on Advances in Resilient and Intelligent Cities, ARIC 2018"
,,0.70,4,144,Aerial point cloud classification with deep learning and machine learning algorithms
,,0.70,5,50,Mining transition rules of cellular automata for simulating urban expansion by using the deep learning techniques
,,0.70,5,138,Machine learning for geographically differentiated climate change mitigation in urban areas
,,0.69,9,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior
,,0.69,5,202,Spatiotemporal modeling of urban growth using machine learning
,,0.69,6,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin
342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data,0.8300,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.83,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.81,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.80,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.79,4,30,From land cover-graphs to urban structure types
,,0.78,4,540,Machine Learning for Strategic Urban Planning
,,0.78,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.77,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.77,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.77,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.76,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.76,4,242,Urban areas extraction from multi sensor data based on machine learning and data fusion
,,0.76,4,548,Land cover classification and change detection analysis of multispectral satellite images using machine learning
,,0.76,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.76,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.75,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.75,4,84,Modeling Urban Land Use Changes Using Support Vector Machines
,,0.75,6,390,Holistic visual data representation for built environment assessment
,,0.75,9,203,Automatic identification of the social functions of areas of interest (AOIS) using the standard hour-day-spectrum approach
,,0.75,4,537,Integrating activity-based geographic information and long-term remote sensing to characterize urban land use change
,,0.74,9,512,Region2vec: An Approach for Urban Land Use Detection by Fusing multiple Features
,,0.74,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.74,4,77,Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE
,,0.74,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.73,4,481,Virtual design of urban planning based on GIS big data and machine learning
,,0.73,4,228,Population spatialization in Beijing city based on machine learning and multisource remote sensing data
,,0.73,5,12,Mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks
,,0.73,5,74,Performance analysis of radial basis function networks and multi-layer perceptron networks in modeling urban change: a case study
,,0.73,4,63,Support Vector Machine accuracy assessment for extracting green urban areas in towns
,,0.73,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
463,Machine Learning Predictors for Sustainable Urban Planning,0.8200,7,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.80,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.78,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.78,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.78,5,446,Investigation of urban climates and built environment relations by using machine learning
,,0.77,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.77,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.77,6,390,Holistic visual data representation for built environment assessment
,,0.76,3,293,Design of machine learning model for Urban planning and management improvement
,,0.76,6,518,Modeling and evaluating the residential urban environment perception
,,0.76,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.76,3,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.75,7,386,Machine learning for real-time urban metrics and design recommendations
,,0.75,5,172,Analyzing the spatial factors related to the distributions of building heights in urban areas: A comparative case study in Guangzhou and Shenzhen
,,0.75,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.75,5,440,"Towards low carbon cities: A machine learning method for predicting urban blocks carbon emissions (UBCE) based on built environment factors (BEF) in Changxing City, China"
,,0.75,5,160,"Machine learning-assisted evaluation of land use policies and plans in a rapidly urbanizing district in Chongqing, China"
,,0.74,5,74,Performance analysis of radial basis function networks and multi-layer perceptron networks in modeling urban change: a case study
,,0.74,5,138,Machine learning for geographically differentiated climate change mitigation in urban areas
,,0.74,5,329,Modeling fine-scale residential land price distribution: An experimental study using open data and machine learning
,,0.74,5,50,Mining transition rules of cellular automata for simulating urban expansion by using the deep learning techniques
,,0.74,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.74,-1,394,Analysis of relationship between road traffic noise and urban form indicators through machine learning method
,,0.73,6,51,"Impacts of land use and amenities on public transport use, urban planning and design"
,,0.73,5,202,Spatiotemporal modeling of urban growth using machine learning
,,0.73,7,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.73,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.73,6,252,A data-informed analytical approach to human-scale greenway planning: Integrating multi-sourced urban data with machine learning algorithms
,,0.73,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.73,5,206,Investigating important urban characteristics in the formation of urban heat islands: a machine learning approach
551,Exploring different combinations of data and methods for urban land use analysis: A survey,0.8200,4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America
,,0.81,-1,472,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities"
,,0.81,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.79,8,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning
,,0.78,4,537,Integrating activity-based geographic information and long-term remote sensing to characterize urban land use change
,,0.77,5,12,Mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks
,,0.77,6,271,Urban land use information retrieval based on scene classification of Google Street View images
,,0.77,4,112,Regional mapping of essential urban land use categories in China: A segmentation-based approach
,,0.76,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.75,-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.75,9,512,Region2vec: An Approach for Urban Land Use Detection by Fusing multiple Features
,,0.75,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.75,4,77,Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE
,,0.75,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.74,4,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis
,,0.74,6,309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System
,,0.74,-1,595,Developing methodologies of knowledge discovery and data mining to investigate metropolitan land use evolution
,,0.74,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.74,4,251,Remote measurement of building usable floor area – Algorithms fusion
,,0.73,4,30,From land cover-graphs to urban structure types
,,0.73,4,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier
,,0.72,9,587,2nd International Workshop on Mining Urban Data (Preface)
,,0.72,4,41,Building block level urban land-use information retrieval based on Google Street View images
,,0.72,4,84,Modeling Urban Land Use Changes Using Support Vector Machines
,,0.72,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
,,0.72,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.72,4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale
,,0.71,4,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings
,,0.71,4,539,EVALUATION of ADVANCED DATA MINING ALGORITHMS in LAND USE/LAND COVER MAPPING
,,0.71,5,202,Spatiotemporal modeling of urban growth using machine learning
595,Developing methodologies of knowledge discovery and data mining to investigate metropolitan land use evolution,0.8100,5,167,Urban Data Mining using emergent SOM
,,0.78,3,244,Selecting artificial intelligence urban models using waves of complexity
,,0.75,3,306,Comparative review of methods supporting decision-making in urban development and land management
,,0.75,3,23,Artificial intelligence solutions for urban land dynamics: A review
,,0.75,5,522,A Machine Learning-Based Method for Predicting Urban Land Use
,,0.74,-1,551,Exploring different combinations of data and methods for urban land use analysis: A survey
,,0.73,5,399,Systematic data mining into land consumption in Germany
,,0.72,3,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.72,5,12,Mining urban land-use patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks
,,0.72,3,48,Can expert systems help with planning?
,,0.71,5,594,Research on application of intelligent computation - Based LUCC model in urbanization process
,,0.71,5,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.71,5,197,Comparing machine learning classification schemes - A GIS approach
,,0.71,-1,463,Machine Learning Predictors for Sustainable Urban Planning
,,0.71,4,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.71,3,293,Design of machine learning model for Urban planning and management improvement
,,0.70,3,509,Urban Planning Reform Trend Based on Artificial Intelligence
,,0.70,5,583,Feature selection and knowledge extraction from buppu 2000 and 2010 censuses using artificial intelligence
,,0.70,5,96,Predicting multiple land use transitions under rapid urbanization and implications for land management and urban planning: The case of Zhanggong District in central China
,,0.70,3,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.69,3,183,The promise of expert systems for urban planning
,,0.69,3,596,A knowledge-based creation of mathematical programming for GIS problem solving
,,0.69,-1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data
,,0.69,5,340,Do land policies make a difference? A data-driven approach to trace effects on urban form in France and Germany
,,0.69,3,558,Application of AI in urban design
,,0.69,4,431,"Identifying different types of urban land use dynamics using Point-of-interest (POI) and Random Forest algorithm: The case of Huizhou, China"
,,0.68,4,182,A comparative analysis of the urban web of the greater athens agglomeration for the last 20-years period on the basis of landsat imagery
,,0.68,5,155,Improving land-use change modeling by integrating ANN with Cellular Automata-Markov Chain model
,,0.68,3,241,An information system for judicial and public administration using artificial intelligence and geospatial data
,,0.67,5,474,Analysis of built-up areas of small polish cities with the use of deep learning and geographically weighted regression
189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,0.8000,-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones
,,0.70,-1,207,A fuzzy logic based transport mode detection framework in urban environment
,,0.69,2,161,Toward Transportation Mode Recognition Using Deep Convolutional and Long Short-Term Memory Recurrent Neural Networks
,,0.66,2,18,Citywide Traffic Volume Estimation Using Trajectory Data
,,0.65,2,225,Dynamic spatial-temporal feature optimization with ERI big data for Short-term traffic flow prediction
,,0.64,2,302,Data-driven next destination prediction and ETA improvement for urban delivery fleets
,,0.64,9,529,Transaction-Driven Mobility Analysis for Travel Mode Choices
,,0.63,-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China"
,,0.62,1,80,"Intelligent GPS L1 LOS/multipath/NLOS classifiers based on correlator-, RINEX- and NMEA-level measurements"
,,0.61,2,388,Data mining techniques for smart mobility—a survey
,,0.61,9,33,Urban human mobility data mining: An overview
,,0.61,9,87,IVizTRANS: Interactive visual learning for home and work place detection from massive public transportation data
