doc_id,title,score,cluster,similar_doc_id,similar_title,top1_occ_cluster,top1_count,top2_occ_cluster,top2_count,top3_occ_cluster,top3_count,is_match
585,"European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2016",0.69,#9,577,"1st Asia-Pacific Web and Web-Age Information Management Joint Conference on Web and Big Data, APWeb-WAIM 2017 held in Conjuction with the International Workshop on Mobile Web Data Analytics, MWDA 2017, International Workshop on Hot Topics in Big Spatial Data and Urban Computing, HotSpatial 2017, International Workshop on Graph Data Management and Analysis, GDMA 2017, 2nd International Workshop on Data Driven Crowdsourcing, DDC 2017, 2nd International Workshop on Spatio-temporal Data Management and Analytics, SDMA 2017 and International Workshop on Mobility Analytics from Spatial and Social Data, MASS 2017",#9,17,#2,4,#7,4,True
516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments,0.70,#6,308,Rapid and automated urban modeling techniques for UAS applications,#4,13,#7,7,#-1,5,False
46,Forecasting smog-related health hazard based on social media and physical sensor,0.71,#5,527,Mining and Analysis of Air Quality Data to Aid Climate Change,#5,10,#9,8,#8,4,True
134,Transparency in practice: Using visualization to enhance the interpretability of open data,0.71,#-1,487,"AVI 2020 Workshop on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis, AVI-BDA 2020 and 2nd Italian Workshop on Visualization and Visual Analytics, ITAVIS 2020",#9,11,#-1,5,#6,5,False
285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework,0.71,#-1,434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning,#7,19,#-1,3,#2,2,False
434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning,0.71,#-1,285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework,#7,8,#4,6,#-1,5,False
487,"AVI 2020 Workshop on Road Mapping Infrastructures for Artificial Intelligence Supporting Advanced Visual Big Data Analysis, AVI-BDA 2020 and 2nd Italian Workshop on Visualization and Visual Analytics, ITAVIS 2020",0.71,#-1,134,Transparency in practice: Using visualization to enhance the interpretability of open data,#7,12,#9,6,#-1,5,False
234,Night on South Korea: Unraveling the relationship between urban development patterns and DMSP-OLS night-time lights,0.73,#-1,10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective",#5,14,#4,9,#6,3,False
383,Can we predict the scenic beauty of locations from geo-tagged Flickr images?,0.73,#6,11,Measuring human perceptions of a large-scale urban region using machine learning,#6,17,#9,11,#8,1,True
403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,0.73,#7,281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application,#7,13,#3,6,#-1,4,True
415,Smart environment design planning for smart city based on deep learning,0.73,#2,483,AI and Deep Learning for Urban Computing,#5,11,#7,9,#-1,4,False
207,A fuzzy logic based transport mode detection framework in urban environment,0.74,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#9,12,#2,8,#7,4,False
394,Analysis of relationship between road traffic noise and urban form indicators through machine learning method,0.74,#-1,463,Machine Learning Predictors for Sustainable Urban Planning,#5,12,#6,7,#-1,4,False
426,Intelligent control systems in urban planning conflicts: Social media users’ perception,0.74,#8,164,Social media data analysis in urban e-planning,#3,10,#8,7,#-1,4,False
194,Classification of sidewalks in street view images,0.75,#-1,536,Urban street contexts classification using convolutional neural networks and streets imagery,#6,15,#4,8,#-1,6,False
435,Designing roadside green infrastructure to mitigate traffic-related air pollution using machine learning,0.75,#5,526,Characterizing air quality in urban areas with mobile measurement and high resolution open spatial data: Comparison of different machine-learning approaches using a visual interface,#5,19,#4,4,#-1,3,True
503,On the development of a novel approach for identifying perennial drainage in Southern Brazil: A study case integrating sentinel-2 and high-resolution digital elevation models with machine learning techniques,0.75,#4,166,Analysis of land use and land cover change in a coastal area of Rio de Janeiro using high-resolution remotely sensed data,#4,22,#0,4,#5,4,True
519,IFDaD 2020 - Proceedings of the 1st International Forum on Digital and Democracy. Towards A Sustainable Evolution 2020,0.75,#7,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities,#7,16,#-1,6,#8,4,True
85,Identification of low-carbon travel block based on GIS hotspot analysis using spatial distribution learning algorithm,0.76,#5,440,"Towards low carbon cities: A machine learning method for predicting urban blocks carbon emissions (UBCE) based on built environment factors (BEF) in Changxing City, China",#5,8,#9,8,#6,5,True
129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?,0.76,#7,433,Nordic Cities Meet Artificial Intelligence,#7,13,#8,6,#3,4,True
44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities,0.78,#-1,250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens,#7,13,#8,7,#-1,5,False
250,A value of civic voices for smart city: A big data analysis of civic queries posed by Seoul citizens,0.78,#-1,44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities,#7,9,#8,8,#9,7,False
259,Machine Learning Assisted Urban Filling,0.78,#-1,412,A generative architectural and urban design method through artificial neural networks,#6,12,#7,8,#-1,3,False
391,Artificial Neural Networks as an Architectural Design Tool-Generating New Detail Forms Based on the Roman Corinthian Order Capital,0.78,#-1,412,A generative architectural and urban design method through artificial neural networks,#7,7,#6,6,#3,5,False
412,A generative architectural and urban design method through artificial neural networks,0.78,#-1,259,Machine Learning Assisted Urban Filling,#7,8,#6,7,#5,6,False
580,Algorithm for modeling agricultural land cover classification and land surface temperature,0.78,#5,330,Proposing an effective and inexpensive tool to detect urban surface temperature changes associated with urbanization processes in small cities,#4,20,#5,9,#-1,1,False
536,Urban street contexts classification using convolutional neural networks and streets imagery,0.79,#4,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale,#4,15,#6,8,#-1,4,True
189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,0.80,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#9,12,#2,9,#-1,6,False
263,"Mapping poverty and slums using multiple methodologies in Accra, Ghana",0.80,#-1,438,Identifying urban poverty using high-resolution satellite imagery and machine learning approaches: Implications for housing inequality,#4,12,#5,8,#-1,3,False
400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,0.80,#-1,189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,#9,10,#-1,8,#2,7,False
438,Identifying urban poverty using high-resolution satellite imagery and machine learning approaches: Implications for housing inequality,0.80,#-1,263,"Mapping poverty and slums using multiple methodologies in Accra, Ghana",#4,14,#5,7,#-1,5,False
480,Measuring sustainability and urban data operationalization: An integrated computational framework to evaluate and interpret the performance of the urban form,0.80,#5,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy",#6,9,#7,9,#5,7,False
595,Developing methodologies of knowledge discovery and data mining to investigate metropolitan land use evolution,0.81,#5,167,Urban Data Mining using emergent SOM,#5,12,#3,12,#-1,3,True
463,Machine Learning Predictors for Sustainable Urban Planning,0.82,#7,289,Machine learning technologies for sustainability in smart cities in the post-covid era,#5,14,#-1,5,#6,4,False
551,Exploring different combinations of data and methods for urban land use analysis: A survey,0.82,#4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America,#4,15,#-1,5,#5,5,True
88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics,0.83,#2,483,AI and Deep Learning for Urban Computing,#6,13,#7,4,#4,3,False
342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data,0.83,#-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources,#4,17,#5,5,#-1,4,False
174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China",0.84,#-1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources,#4,15,#5,6,#-1,5,False
184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources,0.84,#-1,174,"Comparison of approaches for urban functional zones classification based on multi-source geospatial data: A case study in Yuzhong District, Chongqing, China",#4,15,#5,5,#-1,4,False
472,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities",0.87,#4,324,Mapping essential urban land use categories with open big data: Results for five metropolitan areas in the United States of America,#4,14,#5,8,#6,3,True
10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective",0.89,#-1,345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China",#5,15,#4,12,#-1,2,False
345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China",0.89,#-1,10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective",#5,17,#4,9,#-1,2,False
