Cluster,Score,NumDocs,Percent,DocIds,Terms
19,0.9650078855,10,0.016863406408094434,"[65, 91, 122, 136, 140, 323, 339, 470, 480, 484]","park, park accessibility, life circle, spatial justice, housing estate, economic mobility, estimation model, community life, internal structure, behavioral demand"
20,0.3197707798,16,0.026981450252951095,"[107, 189, 267, 305, 315, 383, 396, 445, 449, 455, 482, 483, 538, 567, 575, 579]","block level, building block, functional zone, geodemographic classification, ecosystem service, street context, cultural ecosystem, functional area, aesthetic rating, building type"
21,0.8743251776000001,17,0.02866779089376054,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]","heat, temperature, heat island, urban heat, comfort, surface temperature, thermal comfort, carbon sequestration, sequestration potential, food productivity"
22,0.8018109242,18,0.03035413153456998,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]","air, concentration, pollutant concentration, air pollution, air quality, health hazard, concentration prediction, mode decomposition, secondary decomposition, noise pollution"
23,0.6515042403,12,0.02023608768971332,"[18, 85, 203, 242, 360, 419, 440, 457, 465, 540, 556, 586]","smart data, building height, medium user, differential equation, objective function, intervention strategy, neurological network, query engine, design recommendation, city configuration"
24,0.8341693870000001,21,0.03541315345699832,"[28, 29, 39, 44, 57, 60, 71, 79, 115, 168, 172, 198, 215, 216, 222, 247, 265, 274, 372, 456, 585]","temperature, heat, surface temperature, urban heat, heat island, air temperature, canyon geometry, urban vegetation, urban park, urban canyon"
25,0.6157260256,18,0.03035413153456998,"[19, 24, 45, 123, 181, 195, 214, 223, 227, 255, 335, 350, 366, 406, 508, 521, 596, 597]","emission, carbon emission, urban climate, interface network, vehicle ownership, traffic noise, express service, form indicator, physical asset, network connectivity"
26,0.9688758878,15,0.025295109612141653,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]","susceptibility, landslide, landslide susceptibility, susceptibility map, susceptibility mapping, flood, conditioning factor, rockfall hazard, shallow landslide, burnt area"
27,0.3657730719,14,0.023608768971332208,"[20, 80, 101, 192, 224, 239, 306, 322, 349, 403, 409, 441, 481, 517]","energy, energy use, electric consumption, performance criterion, consumption data, multiple performance, heritage area, consumption forecasting, occupant behaviour, design parameter"
28,0.9881237136000001,12,0.02023608768971332,"[111, 149, 221, 278, 279, 284, 400, 446, 448, 471, 506, 518]","signal, localization, path loss, multipath, pseudorange, signal reception, multipath detection, direct signal, signal correlation, level observation"
29,-0.1418404986,34,0.05733558178752108,"[1, 12, 21, 33, 36, 53, 56, 58, 61, 64, 68, 88, 109, 112, 121, 148, 150, 166, 173, 199, 205, 246, 250, 332, 369, 386, 399, 414, 558, 564, 566, 568, 580, 581]","player, crime, mosquito, densification, violent crime, property crime, total population, ethnic heterogeneity, spatial lag, residential stability"
30,-0.0044508176,20,0.03372681281618887,"[47, 67, 75, 76, 98, 103, 143, 151, 152, 174, 297, 354, 377, 381, 385, 390, 487, 532, 541, 583]","crime, urban governance, urban technology, fall, tender, crime pattern, public consultation, crime distribution, concentration area, tender procedure"
31,0.2626563342,13,0.021922428330522766,"[40, 54, 70, 108, 132, 179, 207, 266, 275, 308, 357, 408, 442]","energy, building energy, energy demand, urban modeling, modeling technique, urban model, load prediction, feature parameter, electrical load, load forecasting"
