cluster,cluster_docs,keyword_group_no,keywords,score,doc_ids,num_docs,num_keywords,coverage
3,38,6,"['sensory data eye movement data', 'spatial familiarity', 'important high level user context', 'task out', 'landsense index', 'wearable sensor', 'visuospatial configuration', 'active ageing', 'isovist minimum visibility', 'new bikeability index', 'Singapore and Tokyo', 'conventional geospatial approach', 'SVI counterpart', 'visual volume and drift magnitude', 'pedestrian emotion', 'high spatiotemporal resolution', 'sustainable city growth', 'place playability', 'previous study', 'SVI datasets', 'interpretable and actionable implication', 'large street imagery data', 'urban perception computing', 'safety criterion', 'city street level analysis', 'housing policy', 'programmatic and physical element', 'visual and auditory perception map', 'audio recorder and camera setup', 'Big Data', 'efficient and scalable manner', ""Kevin Lynch's Image"", 'original photographs and diagram', 'Informa UK Limited', 'urban perception datasets', 'affordable and rapid solution', 'human scale measurement', 'spatial design network analysis', 'efficient street renewal', 'continuous measurement', 'city census information', 'Mexican National Institute', 'first attempt aim', 'new urban data and research technique', 'Many study', 'social relevance', 'human environment interaction research', 'sensor data', 'participant arousal', 'signal frequency unification', 'various demographic background', 'façade condition', 'Outdoor advertising', 'future research and help', 'criteria spatial evaluation', 'liveability and quality', 'local auditor', 'Place Pulse dataset', 'public space', 'promising result', 'place sentiment', 'low throughput survey', 'visual urban scene data', 'property value', 'ecosystem service assessment', 'particular natural attraction and nature photographs', 'manual content analysis', 'Paris dataset', 'equal aesthetic rating', 'urban sensory lab', 'avant garde approach', 'qualitative and quantitative data', 'construction and maintenance quality', 'public rating score', 'safeness and pleasantness', 'visual enclosure measure', 'future soundscape mapping', 'novel approach', 'fine grained detail', 'pilot study', 'associated health benefit']",-0.6726627627,"[4, 31, 33, 48, 49, 52, 77, 116, 154, 170, 196, 206, 244, 269, 280, 313, 325, 340, 341, 367, 376, 381, 397, 401, 416, 429, 445, 449, 455, 488, 489, 492, 523, 529, 534, 575, 595]",37,81,0.9736842105263158
4,31,1,"['northern Taipei', 'southwestern Qingdao', 'Huizhou downtown area', 'Huangpi District', 'Fortune China', 'Jiaxing and Lishui', 'Luojia1 01', 'Guangzhou city', 'Beijing City', 'Shenzhen city', 'Guangzhou and Shenzhen', 'Liangjiang New District', 'China and questionnaire survey', 'Gaode and Baidu Heat Map', 'Yuzhong District', 'Zhanggong District', 'Pearl River Delta', 'Shenyang city']",0.9938442573,"[17, 57, 90, 99, 109, 182, 186, 212, 251, 256, 310, 348, 350, 383, 426, 436, 570]",17,18,0.5483870967741935
4,31,2,"['Accurate air quality prediction', 'support vector machine', 'urbanization and city type', 'short term', 'urban heat island', 'Moderate Resolution Imaging Spectroradiometer', 'random forest', 'spatiotemporal dynamic characteristic', 'urban land use dynamic', 'POI factor', 'big data and machine learning', 'income and housing affordability', 'machine learning approach', 'high resolution satellite imagery', 'important manifestation', 'cohort component type population forecasting', 'machine learning', 'urban and regional planning', 'regional population growth', 'only drawback', 'urban block carbon emission', 'Neural Network BPNN', 'key role', 'good prediction performance', 'other study', 'random forest MLA', 'intercity corporate network', 'exploratory research', 'pseudo R2', 'reliable land price prediction model', 'urban subcenters and waterscape', 'fine scale RLP distribution', 'experimental result', 'smart city growth', 'attribute and BMI', 'urban planning', 'different geographic scale', 'collective effect', 'vital importance', 'urban growth simulation model', 'AFSA CA', 'artificial fish swarm algorithm', 'smart city', 'Sustainable Development Goals', 'urban growth modeling', 'defined and understandable policy', 'spatiotemporal uncertainty', 'SLEUTH CA', 'NPP VIIRS NTL dataset', 'county and city scale', 'obvious spatial heterogeneity', 'population distribution mapping research', 'street level accuracy evaluation result', 'random forest model', 'zoning strategy', 'regional urbanization and greening construction', 'Pinus bungeana Zucc', 'fine particulate matter', 'land use magnitude impact PM2', 'seasonal variability', 'land use change simulation', 'CNN VCA model', 'convolutional neural network', 'multiple driving factor', 'neighborhood effect', 'hybrid cellular automaton model coupling area partitioning', 'Previous research', 'Urbanization process', 'spatiotemporal neighborhood feature learning', 'conventional ANN CA', 'data and town level population census data', 'Visible Infrared Imaging Radiometer Suite', 'spatial resolution', 'residential land growth simulation', 'ABM learning', ""agent's decision model"", 'public service facility planning', 'segmentation approach', 'essential urban land use category', 'first mapping result', 'EULUC seg', 'municipal water consumption data', 'mixed land use pattern', 'biased population coverage', 'effective analysis', 'spatial expansion and intensification', 'different development pattern', 'smart urban planning and management', 'building height', 'geographical accessibility model', 'community deprivation', 'park increase', 'important role', 'new methodological framework', ""urban forest and user's accuracy"", 'Google Earth Engine platform', 'independent validation sample', 'B2 B8', 'Random Forest machine', 'hierarchical farmland protection policy', 'Cellular Automata modelling', 'timely assessment', 'urbanization rate', 'low carbon travel block', 'urban planning and machine learning', 'hotspot analysis', 'functional mixing', 'urban functional zone classification approach', 'Many effort', 'XGBoost model', 'particle swarm optimization', 'food productivity decrease ratio', 'carbon sequestration potential', 'Tg C', 'smart city management', 'current and future land use transition', 'Numerous machine learning', 'key point', 'accuracy and timeliness', 'urban transition rule mining', 'UMCNN and Markov chain', 'simulation accuracy', 'urban planning and government decision making', 'medium term land use transport goal', 'granular amenity structure', 'decision tree model', 'public transit ridership', 'Urban planning and development zone construction', 'Regression Trees', 'Natural factorswere', 'Many research']",0.3869086975,"[17, 57, 90, 99, 100, 102, 109, 114, 123, 130, 182, 186, 212, 238, 239, 245, 251, 256, 260, 293, 310, 339, 347, 348, 350, 383, 421, 426, 436, 521, 570]",31,131,1.0
5,31,1,"['machine learning planning support system', 'Latent Dirichlet Allocation', 'Informatics field', 'ML application', 'big data and machine learning method', 'data and analytics infrastructure', 'machine learning', 'AI community', 'data science', 'big data analysis', 'IoT data set', 'approach use Data Mining', 'big data', 'sentiment analysis', 'prototype Management Information System', 'big data revolution', 'Twitter data', 'Artificial Intelligence technique', 'computer science perspective', 'data mining tool']",0.7855419031,"[125, 139, 148, 160, 192, 243, 266, 294, 343, 387, 396, 415, 434, 438, 487, 504, 550, 556, 584, 593]",20,20,0.6451612903225806
5,31,2,"['urban planning conflict', 'effective urban system management', 'urban planning', 'urban planner', 'sustainable urban governance network', 'urban planning decision support', 'participatory planning processes', 'sustainable urban development', 'livable city', 'urban governance', 'future smart city', 'urban economy and mobility system', 'emission and pollutant concentration data', 'substantial railway station', 'Modern planning and management', 'international development', 'collaborative urban governance', 'sustainable urban system', 'futuristic urban design utopias', 'Transportation and mobility', 'Urban planning student', 'J Plan Educ Res', 'Integrated Tourism planning', 'production and service industry', 'regional and urban planning', 'territorial planning process']",0.7761035573,"[85, 125, 139, 152, 160, 179, 192, 202, 243, 266, 272, 294, 343, 396, 415, 434, 438, 440, 502, 504, 556, 591, 593]",23,26,0.7419354838709677
5,31,3,"['mathematical and neural network model', 'social medium', 'North Eastern Chord', 'mixed methods approach', 'participatory analytics', 'democracy enhancement', 'Social Media Big Data', 'spatiotemporal dynamism', 'case study', 'Systematics Literature Review', 'cognitive city', 'Human Computer Interaction', 'new framework', 'Things sensor', 'theoretical and empirical research', 'smart city', 'groundbreaking service and sensor', 'future research direction', 'new communication and information technology', 'comprehensive review', ""urban form's performance data"", 'integrated computational framework', 'interpreting and operationalizing data', 'climate solution research', 'systematic review', 'global mitigation potential', 'diverse informal civic query data', 'Dynamic Topic Model', 'throughput legitimacy', 'civic demand', 'urban data science', 'advanced interdisciplinary analysis method', 'main discussion', 'dynamic and human behavior', 'Urban Observatory Internet', 'lockdown policy', 'rapid development', 'resilient structure', 'research and practice', 'Idea range', 'spatial and functional pattern', 'empirical research', 'complex adaptive system', 'climate change', 'usable knowledge base', 'safety and security efficiency', 'such innovative new technology', 'important benefit', 'unsupervised and supervised method', 'multiple modality', 'Intelligent processing', 'land use analysis', 'various method', 'systematic literature review', 'Positive deviance', 'other factor underpinning', 'citizen profile', 'extant conceptual study', 'different topic hierarchy', 'unstructured community input', 'social issue', 'Cambridge and innovation', 'such extreme uneven growth polarization', 'thin globalization', 'platform clusters', 'judicial and public administration', 'urban data', 'Information and Communication Technologies', 'environmental data and support decision', 'open urban data', 'bivariate and multivariate analysis', 'Chicago city government', 'visualization technique', 'massive urban datasets', 'various sensor', 'new observation capability', 'main domain', 'social medium and cell phone tracking record', 'simple visualization technique', 'vehicle and traffic pattern detection', 'semantic framework', 'heterogeneous Internet', 'experimental result', 'social connectivity phenomena', 'Jane Jacobs', 'scientific research and policy use', 'several Semantic Web Services', 'Apulia Region', 'human urban behavior', 'traffic forecasting', 'opportunity and challenge', 'Urban Data Mining', 'study ESOM', 'meaningful integration', 'methodological approach', 'spatial transformation rule', 'various type', 'evaluation procedure']",-0.14403213680000002,"[85, 125, 139, 148, 152, 160, 179, 192, 194, 202, 243, 266, 272, 294, 343, 387, 396, 415, 434, 438, 440, 487, 493, 502, 504, 527, 550, 556, 584, 591, 593]",31,98,1.0
6,23,1,"['GIS and machine learning technique', 'weighted complex network', 'reinforcement learning', 'confirmation and machine learning', 'advanced machine learning method', 'machine learning method', 'graph clustering model', 'Matrix Tensor Factorization', 'Nonnegative CMTF model', 'LightGBM and XGBoost method', 'Euclidean distance', 'joint nonnegative matrix factorization model', 'machine learning', 'segmentation model', 'deep learning predictor', 'automatic wearable fall detection system', 'machine learning technique']",0.8636737955,"[104, 127, 233, 281, 326, 373, 395, 410, 423, 459, 491, 522, 536, 541, 542]",15,17,0.6521739130434783
6,23,2,"['new Dynamic urban Thermal Exposure index', 'urban planning', 'performative urban place', 'urban morphology', 'further urban planning and POI recommendation', 'smart city environment', 'urban planning and traffic monitoring', 'inner city region', 'urban region', 'urban resource planning', 'effective urban planning', 'urban planning and optimization']",0.820886301,"[62, 233, 296, 337, 395, 410, 423, 459, 491, 516, 522, 542, 574]",13,12,0.5652173913043478
6,23,3,"['smartphone location data', 'reachability feature', 'Geolocated telecom data', 'real mobile phone dataset', 'cellular radio tower geo positioning', 'public record and SNS data', 'single triaxial accelerometer', 'mobile phone data', 'available mobile phone data', 'mobile phone user']",0.6923403319,"[62, 296, 337, 358, 373, 459, 541, 542, 574]",9,10,0.391304347826087
6,23,4,"['foot traffic', 'human mobility pattern', 'mass movement', 'animal migration understanding', 'travel behavior', 'complex public transit travel pattern', 'hierarchical mobility community', 'human mobility analysis', 'bike flow pattern discovery', 'transportation mode label', 'human mobility prediction model', 'human mobility data', 'tourist move', 'urban human mobility data', 'elderly people', 'understanding and structuring mobility data']",0.6691025689,"[62, 127, 233, 281, 296, 326, 373, 395, 423, 459, 491, 516, 536, 541, 571]",15,16,0.6521739130434783
6,23,5,"['heat mitigation strategy', 'football gameday', 'meaningful interpretation', 'travel mode', 'uncertain geographic context problem', 'spatiotemporal pattern', 'simple and generic paradigm', 'interesting potential information', 'GPS trajectory data', 'modal traffic simulation technology', 'traditional travel demand modeling approach', 'trajectory data', 'latent semantic relationship', 'social network and crowd behavior', 'New York City', 'different geographical area', 'large and diverse corpus', 'Global Positioning Systems', 'high human labeling cost', 'unique dataset', 'considerable influence', 'visual analytics', 'Shenzhen City', 'novel methodology', 'service and entertainment amenity', 'rapid and efficient automation population mapping method', 'spatiotemporal granularity', 'fine grained dynamic population distribution', 'key role', 'many aspect', 'different approach and model', 'Mobike trajectory data', 'sparsity constraint', 'accurate spatiotemporal pattern', 'additional contexts', 'Microsoft Research Asia', 'open access article', 'function distribution', 'Interactive Maps', 'detailed and complete information', 'traditional survey', 'real time travel mode detection', 'bottom up approach', 'significant vagueness and uncertainty', 'recent literature', 'epidemic control', 'data collection', 'performance result', 'human behavior and location context', 'many societal application', 'probabilistic topic', 'semantic enrichment', 'urban data analysis', 'trip count', 'Location Annotation', 'meaningful base station', 'semantic predicting method']",-0.3389609954,"[62, 104, 127, 233, 249, 281, 296, 326, 337, 358, 373, 395, 410, 423, 459, 491, 516, 522, 536, 541, 542, 571, 574]",23,57,1.0
7,25,1,"['multiscale graph attention network', 'Support Vector Machine', 'gated memory network', 'deep learning', 'GCNN model', 'deep sequence learning model', 'supervised machine learning approach', 'Hyperledger Fabric blockchain', 'Edge Computing platform', 'novel unsupervised incremental learning approach', 'hyperdimensional computing', 'reinforcement learning', 'scene decomposition approach', 'ResNet framework', 'Machine learning', 'MLP and RNN', 'multiple machine learning model', 'region proposal R CNN model', 'convolutional neural network', 'agent modeling framework', 'decentralized manner', 'collective machine learning process', 'representation learning method', 'modern machine learning approach', 'multilayer perceptron', 'logit model']",0.929490908,"[30, 38, 63, 155, 240, 261, 300, 334, 356, 359, 370, 422, 435, 439, 450, 461, 519, 530, 597]",19,26,0.76
7,25,2,"['new traffic speed prediction framework', 'particular traffic light assignment scenario', 'microscopic traffic simulation', 'traffic accident prediction', 'evening peak traffic flow', 'forecasting morning', 'traffic clustering problem', 'Accurate short term traffic flow prediction', 'overall city traffic system', 'Accurate and reliable traffic flow forecasting', ""Amsterdam's ring road"", 'road traffic congestion detection', 'Clustering Adaptation Near Intersection', 'complex intersection scenario', 'fine grained citywide traffic accident prediction', 'urban traffic network', 'Highway traffic volume prediction', 'Traffic flow analysis', 'available closed circuit television', 'frequent red light', 'real time traffic condition', 'traffic light control system', 'citywide traffic volume estimation', 'parking availability prediction', 'user and road traffic management authority', 'real time traffic forecast feature', 'smart navigation and parking', 'unnecessary delay and pollution level', 'limited traffic data', 'urban emergency police operation', 'household vehicle choice problem']",0.9146075701,"[30, 38, 63, 155, 209, 220, 300, 307, 334, 346, 356, 359, 370, 422, 439, 450, 461, 499, 519, 526, 530, 597]",22,31,0.88
7,25,3,"['academic value', 'major priority', 'experimental result', 'public policy', 'safety guarantee', 'great significance', 'QOS parameter', 'many research', 'classical GA', 'many benefit', 'present study', 'important problem', 'potential advantage']",0.8056915233,"[155, 300, 307, 334, 356, 359, 370, 422, 435, 461, 499, 597]",12,13,0.48
7,25,4,"['MS GATNs', 'temporal dependency vanquish problem', 'crucial urban data mining application', 'SUMO VEINS OMNeT', 'Connected Vehicles', 'Convulsion and Hereto ConvLSTM', 'large urban area', 'smart city transportation system', 'Didi Chuxing', 'QA and Brain', 'intelligent and efficient transportation system', 'average taxi stand location bias', 'DTO GBRT', 'dynamic spatial temporal feature optimization method', 'real world ERI', 'urban planning application', 'taxi demand', 'smart city', 'control air pollution problem', 'mobility data source', 'urban event', 'Hannover region', 'spatial and temporal impact', 'mobility service user', 'research and development', 'PSO ELM model', 'particle swarm optimization', 'variable length trajectory', 'developed OS ELM prediction model', 'significant stability and efficiency performance improvement', 'Vehicular Ad Hoc Networks', 'realistic urban environment', 'urban environment', 'urban data', 'spatial and temporal dependency', 'planning and processing', 'same and various routing scheme', 'urban planning', 'friendly urban freight transportation system', 'future customer region', 'North East Combined Authority', 'dynamic routing and path planning algorithms', 'limited computing power', 'Beijing taxis', 'GPS trajectory dataset', 'hybrid framework', 'Grand Lyon', 'Los Angeles', 'driver diagnostics', 'classical Square Root Law formula', 'travel speed model', 'British Columbia', 'noisy data']",-0.5212857790000001,"[30, 38, 63, 155, 209, 220, 240, 261, 300, 307, 334, 346, 356, 359, 370, 422, 435, 439, 450, 499, 519, 526, 530, 597]",24,53,0.96
8,14,1,"['machine learning model', 'class classification accuracy', 'Geocontextual Multitask Embedding Learner', 'ARIMA and Artificial', 'Multilayer Perceptron', 'Support Vector Regression model', 'Random Forest', 'Machine Learning', 'CL TRANSMODE transportation mode recognition algorithm', 'deep learning', 'appropriate and robust feature representation', 'deep reinforcement learning', 'logistic PCA and autoencoder', 'dimensionality reduction', 'fuzzy rule base', 'multiple output expert system', 'various classification algorithms']",0.8348417433,"[110, 143, 273, 298, 304, 355, 392, 407, 425, 433, 555]",11,17,0.7857142857142857
8,14,2,"['real world taxi journey dataset', 'urban network path', 'electric taxi', 'strategy and passenger service market partition', 'bus route planning', 'last mile', 'micromobility vehicle', 'common 12V 17Ah lead battery', 'urban planning', 'infrastructure and land use information', 'exploratory taxi fleet service analysis', 'urban mobility', 'traffic prediction', 'urban logistics system', 'real time ETA improvement', 'smart city initiative', 'next destination predictor', 'mobile crowdsensing', 'historical urbanization issue', 'Singapore truck driver', 'signature travel activity patterns', 'Transport mode detection', 'travel mode detection']",0.7234478676,"[110, 134, 138, 143, 273, 298, 304, 321, 355, 407, 425, 433, 555]",13,23,0.9285714285714286
8,14,3,"['different graph input representation', 'New York', 'travel behavior research', ""new energy and TTOC's data"", 'quick overview', 'sparse and high volatility', 'excellent user experience neotype', 'different audience source', 'uncooled long wave', 'New York City', 'graph attention network', 'separate GATs', 'spatiotemporal variation', ""Lisbon's fleet"", 'Intelligent Transportation Systems', 'historical global positioning system trajectory data', 'Luxembourg city', 'researcher and company', 'SHL and HTC datasets', 'much attention', 'novel vehicle selection algorithm', 'MCS task', 'maximum spatial temporal coverage', 'driver survey dataset', 'global positioning system trajectory', 'Kobe city', 'comprehensive comparison']",-0.2440256039,"[110, 134, 138, 143, 273, 298, 304, 321, 355, 392, 407, 425, 433, 555]",14,27,1.0
9,33,1,"['Machine Learning', 'unsupervised Self Organizing Map classification result', 'total training pixel', 'confusion matrix', 'Support Vector Machine', 'several structural transformation measure', 'digital image processing workflow', 'machine learning technique', 'machine learning classification method', 'feature and classification model', 'Machine learning classification algorithm', 'random forest classifier', 'big time series data', 'Nested Generalized Exemplars', 'advanced mathematical algorithms', 'OLI image classification', 'supervised image classification method', 'Quick Unbiased Efficient Statistical Tree', 'art machine learning model', 'scale classification framework', 'accurate feature extraction', 'crossvalidation scheme', 'image classification accuracy', 'overall classification accuracy', 'high classification success rate', 'k means clustering method', 'ELM and SVM classification algorithms', 'supervised classification and machine learning technique', 'dimensional image classification approach', 'date composite change detection technique', 'supervised classification', 'hierarchical machine learning Feature Analyst classifier']",0.9589694980000001,"[72, 74, 82, 171, 208, 230, 232, 282, 302, 303, 316, 317, 331, 374, 380, 393, 458, 475, 497, 551, 569, 576, 578, 590]",24,32,0.7272727272727273
9,33,2,"['Sri Lanka', 'Nirma University', 'Shaanxi Province', 'Hanoi Province', 'Babylon governorate', 'New Juaben Municipality', 'Jilin Province', 'Dubai Environmental', 'Kingston Metropolitan Area', 'Nile Delta', 'metropolitan city Lahore', 'Dhaka City Corporation', 'Deerfield Beach', 'Rio de Janeiro', 'Niigata Prefecture', 'São Paulo', 'Greater Mankato Area']",0.9261360852,"[59, 72, 120, 135, 171, 208, 282, 283, 302, 317, 464, 475, 551, 569, 576, 588, 590]",17,17,0.5151515151515151
9,33,3,"['small portion', 'key role', ""meter DEM's"", 'many part', 'case study', 'wise use', 'important factor', 'year interval period', 'future year', 'current study']",0.856648689,"[74, 230, 232, 316, 374, 391, 464, 497]",8,10,0.24242424242424243
9,33,4,"['high spatial resolution imagery', 'Landsat satellites', 'Earth Observation datasets', 'IKONOS satellite imagery', 'VHR imagery', 'dual polarization SAR image', 'high resolution satellite image', 'Quick Bird sensor', 'aerial photography and QuickBird imagery', 'high resolution LULC data gap']",0.7663818615,"[59, 74, 135, 171, 302, 393, 565, 588, 590]",9,10,0.2727272727272727
