Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Yang C., Lu L., Warren J.L., Wu J., Jiang Q., Zuo T., Gan M., Liu M., Liu Q., DeRiemer K., Hong J., Shen X., Colijn C., Guo X., Gao Q., Cohen T.","54405172400;55979457300;55214788800;55265189400;57195328497;57195324190;56735765700;57189011352;55607214600;6602976558;55980695000;7402721203;16416871500;57196007765;37008233400;7202415780;","Internal migration and transmission dynamics of tuberculosis in Shanghai, China: an epidemiological, spatial, genomic analysis",2018,"The Lancet Infectious Diseases","18","7",,"788","795",,37,"10.1016/S1473-3099(18)30218-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045896440&doi=10.1016%2fS1473-3099%2818%2930218-4&partnerID=40&md5=6cede69949cd4b0b14e7e70d70566bc3","Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Yale University, New Haven, CT, United States; Department of Biostatistics, Yale School of Public Health, Yale University, New Haven, CT, United States; Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Department of Tuberculosis Control, Songjiang District Center for Disease Control and Prevention, Shanghai, China; Department of Tuberculosis Control, Shanghai Municipal Center for Disease Control and Prevention, Shanghai, China; School of Medicine, University of California, Davis, Davis, CA, United States; Department of Mathematics, Imperial College London, London, United Kingdom; Shenzhen Center for Chronic Disease Control, Shenzhen, China","Yang, C., Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Yale University, New Haven, CT, United States, Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Lu, L., Department of Tuberculosis Control, Songjiang District Center for Disease Control and Prevention, Shanghai, China; Warren, J.L., Department of Biostatistics, Yale School of Public Health, Yale University, New Haven, CT, United States; Wu, J., Department of Tuberculosis Control, Shanghai Municipal Center for Disease Control and Prevention, Shanghai, China; Jiang, Q., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Zuo, T., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Gan, M., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Liu, M., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; Liu, Q., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China; DeRiemer, K., School of Medicine, University of California, Davis, Davis, CA, United States; Hong, J., Department of Tuberculosis Control, Songjiang District Center for Disease Control and Prevention, Shanghai, China; Shen, X., Department of Tuberculosis Control, Shanghai Municipal Center for Disease Control and Prevention, Shanghai, China; Colijn, C., Department of Mathematics, Imperial College London, London, United Kingdom; Guo, X., Department of Tuberculosis Control, Songjiang District Center for Disease Control and Prevention, Shanghai, China; Gao, Q., Key Laboratory of Medical Molecular Virology, Ministry of Education and Health, School of Basic Medical Sciences, Shanghai Public Health Clinical Center, Fudan University, Shanghai, China, Shenzhen Center for Chronic Disease Control, Shenzhen, China; Cohen, T., Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Yale University, New Haven, CT, United States","Background: Massive internal migration from rural to urban areas poses new challenges for tuberculosis control in China. We aimed to combine genomic, spatial, and epidemiological data to describe the dynamics of tuberculosis in an urban setting with large numbers of migrants. Methods: We did a population-based study of culture-positive Mycobacterium tuberculosis isolates in Songjiang, Shanghai. We used whole-genome sequencing to discriminate apparent genetic clusters of M tuberculosis sharing identical variable-number-tandem-repeat (VNTR) patterns, and analysed the relations between proximity of residence and the risk of genomically clustered M tuberculosis. Finally, we used genomic, spatial, and epidemiological data to estimate time of infection and transmission links among migrants and residents. Findings: Between Jan 1, 2009, and Dec 31, 2015, 1620 cases of culture-positive tuberculosis were recorded, 1211 (75%) of which occurred among internal migrants. 150 (69%) of 218 people sharing identical VNTR patterns had isolates within ten single-nucleotide polymorphisms (SNPs) of at least one other strain, consistent with recent transmission of M tuberculosis. Pairs of strains collected from individuals living in close proximity were more likely to be genetically similar than those from individuals who lived far away—for every additional km of distance between patients' homes, the odds that genotypically matched strains were within ten SNPs of each other decreased by about 10% (OR 0·89 [95% CI 0·87–0·91]; p<0·0001). We inferred that transmission from residents to migrants occurs as commonly as transmission from migrants to residents, and we estimated that more than two-thirds of migrants in genomic clusters were infected locally after migration. Interpretation: The primary mechanism driving local incidence of tuberculosis in urban centres is local transmission between both migrants and residents. Combined analysis of epidemiological, genomic, and spatial data contributes to a richer understanding of local transmission dynamics and should inform the design of more effective interventions. Funding: National Natural Science Foundation of China, National Science and Technology Major Project of China, and US National Institutes of Health. © 2018 Elsevier Ltd",,"tuberculostatic agent; adolescent; adult; aged; Article; China; controlled study; disease transmission; epidemiological data; female; gene cluster; genetic distance; genomics; genotype; human; internal migration; major clinical study; male; middle aged; migrant; migration; multidrug resistant tuberculosis; Mycobacterium tuberculosis; population research; priority journal; resident; single nucleotide polymorphism; spatial analysis; tuberculosis; tuberculosis control; whole genome sequencing; disease transmission; genetics; isolation and purification; migration; molecular epidemiology; rural population; statistics and numerical data; transmission; tuberculosis; urban population; variable number of tandem repeat; very elderly; Adult; Aged; Aged, 80 and over; China; Disease Transmission, Infectious; Female; Genotype; Humans; Male; Middle Aged; Minisatellite Repeats; Molecular Epidemiology; Mycobacterium tuberculosis; Polymorphism, Single Nucleotide; Rural Population; Spatial Analysis; Transients and Migrants; Tuberculosis; Urban Population; Whole Genome Sequencing",Article,"Final","",Scopus,2-s2.0-85045896440
"Pykett J.","16204054200;","Brain culture: Shaping policy through neuroscience",2015,"Brain Culture: Shaping Policy Through Neuroscience",,,,"1","214",,37,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981513580&partnerID=40&md5=68b97cf8c21309378fa785541431afaf","University of Birmingham, United Kingdom","Pykett, J., University of Birmingham, United Kingdom","This unique book offers a timely analysis of the impact of rapidly advancing knowledge about the brain, mind and behaviour on contemporary public policy and practice. Examining developments in behaviour change policies, neuroscience, architecture and urban design, education, and workplace training programmes the book analyses the global spread of research agendas, policy experiments and everyday practice informed by ‘brain culture’.It offers an alternative, geographically informed set of explanations for what matters in explaining how people behave and how citizens’ behaviour should be governed. It will be of interest to students and academics across the social and behavioural sciences. © Policy Press 2015.",,,Book,"Final","",Scopus,2-s2.0-84981513580
"Choi J.H.-J., Blevis E.","26653969400;22833683800;","HCI & sustainable food culture: A design framework for engagement",2010,"NordiCHI 2010: Extending Boundaries - Proceedings of the 6th Nordic Conference on Human-Computer Interaction",,,,"112","127",,37,"10.1145/1868914.1868931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650092900&doi=10.1145%2f1868914.1868931&partnerID=40&md5=62cfe3b0d4360f7c1c426c96c36c3e75","Queensland University of Technology, Brisbane QLD 4059, Australia; Indiana University, Bloomington, IN, United States","Choi, J.H.-J., Queensland University of Technology, Brisbane QLD 4059, Australia; Blevis, E., Indiana University, Bloomington, IN, United States","The current food practices around the world raises concerns for food insecurity in the future. Urban / suburban / and peri-urban environments are particularly problematic in their segregation from rural areas where the natural food sources are grown and harvested. Soaring urban population growth only deteriorates the lack of understanding in and access to fresh produce for the people who live, work, and play in the city. This paper explores the role of Human Computer Interaction (HCI) design in encouraging individual users to participate in creating sustainable food cultures in urban environments. The paper takes a disciplinary perspective of urban informatics and presents five core constituents of the HCI design framework to encourage sustainable food culture in the city via ubiquitous technologies: the perspective of transdisciplinarity; the domains of interest of people, place, and technology; and the perspective of design. © 2010 ACM.","Design; Food; HCI; Sustainability; Transdisciplinarity; Urban informatics","Food; HCI; Informatics; Sustainability; Transdisciplinarity; Design; Information science; Knowledge management; Population statistics; Rural areas; Sustainable development; Urban planning; Human computer interaction",Conference Paper,"Final","",Scopus,2-s2.0-78650092900
"Kaufman J.S., Owoaje E.E., Rotimi C.N., Cooper R.S.","35447296100;35598844400;7006238725;56662407500;","Blood pressure change in Africa: Case study from Nigeria",1999,"Human Biology","71","4",,"641","657",,36,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033180302&partnerID=40&md5=461e75b3083bf9a62ea66e192ce273ed","Dept. of Res. Plan. and Evaluation, Carolinas Medical Center, PO Box 32861, Charlotte, NC 28232-2861, United States; Dept. of Prev. Med. and Epidemiology, Loyola Univ. Stritch Sch. of Med., Maywood, IL, United States; Dept. of Prev. and Social Medicine, University College Hospital, Ibadan, Oyo State, Nigeria","Kaufman, J.S., Dept. of Res. Plan. and Evaluation, Carolinas Medical Center, PO Box 32861, Charlotte, NC 28232-2861, United States, Dept. of Prev. Med. and Epidemiology, Loyola Univ. Stritch Sch. of Med., Maywood, IL, United States; Owoaje, E.E., Dept. of Prev. and Social Medicine, University College Hospital, Ibadan, Oyo State, Nigeria; Rotimi, C.N., Dept. of Prev. Med. and Epidemiology, Loyola Univ. Stritch Sch. of Med., Maywood, IL, United States; Cooper, R.S., Dept. of Prev. Med. and Epidemiology, Loyola Univ. Stritch Sch. of Med., Maywood, IL, United States","Studies of migrants and comparisons of rural versus urban communities are potentially informative study designs because they allow examination of genetically similar population subgroups exposed to diverse environmental conditions. These designs have been underused in Africa, where recent urbanization has created many situations in which nearby communities of common ethnicity and culture live under different social and economic circumstances. The International Study of Hypertension in Blacks (ICSHIB) conducted several overlapping surveys in Nigeria starting in 1993. These surveys were based primarily in the rural village of Idere and the urban community of Idikan, both inhabited by people defined ethnically as Oyo Yoruba and sharing a common language and culture. Survey teams collected standardized blood pressure and anthropometric measurements, and some study participants provided 24-hr urine samples and questionnaire data on psychosocial stress and social integration. Rural and urban groups differed substantially in blood pressure and related characteristics. Age-adjusted prevalence of hypertension (blood pressure ≥ 140/90 mm Hg) for participants aged 25 years and older was 7-8% in Idere and 24-27% in Idikan. The distributions of overweight, sodium/potassium ratio, perceived stress, and social integration scores all contributed to lower hypertension risk in Idere. The effects and interactions of these identified risk factors remain poorly understood, even among people who share a common genetic background, similar diet, and many other lifestyle features. Nonetheless, the rural-urban distinction is sufficiently salient to engender a nearly threefold difference in hypertension prevalence. This disparity in disease prevalence demonstrates the sensitivity of human beings to the environmental determinants of disease and provides a sobering example of the difficulty in identifying subtle genetic effects, which can be easily overwhelmed by small differences in environmental exposures.","Africa; Anthropometry; Blood pressure; Nigeria; Social factors","adult; aged; article; blood pressure; comparative study; female; follow up; human; hypertension; male; middle aged; Negro; Nigeria; physiology; prevalence; risk factor; urbanization; Adult; African Continental Ancestry Group; Aged; Aged, 80 and over; Blood Pressure; Female; Follow-Up Studies; Humans; Hypertension; Male; Middle Aged; Nigeria; Prevalence; Risk Factors; Urbanization; Trixis",Article,"Final","",Scopus,2-s2.0-0033180302
"Hamilton-Baillie B., Jones P.","24467728700;57199134923;","Improving traffic behaviour and safety through urban design",2005,"Proceedings of the Institution of Civil Engineers: Civil Engineering","158","5",,"39","47",,35,"10.1680/cien.2005.158.5.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18944364995&doi=10.1680%2fcien.2005.158.5.39&partnerID=40&md5=fad1fdf6e46f546d667b10c1921b36b4",,"Hamilton-Baillie, B.; Jones, P.","Recent experiments in mainland Europe and more recently the UK have found that removing the traditional separation between traffic and people in urban areas can make streets safer and less congested. Removing standard kerbs, barriers, highway signs and road markings forces motorists to use eye contact with other road users and pedestrians, for which they need to be travelling at less than around 30 km/h. As this paper reports, the result is slower, more careful traffic, increased safety for cyclists and pedestrians and a more attractive urban environment overall-in which local architecture and culture prevails over standard traffic infrastructure.","Roads and highways; Town and city planning; Traffic engineering","City planning; Eye contact; Increased safety; Road marking; Road users; Roads and highways; Traffic Engineering; Traffic infrastructure; Urban areas; Urban design; Urban environments; Automobile drivers; Highway engineering; Pedestrian safety; Planning; Regional planning; Road and street markings; Roads and streets; Safety engineering; Urban planning; Transportation",Article,"Final","",Scopus,2-s2.0-18944364995
"Moan I.S., Storvoll E.E., Sundin E., Lund I.O., Bloomfield K., Hope A., Ramstedt M., Huhtanen P., Kristjánsson S.","9279922600;56005050400;55480392500;55213552100;56675688900;7102142189;56670998000;26648673800;56118665000;","Experienced harm from other people’s drinking: A comparison of Northern European countries",2015,"Substance Abuse: Research and Treatment","9",,,"45","56",,32,"10.4137/SART.S23504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960095863&doi=10.4137%2fSART.S23504&partnerID=40&md5=c8b1fa9e9b99295ea77ddb8608707dfc","Norwegian Institute for Alcohol and Drug Research (SIRUS), Oslo, Norway; Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden; The Swedish Council for Information on Alcohol and Other Drugs (CAN), Stockholm, Sweden; Centre for Alcohol and Drug Research (CRF), Aarhus University, Copenhagen, Denmark; Department of Public Health and Primary Care, Trinity College Dublin, Dublin, Ireland; National Institute for Health and Welfare (THL), Helsinki, Finland; Reykjavik, Iceland","Moan, I.S., Norwegian Institute for Alcohol and Drug Research (SIRUS), Oslo, Norway; Storvoll, E.E., Norwegian Institute for Alcohol and Drug Research (SIRUS), Oslo, Norway; Sundin, E., Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden, The Swedish Council for Information on Alcohol and Other Drugs (CAN), Stockholm, Sweden; Lund, I.O., Norwegian Institute for Alcohol and Drug Research (SIRUS), Oslo, Norway; Bloomfield, K., Centre for Alcohol and Drug Research (CRF), Aarhus University, Copenhagen, Denmark; Hope, A., Department of Public Health and Primary Care, Trinity College Dublin, Dublin, Ireland; Ramstedt, M., Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden, The Swedish Council for Information on Alcohol and Other Drugs (CAN), Stockholm, Sweden; Huhtanen, P., National Institute for Health and Welfare (THL), Helsinki, Finland; Kristjánsson, S., Reykjavik, Iceland","Objective: This study addresses how experienced harm from other people’s drinking varies between six Northern European countries by comparing 1) the prevalence of experienced harm and 2) the correlates of harm.Method: The data comprise 18–69-year olds who participated in general population surveys in Denmark, Finland, Iceland, Norway, Sweden, and Scotland during the period 2008–2013. Comparative data were available on five types of harm: physical abuse, damage of clothes/belongings, verbal abuse, being afraid, and being kept awake at night.Results: This study shows that harms from other’s drinking are commonly experienced in all six countries. Being kept awake at night is the most com-mon harm, while being physically harmed is the least common. The proportions that reported at least one of the five problems were highest in Finland and Iceland and lowest in Norway, but also relatively low in Sweden. Across countries, the level of harm was highest among young, single, urban residents, and for some countries among women and those who frequently drank to intoxication themselves.Conclusioions: The study revealed large differences in the prevalence of harm in countries with fairly similar drinking cultures. However, the correlates of such experiences were similar across countries. Possible explanations of the findings are discussed, including differences in study design. © the authors, publisher and licensee Libertas Academica Limited.","Alcohol’s harm to others; Cross-country comparison; Drinking patterns; Sociodemographics","adult; age; aged; alcohol consumption; alcohol intoxication; Article; comparative study; Denmark; drinking behavior; fear; female; Finland; human; Iceland; male; Norway; physical abuse; prevalence; sex difference; social behavior; social problem; social status; Sweden; United Kingdom; urban population; verbal hostility; wakefulness",Article,"Final","",Scopus,2-s2.0-84960095863
"Busck A.G., Kristensen S.P., Præstholm S., Primdahl J.","6506756613;7102118463;23010217500;6505788321;","Porous landscapes - The case of Greater Copenhagen",2008,"Urban Forestry and Urban Greening","7","3",,"145","156",,32,"10.1016/j.ufug.2007.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46049089989&doi=10.1016%2fj.ufug.2007.05.002&partnerID=40&md5=09dc06fe2df023a4dd1631f3793007a1","Department of Geography and Geology, University of Copenhagen, Øster Voldgade 10, DK-1350 Copenhagen K, Denmark; Danish Centre for Forest, Landscape and Planning, University of Copenhagen, Rolighedsvej 23, DK-1958 Frederiksberg C, Denmark","Busck, A.G., Department of Geography and Geology, University of Copenhagen, Øster Voldgade 10, DK-1350 Copenhagen K, Denmark; Kristensen, S.P., Department of Geography and Geology, University of Copenhagen, Øster Voldgade 10, DK-1350 Copenhagen K, Denmark; Præstholm, S., Department of Geography and Geology, University of Copenhagen, Øster Voldgade 10, DK-1350 Copenhagen K, Denmark; Primdahl, J., Danish Centre for Forest, Landscape and Planning, University of Copenhagen, Rolighedsvej 23, DK-1958 Frederiksberg C, Denmark","Many blueprints for urban development argue for the benefits of a sharp distinction between rural and urban space. While such planning designs have been quite successful in maintaining a physical distinction between rural and urban, major transformations of the socio-economic environment in peri-urban areas are creating a more diffuse and porous interface. This paper examines socio-economic consequences of the current transformation of peri-urban areas. Three themes are selected for analysis: changing economies, overall impact of urbanisation as perceived by the individual farm owner and the degree of their local orientation and engagement. Based on case studies in Greater Copenhagen, longitudinal trends and details of the current situation are analysed. In addition, by differentiating between newcomers and long-term residents, possible future changes are indicated. The analysis shows that the importance of agriculture has declined, whereas other gainful activities and residential use have increased. Thus, the functions of the local economy and community are changing. An increasing proportion of the farm owners appreciate the proximity to urban agglomerations (public services, shopping, public transport, social relationships and markets), but this location also has drawbacks, for example in terms of uncertainty concerning future urban development, inconveniences for agricultural production and problems related to public access to private properties. Differences between newcomers and long-time residents are identified. Newcomers without any agricultural background are frequent. They often work outside the municipality and are more frequently personally involved in other gainful activities on-farm. Newcomers perceive more problems related to people accessing the farm properties and are less involved in local activities. In combination, these trends indicate possible future increase in conflicts between farm owners and the public and that the local engagement may be declining. The analysis, however, also shows similarities between newcomers and long-time residents, and therefore does not indicate the development of two cultures or ""two nations"". Rather, the urban fringe population is becoming more heterogeneous, ranging from full-time farmers to residents with their social and professional network outside the local area or people engaging in non-agricultural business on-farm. © 2007 Elsevier GmbH. All rights reserved.","Hidden urbanisation; Multifunctionality; Peri-urban areas; Socio-economic transformation","agglomeration; agricultural production; landownership; local economy; perception; periurban area; public access; socioeconomic impact; urban development; urbanization; Denmark; Eurasia; Europe; Kobenhavn [Denmark]; Northern Europe; Scandinavia",Article,"Final","",Scopus,2-s2.0-46049089989
"Fam K.-S., Grohs R.","8348641300;22034216100;","Cultural values and effective executional techniques in advertising: A cross-country and product category study of urban young adults in Asia",2007,"International Marketing Review","24","5",,"519","538",,32,"10.1108/02651330710827979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34748903469&doi=10.1108%2f02651330710827979&partnerID=40&md5=7b060fe3cbcafa11caf2d391a06f8a7f","Department of Marketing, University of Otago, Dunedin, New Zealand; Department of Marketing, University of Vienna, Vienna, Austria","Fam, K.-S., Department of Marketing, University of Otago, Dunedin, New Zealand; Grohs, R., Department of Marketing, University of Vienna, Vienna, Austria","Purpose - The purpose of this study is to examine likeable executional techniques in advertising across five Asian countries and their impact on purchase intentions. Design/methodology/approach - A total of 1,000 urban young adults in five Asian countries (HK, China, Indonesia, Thailand and India) were telephone interviewed on their thoughts about the TV advertisement/s that they liked, product that was being advertised and purchase intention. Their responses were summarised into seven likeable executional techniques and product categories. Findings - There is not a specific likeable executional technique that influences a purchase in four of the five countries. India is the only country where significant but weak overall model fit observed. These results demonstrate that, while there are differences among the countries, people in the same cohort broadly share the same values. For product categories, our findings demonstrate that product nature may moderate cultural influence on advertising effectiveness. Practical implications - International advertisers who are vying for a share of the largely-untapped Asian market can benefit by understanding the target country's cultural values and using it as a guideline for creating effective executional techniques in advertising. Originality/value - This study extends the existing knowledge which demonstrates that, in Asia, persuasive executional techniques differ depending on the product category. © Emerald Group Publishing Limited.","Advertising; Culture; Far East; South Asia; South East Asia; Young adults",,Article,"Final","",Scopus,2-s2.0-34748903469
"Dodgson J.E., Duckett L., Garwick A., Graham B.L.","7005791972;7003884804;6603589353;57216903480;","An ecological perspective of breastfeeding in an indigenous community",2002,"Journal of Nursing Scholarship","34","3",,"235","241",,32,"10.1111/j.1547-5069.2002.00235.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036043609&doi=10.1111%2fj.1547-5069.2002.00235.x&partnerID=40&md5=37f641a4c97f10fe2cd7d7e9d3a4ce85","Zeta, Hong Kong; Department of Nursing Studies, University of Hong Kong, Hong Kong; School of Nursing, University of Minnesota, Minneapolis, MN, United States; Native Healing and Wellness Center, Minneapolis, MN, United States; Duke University, School of Nursing, Box 3322 Medical Center, Durham, NC 27710, United States","Dodgson, J.E., Zeta, Hong Kong, Department of Nursing Studies, University of Hong Kong, Hong Kong, Duke University, School of Nursing, Box 3322 Medical Center, Durham, NC 27710, United States; Duckett, L., Zeta, Hong Kong, School of Nursing, University of Minnesota, Minneapolis, MN, United States; Garwick, A., School of Nursing, University of Minnesota, Minneapolis, MN, United States; Graham, B.L., Native Healing and Wellness Center, Minneapolis, MN, United States","Purpose: To describe the sociocultural patterns that promote breastfeeding or weaning in the Ojibwe community, which has very low breastfeeding rates compared to the general population. Design: A focused ethnographic approach with an ecological framework provided community level data. Semi-structured interviews (N=52) were conducted in an urban Ojibwe community and with three groups of women: health or social service providers, women currently breastfeeding, or people who acted as resources. Methods: Data were analyzed using an ethnographic approach. Group summaries were compiled and community-level patterns were identified. Findings: Four patterns were identified that encompassed the influences of (a) Ojibwe and mainstream cultures (traditions), (b) communication-related barriers from a variety of sources (mixed messages), (c) socioeconomic issues (life circumstances) and (d) social support (nurturing and supporting). Conclusions: The values and practices of the studied group were not always congruent with those of the larger mainstream culture. Successful breastfeeding promotion and intervention programs based on culturally relevant perspectives are needed. ©2002 Sigma Theta Tau International.","American Indian; Breastfeeding; Ecological approach; Ethnography","American Indian; article; breast feeding; clinical trial; cultural anthropology; ethnology; female; human; multicenter study; poverty; social support; United States; weaning; Anthropology, Cultural; Breast Feeding; Female; Humans; Indians, North American; Minnesota; Poverty; Social Support; Weaning",Article,"Final","",Scopus,2-s2.0-0036043609
"Johnstone M.-L., Tan L.P.","50461402100;55390548300;","An exploration of environmentally-conscious consumers and the reasons why they do not buy green products",2015,"Marketing Intelligence and Planning","33","5",,"804","825",,31,"10.1108/MIP-09-2013-0159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937869283&doi=10.1108%2fMIP-09-2013-0159&partnerID=40&md5=05648daa06305eb9e892da100cc4f6cd","School of Marketing and International Business, Victoria University of Wellington, Wellington, New Zealand; Department of Marketing and Management, Macquarie University, Sydney, Australia","Johnstone, M.-L., School of Marketing and International Business, Victoria University of Wellington, Wellington, New Zealand; Tan, L.P., Department of Marketing and Management, Macquarie University, Sydney, Australia","Purpose – The purpose of this paper is to understand how and why environmentally conscious consumers rationalise their non-green purchase behaviour. Design/methodology/approach – Seven focus groups were conducted. A total of 51 people, aged 19-70 years, participated in the study. Theoretical thematic analysis was used to organise the data as various themes emerged. Findings – Through application of neutralisation theory, this study identified additional barriers to green consumption. Two new neutralisation techniques emerged, namely protecting (maintaining) one’s sense of self and consumer attachment to the brand. These techniques recognise the impact consumer culture has had on consumers. Research limitations/implications – The study took place in an urban centre hence the views of the participants may be different from those who live in rural centres; low-income consumers were under-represented; and more male participants would have been desirable. Social implications – Despite its limitations, this study reveals that consumers will rationalise their decisions in order to protect their self-esteem and self-identity. Until green becomes a social norm, consumers will continue to place individual goals over collective goals. Understanding this rationalisation process is important if marketers and policy makers want to encourage behavioural change. Originality/value – This study makes a valuable contribution to the understanding of the green attitudebehaviour gap. It provides fresh insights into how environmentally conscious consumers vindicate their non-green consumption behaviours and how marketers and policy makers can overcome these challenges. It also identifies two new neutralisation techniques and extends the theory to a consumer culture context. © 2015, Emerald Group Publishing Limited.","Consumer behaviour; Green marketing",,Article,"Final","",Scopus,2-s2.0-84937869283
"Dumas M.J.","55821236300;","A cultural political economy of school desegregation in seattle",2011,"Teachers College Record","113","4",,"703","734",,31,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960533216&partnerID=40&md5=d2e4a044d2898bca90596d0db8016180","California State University, Long Beach, United States","Dumas, M.J., California State University, Long Beach, United States","Background/Context: School desegregation has been variably conceptualized as a remedy for racial injustice, a means toward urban (economic) revitalization, an opportunity to celebrate human diversity, and an attempt to more equally distribute educational resources. At the center of the debate over the years is the extent to which school desegregation is a matter of class or race, of redistribution or recognition. A cultural political economy of school desegregation begins with a rejection of the popular notion that desegregation is simply, or even primarily, about race. It also eschews the idea that what is needed is a ""corrective interjec- "" tion of social class and economic justice. In proposing neither a racial nor an economic solution, cultural political economy sheds doubt on the very proposition of a ""racial"" or ""economic"" analysis, politics, or remedy and helps us more powerfully explain how the cultural and material force of race and class breathes as one through the historical-political trajectory of school desegregation. Purpose/Objective/Research Question/Focus of Study: This article is based on findings from a larger historical-ethnographic research project intended to explicate the cultural-ideological and structural context(s) within which Seattle's Black leaders, educators, and activists made sense of the relationship between school desegregation and the lives and liberation of Black people in the post-civil-rights era. Here, the author uses cultural political economy as an analytical framework to elucidate the relationship(s) between cultural productions such as the construction of rights, justice, and racial progress, and political-economic formations such as the (ab)use of the state and market by certain classes - in this case, middle-class and affluent White Seattleites - to preserve their own privilege through the implementation of social and educational policies that serve to reproduce material inequities. Setting : The study setting is Seattle, Washington. Population/Participants: Black leaders, educators, and activists who participated in the school desegregation struggle in the city of Seattle from the mid-1970s through 2007. Research Design: This study employed semistructured ethnographic interviews, content analysis, and historical/archival analysis. Conclusion/Recommendations: The trajectory of school desegregation politics in Seattle, culminating in the U.S. Supreme Court ruling in Parents Involved in Community Schools v. Seattle School District No. 1, reveals a long and systematic political effort to delegitimize and dismantle justice-oriented redistribution of educational resources along racial lines. Cultural political economy provides an analytical framework that contributes to our theoretical understanding of the interimbrication of culture and political economy in education politics and policy-making. The author argues that understanding the interimbrication of class and race in the politics of school desegregation allows us to more clearly theorize how school desegregation policies are undermined in ways that reproduce material and cultural relations of power. Ultimately, critical researchers, educators, and youth and community activists must develop political strategies to shift the very relations of power highlighted in the Seattle case. Copyright © by Teachers College, Columbia University.",,,Article,"Final","",Scopus,2-s2.0-79960533216
