cluster,min_samples,min_cluster_size,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase,group_2_count,group_2_key_phrase
#1,None,15,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,None,20,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,None,25,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,None,30,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,5,0.0,4,10,"UAV communication, reliable UAV communication, urban propagation environment, urban propagation, radio propagation model, LTE network, cellular tower, unmanned aerial vehicle, cellular base transceiver, urban environment",7.0,"path loss prediction, prediction path loss, loss prediction, path loss dataset, path loss model, path loss, path loss information",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method"
#1,1,6,0.0,4,10,"UAV communication, reliable UAV communication, urban propagation environment, urban propagation, radio propagation model, LTE network, cellular tower, unmanned aerial vehicle, cellular base transceiver, urban environment",7.0,"path loss prediction, prediction path loss, loss prediction, path loss dataset, path loss model, path loss, path loss information",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method"
#1,1,7,0.0,4,10,"UAV communication, reliable UAV communication, urban propagation environment, urban propagation, radio propagation model, LTE network, cellular tower, unmanned aerial vehicle, cellular base transceiver, urban environment",7.0,"path loss prediction, prediction path loss, loss prediction, path loss dataset, path loss model, path loss, path loss information",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method"
#1,1,8,0.0,3,17,"path loss prediction, UAV communication, reliable UAV communication, prediction path loss, loss prediction, urban propagation environment, path loss dataset, path loss model, path loss, urban propagation, radio propagation model, LTE network, cellular tower, path loss information, unmanned aerial vehicle, cellular base transceiver, urban environment",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method",,
#1,1,9,0.0,3,17,"path loss prediction, UAV communication, reliable UAV communication, prediction path loss, loss prediction, urban propagation environment, path loss dataset, path loss model, path loss, urban propagation, radio propagation model, LTE network, cellular tower, path loss information, unmanned aerial vehicle, cellular base transceiver, urban environment",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method",,
#1,1,10,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,11,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,12,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,13,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,14,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,15,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,20,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,25,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,1,30,0.0,1,60,"RF fingerprint localization, path loss prediction, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, UAV communication, NLOS multipath detection, reliable UAV communication, fingerprint localization, effective localization method, SVM model, global positioning system, prediction path loss, raw GPS measurement, NLOS classifier, navigation satellite, GPS measurement, signal reception classifier, positioning accuracy, loss prediction, navigation satellite system, urban propagation environment, robust GNSS positioning, LOS multipath classifier, GNSS satellite, path loss dataset, localization accuracy, navigation system, path loss model, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, path loss, support vector, GNSS signal, receiver location, multipath classifier, urban propagation, GNSS receiver, radio propagation model, LTE network, attenuate GPS signal, cellular tower, mean distance localization, path loss information, NLOS signal, signal classification method, unmanned aerial vehicle, average localization accuracy, distance localization error, cellular base transceiver, positioning performance, source localization, satellite, visible satellite, urban environment, position solution",,,,,,
#1,2,5,0.0,4,10,"UAV communication, reliable UAV communication, urban propagation environment, urban propagation, radio propagation model, LTE network, cellular tower, unmanned aerial vehicle, cellular base transceiver, urban environment",7.0,"path loss prediction, prediction path loss, loss prediction, path loss dataset, path loss model, path loss, path loss information",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method"
#1,2,6,0.0,4,10,"UAV communication, reliable UAV communication, urban propagation environment, urban propagation, radio propagation model, LTE network, cellular tower, unmanned aerial vehicle, cellular base transceiver, urban environment",7.0,"path loss prediction, prediction path loss, loss prediction, path loss dataset, path loss model, path loss, path loss information",34.0,"RF fingerprint localization, GNSS signal detection, GPS signal, RF fingerprint database, RF fingerprint, fingerprint localization, effective localization method, global positioning system, raw GPS measurement, navigation satellite, GPS measurement, positioning accuracy, navigation satellite system, robust GNSS positioning, GNSS satellite, localization accuracy, navigation system, positioning system, conventional GNSS positioning, distance localization, GNSS positioning, global navigation satellite, GNSS signal, receiver location, GNSS receiver, attenuate GPS signal, mean distance localization, average localization accuracy, distance localization error, positioning performance, source localization, satellite, visible satellite, position solution",9.0,"NLOS multipath detection, SVM model, NLOS classifier, signal reception classifier, LOS multipath classifier, support vector, multipath classifier, NLOS signal, signal classification method"
