cluster,min_samples,min_cluster_size,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase
#3,2,30,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,3,5,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,6,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,7,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,8,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,9,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,10,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,11,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,12,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,13,0.0,3,33,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, workflow management system, naïve Bayes classifier, cellular automata, semantic web, simulation model, computer simulation, workflow management, artificial neural network, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, KNN algorithm",49.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, land dynamic modeling, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, Many GIS application, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, crime data, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",13.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, intelligent decision making, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert, artificial intelligence"
#3,3,14,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,3,15,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,3,20,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,3,25,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,3,30,0.0,1,95,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, Maharashtra government, urban information system, expert system approach, Urban land use, Maharashtra government doe, expert system, urban planning management, integrated tourism planning, intelligent decision support, use expert system, urban planning reform, urban planning field, tourism planning, urban planning problem, urban plan, urban dynamic process, intelligent information system, GIS problem, urban system, land dynamic modeling, domain ontology, planning theory, land use planning, automatic simulation model, effective urban planning, integrated tourism, land dynamic modelling, urban planning, crime forecasting, simulation model generation, ontology, GIS application, human planning, AI technique, decision support system, scenario planning, intelligent decision making, workflow management system, naïve Bayes classifier, decision support, urban environment, cellular automata, semantic web, fuzzy expert system, Many GIS application, simulation model, urban development, urban growth, urban design, computer simulation, land management, workflow management, artificial neural network, different human planning, GIS application need, urban land, crime data, traditional scenario planning, urban planner, information system, land dynamic, spatial planning, material modeling operation, similarity information maintenance, use expert, big data intelligence, urbanization process, urban phenomenon, planning reform, artificial intelligence approach, central government, development plan, planning problem, collusion occurrence, neural network, urban change, expert, urban data, geospatial data, collusion occurrence probability, construction sector, urbanization, expertise, artificial intelligence, planning, KNN algorithm",,,,
#3,4,5,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,6,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,7,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,8,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,9,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,10,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
#3,4,11,0.0,3,38,"Maharashtra government, Maharashtra government doe, integrated tourism planning, tourism planning, intelligent information system, land dynamic modeling, domain ontology, automatic simulation model, integrated tourism, crime forecasting, simulation model generation, ontology, intelligent decision making, workflow management system, naïve Bayes classifier, cellular automata, semantic web, Many GIS application, simulation model, computer simulation, workflow management, artificial neural network, crime data, traditional scenario planning, information system, material modeling operation, similarity information maintenance, big data intelligence, central government, development plan, collusion occurrence, neural network, geospatial data, collusion occurrence probability, construction sector, expertise, artificial intelligence, KNN algorithm",46.0,"urban regeneration layout, AI approach urban, intelligence urban model, evolutionary urban layout, urban layout generation, urban regeneration planning, urban land dynamic, automated urban layout, GIS problem solving, urban information system, Urban land use, urban planning management, urban planning reform, urban planning field, urban planning problem, urban plan, urban dynamic process, GIS problem, urban system, planning theory, land use planning, effective urban planning, land dynamic modelling, urban planning, GIS application, human planning, scenario planning, urban environment, urban development, urban growth, urban design, land management, different human planning, GIS application need, urban land, urban planner, land dynamic, spatial planning, urbanization process, urban phenomenon, planning reform, planning problem, urban change, urban data, urbanization, planning",11.0,"expert system approach, expert system, intelligent decision support, use expert system, AI technique, decision support system, decision support, fuzzy expert system, use expert, artificial intelligence approach, expert"
