cluster,min_samples,min_cluster_size,epsilon,total_groups,outlier_count,outlier_key_phrase,group_0_count,group_0_key_phrase,group_1_count,group_1_key_phrase,group_2_count,group_2_key_phrase,group_3_count,group_3_key_phrase
#8,None,15,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,20,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,25,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,None,30,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,1,5,0.0,5,26,"Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, urban flood disaster, interactive data, international development, natural language, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, development impact, unstructured data, online educational game",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",6.0,"Social medium data, unstructured community input, microblogging data, Computational social medium, unstructured community, social network message",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis"
#8,1,6,0.0,4,12,"Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, property vacancy, recurrent neural network, international development, Positive deviance, positive deviance face, development impact, online educational game",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",45.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, AI data collection, urban planner, participatory urban planning, big data, data mining technique, planning education, urban waterlogging, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, collaborative city planning, urban flood disaster, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, novel computational linguistics, classifier, data science, data, city service dimension, city structure, urban data, urban dynamic, unstructured data, medium big data, data analysis",6.0,"Social medium data, unstructured community input, microblogging data, Computational social medium, unstructured community, social network message",,
#8,1,7,0.0,3,9,"proactive property vacancy, prevent vacant property, property vacancy policy, property vacancy, international development, Positive deviance, positive deviance face, development impact, online educational game",54.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, Social medium data, Predictive analytics, AI data collection, urban planner, unstructured community input, participatory urban planning, big data, data mining technique, collaborative chat, planning education, urban waterlogging, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, data science, data, city service dimension, city structure, social network message, urban data, urban dynamic, unstructured data, medium big data, data analysis",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",,,,
#8,1,8,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,9,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,10,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,11,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,12,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,13,0.0,3,39,"personality classification method, personality classification task, player personality behavior, personality classification, Social medium data, player personality, Predictive analytics, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, personality behavior, collaborative chat, possible personality class, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, urban flood disaster, Computational social medium, interactive data, international development, natural language, unstructured community, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, social network message, development impact, unstructured data, online educational game",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis",,,,
#8,1,14,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,1,15,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,1,20,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,1,25,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,1,30,0.0,1,70,"urban data science, personality classification method, urban informatics, personality classification task, urban analytics, urban analysis, understand urban dynamic, player personality behavior, Urban planning, personality classification, Urban planning student, Social medium data, player personality, Predictive analytics, AI data collection, urban planner, unstructured community input, proactive property vacancy, prevent vacant property, property vacancy policy, participatory urban planning, big data, data mining technique, personality behavior, collaborative chat, planning education, possible personality class, urban waterlogging, property vacancy, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, recurrent neural network, microblogging data, collaborative city planning, urban flood disaster, Computational social medium, interactive data, data collection, collaborative city, machine learning, international development, data science technique, natural language, sustainable urban planning, big data mining, urban green space, unstructured community, novel computational linguistics, classifier, Positive deviance, data science, data, positive deviance face, city service dimension, city structure, social network message, urban data, development impact, urban dynamic, unstructured data, online educational game, medium big data, data analysis",,,,,,,,
#8,2,5,0.0,5,26,"Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, urban waterlogging, property vacancy, natural language processing, urban flood, Smart City dimension, computational linguistics, subjective data, crowdsourcing, recurrent neural network, urban flood disaster, interactive data, international development, natural language, novel computational linguistics, classifier, Positive deviance, positive deviance face, city service dimension, development impact, unstructured data, online educational game",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",6.0,"Social medium data, unstructured community input, microblogging data, Computational social medium, unstructured community, social network message",18.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, urban planner, participatory urban planning, planning education, urban environment, collaborative city planning, collaborative city, sustainable urban planning, urban green space, city structure, urban data, urban dynamic",13.0,"AI data collection, big data, data mining technique, AI data, data mining, data collection, machine learning, data science technique, big data mining, data science, data, medium big data, data analysis"
#8,2,6,0.0,4,12,"Predictive analytics, proactive property vacancy, prevent vacant property, property vacancy policy, collaborative chat, property vacancy, recurrent neural network, international development, Positive deviance, positive deviance face, development impact, online educational game",7.0,"personality classification method, personality classification task, player personality behavior, personality classification, player personality, personality behavior, possible personality class",45.0,"urban data science, urban informatics, urban analytics, urban analysis, understand urban dynamic, Urban planning, Urban planning student, AI data collection, urban planner, participatory urban planning, big data, data mining technique, planning education, urban waterlogging, urban environment, natural language processing, AI data, urban flood, Smart City dimension, data mining, computational linguistics, subjective data, crowdsourcing, collaborative city planning, urban flood disaster, interactive data, data collection, collaborative city, machine learning, data science technique, natural language, sustainable urban planning, big data mining, urban green space, novel computational linguistics, classifier, data science, data, city service dimension, city structure, urban data, urban dynamic, unstructured data, medium big data, data analysis",6.0,"Social medium data, unstructured community input, microblogging data, Computational social medium, unstructured community, social network message",,
