cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,grouped_key_phrases
9,9,16,13,0,3,8,0.9912087652,"[{'cluster': 9, 'group': -1, 'count': 8, 'key-phrases': ['soundscapes', 'road traffic noise', 'traffic noise', 'road traffic', 'house vibration', 'soundscape evaluation method', 'city noise', 'historical district soundscape'], 'NumDocs': 5, 'DocIds': [5, 47, 208, 262, 351]}, {'cluster': 9, 'group': 0, 'count': 13, 'key-phrases': ['Soundscape research', 'soundscape science', 'soundscape', 'environmental sound', 'noise', 'urban soundscape evaluation', 'Urban soundscape management', 'soundscape evaluation', 'several soundscape evaluation', 'human hearing', 'lived sonic experience', 'sound', 'district soundscape'], 'NumDocs': 6, 'DocIds': [5, 47, 208, 209, 262, 351]}, {'cluster': 9, 'group': 1, 'count': 19, 'key-phrases': ['outdoor urban space', 'urban environment', 'hot arid climate', 'thermal comfort', 'urban space', 'urban outdoor place', 'Sustainable city', 'multicultural nature', 'outdoor public place', 'public outdoor place', 'urban design', 'inclusive design', 'inclusive design research', 'Modern architect', 'modernity', 'architect', 'urban cultural ecology', 'historic district characteristic', 'urban historic district'], 'NumDocs': 5, 'DocIds': [30, 174, 209, 262, 351]}]"
10,70,19,5,0,3,54,0.9655281154,"[{'cluster': 10, 'group': -1, 'count': 54, 'key-phrases': ['environmental debate', 'contentious environmental debate', 'risk framework', 'risk communication', 'culture', 'Wildfire risk', 'effective landscape planning', 'landscape planning', 'anthropogenic burning', 'conservation practice', 'land owner', 'Sustainable landscape planning', 'landscape planning present', 'unceded urban place', 'urbanised place', 'urban place', 'yanama budyari gumada', 'street homelessness', 'street homeless', 'homelessness', 'homeless', 'diverse city', 'urban polity', 'heritage', 'death', 'ethnographic study', 'Milieu rural', 'transformative urban design', 'settler city', 'urban design', 'modern environmental hazard', 'environmental concern', 'environmental hazard', 'religious community', 'conservative religious community', 'sustainable lifestyle practice', 'sustainable development', 'sustainability', 'Australasian region', 'lifestyle practice', 'architect iredale pedersen', 'spatial framework', 'Balinese culture', 'Balinese society', 'Balinese society refers', 'cultural conservation', 'bali', 'Intercultural landscape', 'cultural literacy framework', 'contemporary urban centre', 'landscape architect', 'council', 'habitation', 'government'], 'NumDocs': 14, 'DocIds': [10, 51, 62, 74, 101, 136, 140, 199, 220, 221, 309, 317, 367, 383]}, {'cluster': 10, 'group': 0, 'count': 6, 'key-phrases': ['Property right', 'Sustainable landscape', 'natural resource management', 'architecture', 'architect iredale', 'intercultural place'], 'NumDocs': 4, 'DocIds': [62, 74, 309, 367]}, {'cluster': 10, 'group': 1, 'count': 20, 'key-phrases': ['Indigenous people', 'Aboriginal youth subculture', 'Aboriginal community', 'disadvantaged Aboriginal community', 'Aboriginal youth', 'Aboriginal culture', 'Aboriginal participation', 'indigenous participation', 'Quebec rural francophones', 'rural francophones', 'Indigenous family retain', 'Indigenous community', 'Aboriginal family', 'Indigenous family', 'Indigenous theme', 'Indigenous placemaking', 'Indigenous culture', 'indigenous knowledge', 'Indigenous movement', 'aboriginal affair'], 'NumDocs': 8, 'DocIds': [101, 127, 136, 140, 164, 199, 309, 383]}]"
11,50,11,6,0,3,15,0.9358698853,"[{'cluster': 11, 'group': -1, 'count': 15, 'key-phrases': ['vernacular architectural heritage', 'vernacular architecture', 'vernacular heritage', 'architectural heritage', 'human settlement', 'shelter programme', 'built morphology', 'gated habitation', 'ancient festival', 'traditional culture', 'citizenship education', 'citizen orientation', 'citizenship law', 'word citizen', 'citizenship'], 'NumDocs': 7, 'DocIds': [144, 224, 229, 267, 282, 291, 374]}, {'cluster': 11, 'group': 0, 'count': 37, 'key-phrases': ['Western urban design', 'urban design', 'town building movement', 'Town planning', 'new town building', 'urban form', 'Armenian capital', 'ruralization', 'urban intelligentsia', 'ruralization process', 'urban planning', 'shelter', 'space', 'architect', 'urban design practice', 'Indian city', 'design spatial theory', 'spatial theory', 'urban area', 'Capital Region plan', 'urban area show', 'many district', 'district', 'Neoliberal urban sustainability', 'urban sustainability', 'urban governance', 'cultural cityscape', 'urban spectacle', 'eventful urban space', 'contemporary urbanism', 'urban space', 'study urban sprawl', 'urban sprawl', 'social urbanism', 'urban growth', 'urban sprawl finish', 'urban periphery'], 'NumDocs': 10, 'DocIds': [77, 144, 170, 224, 229, 265, 267, 282, 320, 379]}, {'cluster': 11, 'group': 1, 'count': 8, 'key-phrases': ['psychological characteristic', 'psychological portrait', 'indigenous people', 'culture', 'nomadism', 'nomadic national identity', 'Mongolian pastoralists', 'nomad'], 'NumDocs': 2, 'DocIds': [291, 379]}]"
12,5,6,9,0,3,4,0.9150953233,"[{'cluster': 12, 'group': -1, 'count': 4, 'key-phrases': ['inclusive municipal governance', 'towards inclusive governance', 'City governance', 'population towards authority'], 'NumDocs': 2, 'DocIds': [38, 392]}, {'cluster': 12, 'group': 0, 'count': 22, 'key-phrases': ['slum community', 'urban slum', 'slum', 'urban settlement', 'poor urban settlement', 'slum upgrading sustainability', 'African urban form', 'indigenous urban form', 'sustainable urban development', 'sustainable urban planning', 'urban development', 'Nigerian urban life', 'Igbo hinterland', 'southern Nigerian town', 'Yoruba society', 'Nigerian town', 'housing development', 'housing quality', 'housing planning', 'future housing development', 'Nigerian society', 'Bangladesh perspective'], 'NumDocs': 6, 'DocIds': [25, 38, 114, 152, 177, 389]}, {'cluster': 12, 'group': 1, 'count': 9, 'key-phrases': ['inclusive governance', 'water management plan', 'water management', 'water resource', 'decentralized water management', 'water authority persuasiveness', 'water authority', 'water service', 'governance'], 'NumDocs': 3, 'DocIds': [38, 389, 392]}]"
13,8,13,5,0,3,20,0.9747306626000001,"[{'cluster': 13, 'group': -1, 'count': 20, 'key-phrases': ['social creativity', 'human creativity', 'individual creative action', 'sustainable food culture', 'food culture', 'sustainable food', 'urban informatics', 'urban design knowledge', 'public planning process', 'Geogames', 'geogame environment', 'geogame', 'youth engagement', 'urban planning', 'Cultural diversity', 'intercultural interaction', 'culture', 'interactive city', 'modern urban environment', 'urban environment'], 'NumDocs': 7, 'DocIds': [7, 41, 102, 115, 120, 188, 363]}, {'cluster': 13, 'group': 0, 'count': 14, 'key-phrases': ['collaborative design', 'spontaneous design activity', 'HCI design', 'virtual design', 'virtual design studio', 'digital design studio', 'design studio', 'democratize design', 'metadesign', 'design approach', 'HCI research', 'design', 'technology design', 'Ambient medium'], 'NumDocs': 6, 'DocIds': [7, 41, 102, 138, 188, 363]}, {'cluster': 13, 'group': 1, 'count': 6, 'key-phrases': ['public planning', 'facilitate civic engagement', 'facilitate civic', 'public participation', 'community context', 'environment'], 'NumDocs': 3, 'DocIds': [115, 188, 363]}]"
14,6,7,5,0,4,28,0.8943505422,"[{'cluster': 14, 'group': -1, 'count': 28, 'key-phrases': ['Mesoamerican timekeeping', 'Mesoamerican religious imagery', 'Mesoamerican calendar', 'ancient mesoamerica', 'Aztec culture', 'favela Morro da', 'favelas', 'favela', 'bridge architecture', 'many urban bridge', 'urban bridge', 'important infrastructure', 'ecodevelopment', 'Sustainable development', 'environmental crisis', 'nature culture', 'heritage management', 'intangible heritage perspective', 'heritage perspective', 'bamboo fishing raft', 'sustainable tourism', 'Songkram river', 'local fishery raft', 'Ecotourism', 'Castro da', 'century suspension bridge', 'meter bridge', 'suspension bridge'], 'NumDocs': 9, 'DocIds': [100, 132, 134, 183, 240, 287, 293, 300, 386]}, {'cluster': 14, 'group': 0, 'count': 15, 'key-phrases': ['architecture', 'wood construction', 'wood construction field', 'totora productivity', 'construction material', 'wood', 'Chinese architecture', 'landscape architecture', 'Vernacular Architecture', 'Chilean architect', 'Architectural culture', 'modern architecture', 'architectural competition', 'civil engineering history', 'civil engineer construct'], 'NumDocs': 6, 'DocIds': [134, 159, 186, 293, 305, 386]}, {'cluster': 14, 'group': 1, 'count': 12, 'key-phrases': ['Urban afforestation', 'urbanized area', 'ecological spatial planning', 'environmental spatial planning', 'geography', 'natural geographic environment', 'geographic environment', 'natured city', 'urban national park', 'urban conservation', 'park creation', 'tourism'], 'NumDocs': 5, 'DocIds': [132, 183, 186, 240, 300]}, {'cluster': 14, 'group': 2, 'count': 5, 'key-phrases': ['heritage element', 'World Heritage Convention', 'cultural heritage', 'Celtic culture', 'global heritage'], 'NumDocs': 3, 'DocIds': [287, 300, 305]}]"
15,6,10,11,0,3,25,0.937435235,"[{'cluster': 15, 'group': -1, 'count': 25, 'key-phrases': ['transnational capitalist class', 'transnational capitalist', 'implement infrastructure', 'infrastructure', 'modern city', 'future culture', 'Human futuristics', 'future cultural alternative', 'culture change', 'zoning form', 'Introduction modern architecture', 'fascist popular culture', 'political history', 'empire', 'Italian fascist', 'holistic thinker', 'human culture evolves', 'Portuguese colonial context', 'portuguese imperial history', 'Portuguese colonialism', 'Portuguese colonial', 'tourism', 'nineteenth century', 'early nineteenth century', 'tourist'], 'NumDocs': 9, 'DocIds': [6, 89, 93, 97, 99, 150, 182, 249, 307]}, {'cluster': 15, 'group': 0, 'count': 11, 'key-phrases': ['iconic architecture', 'contemporary architecture', 'architecture', 'transnational architectural exchange', 'modern architecture', 'international modernism', 'traditional architecture', 'contemporary cinema', 'integrative holistic thinker', 'Colonial architecture', 'speculative design fiction'], 'NumDocs': 6, 'DocIds': [6, 99, 150, 182, 249, 290]}, {'cluster': 15, 'group': 1, 'count': 19, 'key-phrases': ['Urban infrastructure', 'repair infrastructure', 'urban planning', 'city growth', 'strategic planning', 'simplified zoning', 'zoning', 'urbanization', 'urban planning canon', 'urban policy', 'urban indicator project', 'urban sustainability', 'Urban indicator', 'regional planning', 'New Urbanist imaginary', 'livability', 'Urbanist imaginary', 'livable future', 'urban transformation'], 'NumDocs': 7, 'DocIds': [89, 93, 97, 182, 260, 290, 307]}]"
16,7,0,6,0,3,21,0.9291660592000001,"[{'cluster': 16, 'group': -1, 'count': 21, 'key-phrases': ['urban bicycling culture', 'bicycling culture', 'Bicycle advocacy', 'urban bicycling', 'bicycling', 'Latino urban experience', 'Latino integration', 'gayborhood study', 'Gayborhoods Matter', 'Gayborhoods', 'public space', 'mural movement', 'diverse city', 'gentrification', 'aesthetic acceptability', 'homelessness', 'everyday public space', 'neighborhood legitimacy', 'neighborhood resident feel', 'neighborhood change', 'livability project'], 'NumDocs': 8, 'DocIds': [35, 46, 104, 143, 181, 275, 341, 353]}, {'cluster': 16, 'group': 0, 'count': 13, 'key-phrases': ['urbanization', 'urban study literature', 'urban space', 'urban history', 'urban equity', 'urban development', 'urban social control', 'contemporary urban response', 'urban attractiveness', 'urban life', 'perplexing city', 'sustainability', 'urban planning'], 'NumDocs': 5, 'DocIds': [46, 143, 181, 275, 353]}, {'cluster': 16, 'group': 1, 'count': 6, 'key-phrases': ['Latino community', 'gay neighborhood form', 'gay neighborhood', 'racial disparity', 'racial segregation', 'Latino neighborhood'], 'NumDocs': 5, 'DocIds': [46, 104, 143, 181, 341]}]"
17,30,2,12,0,3,32,0.8511879003,"[{'cluster': 17, 'group': -1, 'count': 32, 'key-phrases': ['urban governance', 'cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue', 'urban public space', 'tourism destination', 'tourist destination', 'tourism', 'earthquake disaster prevention', 'disaster prevention awareness', 'disaster prevention', 'earthquake disaster', 'seismic culture', 'Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature', 'Change management project', 'project management', 'management project', 'project manager', 'Change management', 'long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach', 'recreation', 'outdoor recreation'], 'NumDocs': 9, 'DocIds': [151, 236, 237, 271, 306, 373, 380, 387, 393]}, {'cluster': 17, 'group': 0, 'count': 13, 'key-phrases': ['city culture', 'urban study', 'city', 'Everyday milieux', 'contemporary city', 'urbanity understood', 'new urbanity', 'everyday urbanism', 'cultural urban study', 'cultural urban', 'Tokyo life', 'contemporary urban life', 'urban life'], 'NumDocs': 4, 'DocIds': [151, 237, 328, 393]}, {'cluster': 17, 'group': 1, 'count': 15, 'key-phrases': ['urbanised space', 'urbanised environment', 'Adaptable city', 'urban design', 'proposed urban design', 'sustainable urban design', 'sustainable design assessment', 'urban design factor', 'main urban design', 'urban transformation', 'sustainable urban environment', 'urban environment', 'landscape design', 'sustainable environment', 'human environment'], 'NumDocs': 4, 'DocIds': [237, 271, 308, 334]}]"
18,9,19,5,0,3,14,0.989854741,"[{'cluster': 18, 'group': -1, 'count': 14, 'key-phrases': ['Chinese middle class', 'contemporary Chinese society', 'Chinese society', 'Chinese politics', 'historical Chinese city', 'Confucianism', 'economic development', 'Chinese architecture', 'cultural development', 'sound cultural development', 'Chinese city', 'Chinese history', 'Chinese peasant uprising', 'cultural prosperity'], 'NumDocs': 8, 'DocIds': [45, 57, 69, 88, 169, 187, 195, 248]}, {'cluster': 18, 'group': 0, 'count': 6, 'key-phrases': ['middle class society', 'Soviet influence', 'community relation', 'culture', 'belonging', 'social inclusion'], 'NumDocs': 4, 'DocIds': [45, 69, 169, 248]}, {'cluster': 18, 'group': 1, 'count': 21, 'key-phrases': ['urban regeneration', 'historical urban environment', 'Traditional architectural form', 'urban regeneration project', 'urban planning', 'influenced urban planning', 'urban architecture', 'urban design', 'modern city making', 'urban development', 'abstract', 'urban transformation', 'urban economy', 'urban condition', 'city planning', 'concern urban historian', 'urban history', 'urban historian', 'city create', 'livability', 'urban development state'], 'NumDocs': 7, 'DocIds': [57, 69, 88, 126, 187, 195, 248]}]"
19,10,4,5,0,3,10,0.7527212613,"[{'cluster': 19, 'group': -1, 'count': 10, 'key-phrases': ['important cultural event', 'human mobility system', 'smart city', 'human mobility', 'mobility model', 'smart transportation', 'square design concept', 'new square design', 'city appearance', 'Aboriginal songwriter'], 'NumDocs': 4, 'DocIds': [258, 332, 372, 381]}, {'cluster': 19, 'group': 0, 'count': 5, 'key-phrases': ['small business influence', 'Small business', 'Community development', 'business', 'entrepreneurship'], 'NumDocs': 1, 'DocIds': [148]}, {'cluster': 19, 'group': 1, 'count': 10, 'key-phrases': ['first international exposition', 'international exposition', 'centennial', 'cultural event', 'city square', 'heritage city', 'aboriginal culture', 'indigenous people', 'aboriginal', 'museum'], 'NumDocs': 3, 'DocIds': [258, 372, 381]}]"
20,8,4,5,0,2,0,0.8701363816000001,"[{'cluster': 20, 'group': 0, 'count': 20, 'key-phrases': ['urban design', 'urban planning', 'land use', 'environment', 'civilisation', 'sustainable architecture', 'architecture', 'modular building', 'social sustainability', 'artificial system', 'sustainable floating village', 'sustainable floating community', 'floating village', 'ecotourism development', 'tourism development', 'town reconstruction', 'tsunami disaster prevention', 'east Japan earthquake', 'Japan earthquake', 'disaster prevention'], 'NumDocs': 4, 'DocIds': [111, 263, 316, 335]}, {'cluster': 20, 'group': 1, 'count': 5, 'key-phrases': ['cement catalyst', 'recycle epoxy resin', 'mortar cement catalyst', 'polymer composite membrane', 'photocatalytic degradation'], 'NumDocs': 1, 'DocIds': [357]}]"
21,8,0,5,0,3,16,0.7853536254,"[{'cluster': 21, 'group': -1, 'count': 16, 'key-phrases': ['globalization', 'urban setting', 'Visual approach', 'urban design', 'spatial appropriation', 'Public design', 'interior architecture', 'urban regeneration', 'capitalist development', 'architecture', 'architectural project', 'regeneration project', 'city square design', 'square design', 'style line design', 'line design concept'], 'NumDocs': 6, 'DocIds': [156, 206, 217, 245, 325, 369]}, {'cluster': 21, 'group': 0, 'count': 7, 'key-phrases': ['cultural expression', 'urban public space', 'urban creativity', 'public art', 'trash appear', 'urban periphery', 'city square'], 'NumDocs': 5, 'DocIds': [156, 217, 245, 325, 369]}, {'cluster': 21, 'group': 1, 'count': 7, 'key-phrases': ['city planning theory', 'understanding city', 'city planning', 'modern city planning', 'urban planning', 'urban strategy', 'planning implementation'], 'NumDocs': 3, 'DocIds': [206, 245, 325]}]"
22,10,6,5,0,3,7,0.9306329071,"[{'cluster': 22, 'group': -1, 'count': 7, 'key-phrases': ['thermal comfort', 'thermal index', 'smart city application', 'smart city', 'Smart City road', 'fuzzy linguistic variable', 'Smart energy dorm'], 'NumDocs': 4, 'DocIds': [16, 204, 227, 333]}, {'cluster': 22, 'group': 0, 'count': 12, 'key-phrases': ['thermal comfort range', 'different thermal environment', 'thermal environment', 'urban livability measure', 'Urban livability', 'livability measure', 'many urban livability', 'livability', 'Bartolomeo student dorm', 'energy dorm', 'university student residence', 'student residence'], 'NumDocs': 3, 'DocIds': [16, 274, 333]}, {'cluster': 22, 'group': 1, 'count': 6, 'key-phrases': ['smart application', 'intelligent system', 'smart urban development', 'fuzzy logic', 'aggregated fuzzy score', 'fuzzy approach'], 'NumDocs': 2, 'DocIds': [204, 227]}]"
23,7,8,5,0,3,27,0.9417277875000001,"[{'cluster': 23, 'group': -1, 'count': 27, 'key-phrases': ['landscape meaning', 'landscape reality', 'multilocal creative knowledge', 'national embeddedness', 'geographical mobility', 'transnational multilocality', 'multilocality', 'Human sensory assessment', 'urban planning', 'sensory assessment', 'enables urban planner', 'intangible cultural resource', 'heritage', 'social spatialization', 'city planning', 'Whither aboriginal education', 'aboriginal education', 'indigenous student', 'aboriginal student', 'iranian housing culture', 'housing culture', 'iranian housing', 'visitor experience', 'site interpretation centre', 'visitor centre', 'site interpretation', 'interpretation centre'], 'NumDocs': 8, 'DocIds': [26, 108, 219, 225, 234, 257, 278, 304]}, {'cluster': 23, 'group': 0, 'count': 8, 'key-phrases': ['Chinatown landscape', 'urban renewal', 'housing landscape', 'urban environment', 'Urban cohesion', 'contemporary city planning', 'contemporary housing', 'contemporary housing solution'], 'NumDocs': 4, 'DocIds': [26, 219, 234, 278]}, {'cluster': 23, 'group': 1, 'count': 5, 'key-phrases': ['Bengali community', 'Culture', 'cultural heritage', 'Pakistani neighborhood', 'tribal college'], 'NumDocs': 3, 'DocIds': [225, 234, 257]}]"
24,5,7,5,0,3,24,0.814072364,"[{'cluster': 24, 'group': -1, 'count': 24, 'key-phrases': ['Urban sustainability transition', 'transition towards urbanisation', 'Urban sustainability', 'affect climate change', 'greenhouse gas emission', 'Population growth', 'urban sustainability indicator', 'sustainable city', 'urban unsustainability', 'sustainability indicator', 'national development planning', 'Bangkok man', 'urban forest management', 'urban forest manager', 'forest management', 'governance challenge', 'critical governance', 'electricity consumption', 'electrical consumption', 'power grid', 'electric grid company', 'electrical load', 'Modern city', 'Future metropolis'], 'NumDocs': 7, 'DocIds': [23, 64, 107, 116, 198, 233, 251]}, {'cluster': 24, 'group': 0, 'count': 6, 'key-phrases': ['sustainability transition unfold', 'affect climate', 'climate change', 'sustainable development', 'development planning', 'national development'], 'NumDocs': 4, 'DocIds': [23, 64, 107, 116]}, {'cluster': 24, 'group': 1, 'count': 5, 'key-phrases': ['towards urbanisation', 'city system', 'urban planning sector', 'urban planning', 'urban study theorist'], 'NumDocs': 3, 'DocIds': [23, 116, 251]}]"
25,8,5,7,0,3,2,0.9223208934,"[{'cluster': 25, 'group': -1, 'count': 2, 'key-phrases': ['global urbanism', 'Blue urbanism'], 'NumDocs': 2, 'DocIds': [44, 72]}, {'cluster': 25, 'group': 0, 'count': 8, 'key-phrases': ['cultural ecosystem', 'contemporary cultural ecosystem', 'cultural ecosystem service', 'cultural heritage', 'ocean health', 'ocean literacy', 'ocean activist', 'healthy ocean'], 'NumDocs': 2, 'DocIds': [21, 72]}, {'cluster': 25, 'group': 1, 'count': 15, 'key-phrases': ['coastal mangrove forest', 'Singapore River waterfront', 'urban reclamation', 'Waterfront development', 'redevelopment', 'Derelict waterfront', 'Singapore River development', 'Singapore River landscape', 'acclaimed waterfront', 'Singapore experience', 'pier waterfront redevelopment', 'waterfront redevelopment', 'Swettenham pier waterfront', 'Swettenham pier', 'pier waterfront'], 'NumDocs': 4, 'DocIds': [21, 31, 44, 216]}]"
26,5,4,5,0,3,9,0.6531567697,"[{'cluster': 26, 'group': -1, 'count': 9, 'key-phrases': ['urban growth boundary', 'urban growth', 'regional landscape', 'Chicago sociology', 'Chicago sociologist', 'urban environmental history', 'modern city', 'Philadelphia planning', 'Philadelphia planning process'], 'NumDocs': 4, 'DocIds': [52, 117, 212, 254]}, {'cluster': 26, 'group': 0, 'count': 11, 'key-phrases': ['planning theory', 'urban planning policy', 'urban planning', 'urban bureaucrat', 'failed urban planning', 'green urbanism', 'urban ecology', 'urbanism', 'urban renaissance', 'American industrial metropolis', 'urban historical process'], 'NumDocs': 5, 'DocIds': [52, 117, 163, 212, 254]}, {'cluster': 26, 'group': 1, 'count': 5, 'key-phrases': ['Artistic interpretation', 'revered monument', 'monument', 'historic building', 'arch'], 'NumDocs': 2, 'DocIds': [52, 163]}]"
27,5,8,8,0,3,12,0.9753142212,"[{'cluster': 27, 'group': -1, 'count': 12, 'key-phrases': ['inclusive landscape', 'inclusive design', 'cultural experience', 'multinaturalism', 'multiculturalism', 'collective experiment', 'embed diverse youth', 'diverse youth voice', 'diverse youth', 'urban design', 'architectural theory', 'urban design relies'], 'NumDocs': 5, 'DocIds': [19, 28, 34, 50, 147]}, {'cluster': 27, 'group': 0, 'count': 12, 'key-phrases': ['towards inclusive design', 'landscape architect', 'scientific laboratory', 'concern architectural theory', 'architecture', 'design profession', 'interior design', 'industrial design', 'design', 'urban design consumer', 'international design', 'design consumer'], 'NumDocs': 5, 'DocIds': [19, 28, 50, 67, 147]}, {'cluster': 27, 'group': 1, 'count': 11, 'key-phrases': ['modernity', 'intergenerational urban space', 'urban space', 'genuinely urban environment', 'contemporary city', 'city planning', 'towards urbanity', 'understand urbanity', 'urbanity', 'shift towards urbanity', 'urbanity serf'], 'NumDocs': 6, 'DocIds': [28, 34, 50, 67, 147, 231]}]"
28,5,1,10,0,3,20,0.8915278133000001,"[{'cluster': 28, 'group': -1, 'count': 20, 'key-phrases': ['urban housing complies', 'residential standard', 'current residential standard', 'housing complies', 'urban housing', 'Gaza city', 'livable community', 'urban community', 'trust relationship', 'mobility paradigm', 'urban life', 'mobile risk society', 'risk society', 'mobility', 'green building system', 'efficient residential building', 'green building incorporates', 'pandemic strategy', 'flexible pandemic strategy', 'previous pandemic'], 'NumDocs': 5, 'DocIds': [65, 85, 130, 162, 202]}, {'cluster': 28, 'group': 0, 'count': 10, 'key-phrases': ['sustainable city', 'inefficient city', 'environmental sustainability', 'sustainable performance', 'sustainability perspective', 'water management', 'water resource management', 'unsustainable water management', 'megacities water quantity', 'megacities water'], 'NumDocs': 2, 'DocIds': [36, 80]}, {'cluster': 28, 'group': 1, 'count': 10, 'key-phrases': ['community planning', 'Dhabi urban development', 'Dhabi economic vision', 'participatory planning', 'urban planning process', 'urban planning', 'public consultation', 'experimental participatory planning', 'new urban design', 'urban design'], 'NumDocs': 4, 'DocIds': [85, 162, 197, 202]}]"
