Cluster,DocId,Text,x,y
14,10,measuring human perceptions of a urban region using machine learning measuring the human sense of place and quantifying the connections among the visual features of the built environment that impact the human sense of place have long been of interest to a wide variety of fields previous studies have relied on surveys and limited data sources which have difficulty in measuring the human perception of a urban region at flexible spatial resolutions in this work a machine learning approach is proposed to measure how people perceive a place in a urban region specifically a deep learning model which has been trained on millions of human ratings of imagery was used to predict human perceptions of a street view image the model achieved a high accuracy rate in predicting six human perceptual indicators namely safe lively beautiful wealthy depressing and boring this model can help to map the distribution of the human perception for a new urban region furthermore a series of statistical analyses was conducted to determine the visual elements that may cause a place to be perceived as different perceptions from the object categories segmented from the street view images various objects were identified as being positively or negatively correlated with each of the six perceptual indicators the results take researchers and urban planners one step toward understanding the interactions of the place sentiments and semantics,5.96,0.72
4,11,mining urban patterns from volunteered geographic information by means of genetic algorithms and artificial neural networks in the context of openstreetmap osm spatial data quality in particular completeness is an essential aspect of its fitness for use in specific applications such as planning tasks to mitigate the effect of completeness errors in osm this study proposes a methodological framework for predicting by means of osm urban areas in europe that are currently not mapped or only partially mapped for this purpose a machine learning approach consisting of artificial neural networks and genetic algorithms is applied under the premise of existing osm data the model estimates missing urban areas with an overall squared correlation coefficient r of interregional comparisons of european regions confirm spatial heterogeneity in the model performance whereas the r ranges from up to these results show that the delineation of urban areas by means of the presented methodology depends strongly on location,7.31,1.49
3,12,exploiting foursquare and cellular data to infer user activity in urban environments inferring the type of activities in neighborhoods of urban centers may be helpful in a number of contexts including urban planning content delivery and activity recommendations for mobile web users or may even yield to a deeper understanding of the geographical evolution of social life in the city during the past few years the analysis of mobile phone usage patterns or of social media with longitudinal attributes have aided the automatic characterization of the dynamics of the urban environment in this work we combine a dataset sourced from a telecommunication provider in spain with a database of millions of venues from foursquare and we formulate the problem of urban activity inference in a supervised learning framework in particular we exploit user communication patterns observed at the base station level in order to predict the activity of foursquare users who at nearby venues first we mine a set of machine learning features that allow us to encode the input telecommunication signal of a tower subsequently we evaluate a diverse set of supervised learning algorithms using labels extracted from foursquare place categories and we consider two application scenarios initially we assess how hard it is to predict specific urban activity of an area showing that nightlife and entertainment spots are those easier to infer whereas college and shopping areas are those featuring the lowest accuracy rates then considering a candidate set of activity types in a geographic area we aim to elect the most prominent one we demonstrate how the difficulty of the problem increases with the number of classes incorporated in the prediction task yet the classifiers achieve a considerably better performance compared to a random guess even when the set of candidate classes increases,4.5,2.22
6,13,using image recognition to automate assessment of cultural ecosystem services from social media photographs quantifying and mapping cultural ecosystem services is complex because of their intangibility data from social media such as photographs have been proposed for mapping cultural use or appreciation of ecosystems however manual content analysis and classification of large numbers of photographs is time consuming this study develops a novel method for automating content analysis of social media photographs for ecosystem services assessment the approach applies an online machine learning algorithm google cloud vision to analyse over photographs from singapore and uses hierarchical clustering to group these photographs the accuracy of the classification was assessed by comparison with manual classification over of photographs were taken of nature being of animals or plants the distribution of nature photographs was concentrated around particular natural attractions and nature photographs were more likely to occur in parks and areas of high vegetation cover the approach developed for clustering photographs was accurate and saved approximately h of manual work the method provides an indicator of cultural ecosystem services that can be applied rapidly over large areas automated assessment and mapping of cultural ecosystem services could be used to inform urban planning,6.41,0.63
14,14,a machine method for the evaluation of the qualities of the urban environment given the present size of modern cities it is beyond the perceptual capacity of most people to develop a good knowledge about the qualities of the urban space at every street corner correspondingly for planners it is also difficult to accurately answer questions such as where the quality of the physical environment is the most dilapidated in the city that regeneration should be given first consideration and in fast urbanising cities how is the city appearance changing to address this issue in the present study we present a computer vision method that contains three machine learning models for the and automatic evaluation on the qualities of the urban environment by leveraging machine learning techniques and street view images from various physical qualities that have been identified by previous research to be important for the urban visual experience we choose two key qualities the construction and maintenance quality of building facade and the continuity of street wall to be measured in this research to test the validity of the proposed method we compare the machine scores with public rating scores collected from at locations in the city we show that the machine learning models can produce a estimation of people real experience and the modelling results can be applied in many ways by researchers planners and local residents,6.22,0.79
14,15,measuring visual enclosure for street walkability using machine learning algorithms and google street view imagery one major limitation currently with studying street level urban design qualities for walkability is the often inconsistent and unreliable measures of streetscape features across different field surveyors even with costly training due to lack of more objective processes which also make large scale study difficult the recent advances in sensor technologies and digitization have produced a wealth of data to help research activities by facilitating improved measurements and conducting large scale analysis this paper explores the potential of big data and big data analytics in the light of current approaches to measuring streetscape features by applying machine learning algorithms on google street view imagery we generated objectively three measures on visual enclosure the results showed that sky areas were identified fairly well for the calculation of proportion of sky the three visual enclosure measures were found to be correlated with pedestrian volume and walk score this method allows large scale and consistent objective measures of visual enclosure that can be done reproducibly and universally applicable with readily available google street view imagery in many countries around the world to help test their association with walking behaviors,6.35,1.09
13,16,change and environmental impact analysis in the greater mankato area of minnesota using remote sensing and gis modelling land use and lulc data provide essential information for environmental management and planning this research evaluates the change dynamics and their effects for the greater mankato area of minnesota using image classification and geographic information systems gis modelling in aerial photography and quickbird imagery results show that from to urban impervious surfaces increased from to while cropland and grassland decreased from to the dramatic urbanization caused evident environmental impacts in terms of runoff and water quality whereas the annual air pollution removal rate and carbon remained consistent since urban forests were steady over the span the results also indicate that highly accurate features can be extracted effectively from imagery by incorporating both spectral and spatial information applying an technique and utilizing the hierarchical feature analyst classifier this research fills the lulc data gap for the greater mankato area the findings of the study also provide valuable inputs for local and urban planners,8.7,1.17
7,17,citywide traffic volume estimation using trajectory data traffic volume estimation at the city scale is an important problem useful to many transportation operations and urban applications this paper proposes a hybrid framework that integrates both machine learning techniques and traffic flow theory to estimate citywide traffic volume in addition to typical urban context features extracted from multiple sources we extract a special set of features from gps trajectories based on the implications of traffic flow theory which provide extra information on the relationship using the speed information estimated from a travel speed estimation model a volume related high level feature is first learned using an unsupervised graphical model a volume model is then introduced to map the volume related high level feature to the predicted volume using a small amount of ground truth data for training the framework is evaluated using a gps trajectory dataset from beijing taxis and volume ground truth data obtained from video clips the results demonstrate effectiveness and potential of the proposed framework in citywide traffic volume estimation,3.43,3.31
0,18,using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale urban planning applications energy audits investment etc require an understanding of built infrastructure and its environment both physical features amount of vegetation building area and geometry etc as well as concepts such as land use classes which encode expert understanding of socioeconomic end uses this kind of data is expensive and to obtain which limits its availability particularly in developing countries we analyze patterns in land use in urban neighborhoods using satellite imagery data which is available worldwide from providers and computer vision techniques based on deep convolutional neural networks for supervision given the limited availability of standard benchmarks for data we obtain ground truth land use class labels carefully sampled from surveys in particular the urban atlas land classification dataset of land use classes across european cities we use this data to train and compare deep architectures which have recently shown good performance on standard computer vision tasks image classification and segmentation including on geospatial data furthermore we show that the deep representations extracted from satellite imagery of urban environments can be used to compare neighborhoods across several cities we make our dataset available for other machine learning researchers to use for applications,8.23,-0.82
0,19,building type classification using spatial and landscape attributes derived from lidar remote sensing data building information is one of the key elements for a range of urban planning and management practices in this study an investigation was performed to classify buildings delineated from light detection and ranging lidar remote sensing data into three types houses houses and buildings four kinds of spatial attributes describing the shape location and surrounding environment of buildings were calculated and subsequently employed in the classification experiments were performed in suburban and downtown sites in denver co usa considering different building components and neighborhood environments building type classification results yielded overall accuracy and kappa for both sites demonstrating the feasibility of obtaining building type information from lidar data the shape attributes such as width footprint area and perimeter were most useful for identifying building types environmental landscape attributes surrounding buildings such as the number of road and parking lot pixels also contributed to obtaining building type information combining shape and environmental landscape attributes was necessary to obtain accurate and consistent classification results,7.57,-0.4
0,20,urban land use and land cover classification using remotely sensed sar data through deep belief networks land use and land cover lulc mapping in urban areas is one of the core applications in remote sensing and it plays an important role in modern urban planning and management deep learning is springing up in the field of machine learning recently by mimicking the hierarchical structure of the human brain deep learning can gradually extract features from lower level to higher level the deep belief networks dbn model is a widely investigated and deployed deep learning architecture it combines the advantages of unsupervised and supervised learning and can archive good classification performance this study proposes a classification approach based on the dbn model for detailed urban mapping using polarimetric synthetic aperture radar polsar data through the dbn model effective contextual mapping features can be automatically extracted from the polsar data to improve the classification performance polsar data over the great toronto area were used for evaluation comparisons with the support vector machine svm conventional neural networks nn and stochastic sem were conducted to assess the potential of the classification approach experimental results show that the method outperforms three other approaches and produces homogenous mapping results with preserved shape details,8.54,-0.59
5,21,urban energy simulation a framework for integrating engineering simulation and machine learning methods in a urban energy modeling workflow the world is rapidly urbanizing and the energy intensive built environment is becoming increasingly responsible for the world energy consumption and associated environmental emissions as a result significant efforts have been put forth to develop methods that can accurately model and characterize building energy consumption in cities these models aim to utilize building energy simulations calculations and statistical learning methods to assess the energy performance of buildings within a dense urban area however current urban building energy models are limited in their ability to account for the energy dynamics and urban microclimate factors that can have a substantial impact on building energy use to overcome these limitations this paper proposes a novel urban energy simulation framework that integrates a machine learning algorithm resnet with engineering simulation to better understand how buildings consume energy on multiple temporal hourly daily monthly and spatial scales in a city single building block urban we validate the proposed framework on a proof of concept case study of densely located university buildings in california usa our results indicate that the framework is able to accurately predict urban scale energy consumption at hourly daily and monthly intervals moreover our results also demonstrate that the integration of and engineering simulation approaches can partially capture the energy dynamics and impacts of the urban context and merits future work to explore how they can be improved to predict scale energy predictions single building block in the end successfully predicting and modeling the energy performance of urban buildings has the potential to inform the of a wide variety of urban sustainability stakeholders including architects engineers and policymakers,8.69,3.81
12,22,artificial intelligence solutions for urban land dynamics a review artificial intelligence ai systems are widely accepted as a technology offering an alternative way to tackle complex and dynamic problems in urban studies the goal of this article is a review of current literature in the field of planning and ai the aim of this review is to increase the understanding of how ai approaches urban and land dynamics modeling processes and how as a result researchers can structure that knowledge and choose the correct approaches to embed in their models for this purpose the authors review the applications of ai techniques in urban land dynamics domain as well as the emerging challenges they face the authors discuss hybrid ai systems as a need resulting from the trend in planning policy to develop more holistic approaches the authors conclude that although challenges exist approaches offer promising solutions for urban and land dynamics,6.99,2.94
5,23,contribution of dust storms to levels in an urban arid environment quantitative information on the contribution of dust storms to atmospheric particulate matter with an aerodynamic diameter μm levels is still lacking especially in urban environments with close proximity to dust sources the main objective of this study was to quantify the contribution of dust storms to concentrations in a desert urban center the city of negev israel during the period of toward this end a background value based on the season was used as a threshold value to identify potentially dust days subsequently the net contribution of dust storms to was assessed during the study period daily concentrations ranged from to over in each year over of the daily concentrations exceeded the calculated threshold bvt of an average daily net contribution of dust to of was calculated for the entire study period based on this background value furthermore a dust storm intensity parameter ai was used to analyze several storms with very high contributions hourly averages of this analysis revealed that the strongest storms occurred mainly in the last yr of the study finally these findings indicate that this arid urban environment experiences high levels whose origin lies in both local and regional dust events implications the findings indicate that over time the urban arid environment experiences high levels whose origin lies in local and regional dust events it was noticed that the strongest storms have occurred mainly in the last yr it is believed that environmental changes such as global warming and desertification may lead to an increased air pollution and risk exposure to human health,9.18,2.34
2,24,exploring the optimal integration levels between sar and optical data for better urban land cover mapping in the pearl river delta integrating synthetic aperture radar sar and optical data to improve urban land cover classification has been identified as a promising approach however which integration level is the most suitable remains unclear but important to many researchers and engineers this study aimed to compare different integration levels for providing a scientific reference for a wide range of studies using optical and sar data sar data from and envisat asar in both wsm and imp modes were used to be combined with optical data at pixel level feature level and decision levels using four typical machine learning methods the experimental results indicated that feature level that used both the original images and extracted features achieved a significant improvement of up to compared to that using optical data alone different levels of fusion required different suitable methods depending on the data distribution and data resolution for instance support vector machine was the most stable at both the feature and decision levels while random forest was suitable at the pixel level but not suitable at the decision level by examining the distribution of sar features some features homogeneity exhibited a distribution explaining the improvement from the maximum likelihood method at the feature and decision levels this indicated the benefits of using texture features from sar data when being combined with optical data for land cover classification additionally the research also shown that combining optical and sar data does not guarantee improvement compared with using single data source for urban land cover classification depending on the selection of appropriate fusion levels and fusion methods,8.58,0.12
2,25,combining machine learning for identification of types from urban imagery water is one of the vital components for the ecological environment which plays an important role in human survival and socioeconomic development water resources in urban areas are gradually decreasing due to the rapid urbanization especially in developing countries therefore the precise extraction and automatic identification of water bodies are of great significance and urgently required for urban planning it should be noted that although some studies have been reported regarding the extraction to our knowledge few papers concern the identification of urban water types rivers lakes canals and ponds in this paper a novel framework is proposed for identifying the water types from urban images the framework consists of two interpretation levels water bodies are extracted at the pixel level where the indexes are considered and water types are further identified at the object level where a set of geometrical and textural features are used both levels employ machine learning for the image interpretation the proposed framework is validated using the and images over two mega cities in china wuhan and shenzhen respectively the experimental results show that the proposed method achieved satisfactory accuracies for both water extraction shenzhen wuhan and water type classification shenzhen wuhan in complex urban areas,7.86,0.28
14,26,measuring daily accessed street greenery a approach for informing better urban planning practices the public benefits of visible street greenery have been well recognised in a growing literature nevertheless this issue was rare to be included into urban greenery and planning practices as a response to this situation we proposed an actionable approach for quantifying the daily exposure of urban residents to street greenery by integrating high resolution measurements on both greenery and accessibility google street view gsv images in singapore were collected and extracted through machine learning algorithms to achieve an accurate measurement on visible greenery street networks collected from open street map osm were analysed through spatial design network analysis sdna to quantify the accessibility value of each street the integration of street greenery and accessibility helps to measure greenery from a perspective and it provides a tool for urban planners to highlight areas with prioritisation for planning interventions moreover the performance between street greenery and the urban green cover mapped by remote sensing was compared to justify the contribution of this new measurement it suggested there was a mismatch between these two measurements existing viewpoint through satellites might not be equivalent to the benefits enjoyed by city residents in short this analytical approach contributes to a growing trend in integrating large datasets with machine learning to inform planners and it makes a step forward for urban planning practices through focusing on the measurement of accessed street greenery,6.21,1.45
5,27,estimation of daily maximum and minimum air temperatures in urban landscapes using modis time series satellite data urban air temperature is considered a significant variable for a variety of urban issues and analyzing the spatial patterns of air temperature is important for urban planning and management however insufficient weather stations limit accurate spatial representation of temperature within a heterogeneous city this study used a random forest machine learning approach to estimate daily maximum and minimum air temperatures tmax and tmin for two megacities with different climate characteristics los angeles usa and seoul south korea this study used eight land surface temperature lst data from moderate resolution imaging spectroradiometer modis with seven auxiliary variables elevation solar radiation normalized difference vegetation index latitude longitude aspect and the percentage of impervious area we found different relationships between the eight lsts with for the two cities and designed eight schemes with different input lst variables the schemes were evaluated using the coefficient of determination and root mean square error rmse from the best schemes produced of and and rmse of and for tmax and tmin in los angeles and of and and rmse of and for tmax and tmin in seoul respectively lsts obtained the day before were crucial for estimating daily urban air temperature estimated air temperature patterns showed that tmax was highly dependent on the geographic factors sea breeze mountains of the two cities while tmin showed marginally distinct temperature differences between and vegetated areas in the two cities,9.35,3.3
12,28,integrating the concept and cellular automata with the artificial neural land transformation model an integrated modeling framework cellular automata ca and artificial neural networks anns have been used by researchers over the last three decades to simulate change luc while conventional ca and ann models assign a cell to only one class in reality a cell may belong to several classes simultaneously the recently developed ml concept overcomes this limitation in land change science although the ml concept is a new paradigm with nonexclusive classes and has shown considerable merit in several applications few studies in land change science have applied it in addition determining transition rules in conventional ca is difficult when the number of drivers is large since ca has been shown as a potential model to consider neighborhood effects and ann has been shown effective in determining ca transition rules we integrated both ca with an ann model to overcome limitations of each tool in this study we specifically extended the land transformation model ltm with both a model and the ml concept to create an integrated modeling framework we also compared using standard evaluation measures differences between the proposed integrated model with a conventional ltm model called the parameterization was made using a learning and testing procedure common in machine learning results showed that the modified luc model produced consistently better goodness of fit calibration values compared to the the outcome of this modified model can be used by managers and decision makers for improved urban planning,7.54,2.61
