Cluster,NumDocs,Percent,DocId,NumTopics,Score,LDATopics
9,8,0.02,"[5, 30, 47, 174, 208, 209, 262, 351]",9,-0.5813251963,"[{'topic': ['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation'], 'score': 0.0}, {'topic': ['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation'], 'score': 0.0}, {'topic': ['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation'], 'score': 0.0}, {'topic': ['social aspect', 'soundscape analysis', 'room', 'several factor', 'several soundscape', 'several soundscape evaluation', 'simplicity', 'required data', 'sound source', 'soundscape evaluation'], 'score': 0.0}, {'topic': ['design', 'environment', 'built environment', 'hearing', 'le', 'paper', 'perspective', 'profi le', 'sound', 'diversity'], 'score': -0.5187775356000001}, {'topic': ['environment', 'soundscape', 'system', 'sound', 'people', 'method', 'design', 'acoustic environment', 'aspect', 'data'], 'score': -0.7658860439}, {'topic': ['environment', 'research', 'question', 'soundscape', 'science', 'approach', 'soundscapes', 'built environment', 'management', 'country'], 'score': -0.7768576030000001}, {'topic': ['space', 'people', 'effect', 'behaviour', 'activity', 'thermal comfort', 'comfort', 'urban space', 'hot arid climate', 'outdoor space'], 'score': -0.8471798873}, {'topic': ['city', 'noise', 'road', 'road traffic', 'traffic', 'people', 'place', 'response', 'difference', 'community'], 'score': -3.9702584443}]"
10,16,0.041,"[10, 51, 62, 74, 101, 127, 136, 140, 164, 199, 220, 221, 309, 317, 367, 383]",6,-4.8126222183,"[{'topic': ['homelessness', 'way', 'focus', 'mobility', 'major city', 'place', 'research', 'city', 'people', 'Indigenous people'], 'score': -0.3827017527}, {'topic': ['right', 'property', 'planning', 'property right', 'value', 'property right value', 'right value', 'development', 'landscape', 'landscape planning'], 'score': -0.47256772350000004}, {'topic': ['culture', 'community', 'people', 'place', 'city', 'landscape', 'heart', 'centre', 'cultural literacy', 'lens'], 'score': -4.6995552107}, {'topic': ['study', 'risk', 'place', 'research', 'culture', 'death', 'good death', 'practice', 'people', 'city'], 'score': -6.2880603235}, {'topic': ['design', 'risk', 'life', 'planning', 'environment', 'paper', 'relationship', 'people', 'management', 'consultation'], 'score': -6.967629285}, {'topic': ['culture', 'people', 'risk', 'region', 'community', 'indigenous people', 'tradition', 'work', 'development', 'economy'], 'score': -7.2927101317}]"
11,12,0.03,"[77, 144, 170, 224, 229, 265, 267, 282, 291, 320, 374, 379]",10,-1.3538478374,"[{'topic': ['nomad', 'poverty', 'national identity', 'ger', 'felt tent', 'informality', 'importance', 'hour', 'given importance', 'gers'], 'score': 0.0}, {'topic': ['citizenship', 'country', 'citizenship education', 'education', 'citizen', 'society', 'citizen orientation', 'type', 'orientation', 'improve citizenship education'], 'score': 0.0}, {'topic': ['conglomerate', 'contemporary urbanism', 'central concern', 'change', 'changing role', 'characteristic', 'city possess', 'city whereas', 'complex system', 'concept'], 'score': -0.1438642377}, {'topic': ['conglomerate', 'contemporary urbanism', 'central concern', 'change', 'changing role', 'characteristic', 'city possess', 'city whereas', 'complex system', 'concept'], 'score': -0.1438642377}, {'topic': ['conglomerate', 'contemporary urbanism', 'central concern', 'change', 'changing role', 'characteristic', 'city possess', 'city whereas', 'complex system', 'concept'], 'score': -0.1438642377}, {'topic': ['conglomerate', 'contemporary urbanism', 'central concern', 'change', 'changing role', 'characteristic', 'city possess', 'city whereas', 'complex system', 'concept'], 'score': -0.1438642377}, {'topic': ['conglomerate', 'contemporary urbanism', 'central concern', 'change', 'changing role', 'characteristic', 'city possess', 'city whereas', 'complex system', 'concept'], 'score': -0.1438642377}, {'topic': ['identity', 'city', 'space', 'role', 'document', 'urban space', 'place', 'event', 'time', 'activity'], 'score': -0.7164026536}, {'topic': ['concept', 'government', 'people', 'part', 'culture', 'article', 'life', 'way', 'understanding', 'dweller'], 'score': -0.8978464891}, {'topic': ['research', 'city', 'space', 'settlement', 'culture', 'development', 'area', 'people', 'periphery', 'factor'], 'score': -1.9416786434}]"
12,7,0.018000000000000002,"[25, 38, 114, 152, 177, 389, 392]",9,-1.0600063305,"[{'topic': ['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': 0.0}, {'topic': ['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': 0.0}, {'topic': ['family', 'finding', 'de velopment', 'developer', 'dimension', 'district', 'ethnic group', 'ethnic origin', 'every member', 'cultural contact'], 'score': 0.0}, {'topic': ['service', 'attitude', 'water', 'payment', 'authority', 'level', 'system', 'government', 'illegitimate', 'towards'], 'score': -0.467634056}, {'topic': ['development', 'area', 'influence', 'region', 'fabric', 'tradition', 'hinterland', 'culture', 'life', 'design'], 'score': -0.4699754008}, {'topic': ['water', 'plan', 'management', 'people', 'development', 'country', 'population', 'paper', 'water management', 'cost'], 'score': -0.655642817}, {'topic': ['governance', 'slum', 'city', 'paper', 'change', 'people', 'municipal governance', 'fear', 'participation', 'inclusive municipal governance'], 'score': -0.6899488365}, {'topic': ['housing', 'people', 'form', 'society', 'pattern', 'role', 'paper', 'house', 'quality', 'originality'], 'score': -0.8529918790000001}, {'topic': ['adaptation', 'development', 'community', 'planning', 'strategy', 'urban development', 'form', 'settlement', 'urban form', 'slum'], 'score': -5.9337398568}]"
13,8,0.02,"[7, 41, 102, 115, 120, 138, 188, 363]",6,-2.2299009089,"[{'topic': ['creativity', 'design', 'activity', 'paper', 'social creativity', 'art', 'interaction', 'context', 'environment', 'collaboration'], 'score': -0.49280134200000003}, {'topic': ['child', 'planning', 'environment', 'urban planning', 'game', 'city', 'tool', 'people', 'place', 'actor'], 'score': -0.5235642907}, {'topic': ['design', 'culture', 'community', 'technology', 'people', 'tool', 'environment', 'art', 'paper', 'practice'], 'score': -0.5645276578}, {'topic': ['planning', 'process', 'information', 'planning process', 'culture', 'participation', 'research', 'population', 'role', 'use'], 'score': -0.6379270328000001}, {'topic': ['design', 'community', 'diversity', 'technology', 'cultural diversity', 'culture', 'science', 'role', 'technology design', 'usage'], 'score': -0.830109964}, {'topic': ['design', 'food', 'studio', 'culture', 'city', 'student', 'framework', 'paper', 'people', 'technology'], 'score': -1.4821662823000001}]"
14,12,0.03,"[100, 132, 134, 159, 183, 186, 240, 287, 293, 300, 305, 386]",7,-1.4069866247,"[{'topic': ['bridge', 'engineering', 'center', 'world', 'meter', 'suspension bridge', 'suspension', 'classic period', 'engineer', 'infrastructure'], 'score': -0.36212742800000003}, {'topic': ['park', 'city', 'national park', 'conservation', 'volume', 'naturbanity', 'environment', 'chapter', 'urban environment', 'issue'], 'score': -0.501768085}, {'topic': ['specie', 'population', 'city', 'country', 'background', 'area', 'problem', 'favelas', 'community', 'favela'], 'score': -0.573323737}, {'topic': ['system', 'need', 'society', 'development', 'quality', 'crisis', 'planning', 'spatial planning', 'exit', 'problem'], 'score': -0.6960657154000001}, {'topic': ['architecture', 'landscape', 'condition', 'building', 'function', 'climate', 'beginning', 'architect', 'took place', 'expedition'], 'score': -0.7780157363}, {'topic': ['material', 'construction', 'totora', 'building', 'city', 'heritage', 'year', 'study', 'value', 'field'], 'score': -3.3996552711}, {'topic': ['history', 'example', 'area', 'calendar', 'tourism', 'period', 'place', 'design', 'people', 'heritage'], 'score': -4.6616776107}]"
15,11,0.028,"[6, 89, 93, 97, 99, 150, 182, 249, 260, 290, 307]",9,-1.1914313397,"[{'topic': ['urban transformation', 'expectation', 'economic growth', 'inauthenticity', 'capitalism', 'committee', 'feeling', 'jardins', 'commodity', 'des jardins'], 'score': 0.0}, {'topic': ['paper', 'UN member state', 'Sustainable development', 'Work', 'Vancouver region', 'Vancouver', 'Urban indicator', 'Urban Observatory network', 'action', 'UN member'], 'score': -0.1386294361}, {'topic': ['paper', 'UN member state', 'Sustainable development', 'Work', 'Vancouver region', 'Vancouver', 'Urban indicator', 'Urban Observatory network', 'action', 'UN member'], 'score': -0.1386294361}, {'topic': ['period', 'society', 'different period', 'reception', 'significance', 'expert', 'study', 'art', 'volume', 'American empire'], 'score': -0.3275453525}, {'topic': ['city', 'tourist', 'planning', 'culture', 'century', 'people', 'urban planning', 'form', 'place', 'growth'], 'score': -0.5148623178}, {'topic': ['indicator', 'region', 'article', 'development', 'capital', 'governance', 'context', 'city', 'sustainability', 'issue'], 'score': -0.6107732887}, {'topic': ['change', 'culture', 'science', 'future culture', 'Human futuristics', 'rate', 'past rate', 'futuristics', 'culture change', 'choice'], 'score': -0.6216667628}, {'topic': ['history', 'field', 'architecture', 'activity', 'context', 'urban planning', 'representation', 'specific field', 'internal discourse', 'discourse'], 'score': -0.7578079417}, {'topic': ['article', 'transformation', 'city', 'class', 'consumer', 'paper', 'architecture', 'fraction', 'world', 'people'], 'score': -1.7262169142000001}]"
16,8,0.02,"[35, 46, 104, 143, 181, 275, 341, 353]",9,-1.8741599722000002,"[{'topic': ['homeless', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'control', 'important role'], 'score': 0.0}, {'topic': ['homeless', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'control', 'important role'], 'score': 0.0}, {'topic': ['people', 'planning', 'advocacy', 'bicycle', 'bicycling', 'bicyclist', 'culture', 'urban planning', 'class', 'lane'], 'score': -0.5146872759000001}, {'topic': ['city', 'community', 'sustainability', 'race', 'policy', 'landscape', 'project', 'making', 'transportation', 'safety'], 'score': -0.7226486761}, {'topic': ['community', 'city', 'development', 'interaction', 'segregation', 'century', 'cosmopolitanism', 'multiracial interaction', 'planning', 'time'], 'score': -0.7287655551000001}, {'topic': ['space', 'public space', 'neighborhood', 'regulation', 'behavior', 'gentrification', 'role', 'street', 'everyday public space', 'park'], 'score': -0.7937201411}, {'topic': ['community', 'Latino community', 'challenge', 'study', 'governance', 'literature', 'form', 'street', 'city', 'contemporary city'], 'score': -3.572010686}, {'topic': ['Latino community', 'homelessness', 'defensive architecture', 'entitlement', 'expectation', 'exposure', 'grammable', 'group', 'homeless', 'control'], 'score': -5.1103159148}, {'topic': ['space', 'inequality', 'urban space', 'response', 'visibility', 'research', 'chapter', 'effort', 'homelessness', 'incivility'], 'score': -7.037044414}]"
17,12,0.03,"[151, 236, 237, 271, 306, 308, 328, 334, 373, 380, 387, 393]",9,-1.9871202398,"[{'topic': ['overview', 'book', 'contemporary urban life', 'business sector', 'government', 'give visitor', 'geographical overview', 'current issue', 'metropolis', 'administration'], 'score': 0.0}, {'topic': ['beach', 'long beach', 'million people', 'largest Cambodian community', 'largest city', 'line', 'half', 'trolley', 'second largest city', 'diverse cultural group'], 'score': 0.0}, {'topic': ['space', 'environment', 'composition', 'whole', 'basis', 'right', 'agglomeration', 'broken form', 'form', 'future'], 'score': -0.6406986552}, {'topic': ['people', 'disaster', 'research', 'earthquake', 'knowledge', 'measure', 'behavior', 'attitude', 'field', 'laboratory'], 'score': -0.7763178657}, {'topic': ['day', 'city', 'design', 'host', 'urban design', 'factor', 'event', 'location', 'main urban design', 'host city'], 'score': -0.8249002405}, {'topic': ['environment', 'urban environment', 'space', 'culture', 'method', 'set', 'man', 'landscape', 'person', 'formation'], 'score': -0.9821880110000001}, {'topic': ['interaction', 'group', 'level', 'student', 'place', 'Chinese student', 'culture', 'study', 'value', 'article'], 'score': -2.2760021323}, {'topic': ['city', 'life', 'people', 'culture', 'community', 'role', 'development', 'center', 'lifestyle', 'urban life'], 'score': -3.1857041451}, {'topic': ['knowledge', 'culture', 'issue', 'indigenous knowledge', 'project', 'Indigenous knowledge', 'environment', 'people', 'management', 'hand'], 'score': -4.1455089725}]"
18,9,0.023,"[45, 57, 69, 88, 126, 169, 187, 195, 248]",9,-1.9866621748000002,"[{'topic': ['project', 'regeneration', 'form', 'market', 'paper', 'Chinese city', 'order', 'traditional form', 'symbol', 'city'], 'score': -0.37868883200000003}, {'topic': ['class', 'middle class', 'society', 'politics', 'study', 'book', 'practice', 'state', 'risk', 'Chinese middle class'], 'score': -0.4301334456}, {'topic': ['book', 'city', 'architecture', 'development', 'work', 'author', 'people', 'environment', 'year', 'technology'], 'score': -0.620060583}, {'topic': ['development', 'city', 'generation', 'people', 'cultural development', 'place', 'life', 'community', 'government', 'milieu'], 'score': -0.6991673032}, {'topic': ['city', 'development', 'prosperity', 'life', 'environment', 'industry', 'quality', 'solution', 'potential', 'report'], 'score': -0.7644090077}, {'topic': ['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense'], 'score': -5.2099854731}, {'topic': ['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense'], 'score': -5.2099854731}, {'topic': ['abstract', 'recent emphasis', 'responsibility', 'prosperity', 'providing grant', 'public process', 'purpose', 'quality', 'policy', 'sense'], 'score': -5.2099854731}, {'topic': ['planning', 'history', 'force', 'study', 'transformation', 'urban transformation', 'urban planning', 'urban history', 'state', 'control'], 'score': -6.9451806551}]"
19,5,0.013000000000000001,"[148, 258, 332, 372, 381]",7,-1.4026533812,"[{'topic': ['city', 'mobility', 'place', 'model', 'people', 'area', 'smart city', 'way', 'paper', 'movement'], 'score': -0.4714885776}, {'topic': ['culture', 'commitment', 'event', 'network', 'city', 'planning', 'year', 'role', 'elite', 'regime'], 'score': -0.49394096070000004}, {'topic': ['people', 'culture', 'agency', 'time', 'effort', 'work', 'style', 'exhibition', 'element', 'complete understanding'], 'score': -0.6236892047}, {'topic': ['people', 'culture', 'agency', 'time', 'effort', 'work', 'style', 'exhibition', 'element', 'complete understanding'], 'score': -0.6236892047}, {'topic': ['city', 'culture', 'history', 'concept', 'square', 'space', 'design', 'building', 'context', 'square design'], 'score': -0.6366219870000001}, {'topic': ['culture', 'style', 'time', 'people', 'work', 'complete understanding', 'content', 'colonist', 'century', 'Dutch colonist'], 'score': -0.7152016733000001}, {'topic': ['business', 'small business', 'development', 'time', 'Small business', 'publication', 'engagement', 'economic development', 'quality', 'interaction'], 'score': -9.0667950372}]"
20,5,0.013000000000000001,"[111, 263, 316, 335, 357]",8,-0.7867706323,"[{'topic': ['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment'], 'score': 0.0}, {'topic': ['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment'], 'score': 0.0}, {'topic': ['link', 'lignin solution', 'marine', 'manufacturing process', 'manufacturing', 'low seismic region', 'load', 'litter', 'material temperature', 'life cycle assessment'], 'score': 0.0}, {'topic': ['effect', 'property', 'analysis', 'waste', 'low seismic region', 'link', 'marine', 'manufacturing process', 'manufacturing', 'material temperature'], 'score': -0.2479115983}, {'topic': ['waste', 'effect', 'property', 'method', 'analysis', 'removal', 'water', 'catalyst', 'powder', 'silk'], 'score': -0.2606974682}, {'topic': ['architecture', 'design', 'sustainability', 'social sustainability', 'order', 'life', 'space', 'building', 'material', 'climate'], 'score': -0.45862372030000004}, {'topic': ['environment', 'built environment', 'research', 'development', 'life', 'planning', 'space', 'role', 'nature', 'challenge'], 'score': -0.5882428207}, {'topic': ['reconstruction', 'government', 'community', 'village', 'measure', 'concept', 'city', 'area', 'study', 'zone'], 'score': -2.724285393}]"
21,6,0.015,"[156, 206, 217, 245, 325, 369]",9,-0.9706592579000001,"[{'topic': ['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation'], 'score': -0.1232261654}, {'topic': ['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation'], 'score': -0.1232261654}, {'topic': ['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation'], 'score': -0.1232261654}, {'topic': ['real estate developer', 'regeneration', 'profit', 'programme', 'real estate', 'policy', 'revaluation', 'revaluated plot', 'plot', 'restrictive conceptualisation'], 'score': -0.1232261654}, {'topic': ['globalization', 'method', 'space', 'aspect', 'global interconnectivity', 'interconnectivity', 'approach', 'practice', 'focus', 'way'], 'score': -0.2990550778}, {'topic': ['city', 'planning', 'map', 'creativity', 'approach', 'modern city', 'method', 'theory', 'city planning', 'process'], 'score': -0.6111971596}, {'topic': ['approach', 'people', 'complexity', 'problem', 'area', 'suggestion', 'peripheral area', 'researcher', 'planning', 'project'], 'score': -0.694606448}, {'topic': ['city', 'design', 'concept', 'culture', 'space', 'square design', 'heritage', 'cultural context', 'square', 'context'], 'score': -0.7922608736000001}, {'topic': ['design', 'strategy', 'people', 'area', 'space', 'regeneration', 'spatial appropriation', 'urban planning', 'design strategy', 'study'], 'score': -4.1462342692}]"
22,5,0.013000000000000001,"[16, 204, 227, 274, 333]",7,-2.1097379157,"[{'topic': ['level', 'relationship', 'dorm', 'building', 'energy', 'comfort', 'people', 'analysis', 'city', 'study'], 'score': -0.1598986078}, {'topic': ['study', 'comfort', 'limit', 'summer', 'winter', 'environment', 'upper limit', 'index', 'temperature', 'thermal comfort'], 'score': -0.4429193155}, {'topic': ['study', 'attribute', 'community', 'survey', 'fuzzy', 'evaluation', 'historic urban landscape', 'dataset', 'urban landscape', 'landscape'], 'score': -0.4943639292}, {'topic': ['culture', 'city', 'environment', 'people', 'study', 'place', 'indicator', 'aspect', 'education', 'development'], 'score': -2.3587123962}, {'topic': ['culture', 'city', 'environment', 'people', 'study', 'place', 'indicator', 'aspect', 'education', 'development'], 'score': -2.3587123962}, {'topic': ['culture', 'people', 'study', 'city', 'environment', 'place', 'indicator', 'aspect', 'education', 'development'], 'score': -2.3814157573}, {'topic': ['city', 'livability', 'development', 'application', 'measure', 'urban livability', 'system', 'smart city', 'paper', 'process'], 'score': -9.1592146613}]"
23,8,0.02,"[26, 108, 219, 225, 234, 257, 278, 304]",7,-1.4099324308,"[{'topic': ['visitor', 'expectation', 'site', 'experience', 'interpretation', 'comment', 'site interpretation', 'centre', 'site interpretation centre', 'interpretation centre'], 'score': -0.1540327068}, {'topic': ['government', 'education', 'student', 'language', 'system', 'aboriginal education', 'success', 'examination', 'develop tribal wisdom', 'compulsory education system'], 'score': -0.1926914505}, {'topic': ['place', 'knowledge', 'book', 'mobility', 'attachment', 'place attachment', 'creative knowledge', 'market', 'worker', 'form'], 'score': -0.3696784963}, {'topic': ['data', 'assessment', 'sensory assessment', 'culture', 'research', 'people', 'space', 'processing', 'reaction', 'different culture'], 'score': -0.5083473478}, {'topic': ['para', 'people', 'community', 'tradition', 'networking', 'social networking', 'neighbourhood', 'adda', 'feeling', 'cohesion'], 'score': -0.5469666761}, {'topic': ['practice', 'resident', 'study', 'people', 'need', 'planning', 'process', 'paper', 'housing', 'paradigm'], 'score': -0.6908309138000001}, {'topic': ['landscape', 'place', 'state', 'meaning', 'theme', 'third place', 'culture', 'way', 'city', 'community'], 'score': -5.6187320901}]"
24,7,0.018000000000000002,"[23, 64, 107, 116, 198, 233, 251]",6,-1.2510295229000001,"[{'topic': ['capacity', 'electrical capacity', 'company', 'value', 'difference', 'consumption', 'construction', 'grid company', 'calculated electrical capacity', 'electricity consumption'], 'score': -0.18483924810000002}, {'topic': ['transition', 'city', 'system', 'sustainability transition', 'world', 'towards', 'book', 'transformation', 'sustainability', 'governance'], 'score': -0.531416493}, {'topic': ['problem', 'city', 'analysis', 'planning', 'system', 'cause', 'impact', 'environment', 'city system', 'stakeholder'], 'score': -0.6444741894}, {'topic': ['country', 'change', 'people', 'climate', 'growth', 'climate change', 'population', 'emission', 'developing country', 'gas'], 'score': -0.6930137029}, {'topic': ['city', 'opportunity', 'community', 'technology', 'challenge', 'urban planning', 'approach', 'solution', 'way', 'efficiency'], 'score': -0.7020356819}, {'topic': ['indicator', 'strategy', 'challenge', 'governance', 'study', 'sustainability', 'management', 'city', 'development', 'government'], 'score': -3.8357401686}]"
25,5,0.013000000000000001,"[21, 31, 44, 72, 216]",9,-0.2210204594,"[{'topic': ['gather data', 'goal', 'foster feeling', 'gas', 'gas extraction', 'gather', 'fishery', 'healthy ocean environment', 'health', 'feeling'], 'score': 0.0}, {'topic': ['gather data', 'goal', 'foster feeling', 'gas', 'gas extraction', 'gather', 'fishery', 'healthy ocean environment', 'health', 'feeling'], 'score': 0.0}, {'topic': ['gather data', 'goal', 'foster feeling', 'gas', 'gas extraction', 'gather', 'fishery', 'healthy ocean environment', 'health', 'feeling'], 'score': 0.0}, {'topic': ['gather data', 'goal', 'foster feeling', 'gas', 'gas extraction', 'gather', 'fishery', 'healthy ocean environment', 'health', 'feeling'], 'score': 0.0}, {'topic': ['value', 'mangrove', 'transition', 'ecosystem', 'development', 'habitat', 'ecosystem service', 'photographs', 'service', 'cultural value'], 'score': -0.1788264347}, {'topic': ['ocean', 'city', 'life', 'energy', 'sea', 'extraction', 'policy', 'health', 'opportunity', 'use'], 'score': -0.432603934}, {'topic': ['city', 'landscape', 'way', 'waterfront', 'reclamation', 'transformation', 'redevelopment', 'global urbanism', 'land', 'given new life'], 'score': -0.5363752386}, {'topic': ['waterfront', 'people', 'activity', 'life', 'redevelopment', 'living', 'culture', 'history', 'place', 'part'], 'score': -0.5689171034}, {'topic': ['city', 'paper', 'landscape', 'waterfront', 'development', 'influence', 'capital', 'community', 'local empowerment', 'interview'], 'score': -0.6704260507}]"
26,5,0.013000000000000001,"[52, 117, 163, 212, 254]",6,-0.7463680423,"[{'topic': ['conversation', 'regulation', 'icon', 'people', 'growth', 'artist', 'supporter', 'boundary', 'imagination', 'interpretation'], 'score': -0.2762048044}, {'topic': ['sociology', 'city', 'bureaucrat', 'conflict', 'policy', 'sociologist', 'knowledge', 'evolutionist', 'monument', 'possibility'], 'score': -0.3233217718}, {'topic': ['city', 'modernity', 'history', 'essay', 'environmental history', 'design', 'fact', 'career', 'modern city', 'line'], 'score': -0.5029512965}, {'topic': ['design', 'vision', 'people', 'world', 'city', 'symbol', 'meaning', 'history', 'building', 'goal'], 'score': -0.5683900695}, {'topic': ['design', 'vision', 'people', 'world', 'city', 'symbol', 'meaning', 'history', 'building', 'goal'], 'score': -0.5683900695}, {'topic': ['city', 'planning', 'vision', 'world', 'fair', 'time', 'future', 'idea', 'planner', 'plan'], 'score': -0.7200563534000001}]"
27,7,0.018000000000000002,"[19, 28, 34, 50, 67, 147, 231]",9,-1.0218662002,"[{'topic': ['manufacturing era', 'make positive contribution', 'publishing', 'profession', 'product', 'producer', 'presenting city', 'positive contribution', 'perspective', 'material culture'], 'score': 0.0}, {'topic': ['manufacturing era', 'make positive contribution', 'publishing', 'profession', 'product', 'producer', 'presenting city', 'positive contribution', 'perspective', 'material culture'], 'score': 0.0}, {'topic': ['manufacturing era', 'make positive contribution', 'publishing', 'profession', 'product', 'producer', 'presenting city', 'positive contribution', 'perspective', 'material culture'], 'score': 0.0}, {'topic': ['manufacturing era', 'make positive contribution', 'publishing', 'profession', 'product', 'producer', 'presenting city', 'positive contribution', 'perspective', 'material culture'], 'score': 0.0}, {'topic': ['landscape', 'group', 'minority', 'minority group', 'design', 'case', 'experience', 'case study', 'ethnic minority group', 'ethnic minority'], 'score': -0.3993269043}, {'topic': ['architecture', 'city', 'society', 'way', 'question', 'article', 'concern', 'meeting', 'urban design', 'culture'], 'score': -0.5072789426000001}, {'topic': ['article', 'experiment', 'citizen', 'consumer', 'method', 'urban design', 'nonexperts', 'nature', 'outside', 'multinaturalism'], 'score': -0.5522014777}, {'topic': ['design', 'city', 'fashion', 'contemporary city', 'importance', 'environment', 'urban environment', 'service', 'design profession', 'profession'], 'score': -0.7177150086}, {'topic': ['city', 'design', 'planning', 'people', 'space', 'paper', 'city planning', 'urbanity', 'competition', 'idea'], 'score': -3.6270528607}]"
28,8,0.02,"[36, 65, 80, 85, 130, 162, 197, 202]",10,-0.9534778368000001,"[{'topic': ['develops strategic development', 'drive', 'capital', 'consideration', 'construction sector', 'country', 'critical project', 'cultural identity', 'development plan', 'development strategy'], 'score': -0.0616130827}, {'topic': ['develops strategic development', 'drive', 'capital', 'consideration', 'construction sector', 'country', 'critical project', 'cultural identity', 'development plan', 'development strategy'], 'score': -0.0616130827}, {'topic': ['develops strategic development', 'drive', 'capital', 'consideration', 'construction sector', 'country', 'critical project', 'cultural identity', 'development plan', 'development strategy'], 'score': -0.0616130827}, {'topic': ['develops strategic development', 'drive', 'capital', 'consideration', 'construction sector', 'country', 'critical project', 'cultural identity', 'development plan', 'development strategy'], 'score': -0.0616130827}, {'topic': ['water', 'management', 'conflict', 'change', 'ecosystem', 'planning', 'process', 'system', 'policy', 'use'], 'score': -0.23482459430000002}, {'topic': ['community', 'trust', 'risk', 'trust relationship', 'condition', 'relationship', 'people', 'resident', 'city', 'world'], 'score': -0.27610073890000003}, {'topic': ['mobility', 'immobility', 'risk', 'culture', 'life', 'society', 'risk society', 'activity', 'virus', 'crisis'], 'score': -0.5227695555}, {'topic': ['planning', 'process', 'decision', 'city', 'approach', 'system', 'problem', 'participation', 'issue', 'urban planning'], 'score': -0.5954927549}, {'topic': ['city', 'pandemic', 'century', 'urban design', 'administration', 'context', 'future', 'population', 'strategy', 'tool'], 'score': -0.7873272061000001}, {'topic': ['city', 'standard', 'residential standard', 'sustainability', 'indicator', 'building', 'development', 'vision', 'construction', 'plan'], 'score': -8.4487280648}]"
