Cluster,NumTopics,LDAScore,LDATopics
14,4,-1.486,"[{'topic_words': ['material', 'construction', 'totora', 'building', 'design', 'research', 'study', 'field', 'island', 'construction field'], 'score': -0.311}, {'topic_words': ['place', 'crisis', 'planning', 'spatial planning', 'region', 'culture', 'people', 'nature', 'development', 'exit'], 'score': -0.866}, {'topic_words': ['architecture', 'park', 'city', 'specie', 'people', 'book', 'research', 'volume', 'astronomy', 'study'], 'score': -1.599}, {'topic_words': ['architecture', 'landscape', 'area', 'example', 'history', 'engineering', 'bridge', 'condition', 'center', 'building'], 'score': -3.167}]"
15,2,-0.441,"[{'topic_words': ['indicator', 'article', 'region', 'city', 'development', 'culture', 'people', 'design', 'context', 'capital'], 'score': -0.34}, {'topic_words': ['city', 'article', 'transformation', 'tourist', 'urban transformation', 'planning', 'people', 'culture', 'urban planning', 'form'], 'score': -0.541}]"
16,3,-1.331,"[{'topic_words': ['development', 'city', 'community', 'planning', 'interaction', 'segregation', 'multiracial interaction', 'century', 'cosmopolitanism', 'practice'], 'score': -0.52}, {'topic_words': ['space', 'public space', 'people', 'culture', 'regulation', 'gentrification', 'role', 'inequality', 'behavior', 'response'], 'score': -1.916}, {'topic_words': ['community', 'city', 'Latino community', 'sustainability', 'challenge', 'policy', 'governance', 'race', 'literature', 'street'], 'score': -1.558}]"
17,3,-2.053,"[{'topic_words': ['city', 'space', 'people', 'article', 'urbanity', 'culture', 'community', 'role', 'area', 'civilisation'], 'score': -2.059}, {'topic_words': ['environment', 'design', 'interaction', 'city', 'level', 'student', 'study', 'Chinese student', 'host', 'culture'], 'score': -1.72}, {'topic_words': ['city', 'culture', 'life', 'knowledge', 'beach', 'people', 'overview', 'book', 'environment', 'issue'], 'score': -2.379}]"
18,3,-0.451,"[{'topic_words': ['class', 'middle class', 'politics', 'study', 'society', 'book', 'practice', 'state', 'risk', 'Chinese middle class'], 'score': 0.861}, {'topic_words': ['city', 'development', 'planning', 'people', 'book', 'life', 'environment', 'architecture', 'generation', 'transformation'], 'score': -1.769}, {'topic_words': ['history', 'urban history', 'study', 'project', 'structure', 'regeneration', 'form', 'market', 'force', 'research'], 'score': -0.445}]"
19,1,-0.253,"[{'topic_words': ['city', 'business', 'culture', 'small business', 'people', 'place', 'mobility', 'time', 'history', 'design'], 'score': -0.253}]"
20,2,1.062,"[{'topic_words': ['waste', 'effect', 'property', 'method', 'system', 'analysis', 'removal', 'design', 'water', 'catalyst'], 'score': 1.623}, {'topic_words': ['environment', 'government', 'reconstruction', 'village', 'community', 'development', 'measure', 'concept', 'planning', 'city'], 'score': 0.501}]"
21,1,-1.574,"[{'topic_words': ['city', 'approach', 'design', 'planning', 'people', 'space', 'culture', 'method', 'area', 'globalization'], 'score': -1.574}]"
22,1,-0.564,"[{'topic_words': ['city', 'study', 'development', 'comfort', 'people', 'livability', 'application', 'community', 'culture', 'environment'], 'score': -0.564}]"
23,3,-0.039,"[{'topic_words': ['visitor', 'place', 'site', 'expectation', 'research', 'people', 'experience', 'interpretation', 'culture', 'type'], 'score': 0.752}, {'topic_words': ['landscape', 'state', 'meaning', 'way', 'community', 'culture', 'effort', 'theme', 'experience', 'government'], 'score': -0.272}, {'topic_words': ['place', 'para', 'third place', 'city', 'planning', 'people', 'feeling', 'practice', 'tradition', 'spatialization'], 'score': -0.596}]"
24,1,-0.771,"[{'topic_words': ['city', 'people', 'change', 'country', 'challenge', 'strategy', 'governance', 'indicator', 'study', 'culture'], 'score': -0.771}]"
25,1,-0.808,"[{'topic_words': ['waterfront', 'city', 'people', 'life', 'value', 'development', 'landscape', 'activity', 'ocean', 'culture'], 'score': -0.808}]"
26,3,0.726,"[{'topic_words': ['regulation', 'icon', 'conversation', 'people', 'growth', 'growth boundary', 'description', 'artist', 'supporter', 'depiction'], 'score': 1.847}, {'topic_words': ['history', 'monument', 'structure', 'city', 'design', 'player', 'building', 'ambition', 'expansion', 'culture'], 'score': 0.66}, {'topic_words': ['city', 'planning', 'vision', 'world', 'time', 'fair', 'future', 'idea', 'planner', 'model'], 'score': -0.329}]"
27,3,1.739,"[{'topic_words': ['communication', 'collective experiment', 'food', 'expert', 'division', 'distinction', 'technical communication', 'human value', 'attention', 'today'], 'score': 3.119}, {'topic_words': ['communication', 'collective experiment', 'food', 'expert', 'division', 'distinction', 'technical communication', 'human value', 'attention', 'today'], 'score': 3.119}, {'topic_words': ['design', 'city', 'people', 'space', 'planning', 'architecture', 'city planning', 'way', 'urban design', 'culture'], 'score': -1.02}]"
28,3,-0.82,"[{'topic_words': ['city', 'building', 'vision', 'development', 'pandemic', 'plan', 'construction', 'design', 'sustainability', 'century'], 'score': -0.984}, {'topic_words': ['community', 'risk', 'city', 'people', 'planning', 'trust', 'mobility', 'world', 'approach', 'process'], 'score': -1.087}, {'topic_words': ['city', 'standard', 'residential standard', 'water', 'indicator', 'sustainability', 'planning', 'compliance', 'management', 'system'], 'score': -0.388}]"
