doc_id,title,score,cluster,similar_doc_id,similar_title,top1_occ_cluster,top1_count,top2_occ_cluster,top2_count,top3_occ_cluster,top3_count
366,Digital excavation of mediatized urban heritage: Automated recognition of buildings in image sources,0.67,#11,470,Evolution of historical urban landscape with computer vision and machine learning: A case study of Berlin,#11,10,#-1,7,#20,4
466,Visual Analytics of Urban Informality and Infrastructure Planning with Tableau for Sustainable Urban Design Research Strategies in Lagos Metropolis,0.67,#11,43,StreetVizor: Visual Exploration of Human-Scale Urban Forms Based on Street Views,#11,5,#3,5,#-1,4
545,Internet of things and statistical analysis,0.67,#-1,388,Data mining techniques for smart mobility—a survey,#-1,8,#14,5,#21,5
14,Using image recognition to automate assessment of cultural ecosystem services from social media photographs,0.68,#-1,227,The big picture of cities: Analysing Flickr photos of 222 cities worldwide,#-1,12,#11,8,#1,4
57,PSO-ELM: A Hybrid Learning Model for Short-Term Traffic Flow Forecasting,0.68,#17,561,"Highway traffic volume prediction via stacking KNN, SVR, MLP, RNN",#17,12,#19,8,#-1,3
314,Detecting advertising on building façades with computer vision,0.68,#11,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment,#5,11,#-1,10,#11,8
393,Multiscale spatio-temporal data aggregation and mapping for urban data exploration,0.68,#-1,574,"Processing, mining and visualizing massive urban data",#-1,8,#17,7,#14,5
227,The big picture of cities: Analysing Flickr photos of 222 cities worldwide,0.70,#11,383,Can we predict the scenic beauty of locations from geo-tagged Flickr images?,#18,7,#11,6,#14,6
230,Drone Futures: UAS in landscape and urban design,0.70,#20,495,The City of the Future: The Urban (Un) Seen Connecting Citizens and Spaces via Community Sensing,#13,10,#-1,7,#20,6
318,AI Technologies in Green Architecture Field: Statistical Comparative Analysis,0.70,#8,173,Investigation of the likelihood of green infrastructure (GI)enhancement along linear waterways or on derelict sites (DS)using machine learning,#2,7,#8,5,#4,5
339,EquiTensors: Learning Fair Integrations of Heterogeneous Urban Data,0.70,#17,205,Attention based stack resnet for citywide traffic accident prediction,#17,10,#-1,6,#11,3
491,Predicting and mapping neighborhood-scale health outcomes: A machine learning approach,0.70,#14,142,Predictive analytics can facilitate proactive property vacancy policies for cities,#14,5,#17,4,#-1,3
516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments,0.70,#5,308,Rapid and automated urban modeling techniques for UAS applications,#5,7,#-1,7,#15,3
46,Forecasting smog-related health hazard based on social media and physical sensor,0.71,#7,527,Mining and Analysis of Air Quality Data to Aid Climate Change,#7,8,#14,6,#9,5
285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework,0.71,#-1,434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning,#-1,7,#19,5,#20,4
365,Uncertainties of human perception in visual image interpretation in complex urban environments,0.71,#-1,410,Street view imagery in urban analytics and GIS: A review,#5,11,#-1,8,#11,7
434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning,0.71,#-1,285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework,#-1,7,#19,7,#5,4
459,"Using satellite data to analyse raw material consumption in Hanoi, Vietnam",0.72,#-1,139,Patterns of historical and future urban expansion in Nepal,#16,5,#-1,4,#6,4
567,Investigating Customer Satisfaction Patterns in a Community Livability Context: An Efficiency-Oriented Decision-Making Approach,0.72,#14,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning,#11,8,#-1,6,#14,3
281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application,0.73,#-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,#22,8,#21,8,#-1,7
403,A reasoning approach for modelling and predicting terroristic attacks in urban environments,0.73,#-1,281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application,#-1,6,#2,6,#22,4
481,Virtual design of urban planning based on GIS big data and machine learning,0.73,#1,342,Classification of Urban Functional Areas from Remote Sensing Images and Time-Series User Behavior Data,#5,6,#1,5,#15,5
508,BISTRO: Berkeley Integrated System for Transportation Optimization,0.73,#22,464,Smart Urban Mobility: When Mobility Systems Meet Smart Data,#-1,6,#2,4,#17,4
207,A fuzzy logic based transport mode detection framework in urban environment,0.74,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#17,17,#-1,5,#0,3
426,Intelligent control systems in urban planning conflicts: Social media users’ perception,0.74,#14,164,Social media data analysis in urban e-planning,#14,9,#2,8,#3,4
169,"Modelling urban-scale occupant behaviour, mobility, and energy in buildings: A survey",0.75,#4,22,Data-driven Urban Energy Simulation (DUE-S): A framework for integrating engineering simulation and machine learning methods in a multi-scale urban energy modeling workflow,#17,8,#4,6,#-1,4
194,Classification of sidewalks in street view images,0.75,#-1,536,Urban street contexts classification using convolutional neural networks and streets imagery,#-1,10,#11,10,#5,8
218,Procedural lot generation for evolutionary urban layout optimization in urban regeneration decision support,0.75,#13,555,"Algorithms, AI and architecture",#13,7,#-1,5,#8,5
282,Towards the collaborative development of machine learning techniques in planning support systems – a Sydney example,0.75,#-1,140,How should urban planners be trained to handle big data?,#-1,6,#13,6,#20,5
436,Urban morphological feature extraction and multi-dimensional similarity analysis based on deep learning approaches,0.75,#11,360,An investigation of the visual features of urban street vitality using a convolutional neural network,#11,8,#-1,8,#5,7
64,Land Classification Using Remotely Sensed Data: Going Multilabel,0.76,#15,361,Land cover classification based on machine learning using UAV multi-spectral images,#15,10,#5,9,#-1,4
147,Geographic object based image analysis of world view-3 imagery for urban hydrologic modelling at the catchment scale,0.77,#-1,26,Combining Pixel-and Object-Based Machine Learning for Identification of Water-Body Types from Urban High-Resolution Remote-Sensing Imagery,#-1,9,#16,9,#15,6
309,Using Random Forests on Real-World City Data for Urban Planning in a Visual Semantic Decision Support System,0.77,#-1,390,Holistic visual data representation for built environment assessment,#-1,7,#1,6,#6,3
347,Analysing urban development patterns in a conflict zone: A case study of kabul,0.77,#16,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq",#16,6,#6,6,#-1,5
386,Machine learning for real-time urban metrics and design recommendations,0.77,#22,483,AI and Deep Learning for Urban Computing,#-1,11,#11,6,#22,2
546,Variational beauty of space: Machine intuition and non-linear neural aggregations,0.77,#-1,88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics,#5,10,#-1,7,#11,7
139,Patterns of historical and future urban expansion in Nepal,0.78,#8,155,Improving land-use change modeling by integrating ANN with Cellular Automata-Markov Chain model,#16,11,#8,7,#6,4
259,Machine Learning Assisted Urban Filling,0.78,#-1,412,A generative architectural and urban design method through artificial neural networks,#-1,13,#13,7,#11,6
391,Artificial Neural Networks as an Architectural Design Tool-Generating New Detail Forms Based on the Roman Corinthian Order Capital,0.78,#-1,412,A generative architectural and urban design method through artificial neural networks,#-1,12,#13,6,#2,4
412,A generative architectural and urban design method through artificial neural networks,0.78,#-1,259,Machine Learning Assisted Urban Filling,#-1,11,#13,7,#5,5
204,Understanding the spatial distribution of urban forests in China using Sentinel-2 images with Google Earth Engine,0.79,#15,548,Land cover classification and change detection analysis of multispectral satellite images using machine learning,#15,7,#-1,6,#1,5
229,Machine learning-based and 3d kinematic models for rockfall hazard assessment using LiDAR Data and GIS,0.79,#-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",#-1,9,#5,5,#8,4
239,Deep CNN-based methods to evaluate neighborhood-scale urban valuation through street scenes perception,0.79,#11,11,Measuring human perceptions of a large-scale urban region using machine learning,#-1,10,#11,9,#5,8
312,An AI Approach to Collecting and Analyzing Human Interactions with Urban Environments,0.79,#14,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities,#11,8,#20,6,#14,5
382,Application of machine learning in urban greenery land cover extraction,0.79,#5,242,Urban areas extraction from multi sensor data based on machine learning and data fusion,#5,9,#-1,9,#15,8
388,Data mining techniques for smart mobility—a survey,0.79,#17,33,Urban human mobility data mining: An overview,#17,8,#-1,6,#22,4
396,Applicability of support vector machines in landslide susceptibility mapping,0.79,#-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",#-1,10,#15,6,#16,3
536,Urban street contexts classification using convolutional neural networks and streets imagery,0.79,#5,19,Using convolutional networks and satellite imagery to identify patterns in urban environments at a large scale,#5,16,#-1,8,#11,4
574,"Processing, mining and visualizing massive urban data",0.79,#-1,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior,#14,6,#-1,5,#17,4
26,Combining Pixel-and Object-Based Machine Learning for Identification of Water-Body Types from Urban High-Resolution Remote-Sensing Imagery,0.80,#-1,540,Machine Learning for Strategic Urban Planning,#5,12,#-1,10,#15,5
63,Support Vector Machine accuracy assessment for extracting green urban areas in towns,0.80,#16,84,Modeling Urban Land Use Changes Using Support Vector Machines,#-1,9,#15,7,#5,6
140,How should urban planners be trained to handle big data?,0.80,#14,344,Opportunities and challenges of geospatial analysis for promoting urban livability in the era of big data and machine learning,#14,7,#-1,7,#20,4
189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,0.80,#-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,#17,18,#-1,4,#1,3
400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones,0.80,#-1,189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data,#17,15,#-1,3,#1,3
480,Measuring sustainability and urban data operationalization: An integrated computational framework to evaluate and interpret the performance of the urban form,0.80,#-1,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy",#-1,8,#11,8,#13,5
488,Estimating Socio-Economic Parameters via Machine Learning Methods Using Luojia1-01 Nighttime Light Remotely Sensed Images at Multiple Scales of China in 2018,0.80,#6,228,Population spatialization in Beijing city based on machine learning and multisource remote sensing data,#6,6,#1,6,#-1,5
531,Mapping Urban Slum Settlements Using Very High-Resolution Imagery and Land Boundary Data,0.80,#5,223,Using GIS and machine learning to classify residential status of urban buildings in low and middle income settings,#5,10,#-1,6,#1,5
540,Machine Learning for Strategic Urban Planning,0.80,#-1,26,Combining Pixel-and Object-Based Machine Learning for Identification of Water-Body Types from Urban High-Resolution Remote-Sensing Imagery,#-1,9,#15,6,#16,6
77,Urban land cover and land use classification of an informal settlement area using the open-source knowledge-based system InterIMAGE,0.81,#-1,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis,#-1,7,#16,7,#15,7
457,4D building reconstruction with machine learning and historical maps,0.81,#10,287,Learning from urban form to predict building heights,#5,16,#-1,7,#10,3
59,A human-machine adversarial scoring framework for urban perception assessment using street-view images,0.82,#11,11,Measuring human perceptions of a large-scale urban region using machine learning,#11,12,#-1,12,#5,5
120,Landslide susceptibility assessment of wildfire burnt areas through earth-observation techniques and a machine learning-based approach,0.82,#-1,168,"Rainfall-induced shallow landslide detachment, transit and runout susceptibility mapping by integrating machine learning techniques and gis-based approaches",#-1,8,#16,7,#8,6
30,From land cover-graphs to urban structure types,0.83,#-1,76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis,#5,7,#-1,5,#1,5
88,Understanding cities with machine eyes: A review of deep computer vision in urban analytics,0.83,#22,483,AI and Deep Learning for Urban Computing,#-1,10,#11,8,#5,3
390,Holistic visual data representation for built environment assessment,0.84,#11,15,A machine learning-based method for the large-scale evaluation of the qualities of the urban environment,#11,9,#-1,8,#5,5
168,"Rainfall-induced shallow landslide detachment, transit and runout susceptibility mapping by integrating machine learning techniques and gis-based approaches",0.85,#-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",#8,9,#-1,7,#16,4
76,A Random Forests classification method for urban land-use mapping integrating spatial metrics and texture analysis,0.86,#16,68,Analyzing land cover change and urban growth trajectories of the mega-urban region of Dhaka using remotely sensed data and an ensemble classifier,#16,7,#15,7,#-1,6
405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior,0.86,#-1,482,Introduction to Urban Computing,#17,6,#14,5,#-1,4
482,Introduction to Urban Computing,0.86,#-1,405,Urban computing and smart cities: Opportunities and challenges in modelling large-scale aggregated human behavior,#20,7,#-1,5,#22,5
325,"GIS-based comparative study of Bayes network, Hoeffding tree and logistic model tree for landslide susceptibility modeling",0.89,#-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",#-1,10,#8,8,#15,5
410,Street view imagery in urban analytics and GIS: A review,0.90,#-1,427,"Panoramic street-level imagery in data-driven urban research: A comprehensive global review of applications, techniques, and practical considerations",#11,13,#-1,8,#5,4
427,"Panoramic street-level imagery in data-driven urban research: A comprehensive global review of applications, techniques, and practical considerations",0.90,#-1,410,Street view imagery in urban analytics and GIS: A review,#11,11,#-1,9,#5,6
67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",0.91,#-1,130,"Comparison of random forest model and frequency ratio model for landslide susceptibility mapping (LSM) in Yunyang county (Chongqing, China)",#-1,11,#15,5,#6,5
130,"Comparison of random forest model and frequency ratio model for landslide susceptibility mapping (LSM) in Yunyang county (Chongqing, China)",0.91,#-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China",#-1,10,#15,7,#8,4
271,Urban land use information retrieval based on scene classification of Google Street View images,0.91,#5,41,Building block level urban land-use information retrieval based on Google Street View images,#-1,12,#5,8,#1,6
146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling,0.93,#-1,149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy",#4,13,#-1,7,#13,4
149,"Generative design and performance modeling for relationships between urban built forms, sky opening, solar radiation and energy",0.93,#-1,146,Multivariate relationships between campus design parameters and energy performance using reinforcement learning and parametric modeling,#4,11,#-1,7,#11,5
